"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
8655.71 9296.43 12214 6660.83 3061.19 3627.67 9383.77 9872.84 8069.48 27.6369885228581 12666 9475.07 8400.99 2286.19 5879.65 14730.6 15418.6 14363 5280.55 11313.5 9658.95 8147.11 7877.73 8539.26 9962.82 4395 2714.01 3588.66 384.278 14162.2 6939.11 12423.3 10481.4 5286.94 7185.25 11978.8 3569.6 4313.66 997.125 7816.15 1820.97 13090.3 2467.04 1103.84 5171.66 2809.83 10817.9 4467.09 7378.16 9643.71 8508.2 7291.73 15234.3 7081.09 14147.8 8956.61 9838.4 11142 9286.23 13532.5 11210.7 14448.5 14301.7 8276.87 8680.63 10502.1 14282.5 13257.6 15125 8724.61 6604.87 13296.4 10818.9 10512.8 14833.7 12799.3
9034.32 11851 13804.4 7442.22 3430.59 4311.2 10400.4 11032 11246.8 24.965 11682.7 10363.8 8322.96 3450.42 7033.54 13287.8 15514.4 14831 6608.13 10977 12577.4 6656.58 8273.66 8704.3 10536.2 5632.7 1013.18 5079.39 417.042 9291.49 9193.56 13949.5 11265.7 6885.44 8478.93 11075.5 2921.43 4211.31 740.801 8819.48 539.753 1454.2 657.678 1091.24 7194.88 4854.68 4482.02 6664.72 9418.53 12849.2 10675.9 9495.3 14416.5 3311.02 14301.3 10395.6 8047.2 11483.4 12379.9 11332.8 10988.6 11439.3 14382.7 5973.78 8857.51 10105.4 14049.1 9793.03 12902.6 5943.72 6718.3 12021.5 12845.3 7083.35 12820.8 12163.9
7011.32 9267.27 14104.1 5201.91 5949.54 1729.91 4691.09 9375.95 8894.94 72.378 13593.7 13022.7 1569.57 763.197 3369.57 7530.68 11036.3 9224.48 3108.44 9935.34 8513.89 8217.26 8141.19 10877.2 9391.25 11007.1 4933.38 7376.22 387.897 3144.93 3963.24 9043.89 12404 3576.36 7034.6 12153 2024.98 1200.92 408.686 3573 522.345 11420.7 1523.71 364.639 3417.24 1639.31 2808.39 6382.22 5512.29 5751.49 7380.33 7392.72 10958.8 11767.6 10103.8 10798.5 11304.1 8116.5 9869.13 9795.24 11399 13242 12303.6 4909.41 3507.68 7741.59 12656.7 11831.2 12465.8 4278.01 1857.19 10874.6 8970.42 11298.6 11786.9 11323.7
6524.98 7193.45 9957.17 3895.78 1793.79 1214.1 7044.54 8219.28 6758.18 33.437 10965 8326.63 4638.07 612.781 3563.78 12208.6 13568 12140.7 3034.26 9618 8299.78 5368.87 5929.35 7423.4 9160.05 3429.69 1247.89 2047.91 188.265 11868.8 4807.74 10803.9 8608.13 2927.86 5721.46 10800.1 1375.25 1773.26 245.945 4605.21 318.495 11002.1 928.324 224.871 2621.93 940.056 7365 2745.46 4622.07 7934.3 7274.64 5507.76 12896.8 6218.15 11996.5 7503.92 8556.65 9211.44 7364.27 12244 9218.27 12935.3 12283.7 5563.39 5647.27 7481.55 12228.6 10939 13341.5 5917.88 3834.9 11286.5 9271.45 9740.77 12226.1 13871.5
7048.29 6881.81 9137.39 4215.54 1761.62 1090.79 7202.94 8028.27 6729.53 33.9276780917246 10826.6 7506.16 5046.86 426.042 3790.71 11964.1 13865.8 12383.2 3117.71 8757.64 8247.27 5089.47 6049.19 7434.87 8749.65 3345.29 1317.9 2131.88 72.801 12029.5 4814.67 10807 8459.27 3055.18 5799.63 9911.49 1230.38 1430.18 75.007 4894.48 175.349 10818.8 653.778 130.709 2631.61 839.394 7870.26 2589.26 4495.65 7818.55 7211.07 5725.45 13308.4 5779.25 12518.5 7152.14 8223.57 9407.27 7509.19 11841.3 8823.57 12163.8 13302.4 5777.25 5842.38 7402.49 12823.5 11252.5 13237.3 6238.67 3952.98 11707.3 9442.79 9061.5 12037 10375.3
7905.7 9320.08 12535.2 6063.29 2991.23 3626.03 9204.02 9193.28 7170.6 7.523 11886.4 9328.06 8092.6 2134.75 5625.21 14980.3 14438.2 13541.3 4740.6 11087.1 8884.49 7807.02 6898.92 8279.29 8897.52 4089.66 2634.31 3295.52 378.646 13180.8 6845.01 11581.1 9908.93 5186.98 6738.1 12324.1 3542.06 4254.84 860.075 7525.29 1760.09 12982.2 2482.08 1007.83 5083.68 2626.3 10451.6 4277.07 7067.33 8906.13 7590.34 6921.96 14969.7 6922.28 12955.7 9133.89 9348.68 10372.8 8780.54 12869.7 9801.33 14181.8 12715.3 7519.09 8708.87 10696.9 12699.2 12322.5 14292 8304.35 5868.36 12944.1 10373.8 10366.9 15074.1 12755.6
8696.59 7912.17 10252.6 6518.65 2596.56 3138.21 8424.33 8857.73 8798.11 41.452 13081.1 9226.55 7648.08 2254.16 5206.67 13323.6 15689.2 13976.6 4914.94 10180 9929.6 8344.82 8058.59 8262.54 10940.1 4487.2 2678.22 3438.01 413.779 13203.8 6309.54 12585 10038.1 4752.47 6959.55 10541.3 3347.91 3644.22 915.491 6563.32 1875.93 11651.5 2139.72 1133.64 4659.24 2900.43 9517.25 4060.4 6662 9984.71 8788.31 6994.03 13891.2 6803.89 14721.2 7602.55 10412.5 10882 8686.03 13221.6 11307.7 12644.1 13180.2 7682.73 7172.26 8052.1 14502 12278.6 14880.6 8432.72 6562.69 12738.5 10342.4 10736.4 12775.4 11393.8
6586.18 8066.39 11217.3 5118.54 5192.32 1662.38 4448.09 8329.23 8184.79 82.192 11319.2 10401.7 1509.38 837.373 3112.75 6548.7 10076.7 8463.86 3056.88 8891.81 7400.61 7481.04 7857.34 9614.12 7469.7 9917.61 4628.08 7073.34 368.784 2878.73 3507.65 7245.27 9929.57 3528.15 6609.08 9568.42 2181.29 1207.76 461.422 3368.73 592.242 10205.9 1363.96 375.854 3092.85 1813.25 2647.88 6059.6 5118.29 5274.22 6266.41 7089.64 9145.97 9688.43 9354.33 9809.68 12069.1 7152.07 8924.59 7929.15 9638.36 10051.4 11035.3 4632.82 3191.88 7044.94 12095.7 10899.5 10693.3 3981.85 1876.42 9827.77 8284.64 9212.98 10776.7 9846.65
10805.5 11154.1 14227.4 14053.2 12585.4 23073.1 9525.93 6586.12 8996.17 6092.66 15046.9 12960.2 16468.1 20139.5 13352.6 12040.9 10004.9 10477.7 15395.4 7273.54 8364.03 13545 11171.4 11441 12928.8 10212.8 18887.2 11163.4 20325.3 11027.4 10683.9 12418.1 11231.5 10833 10387.9 9507.56 12653.7 13598.3 13324 14556.4 19549 11753.2 13726.5 19327.1 18311.5 16508.6 12311.1 13676.3 10822.2 10071.1 8647.65 10048.4 11327.8 9713.07 10297.3 9942.45 11721.6 10853 10347.5 12865.1 11759.6 10684.6 6475.04 12057.8 9595.7 11884.4 9421.63 9802.08 7988.39 13124.2 11172 11314.9 8394.94 11034.6 9464.15 6686.02
4996.7 9113.28 10802.7 4584.75 349.655 4467.1 8372.47 7621.44 7391.18 33.399 12343.4 11222.4 4534.57 2262.37 3701.78 5460.56 9273.74 8588.01 7352.71 9037.56 10230.1 6286.19 8949.64 8079.07 8798.14 482.06 215.221 1004.56 760.359 5099.56 7530.38 11133.3 10331.8 2523.05 5486.38 8984.09 1499.86 2720.69 441.414 4076.95 1571.99 8970.23 3383.79 1967.49 6818.02 5111.23 2058.71 7400.6 4300.94 9792.6 8555.29 7342.07 7498.74 10727.4 7610.81 10879.6 9641.58 9150.3 5529.65 11011 8996.82 6278.72 8481.18 4376.11 4203.86 5305.59 5219.12 2824.31 5477.34 2641.19 3794.86 5840.93 4427.93 10268.3 6928.62 7138.22
