"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
4796.5 5059.2 6734.1 4711.4 4700.5 6889.5 8917.5 9389.2 11843.3 3697.5 8373.6 5473.5 6233.8 5824.8 3747.1 7292.6 4506.4 9427.2 6712.1 5269.6 2872.1 2303.7 2402.1 3604.2 7559.5 4208.7 358.3 963.9 456.9 1954.6 391.4 1271 420.6 867.7 625.7 574.1 748.4 584.3 497 476.2
6085.7 4306.5 4463.1 6234.5 6282.4 5060.4 7219.4 3945.2 3076.1 3523.8 6249.1 6669.8 7180.5 6934.7 2815.1 9507.2 2991.8 10157.1 10144.1 6310.7 3528.5 3960.1 1825.7 3071.7 8334.5 5272.7 429.6 2126.3 1374.5 913 1086.8 787.4 247.8 2394.2 478 1162.7 1098.9 428.2 1005 546.4
4026.3 3684.9 4803.3 3870.3 4166.9 6354.9 7233.7 7994.6 9495 3119.7 6912.8 4445.4 4832.9 4597.9 3046.5 6462.3 2911.7 7796.8 6736 4356.7 2246.2 2022.7 2064.1 2277.9 6092.5 2590.7 451.2 1191.9 609.6 1482.3 822.2 1334.2 612.9 1206.7 774.5 808 1072.6 730 780.7 690.4
5026.6 5018.6 6074.3 5048.1 5186.4 5385 7871.7 9585.4 9447.4 4641.1 7538 4975.9 5489.2 5632.6 4078.8 5108 4030.9 8129 6411.6 5325.8 3422.8 3135.4 3119.1 3325.3 6934.2 4123.9 927.1 1957.5 761.9 2627.5 1036.1 2075 920.9 1825.5 1244.2 1113 1528.6 1373.5 1168.6 992.3
3606.9 4389.1 5658.3 3987.4 3094.9 5537.2 6462.4 8029.7 9299.4 2717.5 6906.7 3851.6 3457.5 2644.8 2432.7 7096 2540.4 7586.5 5286.2 2752.1 2991 2943.5 2359.3 3034 6344.4 2582 369.5 569.7 758.8 1714.8 577.6 629.5 421.7 1243.5 327.5 1283.7 679.4 287.3 735.5 1224.2
4680.6 4690.2 5469.3 4516.9 4711.4 7052.7 6738.7 8645.2 8465 3806.7 7507.6 4821.2 5251.6 5273.5 3470.5 4634.4 3275.9 8430.1 6304.5 4941.4 3014.8 2818.8 2681.5 3037.5 5518.2 3397.9 640.3 1470.1 813.5 1977.4 1198.6 1674.5 807 1514.2 935.2 723.5 1661.2 1073.9 947.9 954.4
4745.3 4124.8 5186.8 4359 4174.4 6696.9 7589.7 6255.4 4734.9 3792.1 5414.7 4824.5 5231.1 5151.4 3301.4 8360 3565.6 8487.9 6233.7 3602.8 2952.8 3037.9 2551.2 3272.6 5545.5 3779.3 534.2 1767.9 900.9 1338.6 1108.9 1072.3 723.5 1952 1211.7 1102.7 1200.3 779.2 1025.1 1010.7
4162.7 4597.6 5528.7 4545.6 4730.5 5288.5 6382.1 7518.2 6997.9 3519.4 6057.5 4204.1 3554.6 4573.1 3250 6459.9 3477.1 7277 6013.2 4427.4 3211.6 2544.5 2557.8 3080.6 5959 3646.8 492.9 1402.9 694.1 2110.7 908.7 1456.4 589 1445.3 785.8 874.3 1157 508.2 701.1 853.7
4715.2 4797.8 5372.6 4774.7 5024.5 5290.1 6823.7 7970.5 8551 4094.2 5439.8 4283.8 5000.7 5142.7 3745.8 6345.6 3221.4 7316.4 4954.1 4633.8 3601.4 2834.1 2737.3 3460.3 6297.4 4065.7 655 1849.4 868.2 2176.9 1279.1 1632.4 721.8 1826.4 1712.8 1196.6 1504.7 1194.7 1018.2 963.5
