"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157"
1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 0 2 2 2 2 1 1 0 1 2 0 0 1 2 2 1 1 1 0 1 2 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 2 1 1 1 1 1 1 1 0 1 2 2 0 2 0 1 1 1 2 2 2 2 2 0 1 2 2 0 2 2 2 2 2 0 1 1 2 1 1 1 2 1 0 0 1 0 1 1 1 1 1 1 0 0 0 1 2 2 1 1
88794 94871.2 62455.9 97818.1 50877.1 49517 42681.2 142473.6 110611.1 80363.6 113502.5 61352.1 113560.5 69319.9 195103.7 25957.5 48499.3 24195 31022.7 64107.8 69890.6 40812.4 34240.1 70514.4 30362.6 69246.7 44221.6 35888.2 35618.3 40225.9 60128.3 83864.1 120096 45365.6 45290.4 41172.4 36619 86071.1 58613.1 91430.1 33120.4 30291.9 69460.3 33956.2 33476.8 39586.5 115652.8 41190.9 134376.1 74453.6 60942.3 69464.9 49373.3 49670.4 35851.2 59561.2 64876.4 40633.4 126890.2 44666.9 49285.5 27673 46374.3 52604.5 48470.5 42615.1 45434.3 59197.2 83707.6 48298 48286.9 52151 182720.2 52593.1 49214.5 42894.8 65537.6 227120 61330.1 47552.9 68347.6 31353.2 55937.3 83828.7 32947 138289.4 103410.7 51607.2 50834.8 81830.7 145113.3 52452.3 176523 62135 43016.4 94162.8 99235.6 47503.3 50938.3 72456.6 42557 56106.1 80281.2 135438.9 68585.6 44724.6 49410.8 33736.7 51510.8 563288 69518.7 79019.7 51837.6 51104.7 73112.5 56996.8 79211.6 56145.8 77227.5 90136.8 343935.7 49378 106477.5 52998 41563.6 67926.2 93839.3 37542 51938.2 52346.6 59361.5 54920.1 64253.1 35811.2 72167.3 81803.4 52531.6 40693.5 72170.1 77041.2 305148.8 41478.3 71560.9 84480 177232.1 47120.4 51145.9 102369 102005.1 59965.4 44882.7 60408.7 84474.8 29930.6 55578.6 71772 37113.5
63382.3 71073.2 46064.9 79286.9 37840.8 34680.8 34730.5 112098.9 89839.8 58765.7 92115.2 45879.3 87182.9 48361.1 161838 20403.2 33072.4 20073.5 21556.8 50616.1 49348.5 27090.7 26305.4 46047.9 24098.5 50017 35810.6 23161.1 27077.8 33192.3 41391.9 60588.9 110368 32540.1 33654.7 33611.6 29587 67214.7 47795.5 68247.2 26756.3 24776.9 50907.4 27557.4 25149 30057.5 88104.3 30632 95159.6 56826.5 48834.1 53108.1 30991 38789 29442.7 40538.1 51388.3 31375.4 94062.1 33901.7 37519.6 21491.6 38053.3 44678.8 40531.3 34178.7 38530.6 39072.8 68125.5 39966.4 37809 41818 136097.2 41107.9 36838.5 32390.5 66976.1 204731 47806.8 38034.5 57317.2 26853.8 43765.8 69758.6 27765.9 122877.8 77598.9 44082.4 44987.3 66402.5 122081.9 42577 129655.6 50690.4 32413.9 74698.6 77435.4 36824.3 40187.2 51710.7 32273.5 41346.9 54550.7 97287.1 60788.7 36216.5 39388.9 26571.8 37794.5 425588.3 49855.7 52274.7 39058 38901.1 58232 47182 64501.7 38413.1 61178.7 58718.2 280118.9 35659 71390.5 38971.1 39543.4 46465.6 67346 32300.6 38685.3 36350.5 45837.3 43928.4 43253.3 25677.6 56898.8 68768.9 50443 29808.7 61663.6 54901.7 248848.6 32223.1 55767.4 65580.8 122233.6 40592 44382.2 83547.2 85181.6 50240.1 35509.7 47784.3 65873.9 24044.7 41725.8 52532.1 31277.3
65226 90029.9 63611.1 103800.7 58723.6 61344.9 52890.9 138896.1 85608.2 81915.1 66214.1 58217 126004.1 67506 203406.8 30547 48686.9 37002.9 47197.8 66057.9 55250.6 41034.7 50560.9 78774 42667.1 74267.2 67708.1 34737.1 40596.3 44374.3 68896.6 80994.4 102303.9 54254.4 53760.8 48325.9 39327.9 91493.1 56164.8 83319.9 36365.8 39434.6 66861.9 33976.8 37217.6 52975.7 109815.5 47492.7 121590.5 85101 58116.2 69742.9 44815.1 65400.1 51867.1 59563.3 65382.7 42309.1 112435.1 45557.2 48316.9 32208.6 40944 46888.6 38508.4 37320.5 35298.4 47294.4 87068.7 49509.1 42314.3 57263.3 145478.7 39418.9 39106.8 37541.1 56767.1 112926.7 56590.5 50314.9 72495 40456.6 52382.2 78542.3 42905.4 145573.3 77128.2 61101.7 56361.3 75684.5 105735.4 53553.8 150134 67471.6 45854.3 83205 95486.9 50051.1 54418.8 78296.2 39666.4 57122.6 78133.7 125947.7 75911.1 44477.4 44917.8 35814.1 43934.9 339175.2 61954.1 69779.5 45948.4 52712.3 72851.8 66645 68340.3 52870.5 75356.9 85428.5 262387.8 46281.2 94380.1 69495.6 44194.1 66339.8 80075.5 41318.2 50576.7 40456.1 64295.6 52320.8 62452.2 37554.5 53973.7 79180.7 58720.5 34714.7 73313.9 74374.5 230850.3 40302.6 76819.8 80689.2 176930.8 48073.4 58298.4 86000.3 84918.2 63855.6 40862.3 50215.1 72678 32828.6 69719.1 59481.7 37120.4
48452.5 51794.4 33293.2 62912.6 33054.2 28144.8 27270.8 91539.4 74799.8 49431.6 78262.6 38644.9 69908.2 40589.6 125099.7 15305 30371 16888.4 24821.5 43895.8 42500.9 24567.1 28203.1 33921.7 27665.5 37410.3 29977.4 20082.8 30303.9 26682.2 32301 46989.9 85223 26271.7 28921.8 29636.6 24464.2 64241.4 39267.3 55586.2 22566 20941.5 57554.2 21564.2 22005.8 27145.4 67137.5 24882.5 86322.2 39991.4 42862.2 43689.7 25269.8 34743.5 23897.3 28769.8 36540.7 26521.9 69202.1 27469.1 28192.1 21382.6 31954.5 38436 34168.9 27310.4 30246.7 31227.7 55971.9 31654.3 30208.9 33353.4 104331.8 33360.4 30952.5 28514.6 48468.5 177156.5 37546.1 32146 47393.7 20238.8 35982.7 55522.1 23378.6 102867.4 69947.5 31578.1 32764.7 56603.2 110940.2 37618.7 107550.5 42524 25771.3 67605.8 62807.2 35068.6 35800.6 41708.2 25207.9 32572.9 47595.4 92454.3 54380.7 34758.4 29087.9 19833 34882.4 339379.5 36891.6 39211.9 32069.5 34186 50183.7 39982.3 57089.6 31558.4 41824.7 45909.5 240612.3 28724.8 51961.2 30376.2 34763.7 36079.5 49222.1 26831 33766.3 30817.8 40062 38806.8 35460.1 21757.7 41561.3 50624.1 35915.3 24078.8 53934.1 44887 206018.6 26473.8 48655 56820.5 100252.7 32654.9 34093.5 63071.1 66062.5 42392.7 30751.9 42342.9 53077.4 20352.9 36478.1 42709.4 26803
33447.1 37491.6 22418.2 46591.8 23519.5 23070.1 17790.2 70668.8 57774.4 36147 61308.6 29460.1 44748 28048.4 75285.3 10928.1 24070.4 9217 16406.1 34517.7 28325.7 16858.4 19060.6 22392.9 21297.9 25512 17675.3 13238.2 24469.6 18558.1 22310.4 31047.3 58527.6 16718.1 19484.8 20340.7 18044.6 53054.1 27529.8 46916.8 15354.4 13523.7 43089.5 14253.5 15983.1 16217.1 52129 19134.4 66887.9 28884.1 25525.5 32018 18898.6 19660.6 17660.9 20037.3 26761.9 20020.3 49764.9 22035.6 18766.3 18783.8 22687.5 29817.2 25147.5 20890.1 24893.5 21972.2 41523.6 22082.5 23377.9 23740.7 118112.3 27527.8 22418.7 21776.3 34121.2 135890.7 26127.5 19489.1 38106.3 13227.6 23624 50504.8 13696.1 90043.5 48406.3 24155.2 22625.1 42863.8 87728 31740.2 90007.6 32317.7 19061.3 55541.3 59541.8 24917.7 23051.2 30456.2 17297.6 23052.5 38933.6 77595.8 41695.3 23711.6 18111.3 13243.8 25429.3 305091.4 27073.6 25560.7 22872.4 23482.9 39781.4 23919.1 35039.2 18990.8 29003.4 32318.8 253091.1 18752.9 34819.5 19998.3 22697 22291.1 31609 15870.8 24628.3 20593 29285.8 27313.6 24713.4 14314.1 28493.5 35235.9 22587.9 17320 38521.3 35140.8 213735.4 20219.8 33175.2 40079.2 71639.5 23958.6 25979.3 52790.7 50286.1 29540.7 24661.5 32434.2 39946.9 13942.6 21125 32268.5 17791.2
13866.6 12073.7 294.4 59336.4 951 6353.8 7477.9 86269.2 34816.6 5022.1 85600 24099 15440.9 21308.4 105099 31062 24294.5 38042.5 30973.8 38396.3 44495 37844.5 51166.6 72198.1 45572.5 388.7 10264.7 34848.9 254.7 35494.3 6436.1 2310.8 33856.8 3879.1 32357 5622.9 327.5 14152.2 43508.8 7498.4 27707.2 38802 43221.1 25699 1394.5 26585.1 112278.3 724.5 963.3 475.2 3785.2 220.7 762.6 31573.9 130.3 3699.3 41151 24063.7 63400 25567.8 25431.3 29682.5 1157.8 2296.4 371.2 1146.5 107.5 635.7 61256.2 24615.7 1274.4 45173.7 42313.3 20923.8 3723.2 3029.5 276 445.3 7920 51947.8 29515.5 173.2 1091.9 63153.6 4924.7 15782.1 19273.3 55666.1 45314.8 39224.2 2705 1813.9 912 18411.3 51348.9 14120.8 210.1 146.2 13881.2 2077 33.4 695.5 247.5 374.6 25319.1 40044.6 412.6 525.4 168.6 162745.7 5090.3 43013.2 598.7 265.1 880.8 233.8 573.6 203.1 365.9 387.2 147391.6 800.9 517.8 1258.8 45541.3 996.5 13210.9 168 134.6 2464.2 64575.6 4692.2 2395.6 3556.3 537.2 1194 207.9 1030.8 622.5 82606.6 168286.9 141.4 73493.4 13602.7 5177.8 1101.7 253.8 21299.2 3623.9 64249.5 42696.5 50224 23342.5 1035.2 2715.7 48238.2 768.6
4533.6 2975.2 67.5 15666.7 423 2078.1 2207.1 69947.8 19656.5 1795.8 83494.8 7357.6 4577 9257.2 72899.1 28664 6786.7 35945.7 8530.6 11922.8 18203.1 38315.8 17413.6 67578.9 11650.6 136 3229.9 34316.8 23 36161.4 2087.4 802.9 13222.6 1669.6 23641.8 1671.2 84.9 3565.6 36618.1 2077 27352 28009.2 11882.9 27370.5 707.9 8675.8 100576.9 195.5 545.1 38.5 1785.4 75.3 207.2 11813.6 60.2 1566.1 16427.5 9898.1 28461.4 9725.2 11196.2 7894.4 499.4 845.8 208.2 578.4 29.1 406.1 69130.2 21131 688.5 45472.9 19133.2 7839.2 1513.4 1025.6 139.7 209.2 2534.4 45562.8 17979.2 31.5 451.9 60707.9 1611.3 4485.9 6789.4 50039.6 48658.9 30380.6 1165.7 874.9 292.4 5881.5 43025.1 4150.3 55.8 40.3 4537.9 715.5 46.4 295.6 21 39.6 11509.9 39418.4 226.9 265.9 22.2 179305.4 1906.6 33799.8 413.7 38 383.8 48.7 116.7 81.6 74.1 50.5 171293 436.8 21 449.1 43029.8 703.6 2787.6 106.1 32.3 1314.2 68435.4 1563.5 949.6 1572.2 86.9 570.6 90.3 513.2 409.5 69304.1 156526.8 20.8 76182 3079.6 1786.4 305.2 50.5 5362.4 1254.8 61253.5 41161 47169.6 10379.9 492.9 1616.4 48654.2 400.6
13428.5 23199.4 496.4 31682.6 731.6 3510.1 824.5 77486.1 24069.8 2953.4 59738.1 26390.9 8444.3 13227.8 84479.4 30094.1 17435.2 34227.6 20979.2 30850.7 35731.7 36090 38722.6 43958.5 30183.1 1070 6746.9 30491.8 264.5 27838.9 6574.7 713.6 20387 2709.9 35734.3 5463.8 519.9 11728.8 35382.3 6570.1 31910.9 36948.5 42989.5 26212.4 839.9 23354.4 79665.9 539.2 653.6 636.9 1965.8 412.1 472.2 16980.8 627.8 1875.7 56098.8 34389.4 42890.9 25685.1 28164.8 20107.6 553.6 486.6 438.4 524.6 236.9 811.5 39513.5 17878 655.1 39069.7 35413.3 17457.6 2487.1 2942.2 300.2 72.9 5017.8 38352 17001.7 270.8 975.5 63300.4 6262 15151.9 19780.2 48885.6 38995.2 36749.6 4736 3007.7 1149 14265.4 40684.1 8398.3 113.9 170.9 21246.6 4595.9 942.9 1157.6 375.8 155.3 17655.4 35740.2 484.7 217.9 385.2 121528.3 4035.1 40094.4 747.1 391.3 456.8 241 269.2 400.7 207 240.9 189121.4 1794.1 386.6 729.4 32123.5 2951.9 7149.9 380.6 228.3 2984.1 57457.3 5388.3 2702.5 2224.1 344 244.3 271 1211.4 284.5 50972.5 196495.4 369.9 62491.1 16403.4 5651.6 1520.7 597.6 20226.5 3411.7 50446.6 29266.4 35741.9 27332.8 291.4 992.5 39776.2 645.8
62230.8 85943.1 57507 73216.8 45323.2 48098.9 41174.5 120186.5 80118.5 54686.2 104271.1 49782.9 76513.8 52777.5 170833 31407.2 43482.9 40023.7 36204.3 59814.3 70190.5 41427.8 56081.6 74676.3 47925.6 55379.1 54530.6 32100.9 35469.3 43336.7 45410.7 57022.9 76198.8 45483.4 50643.1 38499.2 32678.9 78942.4 59149.8 66850.3 37198.7 39849.8 71517 35619.6 25830 49822.7 39583.7 35598.1 83033.2 63323.6 53961.4 49325.8 34937.7 53154.5 29609.4 41497.4 65616.1 43167.8 93980.7 39575 44336.2 36529.5 29494.8 24169.1 20192.7 21588.1 24728.8 33972 38885.9 31759.9 20863.3 39519.4 55666.6 27670.3 19525.5 18251 34164.7 90147.1 30133.3 42131.1 47550.1 32901.5 44739.9 56392 39149.1 87557.2 56156.3 53287.3 42679.3 48262 99926 47793.7 110502.7 43455.6 43624.1 69793.5 50627.8 33199.7 38695.8 48019.3 33760.8 44911.5 57971.3 73815.6 59356.3 42383.4 41238.2 24729 36487.4 157762.8 36565.9 40330.3 39501.7 50118.1 41810.3 26862 18254.5 36152.3 36474.7 25410.7 186630.7 41330 25642.2 24285.5 39591.5 41935.7 28169.3 32311.7 43618.7 25488.9 57374.2 47582.3 45121.7 27020.6 42081.7 49126.1 49722.4 27043.7 43125.1 48666 182578.3 31146.9 64176.3 64747.2 78191.4 35518.3 32339.3 66511.8 47813.1 59625.4 33976.9 40328.5 65018.9 27985.5 21958.6 52079.7 33297.9
