"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128"
0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0
6.08 7.1082 5.9197 9.2409 12.0646 12.5187 8.2705 6.4265 7.4612 7.5744 13.3228 6.3005 10.6322 5.7297 6.0221 5.844 9.3466 10.0135 6.0222 9.503 10.2014 12.5643 5.6349 6.3075 7.5129 9.6907 11.4605 11.4273 9.9363 6.0204 7.2804 8.6484 6.6126 9.5158 7.6822 7.4911 9.7743 10.54 6.7081 6.953 6.4606 6.1692 13.3228 10.7089 9.2179 7.7906 6.3173 5.9852 12.8438 6.333 6.4423 9.3025 5.9705 12.5643 5.6514 5.6552 5.9254 13.3228 6.0318 11.8297 12.7547 6.0146 11.0154 8.727 7.228 6.9077 6.9639 7.1698 7.2884 5.9733 6.3736 6.8213 5.4806 5.8689 6.0248 13.3228 5.9556 12.6141 11.9082 6.5443 9.6436 13.0384 6.629 6.7091 13.1344 7.5366 5.874 8.5143 13.3228 9.8713 12.4229 5.9707 8.0581 12.1225 10.0649 8.361 5.4046 12.2338 5.7942 11.7528 7.0734 10.2061 5.6635 5.9736 11.321 5.6608 5.9333 9.0542 5.693 10.5229 7.6473 13.3228 11.321 6.4053 8.3199 5.7471 6.0903 6.7281 6.2488 5.7153 5.8265 6.0303 5.731 9.2645 11.8297 6.307 11.3502 6.0303
8.5812 12.3094 12.4229 8.3232 13.3228 7.2487 8.2462 7.2654 7.0347 10.9008 7.9228 8.3768 9.0435 13.3228 8.5503 6.0762 9.7922 8.905 12.7547 11.5455 7.713 6.0291 6.0525 8.1522 11.7248 11.4383 9.8904 7.8198 10.718 13.0384 13.1344 13.0384 12.3368 7.5642 11.3401 6.6339 8.4261 12.5643 9.1869 5.9314 5.9016 10.6874 9.1122 6.3419 8.6787 13.3228 5.934 10.1439 9.6738 13.3228 12.1455 13.0384 12.7035 9.1733 6.723 6.4279 7.3032 5.8862 6.0771 5.9674 5.9988 6.0619 13.1344 7.018 11.7994 5.9564 8.1137 7.3102 6.6012 7.4574 11.8454 5.8901 5.8957 10.2407 6.8587 6.2927 7.618 12.2827 11.5455 8.8246 8.9562 13.3228 6.336 6.8367 13.3228 6.6985 7.9891 7.1446 5.8627 8.0719 13.0384 7.7618 8.5682 5.8196 9.7995 13.1344 10.976 6.1068 5.9292 9.0095 8.2451 6.7463 8.729 5.7526 10.8233 11.9233 5.8775 6.5643 7.3793 6.9906 9.1925 8.0986 9.2558 6.4375 5.9392 5.9889 6.2233 9.2841 7.1209 6.4022 9.2715 5.8268 6.007 9.1895 12.5187 11.9744 11.9744 10.8026
10.4359 11.8632 12.6141 9.7472 12.5643 8.2233 9.7472 8.9293 7.8277 12.1225 9.2526 9.5379 10.7826 11.8937 9.581 6.9046 10.2446 9.966 12.2572 12.3368 8.5353 5.6715 6.6248 10.1605 12.9333 12.3908 12.3094 9.9569 11.509 12.0281 12.6141 12.488 12.045 8.5869 10.6874 5.9476 9.7907 11.7397 9.503 5.988 5.7159 11.2805 11.4071 6.8476 9.5473 12.9333 5.8831 12.211 11.641 12.9333 12.3644 11.9371 13.1344 10.3738 7.4574 7.8734 7.3354 6.4965 5.7966 5.7887 5.7719 6.7305 12.1225 9.2142 10.6378 5.8784 10.54 8.9057 8.3803 10.197 12.5643 5.9865 5.9076 10.916 8.4376 8.8956 8.2223 12.7035 11.1299 10.083 10.54 12.488 7.6151 6.9377 12.6567 6.0848 9.1707 8.0088 5.6283 7.1704 11.7397 9.2105 8.8465 5.9475 10.7952 12.9333 11.45 6.2797 6.1695 9.3214 10.4675 7.3576 8.5175 5.6415 11.3948 11.7679 5.7912 7.8625 9.1622 8.045 11.0301 8.637 10.4359 6.7849 5.7287 5.9609 6.1459 9.2949 8.283 6.1434 8.5741 5.6691 5.6925 9.0291 11.3401 11.3948 12.3644 11.991
10.3738 9.3367 9.7036 7.1663 9.8938 5.7025 5.9372 6.2061 6.0887 9.0074 10.3181 6.1482 7.1123 11.475 9.5495 8.5837 9.6968 10.5461 9.4231 6.051 8.3898 6.0957 5.9583 7.398 13.3228 6.7856 6.1689 8.2426 8.2762 12.6567 11.6162 7.8897 7.7027 5.8159 10.3825 5.8559 10.2234 9.4053 10.5872 7.6979 5.8192 10.7573 6.1177 7.0025 9.0634 10.4038 11.7679 6.1267 6.2887 6.9582 11.5209 8.0522 11.6805 12.3094 6.7923 6.2211 7.9286 5.7827 6.4136 7.9437 6.9964 6.1192 8.0592 7.9402 7.1479 5.9166 6.4926 8.7771 5.8372 5.8875 8.3192 5.8285 8.433 6.7783 10.236 7.1755 12.045 11.3006 8.7339 12.0086 9.3984 12.3644 8.8788 11.7094 11.1202 6.1228 12.1894 10.1394 5.976 10.5929 6.6643 6.8451 6.5208 6.2015 9.3896 10.4266 10.5701 6.641 5.7018 10.7375 8.9581 7.6253 7.153 6.1784 8.2469 10.6874 5.8973 6.1399 9.6945 6.0705 10.7305 6.7765 12.0646 9.5124 13.3228 6.0568 12.3094 11.8454 11.3006 8.4887 9.0251 5.9458 5.9811 6.244 10.9599 9.0611 9.9199 10.054
6.411 10.5339 10.6559 8.1686 12.6141 12.488 12.1455 6.4938 6.9244 6.8076 11.2595 5.631 7.1374 13.0384 7.6774 7.8962 8.3008 10.1199 10.1199 7.8176 9.9858 8.9727 7.0608 6.9923 10.9008 7.3325 7.8673 11.9744 10.2991 5.6338 8.0113 7.2077 8.6055 10.5174 6.3963 7.1049 8.2719 7.4954 11.7679 5.6922 8.9086 9.661 11.8454 6.0571 8.7586 10.5286 5.6703 5.8038 7.2337 10.4456 8.211 11.5918 8.5538 12.5187 7.9296 6.7996 6.6501 11.5573 7.6379 8.1711 12.9333 6.95 8.8763 8.6656 6.2028 6.6808 7.0519 7.2546 7.522 6.7714 12.4577 10.8305 8.5581 8.2867 8.981 9.8079 9.2878 7.518 9.3763 7.5889 10.9008 11.7679 9.0481 11.1745 11.3948 11.641 6.3268 8.9165 10.2188 10.6502 10.2814 5.6318 11.991 9.8307 8.1277 8.1968 5.7739 11.5455 7.4987 7.6487 7.8887 7.7969 12.3908 6.0083 12.7547 6.9489 12.7035 12.5643 9.3347 13.1344 7.2726 11.0381 8.5765 8.4504 6.6615 5.6875 6.4695 7.6748 5.7673 9.4118 6.5814 7.811 5.9633 6.0591 10.0069 6.361 10.8856 7.4805
6.4701 10.0388 9.8079 10.3825 11.604 11.7528 8.0242 10.6502 11.8937 10.7058 8.8679 10.1275 9.731 9.8139 6.8654 6.0009 11.1927 9.4097 8.2506 8.7725 8.0367 10.2582 5.7503 6.4276 9.1187 8.7131 7.9692 11.3625 8.2853 5.9082 10.6812 8.9976 8.353 7.6916 9.8804 5.7755 11.2014 11.0956 10.2493 5.6986 5.8225 7.9415 11.0223 7.6019 12.6141 12.4229 6.007 10.9929 9.4707 12.6141 8.3707 11.7679 7.5428 11.7094 7.9921 11.7094 5.93 11.4605 5.5685 10.4885 11.6534 5.7157 8.4347 7.7594 6.6074 5.4746 7.7895 9.7472 7.2453 6.4834 11.604 5.7346 6.6172 7.7011 7.3434 9.2327 10.1516 6.5443 11.0795 7.9514 12.1672 10.2014 9.462 10.1806 10.7058 5.8871 8.8594 10.1355 12.1894 9.7179 11.45 6.2359 11.3502 6.1805 10.2582 9.4137 9.3644 9.9429 5.8548 11.8297 6.9153 10.0794 10.4995 6.0119 11.9371 11.9549 7.4622 10.5461 6.4133 10.2102 5.7706 7.1365 8.8907 10.54 8.2442 7.3707 10.627 7.4638 6.2232 8.5277 6.4444 5.8587 5.7214 8.8516 12.3094 6.0105 7.1406 9.97
5.6857 5.6615 10.0908 5.695 5.6796 9.8256 8.8232 5.5832 5.6968 5.6513 9.268 5.6383 5.5973 8.8842 5.4384 9.3503 11.1399 5.6593 5.777 5.683 5.7212 5.8755 8.9633 5.7628 9.6046 5.8214 9.1682 5.7387 5.5938 5.6301 5.6451 5.7659 9.3914 5.8233 9.7364 9.0222 5.6275 8.0611 5.6399 5.6922 5.7034 5.4144 5.7875 5.5141 9.0512 9.9858 5.7768 8.9319 10.4359 9.5006 5.7709 9.9135 8.1845 8.892 5.5983 5.595 5.7385 5.7875 8.4553 5.7045 5.6723 7.772 9.2949 10.4169 5.4981 5.6142 9.0912 5.7881 5.5818 8.9867 9.5831 5.5953 5.8661 9.006 5.7439 5.7781 8.8115 8.1735 9.963 5.5083 9.2463 5.4924 8.4726 5.7682 5.6275 10.6618 8.7771 5.6246 10.0001 9.5831 5.4713 9.1903 5.5975 5.4787 5.6655 8.6388 5.4971 5.4231 5.396 5.5768 10.1394 5.6904 9.2516 5.5377 5.7093 5.7705 9.3214 8.1672 9.0291 8.7301 9.2558 5.5858 5.5369 5.4381 5.7033 10.0812 8.0142 5.5304 5.8128 5.6429 5.6365 11.0154 8.1743 9.545 5.8255 5.7074 9.5355 8.4621
8.2486 5.7668 6.0322 5.7073 5.5046 5.7504 5.5997 5.3962 5.5448 5.7488 7.1403 5.692 5.7317 6.7975 12.1672 6.8198 10.1684 8.9976 5.9833 5.632 5.7689 5.7308 6.4044 6.0383 5.9937 10.718 5.8029 5.9457 5.6844 10.3915 5.6346 5.6963 7.7454 6.0068 6.0232 5.8413 10.9599 5.757 9.8713 7.6587 5.829 5.8676 5.852 5.7102 5.7673 7.714 7.4727 5.6875 5.5949 5.7268 5.5579 7.7844 5.865 6.2816 12.211 5.8097 11.9082 5.5475 10.5174 5.4809 11.475 5.733 7.1117 5.6889 8.367 5.761 6.9115 5.6758 5.941 5.7314 9.2197 6.016 10.9086 5.7056 5.7617 8.1035 5.8542 6.6055 5.9341 5.6551 5.7885 6.0391 5.883 6.2517 5.7476 5.8906 5.6155 6.2032 5.8202 5.7647 6.3675 5.6447 6.6604 5.4955 7.5039 5.8575 6.4473 5.9438 5.6146 5.8894 10.4774 6.0572 8.4092 5.5357 5.7009 10.3694 5.8509 5.4949 5.8454 5.8991 10.8931 6.8376 7.1495 5.9488 5.7148 5.4947 12.9333 5.778 5.8719 5.3147 12.7547 5.5831 6.0169 5.6311 6.0966 6.1152 5.5939 5.8826
9.3484 10.2234 6.1929 8.4984 9.0834 5.6552 5.7777 5.8565 8.8679 10.054 6.0349 8.5543 9.5518 9.0207 9.8256 5.775 5.8205 9.97 9.6409 5.9061 10.9855 5.8815 5.6199 9.3662 5.9603 9.3327 5.8494 5.7001 10.9236 9.8339 8.6365 5.9744 5.8925 10.4995 8.8969 9.6994 9.731 8.5147 5.9376 7.5171 10.6322 9.4036 5.7956 10.0908 8.9152 6.2668 6.4442 8.5901 10.7952 9.3292 9.0333 10.1355 7.8291 5.6118 5.8132 5.7404 5.9576 5.7972 5.9048 11.0223 6.02 8.175 5.9567 5.7235 9.9963 8.9523 5.8514 9.2663 10.3202 5.9009 6.2404 8.7626 9.3622 5.7534 9.4146 8.7735 5.8408 8.4067 5.8246 9.2593 9.6582 9.1997 5.7841 5.9646 8.3487 5.7527 8.8828 9.2424 10.0313 10.0239 10.5525 9.8748 5.8846 9.6436 9.3025 5.9117 8.2683 5.8137 9.5379 9.3817 9.593 9.4795 5.8114 9.0074 10.6378 9.5741 5.8448 8.9396 9.0074 9.0634 5.8435 5.6646 8.2133 9.3255 9.6763 5.724 8.2106 8.7087 5.7388 9.5267 5.647 5.7519 9.3779 5.9103 5.8637 9.5222 5.6986 5.8688
