"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58"
1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0
2.339548 0.91859 2.601748 0.469374 0.75709 11.65776 0.306058 0.874174 5.755495 0.628505 1.372905 0.973779 1.787735 1.332511 1.8163 2.676721 3.023916 4.782464 0.850525 3.310955 2.239258 1.89528 1.521544 1.491365 9.47887 17.54241 6.166528 8.50686 10.53085 11.78663 4.340137 9.332896 9.596379 1.331543 6.807532 8.522488 12.29331 1.049998 12.21589 10.50499 1.236212 1.393202 2.023088 9.291053 6.525185 4.385011 6.855668 84.62678 68.00093 99.44244 308.6544 122.5823 370.5397 35.51003 30.72126 204.6528 241.9641 53.57364
6.32798 4.211003 13.2977 4.801245 3.920775 9.558733 8.602968 3.35991 14.7686 2.660646 3.022973 25.35958 12.41922 4.804346 1.710855 3.290074 11.85296 24.74166 2.665595 13.00415 23.38474 17.15338 15.69967 7.21249 27.35013 23.70597 11.72767 4.328253 19.93196 11.52847 19.00065 6.019212 12.20292 12.92308 4.259193 8.333157 13.29135 20.48546 12.70213 6.82402 9.641523 10.27138 5.636137 7.833575 8.032581 5.685577 12.43585 53.2606 40.37881 95.27435 189.5296 96.93376 304.5049 63.92871 21.14714 108.1534 98.77303 43.85872
1.699024 4.11913 6.032709 2.77756 0.995482 4.111287 3.541963 2.377605 3.274655 5.22237 0.922141 32.27527 4.039039 5.036868 1.642939 1.405116 3.959991 8.780447 2.555914 29.415 18.66927 15.44508 3.971758 2.35052 7.910598 9.647205 4.060135 4.621864 4.931255 19.37278 60.82975 3.794798 5.158682 8.769299 2.627859 4.374352 2.250048 2.029393 3.185787 4.015362 10.23908 17.58413 1.348901 12.96958 6.872245 3.83004 11.98214 67.26108 81.22257 324.3934 8.54752 59.28718 4.075412 108.4884 1.183607 70.24662 61.76662 55.06092
4.974797 5.311059 8.604016 5.811229 5.177421 5.20296 7.526494 1.37354 8.582581 1.985761 1.628755 33.38076 16.55268 5.843428 2.411558 2.850105 16.65557 22.90319 3.109775 12.63693 27.85081 15.41988 16.78778 7.240886 10.49609 19.49573 11.66594 5.586528 18.01567 9.40323 41.73449 5.788615 12.7635 10.80886 5.779593 10.94153 10.78145 17.9372 6.709044 11.55108 13.43419 15.3608 6.406888 12.65838 6.90966 6.833339 20.70521 47.83745 50.08242 133.97 156.6786 46.0555 261.7949 63.9024 24.8119 122.1992 120.9706 54.25467
3.373467 6.34274 7.630818 4.707071 1.236993 15.42038 5.653639 6.581818 13.84451 3.123905 1.507566 28.32431 3.680974 1.351499 3.844747 3.111397 14.55094 29.89129 2.110894 10.03689 19.93253 10.19909 7.144824 2.020917 23.25978 28.70905 12.76116 9.283725 5.149428 4.128711 4.390124 9.787363 8.246525 3.298614 5.867158 4.581 18.6226 15.782 14.02863 9.746358 22.84954 24.20691 2.06358 11.61628 4.47644 1.896883 4.169909 25.76299 32.81821 202.9373 118.7674 3.122428 80.63207 65.00015 9.107194 223.8177 157.4949 28.79225
7.67553 10.34076 19.46534 10.04888 5.788301 22.39411 10.07517 6.370923 17.50294 6.951322 3.165451 40.52048 18.45148 3.260458 2.426195 6.608639 22.58742 31.14542 2.620145 33.80974 26.42223 14.42943 15.44891 5.615373 25.26293 32.06835 14.0143 12.61852 35.22897 17.35178 64.19956 20.44978 10.87568 8.975204 3.174009 13.2311 39.82183 16.96481 12.92213 12.93282 17.47923 29.96168 7.486146 10.23936 5.242903 6.544506 23.84703 71.64025 127.1106 151.73 163.4059 45.68175 104.8982 93.36114 25.74898 159.0373 84.45625 104.0816
3.047222 5.393898 21.75898 8.454139 1.783801 22.51586 6.800747 5.014722 13.71634 3.881034 2.019422 13.36514 11.51464 3.982853 3.34865 5.433462 26.05819 24.86671 1.409424 34.0303 25.03951 4.167068 6.74471 2.380897 23.26893 33.4178 6.790933 9.262631 24.48621 19.86604 17.68422 20.73296 9.551758 2.840115 6.44738 11.40142 53.25223 7.429759 23.67831 18.84712 8.781916 43.66086 4.072227 10.07547 6.044588 6.194237 27.95322 20.62156 13.61409 9.428191 79.97136 50.77181 288.7406 88.15491 12.65672 18.8167 37.27784 12.44967
4.592113 5.448913 8.584702 6.735198 4.724683 24.84731 5.96949 4.922922 19.66454 5.561872 2.954687 15.05921 12.51447 6.190728 4.376657 3.965343 8.087085 15.23535 2.124547 23.97979 7.300673 13.64734 15.16102 8.368499 23.29313 9.666527 9.315991 7.257635 10.03808 3.706679 20.94814 8.867 5.753339 8.536999 1.872057 8.214508 8.384954 6.467288 6.638305 6.995666 20.48216 38.09001 3.827729 9.162788 4.637028 4.207399 8.440365 81.80956 78.89042 156.4277 118.0215 47.9093 132.2879 83.0301 20.50535 118.0342 105.8947 68.91778
2.982208 5.497903 13.74477 8.025356 2.689171 16.55746 4.575568 1.157412 5.621751 0.626637 1.256075 8.586748 7.625141 1.636651 1.818846 1.295125 24.8523 18.42561 0.968132 26.93142 4.503808 3.71764 4.5179 2.085568 5.898214 17.04234 12.88268 10.23466 3.873971 3.887801 4.568231 15.81094 8.910653 5.979135 2.523328 4.54491 3.089412 3.747158 5.495689 8.153488 9.387807 9.285351 1.543701 9.508781 4.062304 2.125108 3.426836 7.592269 21.02106 53.49106 270.5889 2.884262 26.89022 13.74682 0.793788 18.11913 9.753207 4.957128
