"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.33 -3.431 -0.464 -4.147 0.159 -1.551 -2.332 -2.347 -3.877 -1.495 -3.297 -1.22 -0.766 -0.965 -1.94 -1.134 -3.029 -3.848 0.796 -0.653 -3.265 0.784 -0.546 0.936 1.374 -1.65 -1.291 -2.794 -1.535 1.585 0.74 -3.437 -2.878 -2.081 -1.24 -0.111 -3.506 0.563 -3.833 -2.154 0.95 -1.978 -1.839 -1.97 -0.619 -1.712 0.623 -2.76 0.299 -1.817 -4.11 -4.208 -4.247 -3.586 -1.864 -2.488 -3.056 0.955 -3.071
-1.708 -0.95 0.882 -0.336 1.52 -2.158 -0.178 -0.107 -0.284 0.959 -1.289 -2.645 -2.256 -0.987 1.891 -1.291 -1.382 0.638 -3.047 -1.646 -1.85 -2.812 -0.51 -1.837 1.54 -0.995 -1.267 0.282 -1.174 -0.965 1.125 -2.787 1.538 -1.38 -1.048 -1.756 -3.184 -2.456 -2.13 -1.311 1.12 -2.95 0.865 -0.748 1.266 -1.497 2.807 0.268 -2.088 -0.957 -3.442 -1.099 0.46 -0.852 -0.676 -3.141 -1.057 -1.796 1.286
-1.29 -2.567 -1.636 1.382 2.219 -2.554 -1.163 2.101 -2.082 2.982 -2.548 -2.175 -2.023 -0.455 -0.187 -0.839 -1.349 1.334 -2.825 0.428 -2.617 -0.872 -1.156 -2.043 -0.726 -0.538 -2.397 2.02 -2.077 -2.26 -1.295 -2.044 -2.084 -0.659 0.743 -2.131 -2.304 -2.427 -0.107 -2.525 0.232 -1.524 -0.843 -2.788 -2.267 -1.631 -1.57 -0.632 -0.201 0.685 -2.026 -0.984 -1.456 -2.669 -2.137 -2.007 -1.656 0.353 -1.352
1.201 -1.62 -1.027 -0.37 -0.241 -1.22 0.526 0.633 -1.071 0.22 -1.005 -1.227 -1.664 -0.185 1.911 -1.222 0.004 1.082 -0.894 1.521 -2.786 1.126 -0.375 0.599 1.397 0.181 -1.636 1.313 0.532 1.9 1.166 -2.024 -0.532 0.695 -0.137 0.697 -2.766 -3.679 -1.138 -3.146 1.931 -1.5 -0.329 -1.493 -1.061 -0.64 0.537 -0.276 -1.803 0.15 -2.43 0.305 -2.865 -0.394 0.045 0.077 -1.167 -1.868 2.454
-2.15 -1.122 -0.705 0.164 -0.796456912979027 -2.273 -1.311 -3.023 -0.693 -2.488 -3.264 0.491 -1.259 2.491 -0.858 -0.774 -0.101 -0.114 -1.741 -2.957 -1.56 -2.509 -2.047 -0.17 0.12 -1.325 -0.155 -2.404 -2.054 -0.307 0.257 0.457 -2.464 -2.666 -1.441 -1.434 -0.863 -2.929 -1.542 -2.895 -2.947 -1.09928009580428 -2.143 -0.83 -1.967 -1.947 -1.128 -2.089 -1.189 -1.325 -1.999 -2.611 3.897 -2.474 0.164 -2.855 -0.730852946407406 -0.504 -2.536
-2.121 -1.425 -0.348 -4.018 -4.093 -1.26242729051595 0.196 -2.063 -2.451 -2.669 -2.002 -1.587 -2.224 -2.544 -1.278 -0.82 -2.618 -2.275 -0.393 -1.826 -0.563 -1.43772331877646 -1.127 -0.181663562768705 1.038 0.212 -2.511 -1.33643760266549 -0.138 -2.40685189010855 -2.11158374896211 -2.419 -2.235 -1.418 -0.147 -2.354 -1.01337295595174 0.891 -3.256 -0.65 -2.344 -3.816 -0.0241883437153692 0.872 -0.236 -0.066 -2.075 -1.4002260878745 -0.702 -1.519 -3.709 -2.025 0.015 -3.387 -0.0321908231572165 -0.987 -0.548 -1.983 -2.292
1.59 0.596 -0.901 -0.394 0.538 1.258 0.133 1.506 -1.278 0.572 -1.438 0.752 1.419 2.494 0.971 1.188 -1.092 -0.166 -1.033 3.165 -0.413 -0.342 -0.463 1.297 2.123 1.922 0.039 -1.249 -0.013 -1.58 -1.442 -0.927 -0.76 0.071 1.782 -1.102 -0.114 1.924 -1.221 0.438 0.3 -1.085 1.451 1.118 1.444 -0.478 0.556 0.328 -0.967 -0.114 1.697 1.953 0.194 0.029 2.976 0.357 1.097 -1.08 -0.378
-0.06 0.456 1.565 -0.228 0.261 -0.128 -2.221 0.56 0.118 1.353 -1.399 -2.135 -1.338 -0.526 -0.732 -0.395 -0.033 -0.004 -1.376 1.791 -1.09 -0.163 -0.603 -1.33 0.415 -1.162 0.548 1.018 1.22 2.775 0.743 -2.497 -0.546 0.359 -0.543 -0.468 -2.489 -1.353 -1.422 -0.041 1.702 -1.75 -1.247 -1.852 -0.702 -0.524 0.747 -2.745 -0.63 0.164 -2.152 0.897 -0.993 -0.585 -1.183 -0.768 -0.125 -0.509 1.981
-1.427 -0.672 1.058 -2.07 -1.145 -2.482 -1.47 0.283 -0.52 0.486 -0.512 -2.093 -2.451 -1.542 -0.307 -0.288 -1.785 -1.42 -1.555 0.783 -0.334 -2.546 -1.345 -1.043 0.36 0.419 -1.375 0.499 -0.176 2.274 2.158 -1.683 -1.306 0.422 -0.329 -1.573 -2.345 -2.068 -2.277 -1.594 -2.107 -1.73 -1.783 -1.785 -1.728 -2.309 0.602 -1.971 -1.401 -0.982 -1.775 -2.108 -0.249 -1.726 1.056 -2.284 0.062 0.451 -2.077
