"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1.004 8.348 2.182 2.864 2.414 7.716 6.037 1.212 5.74 4.499 8.095 7.394 7.78 4.44 1.178 6.669 0.368 -0.312 5.019 0.968 0.646 7.437 3.939 7.424 5.174 8.709 6.652 5.241 2.312 1.643 8.289 2.549 0.465 0.681 7.012 0.565 8.175 0.554 5.354 5.33 1.391 0.586 9.724 0.685 0.313 1.504 2.398 0.021 1.266 2.427 5.531 0.818 -0.173 8.842 4.19 2.898 0.809 8.725 4.919 7.547
7.506 7.922 2.563 2.153 0.79 1.775 0.832 5.705 0.831 0.538 2.915 1.162 0.737 0.872 3.109 1.246 3.255 8.073 0.69 0.967 4.683 0.742 5.814 2.613 0.579 0.97 9.004 0.554 1.594 3.161 8.003 1.064 1.418 0.997 0.694 0.818 3.909 8.486 1.376 0.812 1.105 10.119 2.052 9.468 9.237 0.865 0.56 0.956 1.724 0.908 5.933 0.937 0.354 8.586 7.884 1.394 0.556 1.465 1.448 0.834
7.356 6.746 6.509 6.11 7.321 0.388 7.029 4.729 5.053 -1.578 6.245 7.112 -1.008 6.704 7.108 6.292 7.03 4.715 7.073 1.836 6.342 1.836 7.004 6.946 5.675 -0.036 -0.517 6.335 2.379 5.12 6.723 7.354 -1.582 0.42 5.474 7.216 6.741 6.838 6.78 5.8 6.08 4.489 -0.695 4.726 2.024 6.636 6.223 0.64 -0.621 2.753 -0.017 7.568 6.374 7.269 6.277 6.815 2.55 5.339 5.786 7.152
6.578 5.924 6.453 6.666 7.521 0.561 7.274 3.928 3.505 -0.924 3.068 5.711 -1.282 4.691 6.673 6.432 5.096 2.586 6.763 -0.112 4.702 1.288 6.746 7.2 5.7 -0.657 -0.762 5.329 1.61 4.253 6.918 5.338 -0.678 0.01 3.032 5.166 5.734 6.894 2.512 5.744 3.311 4.2 -1.544 2.889 1.31 4.424 5.465 -1.08 -0.574 -0.188 -0.472 6.879 3.659 5.511 6.16 6.376 -0.141 4.722 4.473 6.954
6.496 2.185 5.334 4.423 4.454 5.572 4.681 6.52 -1.731 6.181 4.912 1.852 -1.999 2.343 4.646 6.017 2.391 -0.005 6.817 -0.397 1.036 3.18 2.636 5.513 5.477 7.201 6.104 3.107 2.377 0.593 5.01 0.458 6.332 4.099 0.353 7.025 6.786 2.798 -0.662 1.694 -1.746 5.093 -1.507 7.641 3.058 4.433 6.907 6.76 6.528 6.848 0.605 1.807 2.721 1.979 6.494 1.025 -1.416 5.436 -0.343 6.14
-6.351 -5.753 -6.27 -6.377 -5.854 -6.59 -6.049 -1.179 -5.819 -1.528 -5.879 -0.672 -1.374 -1.443 -5.552 -6.168 0.057 -5.816 -5.694 -0.826 -5.955 -6.239 -1.091 0.218 -5.546 -5.872 -6.222 -1.336 -4.444 -1.462 0.683 -5.604 0.711 -0.429 -0.673 -5.71 -6.183 -0.309 0.218 -6.291 -6.081 -6.032 -1.003 -0.507 -6.162 -5.509 -0.598 -0.454 -5.67 -6.158 0.863 -6.248 -0.983 -6.246 0.126 -1.052 -6.04 -6.373 0.83 -6.069
0.125 6.9 1.058 1.619 0.561 6.416 3.945 -0.025 2.444 1.888 5.262 4.804 4.973 1.673 0.458 4.56 0.047 0.245 2.433 0.248 0.071 5.726 1.13 5.009 2.133 8.626 5.201 1.973 0.682 0.409 7.723 0.29 0.028 0.009 4.237 -0.128 7.782 -0.137 1.329 2.884 0.132 0.106 9.496 0.039 0.101 0.444 0.977 -0.044 0.332 0.321 3.328 -0.1 -0.071 6.55 1.158 0.593 -0.124 6.834 2.638 7.571
4.997 3.006 5.237 4.012 0.827 2.777 1.267 0.626 4.33 -0.605 4.974 5.596 -2.147 3.939 5.445 4.862 2.639 5.267 1.48 4.181 5.242 4.553 3.849 4.507 7.398 0.96 2.459 4.349 -0.795 4.388 2.347 0.848 8.977 4.715 8.218 4.901 6.532 5.105 6.583 2.931 5.049 6.094 -0.662 8.404 7.981 -0.962 4.375 4.934 3.485 2.453 2.297 2.248 -0.409 4.051 7.607 3.421 -3.569 5.626 -0.873 1.112
2.369 5.634 5.869 2.999 6.198 7.548 7.919 4.946 3.027 3.026 0.559 2.209 4.092 4.981 0.513 2.622 2.663 0.144 6.277 8.022 1.553 2.887 1.062 -0.312 -0.067 6.782 7.67 3.594 1.041 1.077 4.536 7.925 0.142 -0.48 3.328 -0.07 7.133 -0.388 0.13 3.333 0.396 1.522 4.454 -0.406 -0.444 -0.19 7.761 0.836 6.596 3.276 5.719 0.971 2.656 4.07 0.827 0.019 4.597 2.837 3.887 0.841
2.14 2.807 1.877 1.925 -1.88 -3.114 3.885 -3.377 1.867 1.736 -4.718 1.686 4.406 -0.963 -2.653 2.261 1.341 -4.403 -2.691 -3.198 -1.961 0.968 -2.308 2.253 3.096 2.293 -2.881 2.204 -2.101 -0.768 -1.349 2.537 -4.003 -2.46 3.334 2.656 -0.532 -4.419 -1.599 -1.072 -1.724 -0.933 -4.366 -2.477 -4.444 -3.667 2.212 -3.98 -2.858 -1.75 1.327 -1.698 2.344 1.55 -2.651 -0.791 -4.58 1.264 -0.362 1.012
-1.099 5.249 0.519 2.373 0.565 2.67 6.237 0.036 3.421 2.66 6.01 5.496 3.21 0.051 3.882 1.124 1.124 -2.543 -0.91 1.89 3.111 2.59 6.119 1.993 4.748 6.019 7.036 -0.466 3.535 2.98 1.437 5.879 -2.365 2.586 5.633 -2.348 5.122 -0.137 2.27 3.174 4.054 0.46 6.364 1.934 1.302 -2.422 3.185 2.138 3.927 -1.21 5.409 4.287 -0.236 6.261 1.225 0.086 4.965 5.251 4.216 5.63
-3.251 -2.505 -2.333 -2.197 -2.111 -3.404 -3.066 -2.015 2.91 -3.128 -1.31 1.943 -3.241 -2.362 -0.788 -1.475 -2.573 -2.671 -2.446 -2.222 -2.18 -2.146 -2.841 -2.152 2.491 -3.021 -1.384 -2.262 2.77 -1.87 -1.058 -1.925 5.364 -3.642 -1.629 3.185 0.092 4.242 -2.849 -3.56 -3.229 -2.654 4.938 3.462 4.69 -2.492 -2.954 4.784 1.401 0.34 -2.357 2.504 -2.504 -2.783 0.956 -2.68 -2.889 -2.383 -2.648 0.321
4.126 -2.531 -3.223 -1.656 1.369 2.101 -0.945 -2.999 -0.271 -0.262 1.851 1.247 -3.214 -2.771 -0.475 -2.681 -0.764 -2.685 -2.257 -1.288 1.205 -0.821 -1.377 -0.977 -1.866 -0.494 -2.113 -3.385 -2.937 -0.151 -1.333 -3.272 0.753 -1.141 -1.129 -2.337 -2.246 8.998 1.179 0.991 -1.099 -2.884 -3.757 5.696 4.879 -0.536 -1.057 2.671 -1.092 1.828 -2.76 -2.655 -3.317 -3.135 4.675 0.406 -1.364 -2.303 -1.897 -3.301
-0.646 -3.769 0.478 -2.531 1.047 1.417 -1.326 -2.791 -4.394 -3.453 3.78 -0.23 -3.014 2.706 0.51 -0.18 3.202 -3.867 -3.355 -0.138 2.878 2.128 -0.197 1.162 -0.907 -4.267 -1.833 4.309 -3.522 1.73 1.672 -1.969 -3.841 -1.734 -2.845 -2.409 -1.377 -2.17 -4.085 3.032 -3.398 -2.642 3.762 -0.348 -3.987 3.133 -3.636 0.278 -3.434 1.02 -3.268 3.106 -3.313 -1.145 1.437 -1.862 -3.52 -0.075 -3.155 -1.815
-2.374 -2.067 2.596 1.455 5.809 -1.358 4.686 3.21 -2.454 -0.917 -0.379 -2.198 -2.217 1.781 4.276 0.552 2.526 -0.539 -1.854 -0.561 2.279 -0.338 2.205 -2.019 1.104 4.642 -1.07 4.01 -0.555 -1.671 0.103 -0.504 -1.677 -2.861 -2.736 -1.951 -1.924 -1.883 -2.634 -0.675 4.99 -1.599 -0.235 1.104 -2.737 6.263 -0.678 -1.243 -0.954 2.633 4.215 1.837 -2.299 -1.412 -1.393 2.622 -1.93 1.25 -2.73 2.503
1.961 -1.575 4.123 1.158 4.039 3.708 4.293 -0.185 4.086 3.665 2.908 2.399 4.435 1.96 2.622 2.738 1.985 -3.511 4.04 3.017 0.934 2.978 2.712 2.53 4.239 4.168 3.685 -1.982 -0.187 1.287 2.822 3.109 -3.197 3.69 0.265 -2.038 -1.818 -0.637 3.52 -2.531 4.112 2.169 1.158 -3.886 -3.35 0.967 3.95 0.607 4.717 4.299 4.232 3.347 2.232 -3.624 0.591 -2.269 2.379 3.654 3.581 3.763
-2.893 1.712 -4.491 -4.278 -2.687 -5.31 2.715 -5.425 -6.056 -6.182 -5.69 -2.872 -6.046 -1.944 1.579 -3.61 -5.399 -5.596 -5.606 1.128 -5.033 -2.261 -4.55 -3.521 -5.448 -5.356 -5.746 -5.855 -6.351 -5.087 1.056 -5.845 -5.201 -3.113 -2.296 -6.608 -6.001 -5.697 -5.285 -6.528 -5.984 -2.307 -5.53 -5.344 -5.175 -0.836 -5.651 -3.748 -2.443 0.209 -1.586 -0.786 -5.539 1.807 -5.338 -2.991 -6.138 -5.195 -5.375 -6.023
1.943 6.566 3.722 5.301 3.27 3.981 2.79 0.569 1.288 -1.613 6.744 -1.111 -1.253 2.347 2.209 2.961 3.179 -1.458 6.841 1.77 3.514 0.321 5.407 6.51 0.102 6.025 3.979 1.747 2.156 3.055 1.928 -0.169 -0.987 1.474 -0.315 1.44 1.03 3.068 5.474 3.054 0.436 4.299 -1.955 0.285 2.959 1.914 2.987 -1.043 3.889 4.616 2.284 5.164 -1.778 6.809 5.297 2.133 2.359 2.008 7.02 -0.686
1.29 1.502 1.603 -4.413 1.614 -0.836 1.212 -3.691 1.301 -4.118 1.67 -3.47 -1.516 -0.471 -3.346 -3.711 1.901 -3.776 1.83 1.205 1.931 0.825 2.376 -4.026 -0.067 1.446 1.887 2.384 1.942 -4.018 -1.316 2.328 -4.389 2.22 1.16 1.495 1.862 0.636 2.295 1.804 0.289 -3.636 1.09 1.9 1.98 1.695 1.842 -3.864 1.941 1.208 1.877 1.293 1.282 2.116 -3.929 -3.701 -3.88 2.001 1.471 -2.06
