"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68"
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 1
51639 42957.1 48928.8 40329.4 44884.6 38385.9 38519.2 32115.9 39602.6 51034.5 31598.9 38907.8 34390.1 34750 48968.9 36594.6 42957.3 50525.6 74725.7 48632.5 34706 41130.1 36455.3 44049.5 53543 45175.1 37507.8 35974.8 40754.6 52234.9 50791.6 40315 38732.1 32400.3 38347.5 37050.7 38941.3 28825.7 40800.5 45495 52986.5 45108.3 27259.7 32277.1 43330.2 37615.6 74732.7 35791.1 56726.2 44366.9 36332.7 35160.3 52872.9 29934.3 38855.3 47753.1 201551.9 42189.2 64520.5 87380.6 38850.9 38630.6 13127.9 45753.1 24778.3 33593 56611.1 41208.6
37403.8 37930.5 40092.5 34064.9 35681.8 30038.4 33198.9 23967.3 33595.4 39996 28123.3 29862.4 28814.6 28922.7 38546.1 27755.9 31631.7 39918.6 59361.7 38109.3 29536.2 31640.1 28778.8 36718.3 40712 36107.3 31169 29242.6 36560.1 40582.5 41125.7 33078.9 30052.9 27242.8 32938.5 31235.5 30934.6 23413.3 33863 38179.3 34896.3 42452.9 21478.4 26976.4 36499 26033.2 57275.5 30508.9 49632.6 32339.3 28586.4 25614.9 44433.1 23632.7 30379.8 40620.1 188574 36719.4 55546.9 69019.7 34902.6 42069.3 14173.1 49882.4 25791.4 28574 50971.9 38992.9
43531.6 49056.4 47746.3 7901.4 17514.3 31622.9 22374.9 560.2 2654.7 562.8 23970.3 12135.2 6508 17836.9 26341.2 245.2 27377.5 762 28.3 3389.9 20006.5 11414.3 561.8 20467.5 5205.9 57559.9 23002.8 34661.7 61573.6 10693.6 11315.1 7291.5 31830.2 7102.4 3968.1 7247.6 24754.6 2894.7 22721.1 30694.7 43990.6 16197.3 4126.4 45290 47228.5 78118 49185.1 26139.9 1522.7 4213.4 10207.9 25461.9 8885.9 6389.1 50224.8 33563.6 4367.8 29402.9 81176.2 52596.8 51901.3 1574.6 27989.8 46442.8 13003.2 29757.5 38503.7 66940.9
52671.2 41095.6 39938.1 36087.9 39742.8 32104.8 36464.7 28369.2 39109.3 49471.1 34037.8 37889.4 37661.2 36045.9 42572 31843.4 40012.9 40566.9 56277 41484.5 30672.3 33463.6 34037.1 40345.2 47231.6 76155.4 41874.2 39708.2 44221 54489.2 54851.4 44219.2 37594.2 37181.1 44104.5 41440.9 44670.7 43819.6 50410.3 48952.9 52017.5 54712.8 31381.7 37724.4 41595.3 52212.3 68234.9 43407.2 56955.5 44913.5 35711.2 34553.1 62454 35304.1 43209.9 40554.1 190770.4 46853.1 57414.2 53740.2 36988.8 47850.6 21500.2 56254.9 29320.8 33031 50903.6 47546.4
41209.4 42813.3 40392 8485.6 22409.6 27584.4 25318.2 1092.4 4340.9 2314.9 32067.7 24918.3 9167.2 29895.4 34843.2 722.4 31818.1 664.6 221.5 6303.1 27244.8 14422.6 1630.4 28097.5 8444.1 49423.1 37120.4 41736.7 60402.4 21175.2 22746.5 9195.4 35419 15474.1 17191 36081.1 29281 8198.1 28209.9 40524.8 52430.1 55935.1 5587 34120.4 42753.4 62266.9 42826.8 29432.4 2709 25092.9 21778.9 22431 36905.5 14929.3 42001.2 35687.8 45147.5 39049.8 68571.6 55149.1 41276 3498.6 21784.8 49236.2 14665.8 33488.1 40684.7 55592.1
39355 38101.7 42298.8 7782.9 21386.9 27821.5 22926.3 991.8 4040.3 2039.6 30328.3 22787.8 8093.6 28959.1 33529.2 655.9 29086.3 646.2 77.2 5403.9 26328.9 14999.9 1483.2 24564 7360.9 52797.3 31740.5 38613.5 61357.5 20868.6 19571.2 7621 33517.9 15506 15248 35930.2 30213.5 8397.4 26426.4 36279.9 48234.5 50409.3 5039.8 32354.4 41689 65990.3 44015.2 26632.5 2309.9 22682.7 19460.6 24224.2 31737.1 12959 39415.5 33332.7 44491.6 40292.8 66523.1 52257.4 45366.9 3198 20766.1 48287.5 12413.5 32921.1 39316.9 53857.3
42493.3 46411.7 36990.7 30257.2 36072.9 28706.5 31294.8 27374.8 31401 37461.7 27349.4 33689.6 33333.8 36358.1 41705 28626.3 38698.1 42891.1 42955.3 44764.2 28114.2 31264.6 30315.8 38819.1 35022.8 47710.1 42194.8 38512.3 45797.3 64666.7 62995.7 45919.4 43445.5 35900.5 41677.9 42759.7 30314.4 40372.6 51824.3 32643.5 47249.8 63473.7 24582.6 36523.7 29083 50989.9 56227.6 46537.7 49720.6 42213.4 38675.8 30916.7 55914.8 32774.2 42454 40020.1 145077.2 47900.9 64477.3 65112.5 40374.6 45351 23710.4 48068.7 26293.7 30997.2 42785.7 46721.1
21655.2 31049.9 54592.7 2522.5 12551.6 32268.2 13761 360.9 1337.6 974.3 24855.9 12212.4 2304.7 20916.1 12747.3 231.3 25840.4 194.2 121.1 5486.4 15573.8 15979.3 369.7 13683.9 2939.1 12583.6 12806 31706.1 41672.9 2346.2 1569.3 1552.2 17249.4 4315 2614.4 31014.6 15179.3 1653.6 4098.2 14319 38894.8 26452.9 1471.8 34822.9 36064.1 42296.2 20195.2 5963.6 1053.4 3936.4 5251.1 18806.6 10236.4 1787.8 15306.5 19548.7 7405.7 7066.7 61392.8 24751 15760.7 685.2 26854.6 33280.4 3122.9 30452.5 12500.9 78235.2
34256.7 33634.9 34199.9 28260 27877.3 24386.4 27429.6 18515.7 25777 32925.5 22855.7 23350 24575.4 26423.9 33025.5 26425.5 27644.3 33824.3 49201.9 32153.2 25428.3 26999.6 25946.9 29716.2 35247.2 25036.7 24829.1 22303.1 31825.8 37683.1 34064 26887.3 27982.6 21057.4 29169.4 25320.8 23333.5 19740.6 30976.2 30226 26415.7 32646.4 17641.1 21817.5 29667.1 18304.8 51089.4 25738.2 37715.2 26706.4 23420.8 21592.3 33761.8 20547 24232 34169.3 145318.3 31495 40460.5 52623.6 17074.1 29294.1 10090.4 32444.6 19289.6 20823.3 37824.9 29995.3
27094.1 33857.7 41812.7 3755.7 12316.6 27979.2 16651.1 417 2124.7 1013.9 27357.4 10546.8 2959.9 18570.4 13353.9 295.8 20079.7 261.2 88.3 7651 17150.2 12343.5 505.4 18944.2 3704.8 30874.5 22039.9 31482.7 34572.8 2588.6 2912.5 2816 20384.5 6778.7 4180.5 26210.8 19605 2393.4 5664.4 21976.8 44325.5 43919.7 1700.5 31536.3 35165.4 43255.5 32421.3 14680.3 933.7 7885.2 11237.4 20261.5 17027.1 4433.5 30360.9 17336.4 14344.8 10384.4 55358.7 25390 34558.9 1031.4 27646.7 37405.8 5781.1 24562.4 21223.4 69371.5
45505.7 42796.7 36952.6 31235.7 28802.2 25985.3 21720 28205 31050.5 38978.8 24613.8 33828.3 33652.1 39382.8 34109.7 28005.9 36409.9 31623.6 33141.1 44049.1 29953.4 33255.4 32446.3 29263.3 28955.7 63795.9 39367.1 40186.5 45922.3 59804.5 60074.6 36511.9 39021.8 39625.3 36777.4 46828.6 29451.7 45505.3 48265 47050.8 29101 63542.7 28547.1 44434.3 36161.3 45090 55099.2 39123.6 53202.7 36550.6 34382.7 37546.2 55640.1 35062 50768.1 31677.6 128626.2 54532 52608.5 47193.8 31662 44651 17070.4 38542.7 29240.8 28593.6 43331.5 32983.4
28309.8 36855.6 36780.1 4519.7 11552.1 23777 19173.5 347.9 2322.4 957.3 25657 12749.5 3293.4 20272 14828.2 264.4 21884.1 219.2 16 7559.8 18932.4 15021.6 604.2 19108.2 5400.8 38293.8 21606.1 28977.2 37829.2 4486.8 3871.3 3168.5 18667.6 9884.4 7649.8 31094.5 27864.2 4359.3 10458.8 28692.9 41442.5 47457.8 2223.9 32441.6 36316.6 47388.2 33011.2 16681.7 1460.7 8681.7 14202.2 21408.1 24058.7 6123.2 29539.6 21432.1 24477.1 13289.5 50704.2 29030.5 46309.7 1246.6 23168 38633.4 6430.7 26920.2 27528.3 57530.3
62175.8 40989.4 49095.5 30522.8 37461.5 27578 41742 26825.1 41114.3 38473.4 29351.2 36672.7 33004.4 40246.3 45923.4 32658.6 35208.6 42837.7 32042.4 46620.2 26161.7 29302.8 33890.3 30601.4 39741 51200.4 38369.8 43874.5 53125.9 66965.8 60062.4 39205.9 41053.5 38868.4 41463.1 46597.1 37885.5 51943.7 63380.6 41543.7 49398.3 63143 30190.2 34829 35462 43974.5 56511 46711.9 33614.5 50509.8 32572.5 38828.6 52152.5 36476.2 42370 38626.9 124184.8 57980.3 54224.4 61076.1 40775.2 53717 23155.3 44410.1 34809.5 39035.3 41615.2 40424.6
214.7 1382.1 923.4 565.9 3074.8 4789.6 257.7 7835.7 205.8 39.5 21.1 34934.2 1437.6 18357.5 276.4 11.2 8.5 65 16.3 978.5 27945.9 2219.2 105.9 24900.2 98.3 53097.5 563 16859.5 45.4 27008.7 3997.2 40082 45.6 14319.2 11930.9 19277 37516.6 15205.9 54.8 47883 7070.6 14290.5 19195.4 122.7 11033 124 262.7 6279.5 953.3 10115.1 5751.7 13493.6 20401.6 241.7 65.7 164.3 5533.3 1814.2 3.5 191.7 237.7 34836.6 553.2 43263.9 2991.5 230.8 39144.8 70.3
51511.1 48012.7 36839.8 33006.1 33319.1 26491.9 23666 29762.9 33351.5 40636.3 23151.2 37227.2 32048 38000.4 35710.3 25978 40938.5 28802 36421.9 47420 30757.6 33020.2 31465.5 37603.3 29055 53901 46501.6 42235.9 45950.3 69265.3 61016 36501.8 43866.9 40678.4 41418 45934.9 29746.3 49109.5 48485.2 52630.2 41963.4 68098.2 31077 43013.4 36423.1 39564.1 49006.7 47753.8 46551.8 41208.2 35946.3 40174 61439.6 36698.8 55579.3 37410.8 115826.5 58806.4 56661.9 44933.1 33453.9 48083.6 19482.9 46181.3 31720.2 26650.7 42377.4 34380.6
36871.3 39417.1 37830 27924.8 32881.9 27559 29026.3 23818.3 25820.2 32305.7 23009.5 23625.8 33380.7 32471.3 33264.1 26472.8 28992.6 38347.9 37924.1 36503.7 25493.1 28429.2 28979.1 31583.5 32365 47691.2 35180.6 36719.8 40657.8 53070.3 49802.6 38103.5 36691.1 32805.3 35020.5 39782 29375.4 33594.1 43350.8 32537.7 46390.6 53370.3 20152 41734.8 28669.5 45052.7 50649.9 32798.5 48224.2 34763 35482.2 26740.1 47073.5 30389.6 36390.8 33045.7 127382.5 44995 43384.5 51049.9 30632.1 36884.9 21192.8 33184.9 22573.5 25092 41907.1 32292
60404.3 42437.8 46779.1 31478.7 38108.6 27379.9 41734.5 27254.3 41583.2 38413.2 30150.5 35970.7 32863.6 38051.8 46569.2 32303.9 34253.6 42505.7 33403 47046.5 27127.9 28545.9 33336.5 31558.4 39318.6 49980.9 40596.4 44341.7 51650.6 65634.1 63313.3 41151.8 41019.7 38325.6 43067.8 44446.1 37252.1 48615.5 62581.8 42037.8 48148.1 64684.6 30495.1 31672.9 35517.6 43389.6 55677.7 50566.2 32545.8 51482.1 32842.4 37982 53317.4 37057.4 42939.8 38865.2 120960.4 57231.2 53392.1 58656.7 37757 53481.7 23930.6 43010.6 35835.9 37115.5 41017.3 41880.6
34409.7 41407.3 36120.8 27708.6 32760.5 27682.7 29811.7 25870.7 27626.5 34444.2 24105 29897.8 34084.7 32840.7 36769.5 26913.4 33597.9 40021.2 39372 40183.8 24669.2 29726.9 29047.1 34000.8 35108.2 37463.7 35830.6 36910.2 41087.6 52156.7 52065.5 38065.9 36157.9 30416 36377.1 40918.4 27638.9 35817.2 43228.3 28832.2 53860.7 55270.2 21176.1 39967.6 24934.5 44978.3 51243 36059.2 43545.5 36929.7 33901.5 26647.5 47192.7 29791.4 38897.1 37672.4 120050.6 41151.5 53969.5 60418.2 40781.6 40143.5 24153.1 43523.6 25829 28860.5 44059.6 31185.4
44535.3 40447.7 32567.9 30882.1 30303.2 24474.8 28676.9 26148.9 26838.4 32632.6 22347.4 32783.9 25006.5 33675.8 34144.6 25243.6 30027.8 36896.5 27839.8 38606.3 22327.1 27049.6 25559.1 31530.2 34950.1 41519.6 35497 34299.3 41600.9 51952.2 49201.7 38390 30393.3 30605.8 32697.9 35404.4 40643.2 34602 30767.6 28249.5 46706 47558.5 24443.3 28052.5 26792.1 40278.3 40951.2 40951.8 28302.8 41861.5 33312.3 28378.7 47075.7 29454.4 33488.3 35655.8 125182.3 39041.2 46711.7 42958.9 37432.1 44725.8 21851.4 43778.4 32636.5 37876.2 41964.6 36100
36940.2 1699.4 2507.2 599.1 2440.4 2811.1 719.5 639.3 644.2 1011.4 485.4 4121.7 850.1 12211.9 811.6 34998.5 2478.8 377.6 205.7 1119.4 1479.2 553.7 783.1 29410.2 348 1730.1 43357.5 5295 554.7 21271.9 4868.6 1516.7 3404.2 832 13833.8 52421.2 1920.6 3852.8 1109.9 38035.8 533.2 20287.6 286.3 960.6 409 1121.2 503.5 7034.7 1778.6 3813.4 4968.8 1418.7 51436.2 28462.8 658.2 316.8 17283 3007.2 488.3 518.4 223.9 3494.2 1181.2 12816.2 1639 10429.5 4973.4 433.6
28991.9 34910.3 24615.6 18317.8 27591.9 23697.4 26139.1 23902.9 22630 31087.8 19004.6 26120 29036.9 37764.6 30369.2 21992.9 25384.1 33581.4 27852.9 38179.1 17916.4 26408.1 20585.8 22665.4 22731.7 30831.5 28281.5 29273.6 39005.6 53101.3 42295.1 25866.4 34022.4 28917.7 24684.3 38868.7 26733.5 37106.9 24829.1 17057.7 37277.3 46097.8 19081.4 23153.8 16705 54549.4 41142.1 31934 24029.5 39408.6 30010.4 29048.6 41680.5 23236.6 26537.8 25721 103974.9 39061.9 46650.8 62163.6 33556.5 41491.6 18698.2 32287.6 24971.6 23392.7 27927.1 24072.3
61193.2 34980.1 46036 27121 33686.4 25397.5 38175 26353.8 38619.7 34621.6 26659.5 34393.9 29909 37695.7 41919.8 29662 31701.4 39264.1 29810.3 41871.2 24314 28815.8 30018.4 26777.4 36919.2 46882.9 33315.7 39215.7 48045 62214.5 49007.6 33747.8 38476.6 34741.6 35113.4 42845.8 36337.4 49302.5 56416.5 35317.7 44224.7 55349.3 28280.1 32642.4 33235.2 41125.7 52218.1 38644.8 30800 44005.7 28633.8 35411.7 46338.6 33798.9 37217.8 34924.6 110600.9 54431.6 52290 59640.9 37259.8 47590.3 20833.1 41167.4 31217.9 35825.7 38288.2 34190.6
39831.9 42605.1 37012 29587.4 31865.4 27731.6 34411.4 24571 29813 35489.8 24540.2 30359.5 33938.8 33955.4 40575.2 21304.5 30430.7 36197.2 42229.1 38977.9 24509.9 26827.7 35660.9 32950.7 33520.8 37262.9 33756 32811.2 40875.5 49831.6 44159.2 34780.5 38731.8 29860.8 31567.7 37287.8 32860.8 41179.3 39325.7 36491.4 36205.3 49365.3 22504 38468.5 32768.1 45918.1 37453.4 36886.6 45879.6 42422.9 31370.2 30267.8 52443.1 31059.9 40566.8 27959.9 118060.1 44766.5 53926.9 50617.6 29564.3 45672.1 21276.8 37310.8 29190.1 32248.6 41232.6 35860.8
22812.2 19762.3 27281.2 24347.5 22212.5 20225.8 20775 14644.6 19816.7 25523.3 15386.3 16417.5 17299.3 17807.7 21265 15919.7 20912.8 26625.5 43606.1 23821.6 19108.1 20851.8 20674.9 26265.8 23030.7 16009.1 17204.9 16579.1 18578 21377 19333 16875.1 17625.6 14663.6 16924.7 16736.8 16019.8 11409.7 19339.1 21618.5 18496.9 19999 12294.8 14375 24317.1 11445 35800.5 17258.3 25150.7 18179.9 15933.1 14792.6 24254.3 13486.9 16351 25614.1 108043.9 20567.3 26699.2 40097.7 16233.7 20293.4 6267.3 24593 13300.4 12713.8 28273.2 19253.8
43162.8 43205.2 34026.6 19696.6 29295.2 25102.9 34361 24141.4 22514.8 30984.3 30039.8 30339.6 32884.3 32872.6 37700.4 25913.7 27813.3 35565.2 44926.2 38444.1 22503 24271.9 32448.6 26863.7 41297 35932.3 31962.8 33656.9 42426.4 49174.4 48069.2 38477.4 34078.3 31147.5 30274.9 38614.5 29488.5 36196.9 42125.4 39025.2 38282.6 59650.4 20673.8 28995.9 32581.9 51790 45449.1 41068.2 31523.3 40396.9 31307.4 28686.1 50423.2 28637.8 38437.2 30899.5 104638.6 30065.8 48981.3 57095.6 33683.2 44612.6 22580 42998.5 27705.6 31454.8 43010.7 38367.9
