"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2
-1.32 -2.588 0.837 -0.206 1.553 -1.155 3.723 -2.013 -1.057 -1.24 -1.054 -0.548 -0.756 1.536 -0.925 -0.274 0.418 0.822 -6.052 -3.703 -1.685 -0.999 -1.708 -0.452 -2.826 3.691 3.516 -1.557 -0.017 1.972 -1.308 -1.746 4.971 2.307 3.252 2.982 0.523 4.036 4.238 2.653 0.485 3.114 -0.543 -1.227 2.886 4.277 -1.796 3.108 -0.444 -0.469 3.65 0.138 0.497 1.381 2.723 3.361 3.541 -1.685 0.31 -0.994 -3.578 -1.705 -0.738 -1.533 -0.348
-4.08 -3.137 -4.927 -3.076 -1.899 -2.842 -3.961 -4.56 -0.511 -2.132 -2.634 -5.394 -3.353 -2.36337414338443 -3.3 -0.519 -3.939 -5.611 -4.687 -0.718 -4.297 -4.92 -1.575 -1.397 -1.999 -3.212 -6.535 -3.17 -0.844 -4.857 -1.67 -1.738 -4.924 -2.924 -1.491 -1.811 -1.147 -2.056 -1.082 -1.226 -0.571 0.361 2.825 1.63 0.38 -3.898 0.927 -2.894 0.223 1.13 -2.939 1.051 1.137 1.337 -0.117 -1.945 0.007 0.004 1.097 2.204 2.749 0.859 2.586 0.272 0.735
4.263 3.22308029060542 5.261 5.905 5.398 1.71 6.557 2.27 2.954 6.146 2.483 1.589 0.855 -4.383 1.46 3.526 6.19 3.859 4.44757382398871 2.658 2.394 6.393 2.406 6.241 4.554 3.399 3.106 1.305 -0.333 7.324 3.508 -0.435 3.161 2.703 3.668 0.146 6.374 5.529 2.143 3.044 1.903 1.97765719037371 5.771 1.40781382999852 2.20277093677353 2.885 -0.453 4.75 0.057 0.903 5.336 1.677 1.62 4.151 5.627 7.199 1.069 6.173 2.248 1.494 6.331 0.914 3.023 1.837 2.578
0.888 -0.827 0.878 0.73 0.893 1.654 0.109 -0.06 -0.234 1.377 -1.303 -0.899 0.379 0.673 0.585 3.434 -0.664 -0.241 2.615 0.856 -0.051 0.036 0.036 2.581 -1.384 1.625 2.617 0.256 3.565 0.076 1.909 1.737 0.661 0.092 0.397 3.071 3.337 0.291 -0.156 2.507 3.84 5.458 6.581 5.153 7.509 -0.099 4.06 0.775 6.081 5.329 3.428 3.967 2.855 3.724 2.467 1.579 2.894 2.93 2.823 3.527 6.447 4.545 4.78 2.361 2.911
2.793 0.361 4.514 3.101 3.288 4.943 3.833 4.725 4.145 3.642 4.46 5.204 4.411 3.427 3.309 4.414 4.24 2.558 3.181 4.122 5.108 3.983 2.618 2.045 3.617 3.737 5.276 4.528 3.41 5.272 5.235 5 -1.361 3.3 -0.182 -0.09 -0.758 0.042 1.245 2.776 -0.126 0.359 0.359 -2.485 0.332 -1.136 -1.25 -0.268 0.298 -0.393 -1.21 1.114 2.117 3.284 1.556 -0.777 0.267 3.147 1.979 0.768 1.368 0.36 1.909 2.166 1.755
5.353 2.40643421386867 5.765 5.234 4.119 1.115 5.223 3.297 4.172 5.38 2.708 4.143 1.364 2.66 0.113 4.231 4.936 1.272 5.633 3.504 1.894 5.126 3.767 6.327 2.288 4.424 2.53957346358435 0.956 1.099 6.82 2.612 2.089 -1.205 2.186 1.487 1.704 2.13557078850082 2.31509432631552 0.558 3.087 2.751 0.536 3.599 -3.581 -1.398 -0.39 -0.412 1.324 -0.19 1.686 1.44 3.518 1.913 4.582 3.23799093659302 5.857 0.414 5.182 1.974 3.25 -0.312 0.887 3.473 2.019 2.156
5.355 6.66108184378543 4.355 3.122 5.67 4.535 5.336 5.627 6.395 3.928 3.019 5.792 1.926 3.60310660073139 5.18940664786921 5.109 13.413 4.798 5.897394161115 4.712 2.683 7.576 3.357 6.985 2.788 3.817 3.69310259828442 -0.239 4.911 4.53634773255335 5.198 3.19976286343293 5.901 4.862 4.847 3.81254227254739 5.73756284351704 8.533 4.72 5.486 5.401 3.07184683617072 3.47199370006878 4.34697247400857 0.353 5.04 3.2318437992431 6.212 4.43916082180417 2.006 6.337 7.138 6.258 5.824 4.68681391304531 5.183 5.037 6.502 6.255 -1.827 4.56 6.748 5.069 5.581 3.766
-4.477 -5.058 -3.533 -1.602 -0.833 -11.535 -3.174 -2.413 1.585 -1.807 -2.363 -2.251 -1.762 -4.064 -2.296 -0.604 0.838 -0.753 -2.802 -1.99 -2.104 -1.124 -1.119 -1.337 -2.132 -2.837 -1.89784843621086 -1.341 -5.14 -7.131 -2.206 -0.807 -2.779 -1.502 -2.24022602350715 -1.799 -0.937 -1.593 -2.517 -0.843 -1.96 -7.253 -2.842 0.745 -3.496 -2.167 -1.595 -1.683 -6.186 -1.031 -3.176 -0.738 -0.439 -0.496 0.537 -2.19 -0.826 -0.497 -0.35 -2.497 -1.605 -2.065 -1.951 -1.374 0.447
-2.973 -1.35457491746424 -3.369 -1.805 -0.411 -1.881 -0.668 -3.585 -0.653 -1.667 -1.737 -2.686 -1.592 -2.633 -2.707 -0.822 -2.361 -2.071 -1.15988396642587 -4.358 -2.064 -1.462 -1.636 -3.263 -4.238 -3.074 -1.32381132934721 -2.556 -1.802 -1.657 -1.113 -0.863 -3.478 -1.428 -2.295 -1.291 -3.283 -2.689 1.274 -1.409 -2.342 1.375 2 1.948 3.833 -0.894 -0.073 -0.279 2.416 3.299 3.824 -1.488 -0.475 -0.371 2.934 4.681 -2.007 -1.998 -0.302 -1.199 0.049 0.301 -0.709 -0.58 -0.696
