"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1 0 1 0 1
0.0143 0.1890488 -0.0266 0.0121 0.0219 -0.00089 0.0203 0.02 0.0272 -0.00541 -0.0259 -0.1084825 0.058 -0.1704475 0.0051 0.0249 -0.00939 0.0419 -0.0759 0.3374583 -0.0362 0.0368 -0.00814 0.0412 -0.0349 0.0656 -0.2393827 -0.1086432 0.2168344 -0.0241 0.0135 0.0863 -0.2068949 0.0372 0.00139 0.0469 0.0681 -0.140965 -0.1011918 -0.7977276 0.2880622 0.2339649 0.066 -0.1385091 0.2237175 0.2430471 0.0873 0.1436099 0.1457722 -0.1306113 -0.1847637 -0.1933583 0.0295 -0.2166262 0.089 0.1258077 0.0175 -0.0403 -0.0834 0.0485
-0.00601 0.0332 -0.02 -0.00688 0.1008878 -0.00599 0.0492 -0.02 -0.0553 0.0431 0.0412 0.0944 0.041 -0.0839 0.0931 -0.0415 -0.0264 0.0824 -0.0674 0.00776 0.0457 0.00502 -0.0496 -0.00672 0.0288 0.00917 -0.0696 -0.2114586 0.1303024 0.0211 0.0694 -0.0745 -0.00289 -0.0415 0.0466 0.0514 -0.00935 0.0702 -0.0436 -0.2281996 0.1064081 0.0847 -0.0172 -0.2810723 0.0939 0.1758781 -0.012 0.0759 0.0819 0.1868094 -0.00574 -0.00131 -0.023 -0.078 0.1146925 0.0163 -0.0635 -0.0129 0.0415 0.00447
0.0835 0.0434 0.0209 -0.0164 0.1568578 -0.1065572 -0.2711044 -0.1454961 0.0963 0.45241 0.0938 -0.2345801 0.0878 0.0157 -0.0118 -0.035 0.0116 0.2030914 0.0727 -0.1260714 0.1810708 0.0138 -0.1283792 0.0607 0.032 0.1464592 -0.3129363 -0.3131867 0.2478991 0.0951 0.1132604 0.1889404 0.0127 0.1115979 0.0343 0.1044333 -0.2359721 -0.0407 -0.0862 -0.5915256 0.1445777 0.1026261 0.2326911 -0.1730243 0.1919367 0.1988848 -0.0691 -0.0104 0.0982 0.0618 0.1384156 -0.0274 -0.0641 -0.3565552 -0.1237872 0.0613 -0.0279 0.1070109 -0.0146 0.1173499
0.0262 0.1072714 0.0458 0.00157 0.1557347 -0.1289134 -0.1149571 0.016 0.0738 0.2785625 0.1726337 -0.0944 0.1216188 0.0662 -0.0544 -0.0771 0.0369 0.087 0.1185103 -0.1744799 -0.0463 0.1083455 -0.0755 0.0221 -0.0455 0.0382 -0.2248437 -0.1492147 0.2140552 0.0325 0.2370096 0.2508367 -0.0805 0.0613 0.0717 0.16452 -0.2471057 -0.0791 -0.1503364 -1.041623 0.4611126 0.1701501 0.0928 -0.1563067 0.275535 0.5454963 -0.2472269 -0.2307877 0.0926 -0.00529 0.0811 -0.00315 -0.1283452 -0.2041073 0.015 -0.025 -0.0804 0.0485 0.00476 0.00777
0.0619 0.0528 0.00932 -0.0546 0.00817 -0.1229767 -0.2432418 0.0367 0.112235 0.2058169 0.1155303 -0.0456 -0.0231 0.0478 0.0182 -0.0485 0.0202 0.2000562 0.0046 -0.1707017 0.073 0.0234 -0.0327 0.019 0.0135 0.0718 -0.1390453 -0.1219084 0.2491274 0.089 0.1553995 0.1005801 -0.0257 0.0201 0.1213853 0.1907248 -0.1070814 -0.0525 -0.1111338 -0.2895158 -0.0678 0.1306776 0.1924076 -0.0791 0.1207594 0.2288252 0.0108 0.00485 0.0284 -0.0464 0.0755 -0.0331 -0.0982 -0.1392296 -0.02 0.0502 -0.0577 0.1138769 -0.0286 0.0195
-0.0113 -0.0243 0.0225 0.0628 0.0274 -0.0701 -0.0298 0.047 0.0255 0.0531 0.1299073 -0.000722 0.0441 0.0353 0.0124 0.0122 0.0375 0.110714 -0.1516735 -0.1222342 0.0962 0.1171617 -0.0831 -0.0322 0.0365 0.00781 0.0209 -0.1161822 0.1399479 -0.2173038 -0.0192 -0.092 0.00422 -0.0773 0.1254025 0.0511 0.1322527 -0.3127752 0.1297831 -0.3260759 0.0979 0.2032531 -0.00908 0.0669 -0.0491 0.0486 0.0391 -0.0452 -0.1468265 0.0739 -0.0249 -0.0145 -0.0269 -0.1002171 0.0512 0.0913 -0.0699 0.0217 0.0223 -0.0129
0.1198172 0.0419 -0.0729 -0.0649 -0.0358 -0.0549 -0.1860142 0.018 -0.00214 -0.00801 0.0634 0.1167643 0.00669 -0.1143053 0.029 -0.0186 0.0843 0.0224 0.0404 -0.0301 0.0237 0.2255905 -0.1042606 -0.0321 -0.00553 -0.024 0.0116 -0.0826 0.00675 -0.0342 0.0463 0.0575 -0.00926 -0.0205 0.1016734 0.2118629 -0.2679423 -0.0347 -0.1483782 -0.1751902 -0.3453491 0.1514443 0.1465292 0.1548921 -0.1027983 0.0235 -0.0296 -0.1345049 0.0483 0.1015314 -0.144816 0.0424 0.0502 0.0138 0.0845 -0.0308 -0.0985 0.1033078 0.00614 0.0712
-0.00435 -0.00118 0.1182606 0.0198 0.0145 -0.0446 0.0885 0.00379 -0.0906 -0.00802 -0.0116 0.0564 -0.00403 0.0354 0.0614 -0.0564 0.1363871 0.00873 -0.1129982 -0.0901 0.0914 0.3827128 -0.0193 -0.0284 -0.1399577 0.0266 -0.0814 -0.0479 0.0339 0.0326 0.0239 -0.0186 -0.018 0.0161 0.1012887 0.0169 0.1593984 -0.0616 -0.0626 -0.2085501 0.0823 -0.1457391 0.0879 0.1311415 -0.00838 0.2591488 0.00209 -0.0688 0.1256327 0.0356 0.0447 0.0583 -0.0353 -0.0605 0.0649 -0.1224836 -0.00188 -0.0421 -0.00649 0.0135
0.1415737 0.0803 -0.127869 -0.1495297 0.0344 0.0671 -0.0253 0.0289 0.0717 -0.0177 -0.1495744 0.1936259 -0.0395 -0.1037732 -0.0348 -0.0273 -0.0429 0.0244 0.2071221 0.0262 -0.0247 0.1143093 0.00881 -0.0381 -0.0257 0.0811 -0.1127144 0.0767 0.0452 -0.1537895 -0.0604 -0.0979 0.1202805 -0.1265335 0.1240287 0.0916 0.1589093 0.1382566 0.0119 -0.812881 0.213058 0.2670393 -0.0224 0.0854 0.00971 -0.0942 -0.0726 0.201534 -0.0494 -0.1618691 0.098 -0.0925 -0.0279 -0.0163 -0.1631753 -0.00651 0.1985309 -0.0227 -0.1487647 -0.1178261
