"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200" "V201" "V202" "V203" "V204" "V205" "V206" "V207" "V208" "V209" "V210" "V211" "V212" "V213" "V214" "V215" "V216" "V217" "V218" "V219" "V220" "V221" "V222" "V223" "V224" "V225" "V226" "V227" "V228" "V229" "V230" "V231" "V232" "V233" "V234" "V235" "V236" "V237" "V238" "V239" "V240" "V241" "V242" "V243" "V244" "V245" "V246" "V247" "V248" "V249" "V250" "V251" "V252" "V253" "V254" "V255" "V256" "V257" "V258" "V259" "V260" "V261" "V262" "V263" "V264" "V265" "V266" "V267" "V268" "V269" "V270" "V271" "V272" "V273" "V274" "V275" "V276" "V277" "V278" "V279" "V280" "V281" "V282" "V283" "V284" "V285" "V286"
0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0
17356.8 4559.6 8487.4 94763.8 75816.4 9446.8 3749.7 20880.1 718.5 5598 1669.2 56144.6 2115.3 5499.6 3890.3 412 26461.7 157291.8 112457.6 17056.9 25758.9 15543.5 61132.1 34234.8 73900 4287.8 587.4 1516.3 651.3 15196.7 7860.4 67114.2 3022.3 1747.1 1819.9 4324 49111.3 14515.1 3074.1 54062.8 90369 1058 7599.4 13961.5 74193.1 56835.1 15117.3 39769.9 30659.2 33887.2 103234.4 54324 2686.1 963.2 2970.4 28787 96561.2 8156.3 269.2 5077.4 34655 2076.1 12960.9 12885.6 49307.4 11612.4 43079.5 6325.5 642.7 13703.8 24610.5 11186.3 824 25409.9 74760.8 30357.7 528.9 74998.2 6985.7 813.5 56452.3 960.7 3186.4 3257.7 3695.2 4776 115237.4 11563 33277.4 1059.5 4802.4 6096.7 33747 1170.4 21227.7 4210.1 33093.5 13799.7 8561.9 14368.1 53098.3 249.2 14102.6 30482.9 430.4 10953.7 5283 12973.6 22578.3 1433.8 28957.4 30177.5 35332.1 57903 13725.5 41843.5 6342.6 16907.3 401.2 247.1 3700.9 3770.4 258.7 2246.5 3634.2 44100.4 2684.8 13712.7 42739.5 39341.2 49648.8 370.8 15112.5 14595.8 880.4 12521 8117.8 27130.5 62459.6 1855 2046.6 9576.9 1114.6 9102.5 1622 2976.2 2288.2 765.8 5529.6 10583.4 1189 14720.9 20375.7 1280.8 5209.2 6974.9 105754 9493.3 35182.4 18414 10101.9 27277.1 11758.3 40578.5 20167.6 9051.8 27078.5 15058.3 4573.6 913.2 486.8 671.7 49977.4 2342.7 406.7 11393.7 22614 2420.3 8961.9 923.9 1278 50746.7 249.4 3779.1 70708.3 36849.3 12368.2 5327.5 7576.8 35884.4 16998.9 3780.8 23231.4 1979.3 1789.6 1499.1 1962.4 35729.2 30292.1 4286.2 5689.9 63674 29324 11997.3 2100.9 31458 9575.1 291.2 3216.1 7401.1 8557.5 4186.4 7186.9 30184 27562.5 34102.2 30118.3 5679.5 73034 22980.8 292.8 11954.1 12674.3 12961.4 6362.1 16746.7 5039.9 1569.2 871.3 3648.2 2187.1 519.9 10026.5 1914.5 701.5 1511.8 5036.5 21596.5 18345.8 18553.8 42713.3 637 9687.5 2344 4446.1 57408.1 2960.7 9038.6 2697.6 75155.3 1579.3 14072.1 577.3 261.8 1286.2 44900.1 35894.3 111823.9 684.5 17505.3 56547.3 3386.5 3148.5 35980.5 5256.5 103703.4 4589.8 6532.1 24448.4 29212.4 25121.6 32515 54359.8 62217 52123.5 2794.2 1236 6381.1 95436.1 8974.8 290.2 18544.6 47656.3 9625.7 4176.8 2430.1
7533 14457.2 17128.8 57521.4 73245.3 14551 2383.1 9741.8 564.7 1045.5 4617.7 44931.1 951.5 7870.7 8780.7 642.4 18561.6 125116.8 91473.7 27819.6 21092.6 55466.3 58695.3 56376.3 69537.3 4557.8 1089.6 1635.3 832.5 6885.3 2366.2 56730.1 14421.1 5537 5893.6 1955.1 62513.4 32001.3 3230.4 54542.6 72752.2 1102.2 5743.8 7674.4 59397.4 49499.3 34295.5 32554.1 21396.5 38173.6 84748.4 89141.3 16039.2 2276.7 4322.3 45947.9 71165.4 26285.9 129 2132.6 29328.7 509.8 13370.2 17693.8 44261.1 35500.5 47052 20830.2 701.2 18390.7 28979.2 23351.6 850.2 39220.4 66700.7 28541.1 1092.6 66334.1 30727.5 804.9 48120.3 746.2 3575.3 6262.3 4577.2 9323.3 88938.1 26249.9 35236.9 1413.5 9275.7 7041.6 6396 3911.4 9760.1 8688 33076.6 21607 25991.9 49352.9 47268 807.9 20766.3 19767.4 713.4 13219.6 4343.4 17847.3 10513 1873.2 31367.1 40437.9 32431 54029.1 24131.3 36300.1 2621.8 22058.8 522.9 658.8 1928.1 4183 946 6260.4 6264.2 37233.7 12474.2 17266 44822.8 32027.3 39207 1032.3 18960.1 16272.9 1438.1 18431.6 19205.2 31747.2 55338 2862.5 4488.7 16161.4 1303.5 14474.6 1134.2 3253.9 6223.7 707.9 1559 12833.8 984.4 11024.4 30414.4 1935 1528.1 7136.7 87246.2 23755 37584.9 16423.8 20278.2 33019.6 33937.8 31056.9 26538.8 35451.8 23223.9 39329.3 1765.7 2324.7 940.2 1275.8 55753.9 2413.9 1363.3 23407.2 14458.9 15949.9 21383.9 1931.5 1771.2 41846.7 263.8 11224.4 79624.4 15969.8 10143.9 9430.2 23088.9 32289.5 19760.9 10353.2 20572.6 2789.1 1496.9 4031.8 4741.5 33945.6 28446 2400.8 18095.5 35094.2 34663.1 6240.5 2530.2 12300.3 20441.5 1115.6 6076.5 5673.2 22452.9 4261.6 9740 2653.7 29778.6 29599.1 11358 11003.4 65051.4 31769.9 1395.2 11043.5 12869.3 36495.1 4088.7 24673.1 14838.3 2413.1 593.4 13954.9 2031.9 498 25377.8 521.6 941.4 529.7 5040 49496.7 11988.7 45183 34796.2 2254.4 21664 4044.1 14879.9 48735 9579.9 38678.2 9648.4 21582.3 1698 2829.7 1691.6 473.9 796.2 25847.6 39837.2 86860.4 2776.2 38395 59754.8 7646.9 4321.6 56496.4 4413.8 84363.7 17670.2 12040.3 28753.7 26728.2 48045 32861 43804.9 71511.6 30065.9 5921.5 3936.1 6983.5 82293.3 3332.4 331.3 23791 41152.6 3885.8 7215.4 5302
12103.9 5130 15230.9 74831.8 57728 13159.1 6367.7 17500.7 601.8 8076 1390.4 53125.2 3330.9 5652 6188.6 333.5 22484.9 133384 89638.2 15230.1 21065.9 32927 53424.9 39471 65615.3 4153.5 755.3 2286.2 667.4 10588.7 12874.6 53165.6 5093.4 3529.3 2356.5 6245.6 50040.4 23982.9 3690.4 48154.4 76425.8 1050.6 15024.9 17276.6 61182.8 57094.9 26141.8 32550.3 29999.4 31674.6 86121 67651.5 2928.4 1252.2 4711.7 37086.1 77754.8 14127.5 351.6 13568.8 45096.8 2296.6 15418.6 19984.8 45633 30104.7 38923.3 10889.5 646.3 31195.8 25259.3 22520.7 797.9 55284.1 69229.5 36849.2 678.9 63779.8 15826.2 1123 56708.8 1074.2 5702.7 5419.4 7293.6 11595.2 90329.9 18718.8 27713.5 1435.8 6033.2 8562.7 30113.4 1799.8 19411.3 5427.6 30448.8 15403 18250.8 35176.6 50102.1 239.8 16324.2 25970.1 549.6 18120.1 7865.4 16012.8 20784.8 2324.4 34189.4 37113 35521.9 46763.1 19673.2 38441.7 6791.6 19142.7 354 302.5 9158.6 6877.4 290.7 4050.1 6591.6 39609 5224.6 16937.9 42426.4 32285.5 46458.7 380.2 13685.8 15820.7 843.7 13133.6 11727.8 28238.1 57120.2 3992 3721.8 31196.9 1828.7 11444.7 2031.7 3750 3736.5 913.3 7259 11623.8 1225.2 11090 27303.2 1876.1 8737.3 10513.3 92507.8 18041.3 29912.7 13735.9 15244.6 30999.8 19235.6 33028.5 26751.4 24103.7 30284.3 37258.2 8073.9 1081.6 411.5 596.4 46402.5 4089.6 317.5 25348.9 33488.6 3509.4 20505.3 1165.5 1798.7 42706 250.9 4861.4 68366.3 30820.8 16405.9 6705 18691.8 29446.1 22716.9 7479.9 20978.6 3361 3126.5 2904.5 2424.9 30172.6 32816.3 8265.3 13918.4 54387.3 32338.2 11352.1 2401.3 33233.1 12840.8 219.6 6376.3 8616.7 14330.1 7985.8 10809.1 23891.5 24467.3 28840.9 23799.1 9328 57976.5 34276.5 601.4 11689 11618.1 20512.6 9153.8 16888.2 6152.3 1746.1 691.2 6612.4 4436.7 526 18490.4 2308.7 616.5 2159 7167.8 33208.7 30582.1 22939.5 37683 786.5 21218.1 4726.2 7753 45878.8 5187.7 15302.2 5536 59331.4 2195.3 10034.7 713.4 108.7 1482 41409.9 35148.1 96832.9 890.6 20050.3 49077.6 5676.4 5615.9 37206.7 9839.5 79929.2 10673.3 7995.3 23587 24192.8 37880.8 48208.4 45158.5 67311.6 53982.4 5540.1 1734 7729.4 90824.8 14895.2 355.3 18935.6 46164.6 14812.6 5135.8 3671.2
33168.9 54401.4 61244.1 62292.1 57295.1 50074.6 46900.9 78481.5 29587.9 28805.4 31432.7 31222.1 76710.3 24413.1 71566.8 66875.2 21509.8 125653.8 56559.4 27100.9 23840.3 39540 42254.2 35561.4 41311.2 31816.1 48849.5 25966.8 34273.6 33386.8 25250.1 56630.7 59189.9 67169.5 73192.7 48569.7 59588.4 51674.4 70070.4 42397.9 56928.2 37689 72934.8 45236.5 61560.1 41718.4 47739.5 54521.3 45487.6 46144.9 68494.3 94375.1 61609.2 42191.1 36220.5 42887.2 57180.8 31896 64835.2 35311.9 39158.1 51907.5 33786.1 66452.3 41971.4 80002.2 48034.8 64806.3 53983.9 59362.4 51017.8 62135.5 55487.3 85193.6 56414.5 46747.3 62101.5 66565.7 41198 37289.8 54242.2 67935.6 36168.6 42730 55163.1 30224 68466.2 44965.3 48190.5 49366.4 36645.3 64411.3 42235.6 39141.4 27620.1 21109.5 27343.5 32354.5 56639.3 40687.6 33010.6 49347.3 25189.2 23727.5 23644.9 31006.5 52642 47714 27396.1 34286.4 50938.4 24998.5 33069.3 52203.1 30346.9 51371.4 63965.3 40318.6 76005 37529.6 44778.7 83414.1 45799.1 130666.7 55288.2 49983.8 33744.5 20504.1 26827.7 20393.8 23737.5 33978.7 25516.9 50068.7 32198.9 29717.5 67485.3 37030.8 41730.1 35486.3 58677 47604.4 43485.1 28935.9 22273.8 17812.1 19711.4 21377.3 27622.2 15415.3 45167.1 21405.1 27896.4 50592.1 36005.5 54771.5 68772.3 54198.2 34990.5 33613.2 34294.6 28730.2 30664.3 28366.6 32416.2 38354.8 30638.9 39810.5 66274.3 46347 67307.7 41356.3 51939.8 54921 64074.9 102506.8 38412.9 92597.5 27950.1 79578.7 66473.6 34252.4 65919.1 51058.2 66969.1 37329 76487.9 28956.4 33842.2 27273.6 25249.4 22754.8 17766.3 33353.8 30947.7 103015.4 19501.1 41969.2 40614.8 102398.2 75644.4 58001.2 45425.6 61971.7 48916.4 51945.1 44273.6 64981.7 58407.7 49517.5 26180.1 43012.8 22995 19688.8 19668.8 22808.1 28019.4 22140.4 71200.1 47885.3 93214.6 25865.7 25104.3 43669.6 56152.7 29587.2 67674.9 59129.2 64964 64048.4 48372.2 43104.8 85039.1 67938 52779 60893.1 55435.7 81994.6 60845.5 61973.1 27768.1 34586.8 32811.8 47005.2 39342.9 34259 53636.6 57789 32326.6 75813.5 62145.5 60910.5 103582.7 79869.8 38938 66890.9 56263.9 69405.2 49805.4 54666.1 67267.4 61796.9 79745.5 54953.1 97455 76352.9 37425.7 63359.9 44623.9 40738.2 62657.5 73137.2 36795.6 107783 76612.2 103753.4 146868.8 85468 87049.5 62343.2 70987.3 57830.1 50140.4 69320.3 48495.6 38260.2
16579.1 9598.3 20989.1 69224.9 57544.1 18947.6 9987.7 23154.2 539.1 10309.6 1743.3 44027.6 4022.7 6901.1 9403.9 391.7 24826.9 123388.9 80271.6 18137.5 27499.4 37079.3 45210.7 33295.1 59026.3 4569.3 753.9 2997.6 655.7 14024.6 19797.4 52360.6 10133.4 3730.8 3913.1 12572.8 60509.3 38577.2 7993.5 42991.5 67822.5 1160.6 22128.6 21153.8 57857.7 44066.4 28008.2 33833 28545.2 31610.2 76402.7 73415.4 5277.4 1203 5474.5 35504.1 70544.4 19402.4 258.3 15625.4 41070.5 4883.8 20148 26260.2 43807.2 60858.6 34578.6 18379.8 699.4 30053.8 25416.3 34350.4 878.6 62217.8 59322.4 32689.3 894.4 53992 23224 2016 42807.2 1127.7 8306.4 7839.2 12293.8 12918.3 82641.6 18166.7 26973.5 1774 5882.4 16383.8 29433.9 3856 23669.4 7609.8 29080.9 21767.1 26330 40784.5 38589.2 267.7 19454.2 24376.9 716.1 20349.9 10575.1 27022.5 19854.3 4066.4 37516.3 34476.2 30765.1 44804.9 20496.3 35685.3 16780 22086.1 510.2 247.3 21104.3 12090 287.5 11817.7 8039.8 38980.2 12171.5 16445.2 36597.7 31848.6 38453 529.7 15213.6 22028.5 788 13926.9 18879.9 26248.9 46835.6 8661.5 9575.1 29711 4407.4 14767.2 2770 3507.7 4950.3 1416.9 8407.4 11135.7 2122.8 15320.9 23497.3 2691.2 12749.8 15490.3 76361.6 26677.9 27177.6 18055.5 18860.6 28528.6 19453.1 31052.7 26873.6 31058 28738.5 38428 10950.3 1078.1 909.2 847 47098.8 10859.4 284.3 41624.1 32335.5 8982.9 21011.2 1643.4 4548.5 41108.9 300.4 7736.2 62366.2 30308.7 20095.1 12039.1 22279.1 28252.7 21542.1 9850.2 17420.6 5376.8 6483.7 3584.3 3099.2 32267.6 31088 13312.1 24337.1 50898.1 28966.9 12868 3537.7 28468.9 20946.8 280.4 9919.8 11509.8 15497.7 11275.3 11132 22901.4 21687.7 24382.4 25447.7 12862.9 62014.9 32858.7 1211.8 14046.8 12290.1 26452.3 13961.6 18834.8 15176.6 1896.3 938.5 9954.1 5678.2 659.6 25719.5 3629.8 590.2 2606.8 11528 42821.1 28832.1 40625.6 33250.2 1536.4 22318.8 8190.8 13153.6 45504.1 8518.2 21573.8 13590.1 57232.7 2613.5 13342 1281.8 103.9 1662.4 44087.8 37438 87358.6 968.3 28888.1 44504.9 6991.5 6331.7 34569 17073.5 74035.6 18643.9 12479.9 24020.9 24422.8 33854.3 49284.5 39781.3 72236 54518.4 9551.5 3895.4 14107 69627 30042.2 244.3 20206.6 36256.1 22176.7 8090.5 4832.9
22651.7 7747.8 30179 70583.2 63239.9 24238.2 7781 23338.6 1096.9 11041.8 3518 43550.1 4367.2 13573.3 18146.8 516.3 26807.5 100621.5 71313.1 23380.5 20728 50998.3 42479.9 51489.1 67437.9 7124.9 1158.3 6840.4 2328.3 23316.3 27447.8 52740.5 17122.1 6843 10849.4 13232.5 65673.3 27929.9 6345 45033.2 52402.7 2166.2 15959.7 7008.7 60391.5 46184.1 20921.9 34492.1 37857.2 38799.4 68446.3 71150.3 16444 2955.6 9285.7 41718.1 59039.8 25899.9 790 13419.2 38745.2 2657.6 24755.3 33118.6 36696 33662.6 41566.6 26559.9 1122.4 24531.9 27747.3 28006 1664.6 41599.1 62554 37254.1 1324.4 53609.3 30632.8 2847.1 48909.6 1777.1 13175.3 7210.5 10925.9 18723.8 74032.6 30074.5 38909.5 1841.3 15094.7 18292.9 31846 3233.2 23644.1 11564.1 21667.9 23749.2 18245.7 38940.2 37879.3 781.3 16775.7 21574.5 841.1 32195.1 24453.6 33115.5 25310.4 4223.7 29271.5 39616.8 38387.7 46615.4 20423 31836.3 14036.8 26283.2 1251.7 289.1 7341.9 18259.3 173.7 3889.3 20091.6 39126.5 14127 22370.4 40842.6 27667.1 35265.4 1071.5 17516.8 24744.3 2078.3 23242.6 21881.3 34285.8 45622 5458.2 3205 30368.3 3628.3 19530.2 2399.1 4677 6696.7 3446.6 16652.4 13195.8 2392.6 12664.9 31762.9 3814 14649 20005.9 65828.5 23595.4 35394.1 24072.2 20979.2 26451.1 29105.5 27329 25444.8 17376.5 29045.6 33245.2 18217.1 1983.4 898 949.9 46605.3 5691.4 632.9 35539.9 22278.9 7905 20955.8 1185.1 4213.9 37076.1 444.6 13145.5 69762.5 29135.1 20888 10986 24870.2 26555.8 17504.3 11859.9 17576 8883.7 5339.1 6063.9 7222.5 25218 32753.9 16691.1 15441.3 51352.5 37506.4 9567.9 5356 39633.4 36535.4 705.6 7480.1 16215 22702.9 21235.8 10739.8 23419.2 26292.1 23584.7 25132.3 13279.7 65249.7 31348.4 1364.7 22677.2 15503.6 39466.1 14582 29730.1 10565.6 3499.2 2142.3 16301.3 11032.3 1129.8 24558 5129.2 2291.3 3182.6 15208.4 41003.2 41338.2 26854.5 25642.1 2261.4 26896.6 8171.2 13618 42069.2 14245 53093.4 12435.5 56829.2 3742.1 19961.8 1853.9 482.4 1827.1 38270.1 35712.2 78800.5 577.9 30858.2 56749.7 4247.7 11119.4 46992.7 18877.2 60055.6 14564 16690.2 31189.4 27127.6 52260.8 58613.9 37332.9 54183.2 58946.9 10190.2 3434.8 19645.2 66530.9 22573.6 378.6 25160.6 37600.6 20034.8 18095.6 6678.5
22432.5 7757.5 29296 68258.8 63279.8 24424.1 7434.7 25130 927.7 9182.8 2815.2 42045.8 3393.3 12524.2 21704.2 652.3 26093.2 99286.6 67795.4 24365.8 22064.1 50918.4 40274.1 47971.1 67548.4 6393.4 911 6541.4 2018.9 24462.1 28238.9 54169.8 18650.8 5107.1 8665.7 14209.6 68626.2 28369.7 6255.1 43789 51375.4 2255.4 16156.2 7211.5 59525.8 44599.2 17088.9 33905.6 36914.4 39290.4 67043.8 68366.6 13698.8 2830.1 7927.7 40695.2 59502.6 26072.2 112.2 11694.1 37387.1 3018 24370.7 32451.7 33222.2 35208.7 39289 27979.2 990.5 23028.9 29472.7 27170.5 1524.1 41839.7 59985.2 34855.6 1103.7 54135.1 29320.7 2491.9 45735.2 1713.9 14241 6999.8 11590.1 17828.4 78120.3 27580.5 41423.2 1861.8 13495.3 18474.3 34477.8 3160.1 24220.5 10851.4 19475 23711 15974.5 42138.6 36166 613.4 17718.4 22784.8 791.5 31222.4 21470.2 34728.3 25521.9 3180.9 30079.9 37228.7 34746.6 46435.2 20176.7 30476.2 13772.1 28728.9 1115.7 110.4 6403.6 18978.1 162.4 4141.1 19529.4 38827 14864 21240.4 37845.5 28411.3 35201.9 1086.8 17756 25032.2 1635.1 22714.9 22469 31316 42867.4 6233.4 3577.4 28866.3 4061.7 18006.2 2127.2 4785.6 6490.6 3286.7 16154 12556 2096.5 13359.8 29820.3 3311.4 14753.5 21802.2 64998.5 25119.2 34064.5 25729.5 22999.1 26063.9 27940.8 27995.7 24024.1 18133.8 28018.7 32959.3 17630.7 2114.2 930.7 742.1 44726.8 5990.4 846.5 35706.8 22903.1 7473.1 20079.7 1688.5 4230.1 38273.1 589.5 10953.2 66377.9 29455.6 22867.1 10760.5 24696.8 26754.4 17672.7 11330.9 17711 9412.3 4895.7 5170.5 6795.9 26111.2 34072.5 18490.7 15125.8 52489 37107.2 9441.1 5430.5 35579.4 36456.8 526.4 6540 17864.8 22099.8 20160.5 10025.5 24503.6 26570.7 23504.9 25349.7 12826.2 71259.4 30045.2 942.9 23171 14167.6 36173.3 13568 27209.5 12278.2 3423.4 2212 12827.5 11064.4 1099.7 24333 4543.6 1835.5 2759.1 14710.9 39778.4 38713.2 26206.4 28688.6 2307.6 24884.7 7384 15081 43794.6 14316.9 52800.4 12323.3 59089.7 3380.4 20967.3 1674.4 303.3 2098.7 36161 34320 81528.8 546.7 30333 57080.8 4235.8 10810.5 44843.2 20896.3 57241 11967.7 14217.3 28215.9 28183.7 48975.9 52879 37485.4 60538.2 59002.6 9297.2 3300.8 19206 64598.3 22246.2 97.9 24983.5 36719.4 18361.7 18720.2 5626.7
21071.9 6031.3 7655.9 71630.9 55519.9 18813.2 13433 29084.4 16.8 20375.9 1107.5 34183.3 8407.8 10286.8 6600 122.9 33326.9 110791.3 7435.7 14651.2 21328.8 14476.2 24572.1 4431.3 56972.7 4740.2 733 10192.1 1092.4 23287.7 32835.1 41015.5 7304.6 524 46435.1 18985.3 64592.6 33427.9 12417.6 41423.6 37708.9 843.7 27389.5 17082.7 46761.4 45274.4 15792.5 16529.2 35075.4 18811.5 41493.2 45264.7 6512.9 806.6 8481.9 30957.1 34617.8 14880.1 69.5 23893.4 50645.6 8018 24638 23961.6 17937.5 50850.8 20166.1 11131.7 538.4 22348.4 5084.1 47093.1 711 55323.5 48565.7 8584.2 718.9 33053.2 20110.6 4192.4 31398.4 1890 17602.8 2894.5 18751.8 24296.7 25894.4 3155.2 14608 782.5 1214.8 19778.1 37656.3 601.4 30946 5947.8 5551.8 23733.2 8348.2 14635.2 15489.7 29 19940.9 28384.4 190.5 29910.9 17234.4 16480.1 30215.2 4841.2 37288.7 11433 34937.7 12179.4 12399.5 34639.4 20313.7 19723.6 53.7 10.3 24592.9 17541.1 219.5 20527.9 15966.4 41428.8 7827.9 18243.4 31786.5 18069.2 15499.9 322.2 13650.7 22137.7 539.4 3903.9 11911.4 26889 45602 10186.4 4853 40105 6819.4 20844.5 4381.8 1195.2 5220.4 3484.1 17665 10653.5 4138.8 10537.7 25526.3 998.9 18043.8 19956.2 9473.1 14902 14877.9 18366 30696.4 3277.4 12974.7 23945.5 4071.9 3367.6 28881.5 39248.4 20566.2 335.8 748 435.5 10037.6 18182.5 50.7 39140.8 36673.4 470.6 10339.3 2137.2 3968.4 40544 16.5 6762.2 7606.2 35432 8619.4 3219.1 24741 23131.2 18801.9 10641.3 7138.9 4501.5 10164.8 5927.4 2384.3 699.5 14371.6 24077.4 6240.2 53481 25562.4 10055.6 1569.4 41551 31122 20.8 8184.3 20125.2 17801.8 18082.3 9120.3 28691.8 19286.8 16188 31682.9 10476.4 20426.5 30307.1 341.7 20581.9 13858.8 16179.1 19495.3 7271.6 5538 294.3 1187.6 2037.6 12947 521.2 8543.3 5228.8 455.4 5632.7 11385.1 22301 46098.7 3692.4 11079.2 605.1 31595.2 10888 2932.3 29329.3 3622 17121.6 9930.9 72071 4507.6 23490.7 194.1 16.3 2099.1 25006.9 10374.1 61860.3 17.2 6915 13212.6 3700.6 9878 35239.6 32825.7 29524.6 6938.4 7672.8 7726.2 23079 23949.6 55120.6 31368.9 13234.4 71135.5 7587.2 1330.3 17980.6 67335.6 44009.1 224.9 13411.1 29544.4 28576.6 15314.6 4580.3
36911.3 65240.3 50811.8 59568.3 64905.1 46031.8 47057 54644.9 31121.2 34970.2 38300.8 41663 73554.2 29896.8 57859.6 68403.6 34238.2 104754.3 73176.1 37417.6 37175.7 56977.7 53555.5 47940.6 63524.6 37843.5 53860.5 36206.9 39671 41053.5 38806.3 44486.6 60430.1 73204.5 71854.4 47856.2 58441.6 47917 62850.6 45206.2 60479.8 48159.2 63291.3 45664 59199.5 45686.5 49125.1 61299.4 46090.3 49848.4 70164 83708.3 61665.5 40955.4 43152.5 50902.6 59764.2 42753.9 74280.1 48408.2 53013.5 62444.3 49723.6 75475.8 52163.2 70193.2 49818.8 60382.3 53487.9 54477.1 54641 52989.5 62942.8 70969 59635.7 60659.7 57650.4 62468.7 52640.7 35875.4 52948.8 73570.9 44815.5 48057.1 76999.8 44478 76612.8 48653 49204.6 53100.2 38418.6 53081.4 39388.3 56454.2 31557.2 29260.9 36240 38397.6 67228.1 56501 42706.1 57884.3 26309.6 28245.4 37225.9 43215.2 60463.3 55774.2 37277.5 50663.6 40909.7 42181.5 31280.9 44798.2 37487.9 42208.4 52538 39428.2 70361.4 48333.2 58918.3 70959.7 48028.8 125530.6 55005.1 53374.2 37363.4 30409.3 41740 29190.5 38129.6 36509.2 28829.5 44045.6 30893.4 28925.3 45684.4 37963.5 43051.2 35505.6 63088.7 63746.9 51041.1 34354.2 34448.1 32365.2 25511.4 30189.5 34426.8 23610.5 48135.2 25164.5 38332 62773.1 36276.9 48384.4 50660.9 66806.6 37442 38803.7 38463.6 38496.2 32499.2 29003.4 35711.9 43747.7 35750.6 44001.5 63784.8 50429.2 53688.5 48527 49442.1 62904 72690.1 92396.5 41489.5 77244.5 32593.6 74414 53954.1 37989 66031.9 54424.6 73872.7 38230.8 66721.8 31540.3 39075.3 28785.4 32701.1 29237.5 21759.4 42680.2 31845.7 84535.4 30309.7 38018 50032.4 81088 81583.8 59784.3 48958.5 69137.6 44953.3 47149.2 56196.3 67254.9 54099.3 56208.1 33362.9 49622.3 31120.7 26980.2 27970.2 28878.2 32494.6 29441.9 74889.6 39062.9 66350 30013.8 33681.6 51916.7 51740.6 37940.5 55612.4 51930.6 70756.1 50712.8 53644.6 51746.8 90627.5 73278.1 51677.1 70647.2 44921.7 80458 58466.7 68410.1 29250 37289.8 37673.6 52238.6 40996.7 44390.7 58436.2 54584.6 32905.3 63095.7 56521.5 57827.9 90116.9 69305.1 41259.1 56773.1 39537.9 74785.9 46972 54574.9 61185.3 57844 66052.3 52725.9 88911 67028.9 43318.6 50400.6 40157.6 30813.3 59593.2 83405.7 40627.6 96561.7 70683 76005.6 124117.9 58693.1 71312.1 77987.6 56661.8 39227.4 46234.5 56325.4 49438.1 44599.8
