"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49"
1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0
64069 32393 69088 53200 153212 48011 47584 23780 60544 42768 332798 461387 57927 120224 110300 67762 41388 102795 446676 31679 31622 42474 66664 145986 41611 28531 30495 41482 16805 7528 33614 1224 1057 10144 19766 35203 37254 16777 18104 36427 13748 24730 24770 25072 38514 14968 45759 93094 55968
41874 18420 47180 21805 126509 28329 36180 11936 51709 42412 235131 386579 77287 110492 114297 55183 102644 142602 485240 34160 61810 41486 54007 151835 35612 22670 65841 31507 28567 22505 22670 38628 24546 9981 11410 22398 59656 13258 7673 37766 5754 22696 21341 111905 60985 48129 71846 89866 60447
65904 30591 69727 56486 159781 43770 55931 20980 48003 41060 290087 365322 52320 114054 100722 64321 28986 105474 426156 29599 25190 36609 62365 141716 36534 27592 20432 39584 13098 3833 33290 301 172 9100 16370 35878 33179 17161 22252 41672 13589 23690 24679 21626 35149 12113 43643 90885 48302
33865 15183 40126 31626 82665 16675 29514 7372 27264 17102 116707 154710 26642 57035 50552 38489 16512 57390 241375 16976 21264 20410 35748 76631 17048 13340 13118 23721 6699 764 16369 8515 10422 3990 9953 21478 23343 11657 14713 29154 7161 16050 12665 20750 20917 7975 23851 50011 30007
-12417 -10558 -12431 -14674 -21140 -9921 -9335 -13280 -16112 -11556 -126314 -237212 -5927 -4484 -8596 -7850 -20424 -10740 -25788 -11118 -20110 -14922 -11938 -22795 -17768 -19050 -13388 -11097 -17339 0 -10683 -8495 -12275 -8551 -8211 -8217 -8922 -9581 -7264 -610 -2444 -8801 -5567 -11570 -8113 -10749 -6652 -9284 -8090
23372 22448 29110 29895 31457 20940 48566 18596 62706 48938 115693 109318 63079 44604 43220 25053 101764 135257 179862 28828 70402 47799 32143 59251 29714 26528 7833 41700 32698 22595 32481 44057 26518 9218 15633 30300 22501 17173 14017 28593 12416 24187 24213 31602 41481 29570 31459 11951 38379
22219 -447 1971 63001 74835 52761 27726 539 24826 41917 -3513 8883 25770 164584 1589 76628 29141 8744 21814 809 -919 26900 38847 1168 3650 16021 35925 49920 35043 9854 14582 -466 1001 163 6035 429 1892 992 6207 636 180 26265 11096 3104 87752 55868 5270 22464 3233
52899 26132 56555 39336 118657 35219 39560 20923 49292 35088 138608 129458 49243 46554 68694 39057 72630 91153 91281 31581 49024 41253 45057 90101 37358 26243 37881 26180 23266 15466 21575 28144 23251 9437 16752 20598 15306 11376 15819 17873 9529 16367 14733 46564 43278 32005 35155 22030 35346
3219 -152 -560 27785 20496 47044 40919 730 55274 21799 4027 11719 69663 119428 404 64042 4331 4747 1828 168 3782 51541 9623 2274 6932 29216 18226 26631 23426 23726 10410 6252 2329 10276 2843 4741 5924 67 6943 76 121 25666 17328 336 74300 57091 4173 86456 516
46682 24520 38030 32081 19321 29254 31093 18312 44042 37191 163850 91563 45847 36598 30611 35282 63280 78223 37007 30657 47050 30766 36398 28182 35878 23466 40840 24160 23635 15685 23747 24326 19825 9512 13795 21300 14457 10345 14211 29055 7368 17499 11961 27693 35926 29978 40500 42540 35655
