"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16690 22266 36398 28273 119388 25787 39800 55164 13357 18244 15657 9710 50937 6839 19842 28159 12886 55459 16948 65812 53650 9667 22715 34538 31336 50150 54918 43857 97183 63747 88278 8562 21747 22662 63252 43922 195564 162897 49612 53375 79516 39539 37634 27570 35868 11888 24775 45370 56228 24758 8806 11392 17992 24413 30540 15230 11662 17253 25696 64585
347 164 683 428 -76 368 2623 925 728 216 600 337 476 2574 626 221 5448 574 1059 27073 834 853 2137 680 988 813 7779 1546 20926 1321 11471 301 980 690 58 635 207050 930 12444 5347 3419 1131 15855 601 1028 907 964 1836 13 733 360 1747 1743 8572 208 1145 1871 1294 32569 1366
18208 12328 26024 22755 68863 20990 25826 37143 13116 13119 15620 10967 32672 10955 18433 17537 12300 28200 16915 43435 47605 10872 18085 24158 29282 47763 36846 38884 46731 24765 37429 10067 16242 20372 47896 28522 98412 91509 39407 30203 67942 30497 33642 22308 30694 13689 22083 29975 33976 21726 14121 11097 15386 20157 25197 9181 14867 15982 23485 31972
508 281 942 2123 73890 1336 1973 1804 54 224 864 186 1094 1824 421 1635 450 953 721 3744 2788 55 1289 1880 1559 1134 1728 2575 2992 2430 1544 604 554 1445 673 1613 47353 53480 2319 33080 3492 1697 2198 1102 2566 293 1113 2516 1542 1331 673 604 1563 1571 1030 1086 479 375 14921 40405
21666 5395 19193 13461 15047 15816 27415 24143 5356 5684 10467 5053 40161 4928 4654 9744 4478 2824 7969 31409 45770 7363 18584 29351 8642 19010 7969 39099 78252 22016 18538 8156 6950 11836 24371 9852 31780 22435 22228 6476 20716 20807 33733 12756 25625 5917 15871 30417 18622 36871 6689 22291 24278 19454 9086 18668 10716 11111 9096 20121
867 3049 3017 5826 11463 5940 2661 6172 2201 4407 6069 11208 1385 1496 12864 284 2247 16259 1370 10037 46777 1103 1253 6872 2625 40703 7599 24928 5130 1268 70665 4605 1541 17340 896 2119 2964 3655 4817 3592 7226 7126 14579 1611 3598 3649 7304 42934 2622 8435 4970 1161 11351 14552 2029 2435 817 5529 9662 1063
11994 4850 3350 6962 12264 6404 3416 7685 780 5972 11050 10459 626 1270 19538 590 1745 11172 471 12886 53375 1126 565 13957 11858 15047 7796 20673 6374 808 56850 4422 1287 19288 1726 1536 2434 6656 5850 6661 10510 5283 17460 7254 6365 7587 22439 53634 2154 4626 18093 1660 22415 17566 14328 3136 941 4336 9178 2175
200 4289 3185 925 279 967 16003 37834 2198 1320 4955 292 4973 10726 2731 1835 7459 2307 4206 23505 2211 2614 1911 3933 4195 1214 44659 23791 8890 3683 31538 1683 906 5578 868 469 24645 8501 19669 4786 49509 2926 18548 3052 26799 1775 3804 30689 790 25988 4401 5611 7929 2735 3666 5631 5232 3129 17140 4510
2166 3263 4943 8673 29885 2295 4055 8192 2189 1264 5208 2016 3833 1935 2483 1847 3829 1444 3419 5781 4327 1505 3338 3880 2402 5384 3657 4119 11559 6702 7671 2155 3355 2825 3491 2320 62650 51065 4809 12988 11685 3061 6034 7354 4177 2268 4252 7712 5817 3646 4525 1561 3052 3013 4488 2480 2043 4623 10832 14558
