"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 1
8589.4163 9164.2537 3825.705 6246.4487 3230.3287 2510.325 7126.5988 4028.71 9330.6787 5271.5175 14876.407 14173.054 4469.09 4985.2188 4913.7988 5627.2512 7144.4062 4865.22 5382.3938 4412.4763 7434.8213 6995.41 4214.9 1914.6775 8865.4587 5934.8888 5821.6175 9767.0275 13324.729 12977.712 8753.2388 5012.02 6904.8012 8347.9838 5100.5363 4554.5762 5466.93 4201.5075 3656.7837 9128.1188 3799.0888 6194.245 11447.631 14641.931 9443.8775 14368.276 6951.3538 6302.7763 6357.9212 7121.1737 6870.3225 11605.972 7666.675 4177.2838 5777.1738 4527.0038 4653.2375 4972.1662 9112.3725 6730.625 6234.6225 7472.01
5468.2409 6719.5295 6970.3614 7823.5341 3694.45 1960.6545 3779.0682 3156.1591 7017.2295 4740.7682 3201.9045 8411.8614 5167.0568 4735.7932 5215.0477 3619.5318 2071.4023 3237.7773 3848.4432 1752.3955 6471.2114 6658.1091 2213.3568 2119.1114 5447.1864 3744.9886 3748.2477 9785.775 9505.0341 7565.6159 8978.1341 1383.4886 2260.7773 9852.2977 3343.3205 3139.3114 10152.273 2425.6273 5082.8568 5502.7159 5665.7795 5202 3529.1273 3377.3932 6671.7773 3651.9909 5565.7773 4127.4977 3736.8455 5346.6477 4751.7614 8278.9182 6409.7386 4984.0977 3387.8932 2912.3068 6251.5568 4173.9182 6824.4864 3472.125 4005.3 3653.9341
4263.4075 4883.4487 5369.9688 5955.835 3400.74 1566.315 3705.5537 2870.255 4723.7825 3318.5137 2327.6263 6042.84 4773.68 4075.1225 4288.6162 2606.5 1619.2762 2341.0863 3372.4887 1280.3238 5029.6175 5316.3962 1611.5188 1595.4088 4887.0575 3528.8337 3439.9538 8605.0438 7740.9875 5735.2 7777.8412 1269.6487 1987.0012 8178.965 2925.67 2958.4025 7760.9175 2228.8175 4101.9175 4590.1338 5157.0675 4079.6338 2920.8412 3048.4325 6260.6162 3302.9275 4480.785 3635.695 2665.5912 4254.1175 4102.345 7316.1038 6489.8637 4585.8987 2413.6525 2124.9887 4947.1225 3668.5338 5982.8463 2559.4625 3093.675 2728.2162
4064.9357 3718.1589 4705.65 3975.5643 3463.5857 3072.8161 6594.5143 4417.5911 9491.5339 6792.3482 11248.68 8766.0464 3330.3643 2845.2482 3213.4304 2544.4518 2576.1589 2372.6804 4444.5661 5200.3446 4749.3286 4047.5143 1764.2321 1186.0304 3782.5946 2721.7036 2502.9661 4941.2393 7982.8107 6911.6804 6202.4964 3168.7125 3439.4107 4467.5018 2914.1946 1658.3071 7258.25 1503.6054 1365.7 3234.4018 1359.7911 3951.1982 5445.8625 5401.2268 4905.7089 5738.4857 3667.6464 2604.7411 2493.875 3399.7089 3182.0036 3602.3518 2451.1179 3165.1554 2843.2625 2609.05 3763.5464 1567.5554 3147.0429 2624.6893 3183.0857 3494.4804
1997.8929 2015.2214 1166.5536 2002.6131 2181.4202 1810.2048 2460.9048 1854.106 5346.5417 2632.8893 5893.2786 3511.0845 3174.2417 2973.275 3147.4024 5967.0857 3401.15 3058.2714 2464.9024 2369.0607 1548.4774 1656.006 4374.7798 2090.3881 3927.0107 1556.619 1549.6048 3581.5976 2544.9345 3095.9333 4271.4119 1945.4929 2878.9202 3388.4464 1481.2226 3196.5333 1469.6905 3804.5333 1980.2333 3978.5452 1872.6452 2382.2214 2699.2619 4734.2988 3139.2488 5115.9131 4278.6167 1796.4321 1306.2476 4017.0381 3193.6595 8093.875 4176.2119 3051.5571 1467.0393 2077.9679 2737.1607 1570.4405 4847.3083 1596.2179 1795.3107 2404.6655
5282.325 5569.9071 1572.1679 2130.5429 2922.7821 1673.5643 3775.6821 2828.3036 1557.1429 5449.2071 5319.8571 4878.1821 3643.6857 4219.4643 4460.4464 7736.4679 2915.0929 1347.1321 1304.5571 2047.95 7000.1286 6236.7536 4520.7929 1087.75 6138.9714 3584.2393 4155.7143 7265.1143 10163.293 8961.2929 8248.8786 2726.8036 5887.2143 5632.5607 3697.9464 2280.4107 5695.6464 3591.25 4883.8929 7676.7143 2218.1036 1949.1643 6637.8143 5167.375 10926.218 4890.7857 7568.9286 2736.1571 4092.7179 7158.9179 7264.9929 6572.75 4654.6357 3404.4 1928.775 2888.5643 2792.5321 3466.8107 11222.682 4372.7893 3940.8464 5791.6071
2169.72 3849.0588 1325.4025 1531.1425 2069.2463 1290.4212 2621.4188 1427.5262 1969.08 4623.2125 9939.2462 3391.875 3886.4175 3556.88 2334.8087 4633.865 3361.535 1306.5725 1062.6975 2104.7588 3077.4112 4130.0425 3982.795 1248.1638 4379.595 3484.485 3703.2225 6498.42 9611.0412 6641.795 5514.2375 3300.5938 3652.94 3754.515 2080.275 2132.3125 4662.855 4028.5887 2925.7375 4644.3888 1395.0525 1909.0975 4903.8963 4434.3288 7376.85 5008.3288 6299.3613 3648.1037 3163.855 5059.195 3777.5025 4314.9813 2321.5225 2389.89 2793.6137 2661.26 2005.7125 2106.4987 6333.4725 3798.5262 2019.85 2876.4212
2773.4212 2793.3875 1472.2587 1714.6312 2948.575 2465.8462 2047.2812 3390.7062 2295.4025 3277.4038 4058.6438 2622.0075 3922.9225 3234.245 3302.7625 1356.4513 2888.0613 3507.045 2903.325 2938.8675 3440.9138 3229.71 3466.2888 1895.095 5385.03 1385.9625 1300.3775 3870.2975 2346.1562 2801.86 3681.185 1672.86 2524.5038 4869.5562 1638.045 3104.6212 2949.1812 2794.085 2061.4125 2518.6975 1683.7775 3415.1038 3411.6025 4553.245 3245.2512 5643.7813 5174.0913 2414.6438 1077.6162 2970.6363 2669.4325 5917.0263 3520.3162 3228.6475 1844.9625 1842.1538 2201.1775 1535.7575 4299.5025 1026.4775 1406.65 2150.9588
7526.3862 7017.7338 3296.9512 3869.785 3303.3712 1675.5438 6411.2675 4373.0438 6880.3462 4488.06 14144.835 10012.81 2968.0962 2824.7838 3855.7712 2982.8825 6749.665 3917.2662 4866.8087 2628.5938 5188.9213 6939.0925 2197.6338 1179.935 5130.4075 3634.3837 4139.2862 6936.5362 8642.8362 9363.4338 7043.5912 4185.6225 4209.1125 5019.0537 3763.1375 2958.9875 6223.86 2683.025 1482.9713 5460.9362 2430.015 3965.97 2534.9037 9515.1212 6518.7362 6013.9512 4038.185 3182.255 3865.8087 5341.0075 4191.89 7675.28 4477.4512 2292.2087 3297.4012 995.79 2919.9188 1887.6212 4644.4425 3512.3338 2927.7938 3767.0025
4607.6762 4802.2524 2786.5821 4989.4071 3109.4131 1312.8083 3857.119 3080.4512 6162.8929 3343.8107 3282.6202 6326.225 2832.2238 3187.025 4319.0286 6400.2274 1652.3024 1528.6143 2734.144 1688.8857 9008.6119 4771.5619 2560.4976 974.81548 5096.7214 2386.0107 3012.6429 6769.0429 8198.1357 6413.1631 12307.913 1025.3345 1390.6679 4843.6786 3530.069 2121.3976 4948.2333 2892.4488 3808.2679 4251.5298 4679.4524 2857.644 4012.594 3925.4726 5336.0952 3837.7679 4831.8262 3196.1393 1923.3714 4779.2881 4698.5381 5028.7345 7184.0714 4501.6702 3073.1333 2460.3333 4304.5202 3519.6 5888.5464 3243.169 2177.3202 2685.3
2598.06 1672.975 2441.4188 1723.58 2724.2662 2289.035 1496.4063 5784.1212 7927.6525 3830.425 6707.6762 4454.9625 2936.3287 3301.1288 5199.195 5387.9663 6094.9887 1894.9288 2940.9638 2776.2287 2260.7925 2329.9412 7473.6362 1179.735 4491.1775 1387.1887 967.785 4984.2237 3186.3025 2683.17 8021.1375 2801.8975 3783.525 6404.315 2530.7812 2446.04 2939.0475 2983.8012 2126.065 2962.7225 2369.64 2798.1625 1989.5938 4445.775 3932.2062 5468.1563 7351.6738 1735.0775 1210.8162 2821.5975 1019.0062 5096.5088 2831.0913 3206.4988 2266.2062 2475.54 3431.5662 1398.4675 6527.65 995.0475 1985.2262 3280.8462
1522.6462 1792.1769 1487.6712 1298.725 2557.7846 2162.2865 1604.2615 2222.2077 2022.6731 3046.9462 3870.9096 2341.6423 2590.7096 2130.0058 2579.7115 1088.8596 2678.0385 3095.5019 2707.5346 2877.6885 1934.1269 1875.1712 2683.6558 1632.9096 4066.3308 1172.8154 962.56154 3014.0712 2319.6538 2520.9865 2890.6904 1604.9462 2129.9346 3721.8115 1287.1308 2522.7885 2851.5615 2302.5538 1412.5923 1894.2827 1440.5462 2678.8692 2413.0923 3337.2692 2551.8538 4009.4769 3543.9788 1866.5731 989.275 2583.5865 2190.1077 4224.2308 2849.5923 2421.4769 1747.1269 1496.0404 2122.3596 1291.8173 3105.425 1272.5135 1329.4423 1655.3058
1300.5988 3792.5425 1315.8538 1309.3475 3164.6962 2070.0775 1489.905 2502.81 1427.5125 8878.3088 7921.855 4825.5338 2639.3087 2352.1187 1943.8275 1894.865 1550.4325 2565.13 1290.5825 4531.5512 2410.1338 5504.675 2592.505 2390.1025 2343.0825 2211.9012 2605.3662 3380.8475 5880.6338 4964.4912 3754.6662 3529.4738 2038.0687 3919.8563 1569.9888 1500.4488 4113.7088 1964.4725 2692.5775 2140.4712 1016.8863 2393.4375 5328.29 4777.8675 7450.415 3601.6875 6017.5 6146.0162 2881.5962 4650.895 1816.495 2309.1612 1539.0225 1859.28 2105.7363 2282.8475 2822.3963 886.01875 2482.5662 3456.8562 1347.2637 2565.43
1181.63 3630.3825 855.455 1789.67 2285.3088 3466.7912 1364.17 3616.2462 3334.285 5729.3212 3648.4275 6074.59 2609.5725 3216.1538 2555.9375 2464.1925 1290.42 2445.2112 2166.385 5161.1388 1356.3238 2411.4625 2543.7 1421.7175 3915.7238 1128.4938 1181.2888 3193.8737 2399.0637 2664.5875 3593.9688 2190.555 2917.37 3550.6888 1593.4575 2332.2375 1333.7725 2490.7412 3547.2575 2582.0113 1842.4163 4583.1938 7127.0112 5455.745 4986.5912 6879.555 5247.5675 4707.5862 2263.2362 5976.1088 2953.2975 7860.9288 3242.0425 5320.0938 1895.8125 3760.6825 3008.3175 937.2375 3450.61 2715.22 1270.1688 3764.3637
