"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10.460906 10.918149 12.00119 11.673151 8.832559 9.112564 11.013499 5.92251 6.156934 10.2272 4.85917 10.596275 11.224439 9.803124 6.036563 10.860301 10.855822 11.992632 13.033545 11.987572 10.577605 12.865345 11.47894 9.967925 11.675177 8.999974 11.952325 11.685949 7.736561 4.268409 12.171592 5.394746 9.589671 9.906234 11.617293 12.108911 12.889623 12.073206 11.116111 10.119374 12.480024 10.390118 8.756845 12.01171 12.521535 13.200894 5.014504 11.077475 9.91179 12.482028 11.236168 4.320474 10.157495 11.943623 10.712855
11.104652 9.886336 4.536245 8.533983 4.800665 8.978697 10.300646 7.08031 6.30584 7.382035 10.042894 11.374907 9.934815 6.058659 8.347856 11.727242 8.547393 5.649306 5.596465 9.332399 8.183829 9.314487 9.799782 5.442084 10.075159 10.532648 10.254801 9.383903 11.371101 5.218456 9.369092 8.652349 11.868051 4.511066 10.443696 10.064848 11.153583 11.268322 9.945162 7.355887 4.465504 4.398783 4.59851 11.86023 6.799202 9.724663 9.33905 11.213781 10.441757 11.048968 10.715667 4.467589 8.656021 10.54325 9.991834
6.735962 7.310707 13.200087 6.440547 8.768577 7.990265 8.705295 6.435885 7.049721 6.452177 6.959886 9.362613 6.616254 6.697198 6.62677 11.258004 6.567473 6.511273 12.914694 12.208935 10.948806 7.126475 10.055858 7.252025 7.239041 7.238979 11.140622 11.896441 7.209652 6.877301 7.117449 7.061469 10.2507 7.446065 10.557052 11.446423 12.074023 12.437929 12.839075 9.548764 6.484097 6.75614 10.828135 11.655363 9.956291 11.237945 7.111502 9.550538 9.841738 9.90116 12.924027 6.545078 6.836972 12.583259 6.986601
7.185062 7.0389 7.220669 6.893235 6.521014 8.602383 6.500826 6.535977 6.908216 6.529745 6.557413 10.952 6.604619 6.42277 6.773938 6.843937 6.530472 6.447884 13.344836 9.878771 8.409347 9.130829 11.306855 9.601379 11.477608 6.585015 10.443881 9.318606 7.890645 6.564978 7.47513 6.478678 6.995213 10.818463 12.28005 9.772926 6.979209 7.188164 6.687268 7.776029 13.432837 6.895227 11.756116 7.239053 12.277427 6.587603 6.590745 13.030245 6.278628 8.255344 9.831113 11.430219 5.967939 8.671052 6.479627
9.819669 10.560513 11.439993 6.997728 6.911008 9.582753 11.26563 11.800449 6.940868 10.522259 11.333996 7.250608 10.213208 7.18857 7.167162 7.185884 11.733602 7.251794 10.338 10.463399 11.028334 12.054357 7.394033 7.478037 11.86289 9.485517 6.831878 6.76338 11.746647 11.305286 12.190024 11.540581 7.35685 6.918979 7.119171 7.590192 7.223832 7.282913 11.598674 11.402425 11.782636 9.694581 7.294308 11.249289 11.321049 11.13915 11.924324 7.273353 10.305924 7.063502 12.267671 11.523521 7.001504 11.932679 6.610877
8.524474 6.791195 9.015587 6.677399 5.98156 6.598711 7.515801 5.910779 5.961973 5.902374 6.168644 11.86694 6.06158 6.220612 5.668689 7.208433 6.105067 7.495008 13.017385 8.402097 7.467511 8.162794 7.811565 7.019298 11.254127 6.447408 7.646481 11.256707 7.043228 6.093578 9.441717 5.896608 6.193906 7.189079 10.134258 7.42108 6.760533 6.089212 11.403978 6.286148 12.902033 5.830297 10.546787 7.052827 11.564154 6.600099 7.982476 9.618569 6.02228 6.300637 9.969011 9.234005 6.138266 6.961166 6.220378
6.848364 6.752265 5.135854 5.51606 5.314947 5.242871 8.143581 6.148901 5.408055 5.340437 8.033889 9.555317 5.328755 6.433339 5.221538 5.15524 5.396876 5.293302 5.556063 5.679841 5.585654 5.495583 5.290646 5.606405 5.880784 13.194406 6.151087 5.543307 5.658114 5.235881 5.346924 5.328247 6.146732 6.846653 5.328957 5.41339 5.444091 5.686722 7.429759 11.754928 5.479565 7.214384 5.587019 5.205006 10.891518 5.338914 5.670675 5.387394 12.313292 5.951106 5.404489 5.172694 12.213092 5.284392 5.728375
6.901893 7.310359 12.165625 6.577534 7.793188 8.340108 7.786809 6.686782 7.510253 7.214669 6.985034 10.447847 7.571781 7.538907 7.714173 10.451853 6.851734 7.026768 12.952696 12.851709 11.874416 7.360217 10.477416 7.228557 10.874068 7.943211 11.154779 10.17657 8.457816 7.625277 7.084754 7.399241 10.015013 11.03554 10.036626 10.196724 10.889602 10.940893 11.099244 10.793536 9.604616 9.992545 11.929831 10.48978 12.169486 11.826443 7.140687 11.636072 10.338139 11.783051 11.379325 11.582436 7.167506 11.930378 7.24669
10.424032 11.31736 10.996088 7.790515 6.093201 11.367788 12.255399 10.270317 11.348947 9.875856 10.085706 10.618178 8.098335 12.063956 12.010722 12.443219 12.822737 9.157247 8.893648 9.663931 10.970812 12.525978 10.131302 8.948343 7.27992 11.833439 11.400187 11.672222 11.504222 5.740653 11.757125 7.41102 12.241704 5.649653 11.312363 10.385239 10.836201 12.492811 10.4373 8.417453 5.816632 7.449826 7.609989 11.903592 10.059006 10.91753 10.159241 9.823415 9.685779 11.982382 11.689887 5.534519 9.229632 10.58582 10.565014
6.891263 9.807701 5.842195 7.497407 5.786024 7.652119 10.192892 9.276596 5.947167 7.637097 10.270116 6.479163 5.393207 6.304848 11.529634 9.744639 9.573428 8.399474 5.577218 5.475098 6.006983 6.439861 5.920799 11.299581 9.079695 8.581953 10.444441 9.956194 11.279848 5.269193 12.417049 9.596512 7.660001 6.087189 6.506655 5.770273 7.624643 8.674788 10.979789 5.79588 6.130255 5.951988 6.112772 6.333038 5.976345 6.169246 8.704594 7.847743 7.780452 7.417703 9.891174 5.699646 10.053477 7.281368 9.960295
4.981794 5.515691 4.906257 4.885334 5.040117 4.975504 4.983722 4.97993 5.072044 4.925991 5.203558 5.053316 10.708887 11.236122 4.902961 5.066325 4.676012 4.863653 5.206653 5.041225 5.060885 5.129283 5.161877 5.16886 5.094918 5.577626 5.04995 5.119718 5.247507 5.116524 4.986854 4.991472 5.158807 10.425505 5.062343 5.167175 4.941506 6.637174 5.79597 11.437509 5.283411 11.927868 5.061729 5.169056 11.435572 5.106156 5.096712 5.02347 5.047213 5.043811 5.589262 5.114213 4.931886 4.95026 4.997941
6.345474 6.599678 7.493964 6.170323 6.477663 9.268931 6.82752 6.533645 6.468502 6.295133 6.599386 11.387603 6.463412 6.49876 6.372882 10.649971 6.643423 6.828214 8.789121 11.02472 9.536757 7.223381 10.558139 6.626329 7.390335 6.770611 10.987787 9.243884 7.676448 6.738757 6.49476 6.564258 9.14348 6.501208 10.132389 9.869746 9.532604 10.485357 9.945445 7.850554 6.856743 6.654058 6.421963 11.317674 7.803804 10.36131 6.773709 11.744947 10.079464 11.799295 9.687588 6.312422 6.456379 12.599393 6.558347
6.857348 7.200254 12.307055 7.092206 7.31546 8.058609 7.554316 6.836606 7.029821 7.13902 7.478381 10.666956 6.730069 7.547944 6.629101 10.102458 6.798275 6.575847 11.773932 13.272769 12.219307 8.137075 11.080541 8.159934 12.684056 7.813029 11.006066 9.917659 9.040898 9.403478 7.183128 6.639358 9.181517 9.881587 10.148985 10.313598 9.032256 9.747798 9.626322 8.065945 6.951181 6.949718 9.242814 9.050591 10.109724 9.958498 6.859053 10.777556 9.240723 11.562591 10.294771 10.624824 7.522216 12.231373 6.882772
9.744549 6.506262 9.410367 9.677976 10.558283 5.750492 9.160605 10.32691 5.846616 8.904254 8.882419 9.642429 8.51389 8.426654 10.245382 6.045503 9.767977 10.574884 9.54019 5.783289 9.021887 7.356496 9.360281 9.122946 6.244735 6.251904 9.717034 8.767694 5.818832 5.669262 9.654461 5.450878 9.579154 5.892935 10.33764 11.73431 9.538213 8.987599 9.051763 10.92098 9.873432 11.390385 10.048351 9.744684 6.295838 10.448678 5.657977 5.446494 5.784314 5.886357 9.401815 5.620493 9.371197 9.854436 9.677917
