"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84"
1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
10270.6 9317.8 7954.9 9473 9874.2 10478.7 8969.7 8513.6 10203.8 12926 5686.7 9371.6 13535.9 12502.9 8177.8 66406.6 81342.1 97521.3 69317.8 62663.3 90544.6 67420 105282.9 110252.5 9430.4 7599.4 10547.3 10499.9 10493.5 9368.3 8066.8 8621.2 9746.4 8680.4 8679.7 9358.2 8794.5 8845 9048.3 10030.9 8442.2 8317.8 8983.8 9206.7 13083.5 9950.9 17586.5 13109.8 13563.5 16376 10783 9568.3 14575.6 14136.8 14612.7 9891.2 8679.6 8817.9 10234.3 8125.5 8882.4 10484.4 8561.9 8864.1 9547.1 8866.4 8001.2 10482.3 10085.8 10223.1 8064.9 13963.4 8826.3 6420 8421.7 9156 9684.3 9913.6 8238.8 11765.9 9337.5 10511 9513.9 9105.4
11438.3 10786.4 9562.7 10218.7 10972.9 9996.8 10801 10675.3 12229.6 13677.3 8160.6 11632.5 14020.5 13230.4 10197 76193.1 81204.9 96213 65137.9 59135.6 91954.3 69655.6 104947.3 108663.6 9540.8 7630.1 10282.2 9877.6 9818.2 10894.4 9594.2 8952.4 10780.8 8345.7 9348.2 9122.9 8899.9 8729.2 9035.5 10229.9 8615 8058.6 9839.9 9481.3 12578.2 9516.6 18905.4 14387.1 14729.8 16951.4 11329 9213.9 14976.2 12793 12799.1 11422.7 10721.3 10292.4 11404.6 9454.4 10001 11047.6 10200.1 10060.8 11202.1 9628.1 9249.4 10434.5 11316.3 10852.5 9478.9 14486.2 10294 9990.9 9733.5 10550.2 10856.3 10794.6 9813.7 12680.4 629.2 10443.1 11767.1 10980.2
12627.9 12331 10129.5 11786.9 11532.2 12257.1 11385.6 11074 13231.9 14525.4 9812.7 12951.5 15243.3 14256.8 10938.3 65047 74861.3 99151.4 65500 58766.5 90706.8 70520.4 92483.2 120094.1 10207.4 7745.6 10443.5 10481.1 10232.8 9765.1 9685.6 8258.4 9432.3 7953.7 8510.4 9613.3 8199.1 8538.8 9204.2 10153.9 9330.2 9106.3 9670.9 9474.3 12870.5 9855.3 17865.9 14129.2 14658.6 15188.4 11205 9652.4 14915.3 14619.2 14339.2 12096.5 11825.6 11649.8 12073.2 10843.8 10794.1 12202.2 10418.6 10673.7 12141.2 11324.8 10232.2 12572.1 12230.9 11643.8 10486.6 16212.4 10712 10622.7 10878 11629.9 11813.1 11682.5 10977.9 13721.2 11012.3 12419.3 11941.3 11239
12455.9 11254.8 9601.9 11301.7 10989.6 11726.2 10436.2 9994.2 12401.7 14804.6 9395.1 12063.2 14998.2 14206.5 10380 62305 73398.1 99883.2 66144.2 54049.9 85755.4 69298.8 85471.4 125137.6 9430.4 7580.9 9837.6 10153.1 9455.2 8731.8 9596.1 7966.1 8832.1 7960.7 7941.6 9690.2 7919.9 7761.5 9345.1 10023.1 9299.4 8685.3 9500.8 9073.5 12826.8 9441.6 17706.3 13739.9 14448.5 14692.2 10684.6 8482.1 14868.1 14704.4 14450.5 11776.5 11465.1 10797 11611.2 10207.7 10311 11919.8 10288.2 10183.2 11474 10004.9 9402.9 11992 11637.3 11320.3 10240.9 15785.5 9770.5 9979.5 10089 11092.4 10920.7 11448.2 10465.9 13488.7 10171.1 11483.2 11050.2 10909.2
9521.6 9648.3 7854.9 9171.9 9582.9 10009.6 9032.3 7420.9 10418.8 11797.5 6629.8 9496.3 12763.9 11920.9 8549.4 62097.9 68781.9 86967.6 62658.8 53206.1 80467.2 63826.8 89477.6 101469 9201.6 7299.1 9164.8 8897.5 8770 8895.6 8408 8046.7 8349.4 7869 7882.4 8731.5 7674.7 7812.4 7930.2 9694.6 7438 7961.4 8760.5 8091.3 11553.1 9089.7 15016 12809.9 13322.5 15132.4 10150.8 8754.8 12790.6 12528.2 12984.8 9838.1 8104 9582.9 9933.5 9069.1 8778.9 9355 8275.1 8312.4 8731.8 8381.1 7812.6 9771.2 9523.2 9375 8212.3 13434.7 8407.2 8582.8 7774.7 9716.1 8674.8 9660.6 8622.7 11923.7 8791 9575.1 9436.2 8864.6
11277.1 10665.3 8980.1 10395.5 10432.1 10900.5 9957.5 9417.8 11592.9 12889.9 8063.1 11076.9 13381 12929.5 9672.1 56366.3 70013.9 88496.3 59402.1 52200.8 82260.8 67365.4 87662.9 103322.3 8780.4 7083.8 9518.7 9194.1 9353.2 9050.3 8212.6 8133.5 8204.7 7355.5 7751 8549.5 7745.5 7522.4 8056.7 9307 8130.5 7577 8694.6 8563.6 11278.1 9014.6 16408.8 13135.4 13142.4 14594.9 10148.5 9034.5 12942.6 13889.4 12544.4 11316.2 10386.2 10310.3 11035.4 9949.9 9601.7 11079.5 9350.4 9762.1 10441.6 9927.8 9006 10689.9 10626 10759.2 9482.4 13820.5 9749.1 9611.9 9002.5 10535 10222.6 10519.6 9759.1 11778.3 396.4 10708.3 10956.4 10358.7
11150.5 10410.9 9252.2 10832.6 10433.2 11396.6 9946.7 9506.2 11625 13199.3 9680.5 11349.8 13770.1 13159.1 9205.1 59410.5 70660.1 83955.7 62666.9 53188.9 80747.8 64244.1 82547.9 108842.6 8913.2 7464.6 9445.5 9645 9268.1 8631.7 8610.8 7897.9 9022.4 7515.2 7734.7 8779.6 7778.2 7385.7 7928.2 9407.4 7925.7 8196.1 8925 8252.9 11500.1 8530.1 16560.1 12993 12832.8 14857 9976.3 8737.4 13443.1 13681.1 13694.6 11156.7 9642.8 10449.2 11089.9 9610.4 8830.6 11145 7917.8 9707.1 10968.8 9961.3 9096.9 11482.3 11024.4 11380 9756 14214.3 9491.2 7933.4 9416.4 10502.3 10588 9846 10220.2 12155.3 8610.4 10623.8 10568.6 10004.1
8960.7 10601.2 8690.4 11502.6 10094.3 12350.5 9923.4 10033.8 12901.8 12552.6 10333.9 14157.4 14482.1 13807.1 7676.4 55238 66381 72700.6 59287.5 56914.1 79977.8 63266.5 77225.2 87505.1 7859.2 5005.5 8942.2 10684.1 6972.9 6812.6 7702.2 7102.8 8365.8 6075.8 6741.5 8029.5 7091 5295.8 6273 8430.7 6122.6 7541.3 7544 4363.7 11147.6 8482.5 17979.2 13102.2 10071.6 16486.4 7702.6 8684.1 11288.7 15251.7 14888.3 10017.6 10964.9 9849 12164.9 10997.3 7582 10102.2 5784.1 10367.3 11081.9 9924.7 8777.8 12290.2 10343.4 11159.9 10554.5 12425.7 8145.9 8249.3 8339.2 11165.4 11719.2 10312.2 10374 13473.7 8906.3 11470.9 10440.1 7636.7
9421.8 10440.3 8749.3 11337.2 9756.7 12547.2 9118.1 9238.6 12695.9 12245.7 10526.4 13786.4 14144 13729.9 7612.8 56454.1 64341.9 70208.4 59181.2 55891.3 79063.6 65660.6 80609.6 84401.6 8051.4 5067.4 8991.9 10602.1 7044.1 7123.8 8103.8 7408.3 8424.8 6350.7 6606.6 7886.4 6969.6 5486.3 6151.6 8385.1 6297.2 7738.7 7561.6 4321 11255.4 8445.4 18061.9 13493.6 9827.5 16831.5 7655.6 8882.7 11255.2 15721 14686.7 9861.8 10333 9998.4 12628.2 10584.4 7525 9793.8 5782.9 10048.8 10831 9895.1 8422.1 12919.3 9927.4 11963.7 10497.2 12418 7740.8 8271.4 7866.3 10722.5 11343.8 10241.7 10870.1 13808.6 7866.8 11392.5 9878.1 7676.1
