"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
209141.72 244092.03 241729.28 302838.94 310658.1 277322 291538.6 292888.94 359727.97 329831.56 355619.88 318794.34 306431.6 414126.84 386151.25 382099.06 231606.34 396002.03 407803.88 264935.8 313900.1 306966.9 303387.34 243729.6 330625.62 205921.47 315307.6 392057.94 225407.86 262786.78 319676.78 370797 335377.44 139778.16 199711.23 332033 305098.72 293676.1 321333.53 288559.06 264035.75 206941.88 384122.53 319684.8 499706.25 212829.14 216007.64 227306.53 424088.47 360796.1 300083.62 401341.34 271576.44 430597.1 276436.34 318250.75 291827.53 281754.78 571726.1 375367.38 320449.7 329922.1 346640.28 322919.56 389949.1 308355.7 301820.44 357914.4 291327.66 270441.3 269018.94 292305.84 150591.89 364317.94 250414.42 234507.11 294967.12 269578.47 285788.47 236576 361851.53 311523.22 379408.75 265045.97 342792.16
244429 265834.5 260760.31 336166.5 342756.22 312411.28 319855.6 330992.1 407754.84 356653.8 366050.1 346344.84 313172 393741.38 381066.28 427065.06 277091.22 398787.62 403862.22 314105.3 341436.6 362266.62 383815.1 278408.03 343603.2 253604.23 405857.94 429141.75 253286.92 302518.9 389218.94 351402.72 355864.56 177093.62 245412.39 372679.97 339109.56 323754.12 311361.34 368125.44 306444.28 257687.28 422104.03 369812.34 489728.7 240688.45 247381.25 261710.86 443204.78 383383.47 349651.34 487762.22 328505.7 365853.34 347573.5 384770.22 399061.25 333503.2 569566.9 506205.3 305852.72 370024.38 424451.7 385732.5 481075.8 367534.8 328713.53 394032.12 306351.47 320121.75 291260.66 329242.94 165813.02 462328.88 313058.38 288425.06 299096.7 318827.8 380688.94 280128.66 425095.84 343690.5 327999.75 321199.56 380352.66
150430.5 166914.16 151614.25 185523.45 218896.86 176974.58 151569.2 218638.48 224861.03 199828.62 180684.3 200758.39 198418.83 193134.27 341225.38 237814.88 187140.72 283182.8 241598.45 225588.89 202653.5 181820.23 210995.66 201682.69 249309.95 142887.45 300241.8 305199.8 212902.9 246240.72 181012.78 297375.62 307427.22 178872.78 175320.3 223380.39 199268.05 167770.1 172773.31 296571.16 131053.695 206122.86 265203.88 261074.17 298374.97 185187.33 203267.23 113502.42 299286.88 223682.75 282516.16 346781.44 218497.5 54223.5 304561.38 237623.73 221160.75 185388.61 63090.08 252313.36 275196.28 162522.56 306995.2 164222.83 341085.72 286286.9 274914.7 214736.22 188123.03 298761.88 290771.25 249877.56 149268.5 212439.39 169461.61 247766.67 291434.12 133406.86 250436.47 215433.61 258185.64 286934.9 117081.29 294165.38 314185.38
81286.305 133957.19 123530.664 201228.64 129173.72 139744.31 155235.7 172883.06 167642.25 183033.98 169712.33 146981.06 179878.86 125938.7 287078.62 177423.75 189728.95 199522.5 194571.33 158328.86 179925.12 154321.14 141099.47 145000.78 230212.7 131835.84 314597.62 221490.95 189045.27 229940.56 212033.27 289615.06 296656.28 154332.03 136809.44 179897.97 212926.89 195219.9 249924.97 205575.17 160951.47 142738.64 284532.56 267282.75 237795.06 117414.766 152327.97 116572.91 265877.4 153171.75 220925.47 221363.6 218170.02 191035.62 270343.97 230219.86 306725.03 167219.4 96866.81 346981.3 274220.78 209802.25 302334.8 205220.6 211093.92 207487.19 296742.3 234312.11 227943.45 196358.64 216063.16 255493.88 139794.45 319484.28 127781.88 215253.61 276647.3 118881.76 239419.8 164739.34 170403.03 205737.81 295780.25 227935.47 266912.25
108650.42 116339.73 102787.98 124420.695 156266.75 116155.49 103657.85 165204 119584.91 121091.17 100739.13 123112.625 117425.25 106680.48 223575.25 144840.97 140635.58 198046.7 178123.61 176396.08 146446.03 110922.98 154850.34 153353.56 209911.34 120923.81 193757.34 221299.81 165206.66 181745.64 94423.78 241129.56 215012.64 161370.2 143981.06 146286.06 117390.99 106392.7 44106.035 264080.88 69726.76 154521.39 192346.36 184865.34 208668.19 135266.9 165184.08 36691.88 181076.84 149442.9 219703 218603.19 131791.3 18634.375 235424.03 163562.66 151899.84 109140.63 8367.414 135327.31 224233.11 92010.766 199162.83 98456.38 212665.95 212238.25 222286.25 56303.14 58551.406 221394.62 237140.16 191156.89 124231.87 112988.35 121804.27 217406.77 228562.33 79333.21 144561.64 155534.58 153821.22 235428.78 27516.516 216589.12 237280.17
87134.18 117810.29 145110.48 163413.86 116239.96 131617.77 153740.23 171916.55 152777.36 145495.34 131971.11 157634.1 161530.6 132140.27 233797.19 168616.22 172998 218237.25 219836.56 164630.55 160473.03 132665.75 127868.586 146883.53 251147.16 126895.36 275958.72 220155.45 200480.75 194240.39 168869.31 291375.94 281804.88 159586.23 155463.19 173427.08 164537.4 150366.16 108273.65 197282.58 144505.22 132225.69 281392.03 248441.88 184368.88 115691.89 153015.25 40043.445 198970.3 150832.75 227220.02 147820.95 213586.12 51721.867 240424.78 203680.36 272387.97 133821.78 31692.078 262143.03 257304.22 139480.06 247589.88 174315.73 181890.1 222311.27 286373.16 96700.75 116286.3 183485.02 221080 219772.69 141640.48 258437.56 134627.92 216566.66 251931.47 136311.95 176805.42 166926.81 124697.32 206387.02 93510.19 202492.98 262939.6
128565.125 93226.96 107235.67 252314.66 109109.92 70405.67 166799.98 264915.72 185416.25 188136.48 181524.95 330989.7 211332.58 208653.02 169702.62 136949.22 134007.06 260879.33 236602.25 158077.88 98301.375 114524.63 165192.23 121520.984 85673.96 87913.375 153922.33 202036.44 72925.27 201025.3 126177.11 108103.79 108031.35 119362.68 139948.11 169459.69 110002.94 96687.65 187092.33 141630.25 177975.03 125046.67 123555.055 88140.62 204994.4 141081.45 122183.734 114591.336 92533.74 114168.51 76201.7 207736.08 138036.47 124377.37 190088.69 121582.41 307143.2 161679.66 236506.22 361850.66 137929.62 215178.22 205602.98 185355.8 154233.25 185000.5 150370.72 202857.75 187095.56 114153.234 121992.62 134980.47 113651.625 202581.86 187333.73 139470.38 188208.44 87167.664 163549.38 211509.52 131000.62 133753.52 174902.98 158224.2 160467.86
182456.78 210005.77 187768.14 187441.78 289868.53 264052.38 245027.06 283784.84 291331.62 263705.9 285497.03 178986.52 221873.89 309116.78 297421.4 315783.47 206998.42 273757.22 311948.4 263561.28 282556.75 269624.97 226402.25 220817.58 276938.6 198849.94 249322.12 261471.28 183343.72 230524.06 295951 275010.88 252915.98 117438.99 188576.62 256972.97 233919.73 246987.58 269604.28 232186.22 235903.48 208240.56 258151.78 307364.28 305480.5 190576.98 188449.77 197865.36 318393.53 240957.48 274579 372150.4 242856.88 407897.28 252996.73 266865.47 232109.14 260630.31 501068.22 304879.3 233712.3 217250.05 252399.5 244753.05 364267.5 221344.78 250365.27 339860.3 272060.94 244547.52 229081.8 214883.23 137432.61 262587.34 233129.89 195029.19 222239.98 245918.28 221765.28 217478.44 261797.67 252723.36 327689.4 240258.67 297926.78
996.146 779.629 1115.203 1052.852 1343.557 1029.279 13783.444 1143.264 9831.15 65029.445 3136.322 865.132 8591.131 991.326 10146.104 2486.959 2087.529 14840.347 10291.597 1140.629 3690.251 607.188 4303.837 898.591 770.08 952.27 19741.055 6001.252 10612.538 10258.731 5055.685 8951.29 57407.12 1805.977 20684.799 1033.9 48961.652 1770.092 853.225 31402.133 1334.634 4995.477 10443.188 8761.218 124270.945 9442.333 52147.54 869.344 1763.012 13258.656 1215.105 73270.64 9775.472 1988.135 252662.31 1395.934 2426.865 19453.346 739.503 2237.308 31218.684 12551.351 639.695 1090.747 338948.88 13635.315 16756.791 12211.414 1763.484 13509.164 5930.858 160932.94 4171.23 1067.352 1240.587 2636.282 1689.482 23482.809 14120.827 16481.2 1199.109 608.583 1115.383 36123.555 226903.4
