"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4874.9 8947.539 5078.856 6704.5356 12086.307 6097.294 5436.5522 4490.305 5507.5894 6271.0854 5372.593 6235.9233 5524.647 7237.5835 5978.7324 6274.3315 9641.548 5624.5513 6573.0728 5956.3945 6382.613 4055.8 2853.2915 4572.8926 3703.3801 4824.312 4799.398 4834.3677 2942.6519 3256.028 2739.99 3077.022 3309.0732 3039.377 3276.3042 2790.43 3202.0735 3469.9707 3218.5286 3084.9688 2691.7512 3833.8972 3402.5828 3008.75 3716.6394 4302.017 3733.3582 4813.0967 2797.817 3626.818
6532.1 7295.0728 5995.8403 5854.687 8212.975 6567.822 5578.205 5428.912 6017.3784 5664.8745 5433.202 7035.0474 4761.127 7006.439 5868.887 6188.3506 5296.4023 5907.511 5543.7676 6472.325 5855.3076 2853.3 3103.1108 3507.1367 3129.2244 3515.1345 3190.2788 2506.596 2981.1118 3223.6255 3311.7131 3273.7861 3782.638 3506.6558 2977.9062 2535.4001 3010.017 2896.2908 2954.227 2702.439 3779.8767 2921.5007 3418.1118 2998.5286 3270.3674 3369.8806 3025.6606 2842.3025 2861.9119 3459.2043
911.6 6905.57 4979.517 4702.191 7183.011 5140.206 5238.674 5049.621 5127.962 1876.5013 4794.379 5812.7964 6514.69 5382.5693 3232.3289 5438.5796 4891.547 3208.3376 5134.476 4995.29 4559.968 4716.7 2893.3572 3542.7666 4168.5464 1215.6295 4057.6921 3312.5618 3045.212 3146.6377 2687.525 2874.7437 2224.7058 2227.8455 2636.836 2292.6108 1483.3285 2910.3735 4327.1074 2821.4934 3073.5588 2570.7183 1488.1086 2524.8203 4147.228 1712.9918 4792.3364 3592.8792 3329.0527 1484.6904
27.2 1936.4929 2449.9465 206.07175 189.58513 1249.1895 1578.6653 148.1211 591.9235 629.96533 640.7282 1214.7266 1785.6189 8170.6255 796.3932 1033.0525 1316.3126 1229.8611 268.94586 608.0705 2103.8694 487.4 1006.5196 165.4941 124.979706 198.81984 347.17197 409.60468 194.04012 547.2031 421.2748 1381.069 663.8338 2316.5105 356.23608 1512.2487 2943.331 595.37775 384.89618 1600.1635 454.28098 558.6851 338.82098 2883.005 191.6033 105.76584 1405.4591 1728.1909 510.72705 564.9928
119.5 3993.8118 2717.5857 740.44543 364.68097 2599.0427 1755.206 477.44788 766.6328 758.7838 542.2812 1242.0015 1673.5343 7712.894 999.9603 1174.6934 1754.4517 1383.0079 494.1475 759.5303 2041.2507 626.5 1347.1328 743.877 260.07526 756.82715 1024.6958 514.06036 233.00381 538.6001 624.0888 1261.8552 619.7335 1779.1716 1079.6569 1614.3281 2862.7969 653.9109 519.4497 1529.7375 465.64938 723.186 454.65936 2613.4204 295.32965 240.45628 1313.3976 1511.1082 493.3568 859.944
2744.4 3482.5652 4853.867 4210.5747 3728.0312 4747.336 3864.8955 4419.0723 4747.1514 4908.4976 3874.8474 3836.8806 5242.6426 4492.1753 4084.5906 4991.023 3300.3167 3643.1196 3742.4583 4296.567 3636.4246 1724.5 2183.6006 1798.8313 2204.6028 2439.8677 2120.213 1271.8053 2279.4907 2381.596 2227.6458 2515.9202 2812.7651 2443.2576 1922.5452 1900.5396 2506.9478 2121.598 1636.3809 2019.7865 2364.2847 2162.3687 2301.7917 2228.9211 1783.0975 1999.6183 1923.1531 1912.7643 2049.6494 2321.6824
620.3 3142.652 1683.0054 1081.4816 3000.098 2296.8428 4231.06 2544.8975 1922.4288 1230.316 3434.1301 1428.2233 4830.6196 2350.6724 906.5185 2768.33 1277.817 896.4638 1814.9795 5088.825 1445.5765 464.2 1869.2611 1082.1202 990.0481 502.00983 1499.7888 605.06854 1414.7805 1517.2108 2423.546 1271.0018 1754.6914 919.0342 725.9355 974.37646 683.1506 755.74756 1403.6583 797.8192 2585.8547 629.4061 527.0269 1637.21 966.2317 1044.233 1253.9834 888.2393 721.1313 1375.5581
3242.6 3241.8318 3517.205 4675.8857 4341.071 4330.2114 3663.2793 2769.5688 3368.688 3720.5627 3508.5066 3622.0251 2984.1387 3281.435 3872.892 3416.6038 6873.537 3875.7437 4441.1504 3746.9788 4208.058 1616 1925.2657 2030.5875 2172.1885 2361.9795 2397.08 3143.6533 2051.3857 1899.2607 1757.4124 1922.5205 1885.0507 1902.0234 2265.7048 2056.5593 2094.004 2258.3435 2003.1995 1994.1654 1989.6393 2450.7375 2157.2576 1763.4336 1799.9426 2609.218 1541.3208 2240.1887 1837.7113 2156.3198
67.1 3687.7458 155.8736 639.6869 4343.1113 1721.6953 1617.0573 651.8172 1105.541 314.98267 33.59494 933.1992 2502.848 3878.992 415.75635 2568.8943 1000.88556 1794.7617 3079.511 757.2059 1922.723 212.2 131.36902 2730.854 877.5772 32.959 326.9584 992.60034 85.84833 168.2301 636.56 330.6828 6.379284 598.3286 1002.28156 1635.5524 723.50287 1201.5355 1742.2158 590.4932 490.65985 1363.6156 538.38464 1235.9215 1538.967 1608.8632 539.2561 2375.0977 181.014 510.1819
3121.4 3338.781 3779.4746 4750.618 3913.943 4374.661 3621.1492 2759.7786 3239.0828 3596.3486 3612.495 3824.5493 3181.4075 3853.9243 4205.091 4061.603 5852.7524 4112.7495 4489.958 4101.78 4253.5845 1520.2 1840.076 2074.198 2055.693 2021.5673 2505.5989 2684.6055 2045.0675 2177.7605 1772.5299 1893.0234 2176.3896 2150.0527 2151.0347 2048.062 2171.53 2267.931 1843.3599 2141.1355 1829.8564 2510.3818 2227.4639 1827.3717 1633.1506 2609.873 1332.256 2142.872 1791.6643 2386.5256
3196.5 4604.5005 2165.8145 3171.6643 3231.7222 1865.3522 2601.8542 2474.6772 2380.2925 3565.1643 2826.3909 3326.5994 2632.1934 3250.1816 4143.404 3221.0112 4159.3013 3374.3232 4114.8916 3278.0022 4050.9526 739.6 1951.03 843.1896 680.0462 1011.9725 706.5901 1847.0585 1726.3069 1679.852 1670.8749 1704.4869 1650.293 1997.898 1725.5089 2022.4207 1820.5052 1875.9972 1158.6931 1844.3911 1587.5961 2145.8599 2042.2231 1718.1115 763.094 1867.2198 875.39557 916.513 1374.9932 2295.941
4346.5 4238.0874 3862.9343 3197.598 4499.4326 3681.049 3749.1743 3829.8794 3849.3818 3259.5996 3127.1 4532.757 2764.341 3560.9246 3377.784 3095.8835 3688.352 3740.9377 3372.658 4024.0508 3252.2476 1748.5 2203.797 1747.1597 1721.2174 1858.0021 978.7357 1421.6292 1778.6858 1871.9446 2498.1414 2376.2249 2375.1462 2427.9666 2153.24 1643.638 1669.9363 1755.261 1070.0206 1419.9243 2188.9841 1464.5315 1959.9049 1632.2515 1789.653 2147.079 1964.6552 953.7877 1675.3516 1783.5568
