"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
49406.6 48329.4 50308.4 53645.7 66495.2 56666.9 51305.6 57329.5 57058.3 74359.3 78292.6 65637.5 87585 50493.8 86466.8 47486.6 53409 65222.7 34310.5 53147.4 56816.2 56295.8 58617 68441.8 78390.1 52107.5 37719.6 31388.2 10645.5 38537.1 68563.6 69936.8 49068.1 59520.3 84940.1 59406 55481.2 49358.8 41402 54489.4 98953.1 41406.6 217561.3 71146.4 71789 73232.4 65677.5 44267.7 66343.3 30983.3 88093 49954.7 59701 22584.6 84117.8 63971.3 78121.8 73442.2 98164.1 81493.6 49081.8 47086.9 45309 46910.4 81104.2 84117.3 87522 86495.1 89540.9 53158 78161 52827.6 65234.6 46213.1 53372 79802 85605.7 64028.3 88949.4 174483.3 97449.1 74402.6 53164 88279.2 75077 72704.2 95483.3 77966.9 92858.7 81453.4 44774.7 80523.7 130481.2 55625.1 62392.9 56337.1 59569.1 71361.8 84929.5 65497.3
69669 46184 55347.9 53000 63529.2 57893.8 48291.9 46913.9 59022.4 76353.8 76217.7 51423.5 75657.5 42790.1 87174.9 78016.9 83266.7 52736.8 65786.5 50227.7 48858.2 49645.2 47311 58159.3 76569.4 55261.2 62716.6 58508.6 95158.9 32908.1 52172.8 68519.9 39780.5 61992.5 86413.2 53256.4 51112.1 42354.4 38848.4 58317.4 73591.1 34015.5 185141.8 72039.3 71840.1 56094.2 54247.2 64623.6 61593.7 53308.7 84672.2 41325.6 54026.7 127543.2 81553.2 55330.7 65322.5 68539.5 82163 68123.9 38553.4 37697.8 39576.8 41428.8 66277.9 58495 70203.8 42265.5 45549.9 29019.6 70947.6 41414.8 56591.8 42564.9 46324.5 30859 80908.3 62862.1 36863.7 132196.1 52254 58265 47242.9 72579 49170.5 60978.1 83178.2 66601.6 82511.4 77331.8 43681 76472.9 106004.1 49312.7 54385 45505.1 51262.2 59702.8 68058.2 63145.1
65590.3 47573 55992 45372.3 59548.7 51281.4 51131.6 52615.9 58242.4 24.5 64716.4 48390.2 73633.2 43979.2 77965.1 64106.9 61296.2 58431.7 48638.5 44881 47841.5 54688.4 49497.1 69624 56685.3 40908.8 49704.8 35963.8 56.1 38494 61724.6 81892.4 45719.6 56201.9 80070.2 64832.7 58089.8 49976.3 33823.7 64316.2 93771.3 41289.4 145323.9 82339.9 62221.8 53827.1 61933.3 65993 68725.3 49400.7 53187.1 47422.8 54472.2 65.5 61233.8 45864 66497.4 77257.5 43031 64560.7 39649.8 41792.9 41649.8 45626.8 65169 65969.1 79651.7 68657.6 89803.9 53358.3 60724.9 48525.3 64939.5 40604.9 51941.3 64087.4 78033.4 41610.9 82133.5 139221.8 77388.2 69644.3 49550.2 79755.5 64963.4 59748.2 77763.5 53017.9 81543 85627.9 42025.2 76629.3 564.5 56424.1 51927 46414.8 55771.1 61089.3 67736.5 53517.9
59704.4 45009.2 48815.5 48046.2 60834.5 51717.6 49517.4 52342.6 53536 24.8 64787.4 45621.3 80815.9 37262.2 65303.4 62716.6 53943.8 54896.6 46064.2 37956.9 47751 50677 52251.1 64453.4 57603.1 38743.4 47626.3 34544.1 24.2 36035.1 57836.2 71350.8 42007.2 55517.6 82485.5 60916.5 52651.4 47419.8 32952.6 61827.8 121590.6 38159.6 132048.9 71991.9 58135.2 55875.1 57902.8 55484.7 64208.4 49289.5 51785.7 43507.5 51743.6 41.4 61876.1 44256.4 68210.2 79244.3 44751.6 64729.7 39354.4 42258.4 37970.1 41213.8 66125.2 71804 76652.3 68272 90202.5 49181.6 59755.8 50128.5 64240 39723.5 52889.7 60121.5 74479.9 43107.8 71498.6 134715.2 76572.5 70968.5 47582.2 80181.1 62836.8 57619.4 65002.2 57215.7 85181.1 87825.3 42308.7 72804.8 360.1 52254.3 54120.2 50472 55657.2 58109 64737.1 51757.8
59632.8 44443.9 48548.1 49390.2 61710.4 49031.6 52520.4 50668.8 55359.9 227.3 61580.2 43859.5 78931.1 40010.8 69085.4 58982.9 50171.7 56890.7 42728.8 24401.3 55315.5 50254.8 48086.3 71268.4 58698.3 33221.9 45567.6 29223.2 215.4 40396.7 55655.5 77022.9 50759.8 53647.8 82751.5 64661.2 64513.3 53081.4 34961 78047.1 85389 41654.5 106170.4 75539.2 53323.7 51083.3 62665.6 58539.7 72421.4 43900.7 51170.7 48690.6 52326 227 60845.8 48631.7 60744.3 80249.9 43911.5 64852 41736.8 43499.9 43367.9 50204.3 66034.6 72736.5 77338.5 50027.4 71439.6 42294 64184.3 46756.4 84099.6 46746.4 57337.6 50127.7 81584 40483.8 49043.7 125461.1 61696.2 76874.1 53259.1 87327.8 51297.9 62006.5 65472.5 49779.3 99140.8 103612.2 44655.6 83346.1 328.8 58121.1 55805.2 44076.1 55404.8 56110.8 63518.6 50619.6
54207.1 43165.7 48667.5 50641.6 61446.8 52968.8 47737.1 51725.7 53947.1 59730 45212.4 59425 63836.5 51721.9 57448.1 56346.3 58999.7 63104.5 46828.6 43523.5 68826.5 61218.8 51483.5 62797.3 54382.2 52660.4 55377.7 55496.5 65903.6 38954.2 55401.4 73541.9 42680.5 66132.7 98517.9 53985.1 51147.9 39616.3 38664.4 54989.7 70620.1 40869.3 138098.7 76478.6 59759.1 59215 50546.6 58442.4 66352.1 55071.3 60056.5 47717.3 54969.6 55640.9 61067.5 53038.5 66631.1 57202.1 84459.3 69655.4 41449 43259.5 41283 42695.1 86201.1 79021.9 82313.4 74146.4 89978.1 42137.9 70278.4 46108.7 58087.6 42182.7 41026.7 68789.2 71931.3 68248.2 72768.2 144421.2 84143.3 67165.8 46402.1 77626.3 61023 70335 80793.7 68875.7 93153.8 61658.5 41280.4 86342.3 109156 51070.5 60879.9 50272 71385.6 83233.6 92581 71066.9
44454.7 33732.2 38314.4 29535 37010.8 33585.2 35449.6 35936 35993.3 52497.1 44687.2 38196.6 52685.8 34958.4 40716.1 39037.8 53086.2 43968.1 40284.3 50131.7 27247.6 38695.9 35849.7 50903.8 51274.6 29625.3 38273.1 40846.7 68132.5 35098.5 44693.8 56272.2 44476.8 57609.9 78405.2 43807.6 52588 48750.8 37760.7 55530.9 41205.9 29312 56599.1 56383.8 47466.8 47520.6 52748.4 42188.6 41323.9 39217.3 70443.1 37433.6 48949.5 79624.9 64757.2 43377.9 57053.3 58902.8 69878.1 58084.9 38993.2 36912 41024.5 45034.2 61182.8 62921.3 65786 58548.8 66195.7 42787.5 69841.5 39453.8 68885.5 38642.7 47936.1 58551 69168.9 59350 66761.2 160142.3 73385.5 48218.7 47671.6 65727.5 59684.2 60871.2 75760 49436.5 55702 80880.7 38706.8 68655.2 122740.6 45901.9 46864 41181.3 52342.6 53615.2 70780.4 59921.8
40254.1 40061.2 31064.5 49080.7 46838.7 60262.5 46093.7 60408.3 49459.2 59001.9 51117.6 45915.4 46995.3 32776 45134 59542.4 44622 40308.3 48996.7 41788.1 45220.7 51471 45314.3 78035.7 65137.2 49416.3 46182.1 62395.3 46487.8 35232.6 49166.9 60161.5 43744.9 57472.1 65687.9 38095.4 41313.3 39332.2 23823.8 65783.4 75559.7 40762 102983.5 71283.9 65837.9 50161.4 57607.3 57697.3 47305.1 32692.2 26519.5 38642 36897.8 44421.2 58028.4 42484.2 50615 81023 59772.2 49199.5 38714.3 32820.4 41943 42033.3 72321.2 95414.3 48918.2 51428.2 54486.8 38710.9 70809.5 42296.6 43339.4 33919 47111.4 63588.8 42212.9 44285.7 67872.3 153958.5 62877.4 51372.4 32716.6 83529.1 42635.2 53325 55411.1 56719 77171.4 50857.9 38845.6 61979.4 88122.8 41743.3 42883.6 32104.5 59297.6 75718.4 57539.1 54391.4
36817.9 27758.2 41284.1 34441.8 34293.1 36512.2 37032.7 36530 35097.4 39355.4 28863.4 34628.7 35302.8 32633.4 26943.8 34961.3 19595.7 28094.3 30763.5 25023.8 44693.2 40851.3 37370.6 42782.3 47251 31617.8 40062.1 50426.9 55111.3 30938.6 41805.1 61876.9 29895.5 59386 69273.2 52891.3 28681.7 38887.6 30937 40819.3 70850.5 33222.8 72595.4 80321.1 44469.2 42454.2 37606.7 16325 48760.3 45990.2 35085.4 41851.1 15904.7 48161.9 37002.2 31295.8 56061.7 51286.2 59148 50852.5 33929.9 29384.6 31112.5 34517.7 54938.9 85434 49472.3 20282.2 12337.9 4300 42013.1 35548.3 38282.2 23343.5 25241 18846.6 46408.5 53183 13736.7 101969.1 22680 46809.7 35392.1 60537.4 12781.7 45283.5 41765 43384 56517.3 28883.9 41759 50201.7 43263.6 31357.7 52338.5 37100.2 58846.5 74136.7 56572.8 54353.9
