"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4.031 -3.265 -0.883494509537504 -3.626 -3.718 -1.629 -2.765 -0.463 -2.99 -1.092 -1.689 -1.586 -0.979 -1.909 3.821 -3.474 -3.181 -4.814 -3.297 -3.19 -3.405 -2.703 -2.966 2.348 -1.417 -2.497 -2.019 -5.317 -3.516 -1.501 -1.48 -0.786 -1.194 -1.806 -1.705 -2.013 -1.914 -1.334 -1.647 4.528 -2.645 4.621 5.461 1.651 -2.17416470330816 -2.49 -0.687729134205328
3.878 -3.308 -1.559 -3.442 -3.573 -0.655 -1.763 -0.016 -2.383 -1.377 -1.606 -1.664 -0.915 -2.097 4.392 -3.626 -1.472 -2.768 -2.923 -2.782 -1.941 -1.957 -2.523 2.17 -1.293 -1.705 -3.16 -2.691 -0.788 -1.713 -0.986 -0.613 -1.178 -1.878 -2.192 -2.015 -1.831 -1.456 -1.506 5.01 -2.838 5.389 6.16 2.127 -1.564 -2.756 -1.111
0.78 -2.671 -2.484 0.324 0.468 -0.771 -1.381 -2.553 -2.596 -1.796 -1.163 -1.438 1.607 -1.879 3.896 -2.442 -3.554 -4.832 -0.173 -0.005 -1.612 -2.408 -1.388 -0.253491447944803 -0.565 2.83 -11.129 -2.13345629609868 -2.034 -0.275 1.955 -1.035 -1.142 -1.513 -0.072 -2.32 -1.857 1.913 -1.968 0.998 -2.234 -2.268 -0.406 1.34 -4.286 -2.006 3.135
-3.886 1.714 1.433 3.511 -3.322 -2.952 -0.627 1.717 0.657 0.653 1.565 -1.028 -2.746 -2.005 -3.297 -0.578 -1.537 -4.368 -2.895 1.55 -4.048 -1.316 3.028 -0.892 -3.3 -4.146 -1.834 -2.818 -5.157 -4.041 -2.277 -0.946 -1.943 2.016 1.237 2.716 2.086 -1.348 -1.011 0.624 -3.941 -3.061 -1.428 -2.924 -5.313 -2.077 -1.781
-2.999 1.455 2.415 3.415 -2.911 -2.191 -0.491 3.342 1.466 0.373 1.614 -0.458 -2.743 -2.199 -3.139 -0.388 -0.699 -3.258 -2.612 1.671 -2.07 -1.14931457102219 2.873 -0.994 -2.721 -3.102 -1.859 -1.991 -3.217 -3.687 -2.424 -2.029 -1.548 2.194 -0.546 3.045 2.322 -1.174 -1.292 0.58 -3.555 -3.048 -1.327 -2.015 -7.637 -2.065 -1.831
-2.103 -0.701 0.836 -2.077 -2.158 2.775 1.465 1.017 -3.722 2.419 1.883 0.867 -0.399 2.422 -1.37273870359237 0.7 -3.286 -3.83 -3.88 0.874 -0.885 1.866 -1.458 0.162 -1.585 -2.779 -4.17202144572419 -7.314 -1.437 -2.696 -3.268 -0.844 -1.191 -1.217 -1.455 -2.216 2.117 -1.082 -1.325 -1.102 -0.773 -1.705 -1.756 -6.031 -2.65578005730054 1.286 -0.919
2.476 -3.308 -2.872 -2.718 -2.591 -3.654 -4.608 -1.77 -2.16 -3.095 0.402 -0.399 -1.189 0.749 3.362 -3.171 -0.99 -0.168 -1.953 -3.486 -0.01 -0.146634592605949 -1.355 1.973 -0.183 -0.301 -1.967 -2.539 -0.204 0.395 -1.623 -2.336 -2.419 0.505 -0.081 -3.339 -2.268 -1.562 -1.254 3.964 -2.895 3.88 5.146 0.322 -2.356 -1.245 -0.556
2.019 -2.582 -0.808 -2.644 -2.977 -0.397 -0.622 -0.538 0.037 -3.108 -3.362 -3.678 -3.686 -2.541 -3.689 -2.977 -0.913 0.0404633497920531 1.193 0.264 0.31311527203264 2.758 -2.315 -3.023 -2.684 -0.112 -0.0186408325844266 0.218 0.786 5.855 -0.499 -2.573 -2.404 -3.552 -3.634 -3.11 -2.825 -3.53 -2.937 -4.524 -3.545 1.499 -3.686 -0.663 -0.186224432393492 1.307 -3.351
-0.307 0.824 -0.447 0.504 -1.208 3.841 2.782 0.727 2.902 3.024 0.407 -2.481 2.715 -2.779 -0.791 1.958 -2.601 -0.883 2.433 2.43 -2.709 -2.426 0.966 -1.617 -0.262 1.232 -5.489 -4.314 -2.353 -0.7 -0.191 1.055 -1.868 -1.556 0.699 1.414 3.521 -0.853 -1.726 -3.36 -0.226546919231337 -1.26 -2.433 0.733 -1.712 1.227 1.089
-2.621 -0.966 0.678 -1.916 -2.245 2.75 1.337 1.035 -3.848 2.683 1.573 0.776 -0.596 0.0259661725993995 -1.8 0.627 -4.185 -4.299 -4.46 0.996 -0.886 1.56 -1.336 0.157 -1.405 -2.944 -5.069 -5.708 -1.498 -2.754 -3.99 -0.276 -1.191 -1.326 -1.433 -1.845 1.943 -1.125 -1.311 -1.08 -1.094 -1.724 -1.705 -5.38 -2.82135609830554 1.768 -0.826
0.681 1.636 -3.406 0.504 -0.606 1.796 1.938 1.34 -0.257605136697895 -2.458 -2.733 1.231 0.837 1.295 -2.496 -2.308 0.535 -4.084 2.321 2.366 -0.288441793007017 0.585 -0.117 -0.780275934396653 -2.973 -0.274743220350772 -5.853 -6.18 0.764 -3.306 -0.0197899290320015 -0.32 1.04 -1.711 1.15 -3.353 -0.312 1.088 -3.092 2.054 -1.25773447710099 -0.865 -0.475263555893236 1.76 -1.61078727151355 0.409 -1.269
-1.362 -0.258 1.886 -2.265 -2.344 1.798 1.602 2.208 -3.557 1.813 1.954 -1.517 1.659 1.915 -1.413 2.477 -3.587 -2.66512430856096 -3.006 3.219 -2.194 1.163 0.999 2.574 -1.01323340399934 -2.402 -2.79618131487124 -3.646 -2.236 -1.849 -3.226 1.543 -1.621 0.071 -0.847 -1.012 1.835 -1.407 -1.657 -1.615 -2.43 -1.995 -2.659 -3.445 -2.68715060290548 1.18 -0.927
0.586 1.963 -0.38450226035335 -0.071 -0.673 2.077 0.578 -0.429 -0.252837314597283 -2.041 -2.301 -2.001 -2.369 -3.749 -1.94608279312116 0.295 6.554 -0.357374472651454 2.534 0.201628578410066 -0.234702397908018 -0.895 -0.253 -1.932 -2.641 0.237075036546312 -0.162668856101779 0.070117142819833 -0.8 -0.125 3.16 -1.478 -1.811 -2.888 -2.548 -3.622 -4.559 -2.077 -2.544 -2.48 -3.589 -3.128 -3.247 -0.564608551430878 -0.631837343144963 0.795 -1.847
-2.256 -1.355 -2.78 -2.989 2.031 -3.575 -5.825 -3.478 1.716 -1.723 -2.446 -1.17 1.051 -2.735 0.341 -2.442 -2.902 0.926 -1.621 -1.167 -2.906 -3.027 -2.336 -0.646 -2.224 -1.822 0.745 0.217 -0.689 -3.683 2.117 0.238 1.027 -2.66 2.864 -3.216 -3.105 -1.936 -1.07246596308182 -2.519 -3.243 -2.109 -3.125 2.901 -5.694 -2.204 -1.878
0.003 -1.178 -2.133 -1.181 -2.482 -0.882 -3.668 -3.007 -2.668 -2.466 -1.056 -1.709 -2.431 1.215 -1.883 -1.586 -0.004 -1.336220343435 -3.904 -2.676 1.041 1.932 -2.146 -1.258 1.928 -2.287 -2.175 -2.426 4.225 2.642 -1.7 -1.766 -1.685 -2.59 -2.171 -2.682 -1.982 -1.757 -2.293 0.388 -2.451 -1.429 1.707 -2.757 -8.605 0.11 -2.146
-0.327 1.566 -3.608 -0.627852949409106 -1 1.344 0.504 -2.923 2.285 -2.023 -2.303 0.923 0.897 1.246 -2.028 -1.54 -0.28 -5.246 0.958 -4.03 0.434 -1.532 -0.176 -2.238 -2.565 -1.661 -6.013 -4.768 0.124 -3.076 -0.028 -0.383 0.679 -1.835 0.513 -2.835 -0.116 0.885 -2.818 1.988 -3.207 -0.703 0.242 0.967 -2.58039294657177 0.409 -0.941
-0.088 0.508 0.554 2.414 0.863 2.524 1.522 1.314 0.695 2.194 0.368 -2.18 -0.553 -2.864 1.848 1.069 -2.544 0.325 -2.871 1.619 -2.787 -1.366 1.277 -0.193 1.442 -0.504 -2.802 -3.851 -3.252 0.835 -2.083 -0.708 0.639 -1.351 0.807 1.474 1.484 1.396 -2.436 0.337 3.048 2.199 -0.695 0.417 -5.3 -2.108 -1.13
-1.582 -2.531 -2.209 -3.224 2.556 -2.42195051466061 -2.216 -3.527 1.46 -2.591 -2.861 -1.526 1.305 -2.798 0.184 -3.293 -2.163 1.374 -0.292 -0.513 -2.872 -3.12 -2.718 -0.977 -2.272 -0.578 1.35 0.385 -1.093 -2.883 1.698 0.104 0.996 -2.93 2.417 -3.576 -3.35 -2.675 -3.203 -3.165 -3.445 -3.569 -3.294 3.066 -2.29841474936288 -2.315 -0.691867576791425
