"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 1 1 1 2 2 2 2 2 2 2 2
-111 1225 92 1908 17 2578 19 1603 569 2830 113 165 2482 -13 346 82 480 3521 960 262 33190 17099 30492 31592 9090 20470 16033 36796 12046 28265 40023 17926 32781 2480 31297 36905 32472 9392 40417 27703 7146 2734 24773 36833 8119 6370 10527 1876 11191 1760 37299 3942 21033 6552 24840 19436 36616 1035 1454 130 1164 32022 34471 28716 43232 19053 18723 850 22495 11761 12404 3680
24768.1 24668 21200 1121 33174 14293 14702 11940 1749 5184 6158 975 28825 8006 29251 830 28439 927 4903 29830 30301 21944 28301 25482 482 28086 29899 28315 1529 27731 33281 32874 30271 636 29340 33460 32236 39856 46157 35590 42294 28935 37585 35765 510 35381 35767 40630 33506 34303 45205 36967 36798 39559 36186 32267 41527 27515 11245 23523 26947 11175 27571 11583 37351 38571 34979 40985 27560 28224 43812 33892
16 -6 219 436 6475 16085 2037 26233 8040 11157 1743 27297 14222 2787 92 2235 -1 121 14321 898 28251 4110 7860 1014 22275 255 948 4354 29269 21713 33405 21427 7013 28629 26810 1124 -25 33556 857 2088 28676 13549 5177 3055 5171 28084 5819 -69 3659 18306 3270 40637 4595 33410 144 938 3321 24125 720 -23 610 25641 -167 621 2026 9324 6704 36171 57 849 1539 1981
82.7 276 502 1803 5302 619 239 19636 6739 601 22829 25527 28743 1441 1877 1589 865 14916 2710 2271 12327 1722 4174 7764 23705 1218 31349 21137 16422 23318 24319 5234 14856 21561 21874 3586 25909 22620 28846 22689 33311 1420 517 24317 38520 4311 192 -158 25857 1953 18994 7640 7860 28108 4350 6888 34729 24401 6880 512 311 23771 2454 276 30565 18597 10444 195 30390 23642 31185 188
1992.4 10891 7232 14592 4130 5538 1769 5031 11180 20758 3093 6287 16949 12254 17182 6244 18687 29619 10747 3847 35050 4871 27167 30980 36070 32568 9899 34376 37625 14563 30694 28873 28627 29842 21237 33184 28388 4624 35432 23755 17896 12085 25873 32034 29792 7529 30117 15821 19604 8285 40570 6429 27129 26391 8244 17876 37899 16618 13304 2413 4833 29092 30013 17247 36172 25099 21182 3826 43457 25634 11142 17997
163.3 589 795 308 2791 887 766 17921 3995 2163 13231 13801 11791 1495 2503 3891 6922 7377 5505 8973 9504 19650 8669 8683 23498 10232 17897 22805 7737 29983 14579 9232 21728 27345 10350 8097 31226 18371 43622 18783 23804 4521 14720 34388 46260 18356 2056 531 28078 6098 30419 20159 18175 32081 25533 20674 38273 13706 4256 1107 146 11133 19265 2500 34308 32722 24903 4874 21905 20734 15512 14972
579.3 20770 10528 12008 7783 14093 20712 0 4779 2150 22104 0 0 15971 22740 21872 5712 11248 4 7269 28064 12509 19093 30294 363 4301 37983 26180 9274 25998 3345 16012 6438 8342 8630 22877 1023 0 31644 0 18570 12228 30546 9608 38598 7 9590 279 1086 7722 25218 0 30708 0 8304 25902 25422 0 27893 761 6088 44 43 21336 4431 31 2127 0 266 6867 8580 40399
15458.9 472 39058 21141 18128 5864 15585 4922 31565 179 2221 26498 28685 11817 15663 17589 4 9676 19576 10079 1636 25885 11410 29088 25863 19981 36682 20702 30408 10165 17764 20374 12902 26930 3573 24902 9607 21724 44053 19468 30774 38634 25544 25779 27492 19439 27694 20357 13558 16482 38335 41095 27501 30594 22568 22004 38317 521 23379 21700 3145 19808 19317 10399 23845 29103 33601 35465 37386 30100 28069 43118
-43.4 -234 -82 -175 547 -156 54 229 -153 -62 1428 -102 3624 -436 -234 -80 -269 -21 -134 518 1484 -15 187 175 -257 -32 20395 -42 73 546 30 -169 135 -241 1047 -148 30487 16633 40810 71 41215 223 7 34353 -409 17683 -417 -197 25446 -229 3412 -557 2001 16358 10477 1625 150 3915 -48 -218 70 314 -201 233 87 3459 28158 2438 5400 6582 46665 7746
44.5 12626 4137 2592 20467 20411 23368 0 27164 20971 16794 11959 0 18332 16676 11522 6639 2827 11878 9991 19633 12634 20405 25509 20613 2521 31181 16681 42578 18938 14448 19005 10831 7197 20099 21217 363 1195 39492 4286 31407 31443 25584 23707 13753 12092 3865 455 21625 21322 31426 824 26563 201 7939 20522 23276 30 24527 391 2189 9852 423 12751 853 0 12583 0 445 7221 10399 38237
326.5 408 340 327 10040 588 64 4305 755 222 27242 34391 39454 574 339 788 386 21215 1464 954 26747 343 328 1407 31593 316 39130 2549 15444 12932 7659 673 459 1429 33811 765 875 865 407 843 6731 363 690 987 238 711 1015 977 11308 526 1380 1009 886 15745 764 868 4372 30650 570 257 50 31624 551 545 6821 922 2344 547 323 837 1508 1041
250.6 280 377 297 568 331 301 930 1104 421 5242 3954 3144 446 4866 791 546 1081 715 820 2885 4090 1208 487 15534 685 22746 397 1361 8274 4345 704 2519 1900 4076 551 2622 6494 41991 19729 38503 294 658 20773 18157 31323 3657 1072 18718 1112 39265 730 11454 8411 30260 6953 29887 5623 6399 259 246 7721 791 671 6288 5046 23497 1216 742 625 27835 853
-137.3 -36 90 3542 1327 149 59 7506 1552 -288 18694 9114 22724 4 637 -36 356 2124 601 747 2827 888 1116 2830 13234 495 31420 10423 1809 23369 10049 2263 6961 1323 10658 613 26411 10059 19505 18163 26554 708 300 15460 20699 1097 -165 -154 29570 436 17440 3869 5542 25738 3562 5320 33333 9675 1517 269 -85 12635 3922 -101 30658 13806 5512 -77 33077 15347 32947 64
2610.9 13677 7792 16348 4602 5750 2011 6303 12271 21569 3726 6497 19424 13818 19737 8502 19430 27428 12110 4322 29192 5143 26129 31590 30844 32980 10411 27153 38927 10092 29691 29653 22407 30487 21389 29730 22832 5902 32050 23237 18836 12861 27994 33672 23044 8181 29123 16519 20248 9066 39246 11845 26570 27516 8288 18821 35413 18195 14775 3699 4896 23318 24353 12865 27962 23783 21007 5293 42249 24774 12237 22004
15880.4 20335 2423 20775 22301 22521 24855 21399 29683 21932 21286 22447 24863 21246 25015 22632 20022 20451 22281 24811 19090 138 18374 24837 655 17394 19907 15347 11140 6890 15737 18634 19978 12604 4758 1228 750 530 274 852 -19 229 478 21 330 575 898 5653 574 656 443 492 692 202 52 501 794 17130 27002 28168 15161 15283 15562 1458 536 633 453 804 253 492 495 219
