"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-3.306 -3.363 -2.19504780617831 -2.562 5.033 6.001 -2.626 -3.084 -3.581 -3.743 3.03569709638021 -2.741 -3.233 5.667 -4.448 -3.396 -2.472 5.917 5.94 -3.096 5.917 -8.826 4.919 5.688 -4.626 -4.381 -3.534 6.533 -1.994 -4.397 5.885 -4.639 -4.839 6.048 -3.822 5.064 4.69 -3.385 -0.037 6.174 -4.28485130862576 -3.46378091345 5.732 5.834 -1.705 -2.042 -4.44332463751069
-2.84 -3.877 -1.619 -3.309 3.394 4.287 -3.72 -3.868 -2.563 -3.716 4.304 -3.497 -4.029 4.401 -4.124 -3.526 -3.19 4.28 3.975 -3.482 3.865 -3.539 3.902 4.461 -3.965 -4.015 -3.959 4.116 -2.619 -4.697 4.478 -6.159 -3.807 4.626 -4.259 3.369 2.721 -4.101 -1.5 4.552 -5.32503061650329 -3.87048397875999 3.806 2.33237639504338 -3.801 -2.83 -5.26446388872624
-3.51 -3.23 -4.685 -3.372 2.682 3.592 -3.363 -3.717 -3.3 -3.891 3.585 -3.669 -3.675 4.311 -4.486 -4.614 -3.911 2.61 3.084 -2.545 3.673 -4.744 3.615 4.021 -4.466 -4.683 -3.186 3.527 -3.252 -4.57 3.741 -4.446 -4.54 2.901 -4.028 2.566 2.743 -4.192 -1.894 3.769 -8.266 -5.28 3.558 3.37 -4.308 -3.531 -7.329
-3.217 4.248 -4.17 -4.253 -2.667 -4.213 -2.901 -5.286 0.059 -2.947 3.209 -3.96 -5.412 -4.9 -3.084 4.298 -4.746 4.624 -5.18 -5.951 -4.359 -3.17571191517937 -4.47 -5.214 -5.326 -4.49 -7.07 -3.217 -5.275 -4.668 -3.982 -5.251 -4.991 3.415 -5.532 -4.256 -3.282 -4.85 3.396 -3.488 -3.7413994325056 -4.02464471290864 -3.979 4.301 -4.91 -5.227 -3.04446390475566
0.809 -1.195 -3.433 -2.272 -3.43 -4.959 -2.282 -2.913 -4.5 3.061 1.109 -3.86724725539578 -0.062 -3.796 -6.036 -4.579 -5.558 -6.141 1.894 -0.109 2.046 -2.271 0.98 -0.259 -4.571 -0.904 0.14 3.171 4.142 -5.553 2.249 -0.875 3.045 -7.209 -5.338 1.56 -1.467 -5.989 -1.916 -0.227 -2.188 -5.24596731053156 -5.746 -0.888 1.424 4.346 -1.551
0.981 -1.512 -3.248 -2.329 -3.266 -4.842 -2.067 -2.75 -4.499 2.93 0.788 -4.755 0.376 -4.191 -5.683 -3.882 -4.688 -5.135 2.166 0.014 2.098 -2.356 1.114 -0.072 -4.028 -0.368 -0.178 3.435 4.221 -4.438 2.606 -0.749 3.444 -3.801 -5.762 1.848 -1.88 -5.937 -1.834 0.371 -2.374 -7.816 -5.308 -0.814 1.637 4.628 -1.764
2.605 -3.263 -3.258 2.29 1.856 -1.472 1.961 -3.646 -2.189 -2.745 1.114 -2.801 4.003 -4.642 -3.81 -2.642 0.845 -2.409 4.772 1.414 2.503 -3.859 2.842 -3.016 -3.641 1.172 1.262 1.187 2.589 -0.259 -0.738 1.763 -3.021 -3.571 -3.781 4.014 5.07 -4.139 3.518 3.496 1.848 -4.508 -1.057 -1.703 -0.984 -0.183 -0.276
2.501 -3.05 -3.236 1.864 1.685 -1.668 1.754 -4.677 -2.401 -3.054 1.052 -3.026 3.687 -4.642 -4.16 -2.827 0.52 -2.776 4.425 1.115 1.548 -3.662 2.392 -3.403 -3.609 0.735 1.313 0.654 2.508 -0.625 -0.822 1.482 -3.462 -4.005 -4.274 3.818 5.028 -4.428 3.412 3.114 1.897 -4.407 -1.361 -1.726 -1.41 -0.711 -0.262
1.56 1.424 4.816 2.543 5.615 -0.526 2.478 4.549 5.73 -1.275 -2.625 4.155 3.505 -0.748 5.487 -2.521 6.151 -2.636 4.88 4.692 4.738 1.219 1.918 3.742 -1.506 -1.211 -1.939 -0.859 3.772 2.749 -1.29 2.687 4.576 0.346 1.134 5.67 5.32 -0.428 5.142 4.286 2.837 -3.33729611579898 6.179 -1.87 1.365 1.312 3.298
