"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17602 9868 28056 23812 3553 7809 41911 3991 978 6153 19085 13625 13604 22650 1291 12223 21882 247 4837 0 10266 28402 9976 7295 3492 26941 19460 21622 61228 18541 4 0 13489 7617 13741 20785 16866 246 9233 10164 1 43221 8147 8228 10769 2221 27982 26258 39600 39827 10711 27457 19872 1715 23021 28335 52692 64015 1888 14395 37717 20563 4943 2545 49282 34378 36026 3542 53204 32 382 7531
17962 16964 23436 22240 5472 7418 33041 25832 1671 8419 17592 10660 16215 20080 1886 15549 21917 62 18793 9395 25245 25589 11674 11243 17746 19660 20863 19478 39079 15884 15693 16072 18200 23010 17747 14399 21063 15803 10351 15736 17323 38430 14219 13851 8950 36663 15447 21484 26849 27432 11080 23314 19354 14005 25026 27184 38133 40467 1027 20848 34322 14464 8064 3115 59647 29929 30107 5836 33833 77 780 11055
15091 11038 16692 15763 18128 34207 30801 25147 15272 21801 18167 27087 19324 14760 11631 16738 14030 23505 20225 6479 22143 24327 36417 14989 18343 12801 25673 16716 45492 23865 17359 19406 17878 26052 11983 23508 17996 19679 45815 20958 25880 41275 11195 21777 28991 42401 27924 21229 29189 29906 20288 23462 19457 17499 24611 43084 49419 49084 20658 19266 37749 18595 31068 38690 58203 31022 36915 22818 39323 15689 41570 39538
21011 25240 14950 31449 12606 24722 30267 34136 13273 6933 14048 9098 16617 23337 30256 27268 28952 13297 33143 27358 7570 11829 29611 27983 13679 12146 24899 28698 25366 12956 23363 9820 14161 9486 15288 13854 22266 11386 15874 19660 10744 22039 14286 28849 29050 21633 6549 7958 13650 21486 13429 17061 13890 7538 15401 14966 24794 17455 5952 20880 20351 18938 15525 9267 10769 18444 25102 8212 3946 25367 71369 48374
-272 -194 -79 -300 -157 -202 -253 -272 -130 352 -184 349 -106 -169 -190 -264 -6 -143 -202 -256 -154 -129 -138 -32 -219 68 -438 760 -194 1563 -103 -360 -265 996 109 53 -154 4476 453 -70 6365 50 -183 -514 5483 49432 1403 199 1290 3409 2179 746 8615 3376 24 25374 25276 51900 1260 566 313 -61 9877 74 0 34591 -201 -5 58 -398 252 -97
31086 29288 14835 25421 29543 8097 21002 40065 16292 10073 9073 25346 30797 28519 23338 14990 27238 32645 31031 19084 2006 39558 4082 21307 32785 31614 16507 18125 15057 37164 32204 28295 29833 23862 25055 19277 21177 32946 42904 26196 37529 28123 23203 27112 20192 22347 35402 34741 42995 15586 28409 32358 29374 20980 40065 17193 27990 53064 14225 30946 20389 31442 20878 9788 41573 22551 28843 25685 24407 31585 17789 29775
8656 13285 15704 15691 3390 3085 23015 17601 143 5013 10580 5501 8567 14585 456 6725 11630 74 12670 7720 2810 20226 3184 4462 14550 13276 9956 10079 29588 9547 6839 9211 14629 17503 12593 9554 15235 11886 4876 5289 8808 30140 11194 6279 9586 21457 9920 13372 22198 21987 7242 15505 13576 11148 17544 20618 24125 33230 110 15808 27602 7711 3976 2167 43434 17659 19645 2621 29136 -52 252 5347
20764 17636 23324 21733 20332 32791 33797 24655 18208 26774 22297 30546 23104 18283 18949 23166 19482 24312 24377 9995 24322 28109 34139 21817 24538 20358 31261 21029 37884 26190 20909 24380 18636 28159 17347 28210 21618 22037 36200 28622 28380 37774 15390 29500 31076 36329 29313 22116 29051 31530 23802 27087 19932 17049 27923 44125 38545 36150 19842 23458 36297 20000 31321 37108 39663 33011 37374 27138 37795 20306 49267 41778
-113 4452 775 157 2175 1612 109 44 1219 902 112 2979 -105 2675 64 157 41 -26 -23 202 21 184 497 5 -19 76 -117 334 -120 20611 6869 -44 585 374 11456 1331 1827 12678 422 58 2542 182 284 92 525 27402 615 98 210 1138 2368 389 5086 827 5311 9721 9264 13639 22502 1950 1150 1923 8438 11903 20320 31304 60 7244 410 17505 -154 17626
19748 7657 1032 13356 13769 1749 10249 21435 1432 2273 461 12114 22819 3274 17537 15787 11030 24727 20755 17110 14610 22207 860 9988 14158 19291 9892 5093 14177 15576 13094 943 13274 9065 17428 16544 15837 17511 21598 25969 15333 10841 18580 16424 14339 18871 24948 14532 16170 12996 16888 22970 15534 16638 6116 8156 20417 24186 15270 8869 3650 18252 10343 1780 24629 9902 19502 16070 3670 21350 10640 27467
14391 12824 17278 15147 14101 26900 25197 21687 12006 18387 14650 21135 16203 13734 12889 15277 13409 17722 18828 9490 20459 19605 29594 15189 16096 16603 23575 15590 26633 17685 14577 16836 12912 20789 12535 20128 15004 15664 35196 22123 21202 31014 11603 21930 25143 33094 22621 17850 24117 23771 15680 20556 14502 10737 22144 32936 33933 34173 20066 16737 27682 14464 24601 30030 38832 26278 31704 21598 26658 15969 33532 22642
16489 22665 7562 10996 12769 4834 16433 18892 7918 2779 2638 16858 14353 23424 16638 9782 25301 1182 17322 20702 26510 4249 3816 19806 22580 17114 13044 5545 11270 14398 4954 4674 18379 3690 10463 12016 20609 24906 4137 29136 12046 15382 19976 22337 8271 19205 5065 11163 9199 9280 10121 9679 14076 18546 23721 7936 10560 13632 13573 18799 7904 7518 17889 3982 14991 10766 11118 7642 6383 24172 14341 21129
15009 13566 18957 16547 18660 14522 9147 17979 20595 22332 24051 4539 15822 15133 14432 17264 16172 9642 3752 16311 18407 12690 9256 16543 3771 10429 7338 23297 11145 25528 20254 7075 18421 18508 21857 20540 20758 20927 6824 15865 14536 4196 9256 21601 14049 4917 7027 11956 5589 9880 11409 18782 21714 17378 15142 9509 8358 8202 26766 26512 28067 20472 13339 11995 14320 2155 19018 23373 2188 23895 26632 27597
18727 20668 24672 18773 19091 38467 14956 18006 18507 25078 20196 17705 18957 20079 20258 19710 19137 23994 13457 16259 -173 11071 22878 19613 12980 14928 19471 15550 13001 25106 18866 15226 18644 12482 20311 27914 23054 19527 27768 13271 20794 12511 14738 23936 17778 16775 25052 15420 20034 20711 20719 15982 19421 19052 27062 25966 13243 13881 6367 18852 15017 21896 31534 21282 43858 33580 31262 16573 15596 22495 11687 21247
5642 4858 -398 -121 687 -248 -223 1541 910 -72 -74 -71 2087 445 1843 1789 5593 14774 314 569 -228 -14 -336 -94 226 601 331 15627 1991 15292 15833 1053 2925 3969 3170 1743 1970 3928 -207 622 959 29121 295 1225 122 5540 1611 471 545 11639 1234 3618 2943 2033 411 164 471 3568 68 4955 10805 -152 17085 9927 6178 16489 -474 171 1651 5777 1173 29817
5418 17348 6156 7070 9017 6221 4746 7881 9431 5092 6027 15280 6183 13077 8506 3720 12676 9783 4453 13988 2900 6074 3729 6023 13278 4718 4110 12406 7855 24521 21277 20124 16705 11012 18372 12276 19173 21498 6288 3412 10245 6421 10431 3219 4639 8790 5841 9981 10026 6574 8020 8259 8556 11688 14938 6448 5598 6456 23869 21043 15497 20576 1613 14092 19612 7833 17887 22494 8252 21048 6316 28552
56 -29 -109 -62 938 88 -78 -257 -35 392 16 1452 22 93 333 3562 1441 184 478 379 -64 51 -36 59 135 196 -93 6960 15791 2005 1003 5702 429 2204 353 11205 209 8072 490 -49 989 706 199 1293 18 1213 -60 -146 -30 917 -139 311 87 777 -113 2269 296 2681 747 9006 10171 9138 22222 9986 14230 27285 28390 17371 228 5895 3917 2606
-19826 -17930 -27182 -23396 -10339 -21658 -24024 -27570 -25171 -12500 -17480 -15256 -12854 -14937 -13380 -10492 -19523 -8692 -11572 -13838 -7397 -17179 -14937 -17368 -17377 -10652 -20406 -17310 -16281 -27398 -23673 -23645 -20376 -9501 -17580 -25491 -28400 -27811 -21984 -21296 -10481 -7861 -16945 -26775 -7764 -13905 -9619 -5353 -8318 -11535 -10873 -8646 -12527 -10279 -11234 -9881 -13390 -13436 -11169 -20698 -22571 -24493 -11978 -11067 -16131 -9338 -16268 -14244 -7626 -20782 -26258 -11973
