"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1233.061 26414.355 175710.022 256990.91 1758.667 1774.966 4347.384 104345.898 178321.247 230785.81 1552.054 294898.504 275059.987 1454.226 23146.285 4778.578 3663.697 212360.366 5877.43 2168.874 215374.046 221377.632 8105.412 231449.566 221174.422 221935.508 136457.827 20.649 1201.046 4907.803 3815.786 164865.442 473882.23 273645.362 307053.769 8603.949 118106.356 277451.326 640409.217 48725.074 312933.151 265259.831 1812.715 315239.033 176805.454 5223.099 211385.375 1524.841 1722.12 1525.593 1928.734 213207.784 225839.309 274902.6 274224.489 4191.147 252630.871 168417.638 157723.185 338115.822 244852.312 144697.163 7031.122 2453.952 224131.858 3840.798 18.421 4270.469 196900.136 239941.238 132794.615 266405.591 1745.779 2922.448 2120.588 4914.028 2441.174 3219.822 3057.474 2985.284 210011.35 245870.545 164096.198 481054.209 149262.706 122851.751 354089.04 326982.445 291338.643 3698.018 3678.09 2801.284 2190.369 4804.77 258409.309 273637.8 5425.748 315458.16 2463.93 328703.942
1799.692 77704.781 172949.376 231198.922 3975.569 3045.244 9489.17 193092.997 196294.358 239092.31 1548.097 239434.607 274862.987 7898.353 73300.621 8514.159 10186.937 198106.848 12728.049 4816.511 182963.576 215676.429 32445.936 220863.453 214789.968 179733.741 147491.817 3751.097 2851.311 20913.77 21071.259 165679.066 337053.687 287860.958 250203.494 37579.101 146894.137 286091.182 424186.111 7804.993 280178.104 289554.771 4070.173 324185.512 174949.642 23662.177 192446.314 3786.047 3100.199 3154.362 1689.85 198049.274 195042.192 252514.072 248147.433 23355.526 217130.198 172440.163 181417.588 282337.178 248875.356 163087.813 18437.444 5618.479 201746.925 51853.748 1299.392 5524.552 189093.073 224583.235 157395.312 247458.367 2806.319 1726.004 1521.015 107067.128 15134.815 15389.03 2889.292 43731.858 211714.778 219930.565 189449.081 437844.157 178460.589 131568.777 263281.736 277325.271 257434.93 13779.658 5619.36 7246.444 3003.159 7097.274 219666.274 242694.857 13965.701 279395.801 14745.709 231103.556
35512.654 78883.441 188094.971 284618.603 6563.62 13732.267 4702.99 230407.66 171397.399 235554.235 16217.865 262592.861 143140.714 25327.13 15113.405 5228.788 11267.276 240773.863 55432.764 43512.477 227586.41 264230.273 34074.28 183953.338 125796.057 265519.17 177200.752 21110.068 30829.427 32400.948 37780.493 211790.295 10934.407 316976.746 270444.958 63685.716 71554.839 291725.463 105175.634 23942.852 10407.724 351217.668 40642.509 307000.672 209931.642 48319.396 59279.835 4132.314 15307.555 15558.328 10195.812 168743.513 265917.645 170515.976 168993.431 22653.03 187477.512 91972.93 143180.172 228621.293 285198.04 186022.885 84460.101 18047.304 89161.62 24206.019 17160.79 5860.015 183919.784 290196.472 182102.549 272634 4053.21 5618.536 18190.093 37743.782 14580.362 17913.546 14591.521 34000.381 35029.086 52512.893 211820.167 531564.473 195382.063 77248.278 124557.626 194029.935 344184.065 7311.625 11449.783 11087.349 10054.314 9435.65 295725.429 297817.755 29330.831 300564.937 32230.366 216209.247
1157.622 80016.127 141802.567 210238.576 558.658 219.784 7233.765 191584.625 182418.804 214412.162 1548.006 221435.903 250823.297 3687.932 62850.776 23590.131 6696.165 174018.881 8238.684 4314.398 155157.443 204869.575 9996.265 214170.329 188514.245 176967.553 128289.647 0.088 1281.419 34095.927 3150.544 150410.216 356471.195 271780.481 242342.172 36352.707 97913.087 280120.426 475295.04 5609.091 260671.117 249397.688 2030.956 313251.906 151682.766 21100.113 163981.736 4717.491 1843.033 3374.457 1725.899 164353.603 187949.122 248820.839 219951.602 36338.262 208276.732 149834.26 179472.949 289356.557 227943.004 149290.419 16989.07 1479.622 159943.117 50374.535 1224.493 3117.749 147686.658 201140.469 133726.779 213659.951 735.819 3360.955 5442.745 76714.732 12012.078 3373.88 1666.86 41761.195 174399.107 204540.486 145368.147 439496.111 145866.4 108569.165 262985.223 275926.853 240323.862 23273.914 2318.53 6376.574 2980.016 4920.365 235053.815 229570.175 8231.95 256098.688 8098.999 251896.567
7644.926 56421.319 169207.08 232053.78 17181.717 930.848 40727.424 186598.022 192143.229 230067.388 2038.198 203571.003 267397.917 37743.418 52530.346 43292.816 19816.819 183171.087 39610.512 42424.759 186319.99 222181 59827.497 194191.172 177491.125 187558.666 143330.557 25013.597 2780.069 44424.023 24941.468 165954.968 324744.134 255939.024 275812.933 53261.228 131205.435 287807.1 437300.342 12042.014 275986.795 267063.679 8496.624 312873.045 174252.062 49134.639 173841.081 31779.461 20925.579 22859.834 8740.028 185462.466 199436.367 250739.134 253795.203 36729.999 217394.261 174582.271 163877.028 262438.884 230940.28 164466.579 54423.627 13358.124 168642.677 71241.282 9403.906 7539.083 170646.791 209389.447 163392.462 224794.9 7148.995 1034.371 4189.895 73047.629 23818.656 10676.703 6995.188 44838.215 207882.459 179990.91 158697.286 395408.037 183272.587 124323.348 290302.439 282531.456 268812.32 33898.563 25316.966 37365.337 30374.012 24092.433 204311.104 243420.578 48211.85 266706.877 39198.51 202941.952
1232.747 50643.291 166153.746 13095.621 1758.638 1256.095 6540.223 173611.508 172994.489 219088 1548.449 150865.009 170516.028 5191.145 30385.649 23341.417 15421.595 5473.17 8958.706 1807.626 214842.018 240508.845 11948.194 204792.591 9796.068 228949.535 94582.171 1814.914 1187.292 2086.04 2225.039 138092.457 255924.474 235877.912 256232.997 4473.052 76968.452 245374.924 140660.904 22942.654 309151.977 220496.961 2987.385 207078.332 112483.582 2325.351 227784.8 1582.596 3061.202 2332.09 25522.887 138920.589 250237.006 230255.442 213439.561 1937.95 92230.948 132415.094 160640.855 249529.536 137566.501 4204.106 78608.356 1161.758 200409.617 27477.771 1615.293 2280.36 181477.855 208873.199 138372.174 293728.976 1358.77 1841.163 1889.021 49882.129 1311.322 1640.85 3506.834 48795.942 210020.39 160491.831 156353.089 59992.949 161007.327 86624.393 271753.811 158233.266 267865.425 36157.058 2073.981 3593.674 3109.18 53263.146 175597.906 263856.46 5854.524 165218.937 58324.828 200336.561
4173.4 109304.408 138133.991 183822.153 11325.108 2064.788 17476.637 191146.374 195674.942 169663.35 3742.388 207946.511 234404.492 42159.79 106228.402 31919.032 17621.146 178670.062 25389.924 19491.99 162460.367 201359.142 87803.048 161964.528 154795.715 166784.976 143591.461 12809.816 1188.477 40241.036 19061.866 152260.469 298213.454 210214.118 221105.96 46747.443 136938.924 250007.521 386340.45 24138.618 224432.921 262165.822 6642.263 268120.552 174528.932 54906.967 150953.734 16336.352 11893.399 12923.435 8630.911 176156.616 166130.605 194906.488 188092.073 30722.742 175603.177 168024.507 180902.906 242963.353 182678.709 177615.223 58704.01 13651.789 189186.996 44904.426 1012.306 10966.283 144092.359 175785.412 155235.422 188009.856 793.391 3388.851 17535.649 145050.307 21776.614 10317.81 10089.778 38327.307 174199.777 170017.505 178959.954 347310.311 178799.745 136869.098 242051.83 240298.771 209234.199 31131.927 10993.384 17699.912 22767.751 20714.717 175833.578 193918.497 28937.671 215368.705 52279.699 206399.408
1232.563 9630.335 119505.116 193364.428 2001.4 1709.09 4431.306 93251.693 120157.435 142686.939 1521.31 183879.217 179396.274 2983.406 25632.132 17498.019 2769.118 145575.903 4312.314 3370.083 152634.383 182245.027 2958.607 132868.534 120007.493 140322.638 88133.149 696.581 1211.192 2086.852 3227.531 114762.786 236287.948 177127.3 231965.602 2827.839 61184.477 226186.919 315403.812 1974.728 235818.413 180356.753 2268.911 230830.854 70700.315 3913.078 114182.517 50.049 2230.785 2261.83 1516.858 138546.744 161074.522 199718.096 202903.771 1946.737 190423.053 108904.707 71064.708 229018.892 193117.455 86577.335 5783.343 22.42 130510.405 5770.68 77.094 2516.031 120130.158 160269.349 80578.254 222201.91 2053.859 1907.616 1972.983 42912.504 1354.743 1642.131 1067.714 6681.214 127063.803 149483.358 114666.452 270571.44 105215.013 42807.544 179515.554 213641.435 219591.739 6968.997 1297.06 1976.824 2203.555 2041.724 184762.29 178184.879 3770.926 195953.206 2236.707 175782.996
24344.383 71167.595 147377.085 200051.331 390.874 473.171 51202.773 183044.58 167125.73 179516.456 30182.772 188615.775 231116.535 38239.999 58903.38 60088.215 58763.923 182863.424 38154.805 47545.618 158955.717 207777.349 51522.395 171973.986 186940.067 156219.673 137965.126 11135.002 16846.211 49782.706 46712.471 146852.087 266738.989 233591.47 213042.775 47216.152 135022.245 274189.682 345493.219 31291.81 232898.292 271605.396 31010.002 299814.323 171611.407 52366.961 158211.525 30572.142 33743.559 30583.204 38540.778 175413.016 165794.625 227254.964 219841.198 41502.06 193631.857 165644.909 168481.581 239785.499 215430.581 145541.953 67735.135 32554.89 148980.316 53189.001 16599.014 49510.017 159715.572 187065.565 127688.921 205028.285 722.924 7810.62 45694.886 94980.289 25879.117 40475.882 35481.731 65686.044 184738.987 189477.088 187294.695 339990.215 183599.117 127063.921 207633.835 235335.599 232486.852 37847.512 39418.755 30849.33 34229.433 49808.774 195256.079 210844.612 62046.034 221930.764 61120.549 151300.165
