"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2785.4 506.2 13791.4 20773.4 10359 10336 11481.2 20916.6 10227.3 1243.7 7209.6 42044.1 8716.1 16510.2 7092.3 3669.6 1788.5 3910.6 596 2104.6 1009.1 18430.9 909 12422.9 19130.7 4023.1 14412.1 1700.5 6377.1 4519.2 1082.7 1026.9 20787.7 21493.8 32735 3289.4 13189.8 13888 684.2 9852.4 13818.2 441.1 1813.64005581047 4206.2 8172.6 9633.7 12299.9 17353.4 4158.4 380.7 9706 2755.8 576.7
2795 661.2 11222.1 18569.5 11122.1 13377 10252.9 16816.1 9142.3 3091.5 6180.2 36343.4 8751.3 13334.3 6597.5 4396.9 2848.9 4253.7 1090.2 2520.8 386.7 16425.5 2428.8 11235.8 16552.4 3426 12077 1482.3 5936 5109.8 1084.7 1312.5 17375.7 20685.5 17890.8 2957.2 11633.9 12253.3 790.8 6674.8 12529.5 268.9 31.8 3997.6 4870.7 8840.8 9816.2 14785.4 6212.5 95.7 7776.4 2898 712.2
7367.1 5779.9 11859.7 15232.2 13023 13142.1 12010.4 13243.9 8141.1 10127.5 7411.9 27973 21643.3 11179.2 9593.1 14607.4 10371.6 8408.9 8794.5 17131 6158.5 15398.5 10720.1 10649.4 14905.6 6941.9 12996.3 22522.9 10290.7 7016.1 14971.9 7904.5 16917.3 25514.8 44241.2 7698.8 9936.4 10358.4 8561.7 9619 9993.4 18663.8 6699.4 6810.8 11433.8 9701.9 8698.4 12211.2 9534.4 22945.4 8339.3 13728.5 12788.8
3244.9 807.5 9379.7 14773 8474.1 8726.1 8302.5 12844 7022.8 2290.4 5762.1 25815.7 10380 10071.1 6798.6 5979.9 4276.3 5129 1525.9 4744 645.1 11934.7 1217.4 8674.5 13415.6 4733 9043.4 4775.1 6649.5 4541.2 2294.2 1877.7 12773.2 15470.1 27301.6 4028.6 9375.4 9063.9 1346.4 7787.3 8909.8 1031.9 24.2 4594.3 7581.9 7181.7 8729.3 10281.6 5644.1 277.8 6427.8 4616.4 1791.3
12.4 33.1 14248.9 1111 1131.4 262.4 224.2 364.1 779.1 7841.9 7619.2 266.5 36.5 14141.7 14199.6 6794.3 121 299.8 5085.5 564.9 231.8 12126.2 11763.9 9293.3 442.8 775.9 115.2 254.3 10864.6 6701.4 15250.8 10412.1 34.3 9662.4 1035.5 65.7 9532.5 5303 114.2 9167.2 12010 460.9 7340.8 724 11969 4483 9519.3 11724.7 1266.4 1145.9 10.8 12226.3 14780.2
67 168.6 2615.8 6136.3 4472.7 9893.5 1412.3 5382.4 7005.5 2419.5 198.1 12176.3 5143.2 3169.3 508.6 952.3 418.2 2157.2 86.1 66.6 575.6 12172.6 4377.3 8852.6 8460 802.1 4297.9 296.8 154.7 3922.5 71.3 61.8 9041 6938.4 17275.2 41.3 8851.6 7142.3 15.8 452.8 6900.1 207.9 2.2 1027.2 1166.9 1890.4 8223.2 6915.9 1323.6 58.9 4499.6 344.1 23.1
2724.1 431.8 5340.2 6804.9 6071.9 4654.3 3888.1 4782.2 4289.1 829.6 1458.9 12048.9 8839.3 4745.2 3440.9 8379.1 3891 4171.9 2940.8 7787.9 1710.9 5988.9 6519 5797.7 7879.3 3101.6 6176.7 7183 8402.3 2442.5 3125.1 3848.1 5007.8 9182.6 18329.1 3712.1 2656.4 1451 1180.3 6561.6 5617.1 7086.3 4028.5 1186 5113.6 3445 6906.7 5437.7 4397.3 10167.2 1369.1 5684.6 4200.4
8455.6 7078.6 11166.7 12860.4 11295.6 10382.3 10548.9 14858.8 8453.2 8854.8 7542.8 18709.4 19195.8 13486.1 11442.6 11830.5 9356.1 7000.2 6624.2 13152.2 6868.2 9862.4 11205.6 8937.4 8659.2 7444.6 9673 17515.2 7853.4 7192.9 14223.6 9372 11379.2 17279.4 11987.7 8180.7 8551.7 12384.2 8323.6 10326.3 9124.8 14382.6 6348.8 7778.6 11315.7 10043.3 9481 10265.8 6687.7 9266.8 7062.9 12425.6 9668.3
7268.3 6868.2 11222.6 10310 9161.2 7399.2 8473.6 14355.5 8315 6640.5 6810 15964.7 11812.8 11341.4 12359.9 6932.8 7083.7 7308.8 6325.3 11638.4 6407.2 9206.4 9411.8 8502.9 8434.8 6585.1 7685.5 11494.4 8698.6 6565.1 12510.7 7970 10707.5 18377.9 13545.3 7426.1 8312.4 9340.6 6236.6 9779.6 10413.3 10557.6 4674.3 6905 10513.1 8223 8402.6 10950.9 6405.1 3452.1 7076.7 10775.6 9205.8
8122.8 7050 11161.6 12376.6 10455.6 8486 9646.7 14689.6 8479.9 7252.3 7141.7 15373 11379.4 11909 12048.6 8157.5 5951.9 7078.4 7570.1 12633.4 7030.9 9834.6 10362.1 9123.6 12043.5 7123.6 9047.6 12658.2 9595.9 6539.9 13074 8083.1 13829.6 18861.8 13954.6 7398.8 8974.8 9957.4 7054 9990.6 10685.1 10937.9 5233 7703 10691.5 8765 8275.4 10948.8 7336.6 7310.5 8142.5 11970.4 10373.6
36.4 4060.2 6710.3 5741.4 6409.6 3249.6 5349.4 8896.2 1401.2 5619.6 4966 2154.5 144.1 8316 6929.6 2127.3 3148.9 3276.9 2514.47982159855 3796 306 790.7 4218.1 133.7 711.3 627 4496.7 5626.6 3899.8 199.6 0.2 21.5 7865 192.3 7.1 5350.4 4850.2 692 62.1 1275.1 279.8 55.8 3217.1 264.5 6409.9 3466.2 1716 95.8 2214.5 1886.9 3847.8 2606.1 2.7
8183.9 7348.9 11354.3 12591.6 10825.8 9432.3 10042.2 13608.1 9170.7 7828.8 7532.4 14546 10489.6 11256.6 12294.5 7694.1 6145.4 7367.5 7767.7 12485.2 7054.1 10081 10026 9537.2 12656.8 7071.6 9323.1 12605.6 9758.6 7496.6 13492.5 8308.2 13777.2 17771.1 15040.2 7824.3 9464.8 10238.1 7564 10434.8 10840.1 12015 5322 8077.1 11667.7 9275.1 8562.1 11238.3 8241.3 7718.5 8475.5 11541.5 10818.1
2877.2 3969.3 3733.1 2702.7 9359.3 3940.6 4636.9 2441.6 1130.8 3005.5 3771.5 2446.5 1238.4 2338.8 119.9 10743.7 5695.6 5630.8 2181.5 1669.5 124.9 5233.2 7393.3 1137.4 4320.3 359.5 2580.7 987.5 1106.8 2650.1 1409.2 1284 5064 2125.9 51 62.9 3610 318.8 2059.4 1422.2 1456.9 1294.6 44.6 1723.6 4951 2522.8 1987.1 345.5 2592.7 10251.1 2346.3 4190.8 156
1894.9 249.7 4088.4 5928.8 4154.4 3570.8 2290.9 3701.2 2840.2 443.9 917.8 8242.1 5822.9 3595.1 2762.9 6020.4 2631 2913.2 2089.6 6119.9 1289.5 4126.1 4950.6 4057 5353.5 2361.2 4600.6 5748.5 7342.8 1780 2141.2 3025.2 2932.9 6349.2 14988.6 2879.9 1574.1 977.5 759.9 4889.7 4192.3 5289 2931.4 613.6 3966.4 2002 5119.6 4548.3 3356.7 6897.3 978.3 3586.8 2463
