"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200" "V201" "V202" "V203" "V204" "V205" "V206" "V207" "V208" "V209" "V210" "V211" "V212" "V213" "V214" "V215" "V216" "V217" "V218" "V219" "V220" "V221" "V222" "V223" "V224" "V225" "V226" "V227" "V228" "V229" "V230" "V231" "V232" "V233" "V234" "V235" "V236" "V237" "V238" "V239" "V240" "V241" "V242" "V243" "V244" "V245" "V246" "V247" "V248"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
170196.9 497181.5 102215.2 1095228.1 456349 678896.5 306350.8 -1981181.3 606628.8 5801.1 978706.3 870180.6 15987.2 44137.1 146732.9 7977.3 235076.5 372240.7 123024.4 565749.8 1037762.3 1318081.6 372885.5 324719.1 335097.6 222160.6 1242518.8 592789.2 692426.6 392459.5 8630.7 320555.5 946865.2 955697.2 491637.8 571515.8 272564.5 305534.8 1663676.5 999736.7 166785.8 41154.1 29602.5 1406529.4 401583.1 885716.8 498408.6 671109.1 237891.9 724421.8 207643.9 128027.5 1111339 719323.5 1293491.8 1838780.5 686539.3 1011989.7 539824.3 80709.8 76886.7 1163323.4 584165.6 1320628.8 821866.3 205647.5 740991.2 758850.6 862954.9 265484.6 1609227.9 1013406.9 516631.9 793497.2 533776.6 1067344.9 743208.1 847885.4 274405.8 617397.8 99806.8 43920.1 422621.3 227700.5 20911.4 105590 131767.7 135319.2 277137.6 76502.6 239798.6 11590.5 1263680.3 173328.8 1239515 727707.4 148580.1 428314.8 1065575.4 661581.2 53388.6 649341.6 876540.1 321155.9 -1864532.3 173653.8 345344 439471.7 351166.6 29109.1 523854.4 240196.1 309807.3 106483.3 287899.3 294361.6 246863.9 369761.4 646946 131526.1 307788.8 63885.4 221455.2 -17.9 18909.3 49746.3 48320.1 1140155 617862.8 284631.8 284784.3 246748.7 190886.3 768446.5 870645.4 356974 307719.4 586273.1 403316.1 311847.8 487357.6 212597.4 150916.8 141700.8 292499.6 189888 137579.1 361903.3 404196.3 29863.5 880567.6 28304 413895.6 31977.5 111384.5 487222.2 88825.9 1199249.3 711166.5 47755.2 188177.9 129153.8 813245.6 1201403.9 505093.9 274566.7 149930.5 1094478.3 81501.6 496199.3 658013.4 178644.9 4667.4 158124 144524 254164.7 392588.2 486518.1 740687.3 502148.4 718063.2 530675.9 400406.6 497240.2 399525.3 613706.1 304538.4 562310.7 7926.5 108683 320847.3 298461.8 314037.3 1029870.8 421068.3 16862.7 6156.5 142687.3 62169.1 906018.2 441960.8 270314.6 1080238.5 680412.3 307647.5 101161.7 93877.8 173934.9 26364.6 70605.9 480992.9 1316442.6 -1221284.8 173404.7 252987.8 458341.5 1092388 524137.5 14554.2 399170.1 624585.4 473531.6 518346.9 1011922.6 624359.3 471381.2 491021 923876.3 1845366.6 192140.6 516494.3 672763.8 1182541.3 35821.5 1110800.4 900387.8 347377 686157.4 395357.8 578112.9 845665.4 229345.3 299685.5 1058002.3 6577.9 216366.4 5317.6 210313.8
1114917.8 818968.9 726399.4 614989.5 555698.1 307453.2 912060.6 2018704 1368906.8 872563.8 583094.8 762349.1 474082.5 622088.3 993254.7 726941.2 1258975.8 417878.8 754279.5 578037.9 677797.4 783352.6 1395719.9 214195.4 981905.5 294148.5 1304686.3 272255.6 316905.4 522068.8 398205.1 388885.9 691805.3 771024.9 668758.3 535672.8 302687.1 266847.8 1388378.6 666547.1 1407868 1110426.9 937570.5 925300.4 1573135.5 359494.5 455244.1 273547.2 862529.2 987666.6 1100285.1 419947 499204.3 388021.9 746996 1218036.8 296831.2 795966.6 650083.4 648002.7 454046.6 490494 1097957 807514.6 683612.4 1470365.8 338967.8 538982.9 833216.8 751740.1 733064.6 774984.9 594147 230837 170838.5 526226.8 447605.8 361170.6 374689.2 753366.2 335972.6 821420.2 440356 262860.7 430941.3 443261.2 229251.9 530441.3 581482.3 490037.8 521628.2 441808.2 1059928.8 381276.3 751131.3 406530.5 452162.6 866587.6 1072572.4 432500.3 419001.3 348087.4 515817.9 365451.8 1922304.4 322304.8 558961.1 564862.3 442486.5 378185.5 621013.8 547413.6 696565.1 1126098.3 867219 356302.6 286125.1 537768.2 672468.3 1357860.8 443690.4 415815.2 252308.5 302847.9 929067 914843.2 870959 694545.2 564945.9 246207 447961.3 1200171.9 653952.4 665303.2 1349065.8 351984.7 312863.4 285898.8 224943.3 328297.5 551125.2 1507058.4 910655.5 528273.8 790878.3 600919.8 444367.1 887835.5 2123772.3 484194.5 438558.5 253040.7 302548.4 654418.4 1528620.5 503080.9 1069420 939410.7 1030583 921432.5 623212.3 679702.5 638797.5 398438.9 1091222.3 312482.7 1129961 528455.5 234845.7 431515.3 504907.4 361906.1 531324 377941.4 739468.8 2085740.4 280691.9 1182944.5 516559.1 292216.7 363869.1 473574.2 334263.9 258099.9 589541.5 890471.9 1112748.1 641799 651716.7 341725.7 702305.8 557237.4 765934.9 651252.5 810221.3 743895.3 560220.8 470875.5 647660.9 759993.1 153558.2 476861.8 811615.5 250135.1 387834.8 519285.4 563589.4 743116.2 530173.2 669649.6 1073447.8 928875.1 1552395.4 299081.3 354699.8 375966.3 788208.3 487034.1 414460.3 233226.6 794311.2 257083.5 264735.8 451891.1 382661.9 245844.1 970400.9 413143 772272.4 1085201.4 653236.4 476198.6 784126.9 1252442.8 1019776.5 460462.4 516549.2 543152 426860.9 851980.7 686783.3 201838.1 568953.9 703304.9 463399.9 313898.4 447752.2 308700.8
111979.7 346402.8 74082.9 690753.6 243171.6 395734.1 201467 1111601.9 423183.3 3507.6 633034.3 596453.8 11443.7 35029 77185.2 4744.1 151318.2 273055.4 122374 392734.5 572724.7 910091 176410.1 211693.8 266881.4 143447.6 648615.1 366610.2 608097.3 268586.1 6454.6 198449.4 697489.3 564800.7 212826.9 311221.1 141892.5 186793.5 943716.3 642942.1 109039.9 18617.6 18441.5 882225.6 194787.7 804125.4 361345.8 488391.2 207477.3 717033.2 96290.1 78366.5 935766.8 556852 1616570.8 1334415.8 628903.3 1384196.6 271957 70398.7 43854.8 868683.1 337405.3 1098898.1 616672.6 109126.6 588850.1 810018.5 566025.2 195535.8 1366069.1 789658.6 453308.1 500490 474420.8 758336.1 642024.3 863325.8 227351.3 285708.6 55325.4 18434.5 253601.3 133399.6 11118.5 71146.3 113093.2 99551.4 100783 46516.5 168485.3 9093.9 1023590.5 83556.5 1080718.1 517674.2 86672.5 196232.1 845044.4 466078.9 41164 488267.7 713014.8 155044.6 1242770.9 135565.3 180842 287025.8 209001 22910.7 345572.3 161137 230449.3 52826.7 177450 205756.3 178618.1 218242.9 390792.4 105065.3 243510.2 46959.6 174871.5 1522.2 10284.8 46695.9 42842.2 604366 493983.9 196274.5 238114.3 111486.9 137498.1 547493.6 493013.5 230078 244309.4 461599.6 299229.8 186650.3 386636.5 75281.2 59753.3 66534 186212.1 148056.7 89134.8 238847.6 211051 12373.5 586506.6 11273.2 254860.9 17131.5 52777.2 345026.7 40193.1 658450.9 359307.1 19529.3 115774.6 65740.4 429813.8 871273.3 271793.2 169913.9 92601.5 911342.3 41702.3 321978.2 447831 87016.7 -2275.7 103464.3 96692.8 152300.2 276302.1 177257.2 672372.3 329423.5 552327.4 369576.8 268618.9 345471.5 255973.2 335661.4 187216.3 379843.7 5319.4 74092.3 215698.3 164104.2 129971.7 890664.8 311028.5 6973.1 2145.1 89173.3 43322 547844.8 238783.6 166738.3 650509.6 696784.8 116561.3 39053.4 41109.7 80375.9 15895.8 26963 316799.1 935080.3 1859551.9 104569.1 156148.9 388594.4 760315.3 275681.8 3950.8 368065.6 171592.2 324447.7 397234.6 744552.6 423152.9 472555 345487.2 723841.3 1253314.5 65879.2 217071.7 381495.3 760809.4 25868.8 648079.7 664970.9 269861 667410.9 265505.2 450374.8 614691.9 178164.6 244950.7 843717.8 1600.1 172052.6 3279.7 176465.5
311890.8 512318.3 186906.7 624756.6 439879.6 581497.1 429503.1 1628841 710987.7 2358.3 698078.8 747399.8 46456.6 78079.3 214948.2 17524.9 409143.8 418395.8 235108.5 484208 884438.7 981152.3 417654.3 261638.5 386090.4 252014.5 1002523.3 354580.8 404417 292724.8 13316.8 292340.7 593212.9 577647.7 372366 401873.8 247368.3 232184.9 1037729.8 557127 330713.2 69732.8 51158.9 908424.9 601385.8 570187.8 420768.7 371893.2 459722.8 645521.1 335945 167886 689539.8 497812.9 943108.3 1097459.5 482611.7 855071.2 485758.6 189819.6 96536.3 693577.1 707589.4 864557.4 515309.4 328950.1 509185 543416.8 604490.4 376319.2 1111952.6 694888.8 519328.7 471987.9 300508.2 606414.5 584759.3 530279.4 278486.4 654700.4 118884.7 60880.5 407805.8 227048.9 32935.1 121909.9 158168.4 226687.6 307400.5 105127.4 259742.3 20117.4 862929.9 213727.3 814943.7 449228.8 199320.8 498873.5 842677.3 437711.9 74627 374213.2 618156.9 258795.6 1656567.4 238723.6 260844.8 315842.5 329660.4 60435.1 450595.6 383048.5 419763.4 180316.2 360732.7 283155.6 270219 315207.4 462379.3 227701.9 292133.5 100363.4 208905.6 1251.1 32753.2 83930.7 79619.5 766939.6 465046.2 275102.4 369612.5 302850.3 261325.5 546413.6 748797.4 318312.4 289276.7 347142.1 292621.4 320461.4 406829 279320 198917.9 225523.5 376115.3 253909.1 211126 438303.8 613294.4 58464.1 557126.9 41659.2 361847.6 63165.7 174251.6 364995.3 136343.9 826454.9 582120.4 79628.1 276381.3 189114.1 686316.5 708280.2 551199.8 274129.8 238660.6 603250.2 99902 524109.1 401939.8 229262.4 2157.6 211504.9 213555.7 522126.6 266565.2 526868.1 499211.4 337901.9 428156.2 419440.6 301369.7 323266.1 412022.4 659953.4 416297 552018 17020.6 212773 305676.6 302374.8 373122.3 695357.3 403625.7 21932 8105.9 262793.8 106640.2 565070.1 247598.5 299812.8 620400.2 468313 322733.5 203319.9 143361.2 236719.6 45304.1 138245.3 563413.9 916364.8 1899775.8 206778.9 263513.6 323848.8 642547.5 402730.9 21087.5 267521.7 515601.8 281223.4 311751.3 705942.1 352451.4 315879.7 480330.4 559935.5 1071947 297311.9 443215.2 595143.3 673789.4 66680 778415.6 512981.9 382816.3 491929.2 394677.6 569989.8 592710.8 211085.4 269756.9 709248.5 13195.4 229092.1 10072 218112.5
706146.7 483009.2 487289.9 420770.8 405800.3 208945.3 563261.3 1285544.1 804945.8 586393.9 359576.5 462847 306841.6 402532.6 646358.6 472122.6 1247842 258245.2 440738 387759.8 433095.6 537193.7 835038.3 143013.7 685449.4 224522.6 878891.3 213672.8 244193.8 422937.4 315501.6 301862.1 503913.2 444444.3 463090.3 387454.4 182263.3 199071 805104.6 426809.3 852304.4 737205.4 616932.3 580341.1 943351.6 274780 251960 138119.3 572461.4 693062.4 649216.8 261873.3 331031.8 261906.5 421620.6 753540.1 237049.5 583026.9 425283.2 515923.7 285918.8 419199.1 695513.2 521530.3 472358.9 1015965.5 244287.6 366491.4 501871.1 590805.3 488507.3 524463.4 392051.3 155964.2 90884.5 366830.5 347983.9 312320.2 212652.4 544579.4 226436.3 557345.4 272270.8 200010.7 263962.4 310787.6 123565.4 342640.1 374405.9 319301.6 332158.8 304696.4 703215.3 264867.4 580930.7 336668.9 327763.9 594791.3 692632.1 304992.6 298224.8 232487.6 382362.7 266340.9 1093340.3 220249.9 361307.7 377156.4 278863.1 228248.1 388922.9 343776.6 428576.1 739039.1 490959.5 248381.1 189512 387705.5 457940.3 1007433.7 287934.3 277350.9 190909.2 251746.8 592943.7 651391.8 600775.5 428734.9 409966 172194 320529.4 757706 435567.1 497413.6 800496.2 223100.3 245342.1 204368.8 141081.8 206700.9 450878.9 1021009.6 582945.8 379885.5 454734.4 343711.1 312001.7 595757.8 1205164.8 373605.2 247463.2 194175.7 206396.8 439580.6 856514.9 371461.8 619320.6 526135.6 602281.8 526836.2 438953.2 486898.3 440767 226840.1 656914.8 252401.3 954229.9 286902.5 141548.5 320113.6 354207 221239.4 385232.7 226245.8 315188.6 1153637.1 170380.4 693206.2 337773.7 191883.8 257615.8 334113.3 223424.3 218230.2 389309.9 570602.3 625912.2 379975.7 456618.1 224816.1 546476.4 412200.8 577165.3 374416.6 493075.4 453160.5 380882.5 262599.4 442917.2 504578.8 112684.5 275478.2 461565.3 182361.3 263685.1 311913.9 373279.8 555690.6 339645.5 497942.1 691649.1 540581.8 871218.1 191831.6 232186.8 267759.4 526410.9 337475.4 298134.1 158557.8 452052.8 182786.2 177814.3 581430.6 280674.4 152937 717494.7 256573.7 480331.9 640066.5 489896.7 253574.3 499143.3 807091.8 641799.4 309561.2 371088.8 384929.1 253657.5 527387.8 496865.9 133017.1 336926.7 485611.8 320616.7 218523.7 318389.5 226851.1
1066734.8 906649 881636.9 611830.6 593514.8 764059.7 941292.8 873286.1 960686.6 700714.3 801837.1 707003.1 924327.9 865990.8 893618.6 635648.4 1053923.4 700724.9 1031919.8 653424 1038229.1 1070100 899366.1 419215.3 885746.2 587218.2 890168.1 486213.1 495049 449458 407819.6 494130.8 621500.3 560788.9 411151.3 662509.4 524245.1 518280.8 988510.8 681895.4 1020086.1 826785.6 925383.6 882791.8 933256.4 626612.4 637828.6 562448.7 1153829 870289.4 797670.5 643880.4 826433.8 563165.1 907392.9 972400.3 502890.2 1103117.4 605974.3 1126358.1 397554.8 644893.4 710147.6 637240.4 709999.6 926591.5 673210.1 627958.4 809153.5 837693.4 1177757.1 759544.1 1265551.1 575200.8 346416.7 663686.3 837436.9 642156.9 590000.9 1071057.5 562556.6 777582.3 931645.6 435430.6 614698.6 691801.4 468134.6 709795.3 660736.7 616992.1 551532.1 533559.3 819678.9 640862.8 735452.6 571781.2 605716.9 937196.4 1003083 698022.8 594642.5 430164.9 830736.8 444459.3 887405.5 603416.1 614644.6 365759 682136.9 709007.6 645953.6 1003983.1 926096.8 1188715.4 861243.3 537777.8 610469.2 595446.1 642821.6 1060381.8 611815 570308.8 350537.6 649929.9 850401.9 929003.1 808324.8 693500.3 783800.8 549140.4 821783.9 1053307.9 778002.1 901675.8 706580.8 569156.4 482309.7 437206.2 410196 548022.5 573531.7 1105716.1 565056.4 541011.1 703215.8 831538.8 637166.4 861325.5 1073053.3 676987.3 497174 389756.1 582580.9 854739.8 1219852.9 589069.9 648351.9 732896.8 963946.3 549334.8 604346.3 804518.1 895184.1 827781.3 882656.7 693947.8 1185331.9 768481 402576.4 877982.8 501671.1 622921.8 512143.2 653381.9 964707.2 1730180 397794.2 711288.1 634116.9 478072.7 437160.7 710731.3 447882.4 417914.8 678001.8 792402.1 1018003.6 686257.2 588181.3 652796.3 724272.8 625066.6 845377.5 881449.2 710352.2 625181.3 561405.4 758543.9 700810.4 627263.9 131832.7 520337.1 540906.9 469660.1 639441.7 490452 441043.6 762541.2 657230.8 650964.7 1042854.3 1034152.4 929056.1 368983.8 494616.6 558639.2 723193 444814.1 598673.1 335178.4 428652.4 371853.5 421534.1 966015.6 401958 345823.2 958454.4 757475.5 467666 532517.2 419762.8 740952.4 564082.4 850619.4 962586.6 468482.2 761530.6 571759.6 640076.1 877669.8 544825.4 445601.2 468969.3 814049.3 651415.3 499653.2 678158 454440.6
564074.2 567941.4 540170.8 570820.1 512944.2 615414.8 589996.4 647275.1 825772.7 560420.6 637486.6 631329.9 541053.7 524887.5 726740.8 734059.2 628499.7 503495.7 441987 518999.4 690317.9 919090.7 662689.1 348823.6 700166.7 377716.4 658507.9 350320 378964.3 320142 327163.7 411578.3 385136.6 528416.8 526752.8 451517.9 434422.9 340703.9 617747.8 443488 630525.3 632109.9 722269.3 646583 934046.4 491273.7 398197.5 392589.7 716863.1 619504.9 637900.1 373947.5 513798.3 469892.3 539543.1 620719.8 434981.1 470141.8 591578.4 434714.6 390585.7 628259.1 623945.5 597049.1 433986.6 731752.1 468951.9 454700.9 660436.9 527817 617356.3 570820.6 517380.8 435466.7 281636.7 459926.3 358641.8 409019.3 525428.4 702082.3 493779 597308.1 712933.4 374019.7 433645.2 441411.9 407575.2 592737.3 569412.6 456976.1 455468.1 533131.7 625224.4 497190.4 473163.9 452054.2 561427.4 762025.4 654453.5 354725.2 441950.7 384856 394751.7 393210.6 789521.8 506105.4 497741.2 372114.4 527684.5 530405.9 542039.3 607450.1 690506.2 650684.4 661205.8 406831.6 428630.4 417286.4 529223.4 606746.4 472905.1 487693.3 299415.8 457821.8 725865.3 597738.1 626235.1 532876.6 430403.4 504642.7 633314.3 729460.9 644103.7 589933.3 786393.8 522015.2 425013.5 415995.3 437738.4 634832.6 608601 830621.6 523094.5 506268 608887.6 771859.4 392992.9 703374.3 962525.5 505296.8 519395.5 286085.1 490303.1 741137.9 810898.9 404767.5 744650.6 571185.7 592027.9 612331.6 350611.3 602545.3 713122.3 551339.9 575937.4 535713.9 666592.3 465742.3 389145.5 380099.6 305700.9 483570 442345.3 616848.7 735159.8 890536.2 341473.2 606762.6 462409.4 317230.9 471082.5 435712.9 328846 343793 449640.1 557135.4 678670.9 646292.6 521076.2 556219.1 608185.7 460662.4 719826.1 557860.8 560331.3 638748.4 421169.8 422312.2 529612.7 594414.7 306908.1 498520.3 612846 367493.8 398558.7 589766.6 424946.9 709133.2 482216.1 746490.4 753895.3 825431.9 887687.4 384444.9 441107.2 473934 468821.5 308740.8 448499.1 246305.4 591375.2 282644.3 337156.3 558996.1 353163.3 318247.9 634112.1 415427.2 520949.7 357335.4 481000.4 597425.9 669130.3 887401.5 758933.6 432161.9 572215.4 519129.6 642763.6 630070.8 561716.9 361887 371270.3 623860 447326.1 362827 535405.9 337839.1
646874.1 528948.6 275453.6 610857.4 500557.5 460838.3 510776.1 623568.6 518843.6 362478.9 423901 491042.8 351020 422328.6 362670.1 704389.1 469604.8 512888.9 533967.4 428928.5 385738.6 579084.4 626221.8 386799.9 626179.8 445813.8 596764.6 418822 330215.7 209443.7 217819.1 251785.8 366605.8 482439.6 404796 405066.2 354658.5 466110.1 570466.5 555749.5 481628.9 402050.5 591886.7 562623 641409.6 277642.8 478360.4 358979.3 629873.9 349036.9 594357.9 309203.1 437027.6 358435 492192.8 291017.2 412434.4 577834.9 450747.4 440719.8 345148.8 429721.2 394671 358526.4 548614.8 614862.6 496698.9 281179.6 626133.5 404283.3 519257.3 372297.4 280840.6 413620.7 246244.8 506040.8 305719.9 421451.3 498856.4 598845.1 565278 594528.4 619811.1 340733 431014.5 429188.2 453453.7 423300.8 511126.2 467900.6 493847.6 483630.2 534647.1 463165.1 333169.9 430434.1 365161.6 422542.6 427459.1 501692.6 537202.4 379926.5 634614.8 399127.9 650570.3 455369.3 414491.8 495245.7 438397.7 482833.7 474559.3 531855.8 520087.9 461802.1 529784.8 462652.4 541804.7 435883.8 538058.6 388810.6 438644.2 372161 321948.4 390289.2 308258 506923.8 359028.9 457381 405164.4 393724.4 455780.3 651569.2 504293.8 508455.9 570768.8 415399.2 353705.4 355136.7 490494 529987.1 593881.1 721684.8 627865.9 669985.6 631741.3 768591.3 424845.1 488718 994716.4 651247.3 622935.9 437558.2 413376.8 836939.5 897375 495755.2 528249.6 482670.6 473673.1 701221.7 518576.3 358580.9 839763.1 619811.7 695855.8 613099.8 947092.6 535828.5 306973 492063.8 451447.7 376293.7 531013.3 619939.9 641003.3 559042.1 365408.9 826786.1 406079.3 523792 527840.8 525727.4 337805.1 383522.6 509384.1 335202.7 530469.7 535978.3 371556.9 514257.3 548623.1 531221.9 600055.5 645704.3 488930.2 607950.7 473773.6 512637.2 556457.5 566052.2 278570.1 499599.4 440918.8 340806.4 453482.3 582697.6 491546.5 609671.4 375747.2 451066.3 363646.8 411693.6 749892.5 366577.4 456625.5 437170.8 485410.1 486076.3 475006.5 317204 606602.2 393161.2 369593.1 421031.4 313192.6 295483.8 561267.3 414794.5 725614.5 116631.6 538357.6 528050.5 516085 542408.8 677960.6 345839 590040.1 349917.4 643756.9 402848.2 490083.1 337314.6 420935.8 548677 340273.4 361146.3 544128.9 297206.5
512579.8 504781.1 469188.5 647627.5 488664.8 553661.3 548176 494690.2 698941.6 501602.4 569962.1 533819.6 546093 540232.4 636715.6 728233.8 533561.8 479516.3 403283.6 502090.8 562758.8 830328.9 643085.8 341383 665656.3 375657.6 569065.4 386694.2 355367.1 312715.2 316190.6 390070.6 370472.2 522904.8 526381 499185 436630.6 336458.7 540333 485121.4 536144.2 568580.2 655086.1 585429.4 738055.4 429874.8 397306.9 435486.3 723206.5 557441.8 604063.9 390353.4 487933.8 420983.1 526321 526554.4 401591.5 400732.3 580848.8 425816.8 399414.5 589381.4 538887.7 520287.6 450879.7 682991.1 475426.3 397680.1 644288.4 455905.6 519369.2 485019.1 477357.1 425633.9 293589.5 464886.3 369754 377635.3 524111.8 675042.1 542288.4 591071.5 757734 348223.8 433522.2 515340.1 434916 560374.2 593363.5 445512 485275.3 540438.3 552442.3 513777.9 439084.1 417151.3 540424.4 684386.7 594883.4 363151.3 448253.9 395632.7 390239.2 415939 680725.6 468416.9 499161.7 408090.6 485721.8 522045.7 524423.6 530200.1 635584.2 553155.5 582710.5 400687.6 393728 413136.7 535187.6 484758.3 439694.8 466447.3 338838.9 429562 603701.5 594329.6 554400.2 563645.4 414506 481436 660246.3 665831.7 589345.1 650953.3 747232.8 519945.5 403356.8 416536.4 462219.6 610943.8 651565.1 899446 518052.6 485880.7 551312.1 722643.6 401248.7 692680.3 888021.3 452950.8 523367.9 315365.8 464880.5 736537.1 748947.9 386483.3 678142.9 497741.6 533394.9 629287.1 352893.4 636787.7 683267.1 595556.6 521834 574853.5 584276.1 452487 404049 393157.5 319922.5 495030.6 447320.5 615805.6 696297 696721.6 334810.1 532820.4 413902.3 336379 447432.4 431743.2 338081.3 333663.5 454148.1 521460.3 590179.4 622663.3 468764.5 599924.4 723140.6 487180.7 722491.3 537894.8 610409.1 653913.6 437669.6 404913 557316.4 625520.3 350669.2 549454.6 656447.1 328219.8 442211.6 554055.9 451241.2 674848.1 460422.7 661038.6 647703.8 790113.6 762514.9 423777.9 459415.3 463950.5 436752.8 308222.3 490614.4 283532.5 584036.3 327200.5 371395 564027.1 388662.7 336163.2 601767.8 401696.3 445131.9 259797 512728.6 596119 650914.6 817751.7 794261.3 446213.9 544319.7 500835.8 638607.4 501908 522141.9 369495.8 401126.6 524505.2 420878.5 349349.8 518835.4 332278.6
