"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0
13119.1 6146.4 8368.1 16986 3714.4 5348.3 6401.8 41066.7 30786.1 4725.5 13582.8 7739.7 22322.7 19247.1 35861.4 27814 18466.1 12883.1 18492.5 12288.4 14277.6 29183.7 11027.7 22479.2 4711.6 3572.2 13934.4 20564.2 18765 3059.8 7395.5 2932.8 6906.2 30197.7 7140 8537.4 14815.9 14649.3 8473.3 15800.6 27762 6231.3 6156.1 7621.8 5785.4 5628.9 3352.5 1913.2 4725.1 2781 2495.6 5319.9 3007.2 2897.1 5734.5 2202.8 1960.6 2145.8 1023.5 1786.4
15930.9 9382.1 11559.1 22465.1 8059 9184.3 9201.7 38506 31106.7 6471.4 14626.5 10805 19893.6 17252.1 29993.5 34597.4 18057.7 10429.3 16569.8 9503.5 11957.8 19488.5 14029.2 24661.9 8340.8 7984.6 21386.7 31759.6 20706.5 3273.2 12083.5 8469.6 10742.7 26069.5 9925.3 10712.8 13984.1 13075.3 10691.2 20268.5 25901.1 8886.1 12253.9 12575.7 8656.9 8223.5 5846.2 5248.2 7325.1 6098.9 6422.8 6640.1 5742.9 0 2492.6 1929.1 1531.3 5147.1 0 0
13491.2 8631.8 11048.4 14654.5 7589 9331.3 8527.2 30800.6 33144.6 3171.4 18336.1 8321 18303.2 16681.4 16547.7 24286.4 19586.4 11544 16679.3 14066.6 13610.7 29760.6 14098 19148.3 7592.5 9238.1 20177.4 31288.7 21377.8 4662.6 10454.1 8048.1 9831.2 18615.3 10007.5 9436.1 19069.8 11324.5 7778.7 16004.6 18155.2 9368.1 8940.4 6472.4 6791.7 7397.4 5618.7 4927.2 8749.1 5265.5 5148.7 6762.2 5201.6 2320.2 6106.9 2642.4 2754.3 5080.7 2861.5 3771
287.7 325.4 9314.9 2089.5 2499.8 75.7 1213.6 21332.8 31744.8 4400.4 812.4 380.9 2061.8 589.2 550.7 153.8 800.6 468.9 406.7 10610.1 126.1 143.3 11649.8 848.3 199.8 7025.4 15747.1 33982.6 862.5 6029.7 411.7 91.3 496.1 125.7 9009.3 3089.1 2153.5 2324.5 2389.5 17227.4 1088.6 109.8 177 10701.6 651.9 616.7 963.8 523 2205.7 1176.4 221.3 1053.4 224.6 286.1 3242.2 96.4 165.4 3276.4 2237.9 2866
8690.8 5496.1 7927.9 19213.1 5445.2 6268.1 6108.2 33454.8 16455.2 4847.8 11635.2 5862.2 16967.3 15430.3 24796.7 19410 16087.4 9678 9643.1 9325.1 9251.6 17053.3 9776.3 22827.7 6261.7 6702.4 15515.7 29989.4 14348.1 5482 6985.5 5024.5 6355.4 21277.2 6142.4 7697.5 12500.5 9615.8 7085.9 14028.6 22024.6 6217.9 8004.5 6907.3 6221.7 6326.1 4301.9 3797.4 6638.4 4433.8 4538.2 4972.4 4153.5 3440.4 6242.2 4121.9 3112.8 4433.8 1714.7 3453.1
12992 9095.4 7838.9 11118.4 5084.5 6678 5361.3 15673.1 27811.2 6593.9 12498.2 9820.8 13797 13556.4 25231.7 31123.5 16003.4 11224.8 15606.1 10632.9 16826.6 25038.8 10049.5 21376.2 7993.9 6797 14426.2 28460.7 13660 4519.5 6220 3378.6 9399.5 13422 5220.5 6007.1 15445.1 13568.9 9423.8 11666.8 21754.1 10201.6 9252.9 2857.5 4495.2 7108.2 4800.1 3426.7 5753.7 4973.5 6050.7 4977.6 5597.4 4706.3 5258.8 3686.8 3046.6 5509.5 3483.3 4464.8
3773.1 6351.5 5514.1 19864.9 4528.3 5753.4 6158.3 4010 2546.3 3903.1 11872.4 7629.1 16686 14753.1 28845.2 24065.2 19306 8287.9 12980.2 8617.3 10581.7 923 3666.1 19773.4 2917 3412.1 4043.7 1178.5 12190.5 3365 5623.5 5359.3 6285.8 24800.7 6096.9 7730.3 14910.4 11793.5 6202.8 956.9 22223.4 5449.3 6130.3 3326.2 6447.7 4869 3052.8 3036.3 4524.9 3360.9 3494.6 3861 2525.8 10.3 5275.6 2741.7 1035.6 3077.7 318.3 315.4
13666.5 8488 7627.3 21207.8 7083.5 7871.8 6893.1 24583.5 18966.8 7723.6 13008.9 7414.1 13273.7 13539.5 22837.8 21805.2 17480.7 10272.1 13721.3 11262.6 15745.8 21810.1 14141.2 23561.7 7740.4 7428.4 15392 27037.7 18282.8 4987.5 10212.4 6077.1 8236.8 18403.2 7044.6 7499.8 13052.7 13246.4 6898.6 15786.4 23544.2 12841.8 12752.1 9674.8 8509 7531.9 6330 5085.5 9146.4 6640 6610 7693.2 5349.7 4716.5 5807.5 2884.1 2818.9 5949 3408.8 4984.5
18457.8 5961.5 6188.2 5395.4 6768.6 8777.3 10460.2 2174.3 7878.4 2731.2 1789.4 10465.3 4165.2 17390.6 25123 13789.9 17642.9 9562.6 12612.2 2834.1 3856.4 1575 3444.8 4683 0 1635.3 3835 12734.3 4186.9 3365.3 10792.3 2564.3 4364.9 22390.7 9464.4 12119.7 25098.9 15648 11333.9 7366.6 1087.7 5681.6 7354.3 5561.6 0 0 0 0 9993.3 2311 0 5917.5 5121.8 4581.5 8410.6 2845.1 3606.9 5579.8 3482.3 4144
439.6 -12 330.1 204.2 -35.3 109.1 4382.7 -156.5 -199 -120.7 24.4 2504.7 2728.6 15485.5 38657.5 608.3 498.7 597.4 1081.9 -186.7 26.8 -462.7 -120.7 -140.3 8840.3 -97.3 96 26 -119.2 -208.2 31.3 631.3 19.2 20946 484.4 188.3 761 444.9 3150.8 -92.7 126.5 123.2 -92.8 -238.5 1276.5 317.4 1258.8 503.2 693 413 -62.3 -80.6 531.7 -41.1 218.8 -5.6 1800.4 5598.9 122.4 -89.5
11865 7145.8 8919.3 14250.9 6126.8 8641.4 6380.4 29157.3 19418.8 2608.4 16354.5 6419 14202.2 12224.8 16901.2 21671.9 16454.3 10335.2 13826.8 11471.9 11285.3 20421.1 10974.7 11594.1 8154.9 8055.3 15217 27105.9 17751 5148.5 10111 5619.9 9462.4 15169.8 7997.7 6523.3 15555.8 10585.1 7026.3 11648.2 12356 7234.8 7521.3 7174.5 9455.2 7352.4 5198.3 4344.1 9411.9 5654.3 4942.4 6644.8 5152.1 2756.6 6052.4 3769 3400.5 5153.9 2558 3773
9512.6 5772.6 6899.9 5621.9 6590.1 6150.6 4913.7 35666.5 13649 4928.8 5755.1 4982.8 10050.5 7165.2 5051.3 11141.1 8645.6 4876.5 4963.4 7969.9 8198.6 17780.6 8529.4 7175.9 4532.2 7890.5 8124.6 26852.6 7249.7 6279.4 7288.3 4419.5 6407.7 10160.4 7711.8 6051.8 4049.4 11550.2 4237.1 17006 3858.8 10059.4 9127.2 8494.4 5251.2 3122 3996.6 4198 4305.6 4149.9 4291.3 5125.1 3993.2 4301.9 6045.2 4683.5 3457.2 4155.2 2335.8 3552.7
7330.1 5159 6145.4 7770.2 3176.1 3310.7 4808.2 23894.6 18685.9 2669.9 8404.8 5625.9 8058.7 9540.1 5863.2 18430.8 9419.3 5629.2 6230.5 7430.8 8680.3 20040.8 5347.2 8149.6 4440.5 2809.7 8580.7 22731.9 11315.8 3474.7 4920.2 3910.8 5596.9 4228.2 5386.1 6170.2 6088.6 8456.9 4977 13756.3 4364.4 3121.1 3097.9 4150.1 4451.4 1804 1562.6 1704.7 4107.4 1401.3 2016.3 2557.6 1548 2256.8 4182.9 2629.1 1971.6 1762.8 673 1202.7
13017.7 8622.3 10240.4 17375.1 6996.1 8805.8 7891.7 8685.6 12257.2 6645.7 14653.1 9298.3 11980.1 14426.7 15160.5 16474.2 16644 11680.3 16511.1 10294 14528.8 6462.9 12062.9 22760.7 6516.9 7181.1 19020.4 2725.5 24237 6161.1 8865 7923.3 9449.7 21782.3 9098.4 10216.1 16061.4 13488.1 9427.5 5562.1 21220.1 10168.8 10551.7 9744.1 7954.6 6915.6 5128.5 4426.1 8805.7 4949.4 5525.3 5806.7 5096.4 4867.6 6771.3 4794.6 2454.1 5678 3375.7 4272.3
9233.6 6556 3711.5 23731.1 5496 4448.5 5938.2 5254.4 8122.6 4511.9 11688.1 7936.6 7843.7 13248.2 21249.4 6528.7 16367.9 12888.2 8157.7 11039.4 15046.4 3615.5 8709.8 4900.2 5733.2 5298.2 4699.9 1384.1 4386.9 5310.1 7736.5 4976.9 6454.6 26836.8 6649.9 6589.7 14486 12423.4 7441.4 1010.2 5777.3 3789.1 5174.1 2684.4 5214.4 4765.6 4148.9 3850.7 7238.8 4173.3 3944.9 2738.1 4134.5 4051.9 5817.1 3965.9 3210.6 4780.3 1395.2 2290.2
2830.2 3922 5382.3 2424.6 3979.3 3497.3 2377.4 37804.4 14015 3435.6 3624.4 3372.8 3026.5 3413.2 2948 5762.8 4030.9 2357.4 2495.8 3085 2960.9 13058.8 3286.4 3402 1551.8 6495.1 2731.9 10351.3 2706.8 4701.7 2668.8 2719 3243.5 3027 3556.6 3196.8 1980 5400.6 2000 11464.5 2719.1 8883.8 4601.6 5278.6 2239 1434.5 3014 3394.3 2164.7 2147 1898.7 2630.1 1827.4 1682.8 4285.2 3373 3322 2689.3 2495 3350.1
9750.1 2872.3 4634.1 3789.2 1533.2 2416.9 5153.3 3960.3 4738.5 3900.4 16262.4 7706.5 6165.6 12066 20118.4 13970.5 7419 2260 12268.8 928.7 4029.7 2895.2 896.9 23799.7 7069.8 6585.2 2712 1362.3 16332 3318.8 5015.5 4741.3 4803.4 8084.2 2739.8 3000.1 14324.7 2414.9 2740.6 10038.6 2097.2 7845.2 7572 451.4 6543.8 6490.9 4820.3 4784.8 6993.7 3350.2 6452.5 2483 5795.2 1205.6 1541.3 4227.5 3639.1 2640.3 851.8 1149.8
12296.5 6966.8 8924.8 12180.4 6997.5 7551.3 6806.5 24080.5 15577.9 4092.8 9811 6871.1 19682.7 11427.6 11025.3 18210.5 13810.8 10875.3 14879.6 12595.2 12006.8 10903.8 9252.1 20515 6168.6 5683.4 13240 7358.4 11275.1 5748.6 8814.8 5619.7 8038.6 14669.7 4232.8 9258.8 11542.5 7189.8 5885.4 12028.1 18983.3 7771.8 6881.1 5564.7 7455.8 5416.6 4625.1 4915.4 6939.9 5079.5 4490 5811.3 3876.6 3410.6 5902.1 4126.3 3379.7 4262.4 2258.1 3057.5
7125.2 6468.1 4577.6 15843.1 5308.2 9113.5 8770.6 3181.3 20855 6452.3 13342.6 8217.8 17913.5 12979.8 18485.6 18459.2 13571.6 6565.9 11722.8 10039.7 9005 8779.2 8737 19589.8 6251.7 7912.2 14871.4 3592.9 5443.3 5837.2 7872.2 6381.7 7785.1 17741.6 5976 9367.4 14019 9552.4 6436.2 3652.7 7256.5 2428.9 4999.1 2741.2 7464.7 8007.9 4865.7 4873.7 7917.9 4493.6 5260.5 5373.2 5162.5 4596.4 5638.4 4107.4 3400.7 4799.4 3390.4 3499.6
10242.8 6962.7 4735.1 15465.1 3357.2 6524.6 5247.6 2510 919 4146.9 9471.5 7451.9 16357.5 8948.1 19001.5 14341 15733.7 10784 11354.6 8737.3 12074.3 12575.4 6011.9 20847.4 6185.3 5440.4 4053 4367.9 17890.9 4345.4 7997.4 3432 8203.3 11271 4179.4 5938.4 13502.2 6752.7 3343.3 4901.7 8572.5 6009.5 7584.9 7038.1 7407.3 6296.9 4657.3 3983 7733.8 4226.8 4454 4686.5 3986.5 3760.6 5246.8 3744.4 3020 3971.7 1178.6 2921
6643.5 5797.2 6923.9 10826.3 5720.6 6036.6 5634.9 27862.5 14266.5 4828.2 9962.1 5779.8 8538.1 8857.4 6981.4 12053.9 12023.2 9050.9 7450.4 8251.6 6753.2 20004.5 6123.7 10047.3 4337.7 3328 11646.4 6565.4 10266 4859.1 7472.7 5502.8 7282 5568.3 6106.8 6154.8 6504.3 8959.8 5394.5 17995.2 6293.8 8481.9 7928.8 5968.6 5657.9 4042.2 3285 2254.2 5812.3 3012.8 3426.7 4333.3 2746.2 3042.1 5709.4 3487.8 2703.1 3572.2 1594.3 2904.1
