"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86"
1 1 1 1 1 1 0 2 1 2 1 2 1 1 0 0 0 0 0 1 1 1 0 1 0 0 1 2 1 1 0 0 1 2 2 2 2 0 1 2 2 2 2 2 1 2 2 0 2 1 1 1 1 1 1 0 1 0 2 1 2 0 1 1 1 2 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 2 2 0 1 0
26617.7 33078.6 36616.3 20487.3 26862.1 28887 36523.3 6915.9 30327.5 1203.6 36373.4 38235.2 43267.1 10603 40932.4 42695.1 132033.1 22660.3 31723.7 66821.8 97418.1 45127.2 28694.8 13591.3 26983.8 28841.8 13801.5 17231.2 13610.9 22766.5 41139.6 21373.2 26161.3 2402 14948.7 3164.6 2615.7 24830 19490 20040 26283 120368.5 3971.2 10808.7 17744.9 711.7 8453.7 8040.2 43899 30825.4 34440.3 25878.6 4776.1 26680.3 42963.2 26857 17387.1 3932.1 12457.9 28299.3 7728.9 23930 24876.3 28657.3 19281.7 2237.8 32500.9 23716.2 2711.2 56950.8 26329 17655.1 31911.9 33796.6 38770.9 22555.2 36904.4 9340.1 59306.3 3348.6 7446.6 4192.7 11404 22259.5 46347.5 57487.8
44655.1 48743.2 44657.9 18059 23553.5 34563.4 31749.9 13503.7 35066 1070.7 41628.1 45997 45904.7 5786.4 23496.2 23842.4 23795 39229.4 21902.4 45776.7 58426.2 41949.3 11753.7 2636.1 68053.3 42801.1 8884.6 43821.7 13320.6 55038.3 33928.9 55773.4 54033.5 16802.4 12480.2 2055.1 3705 77267.1 24226.3 43399.8 52409.4 4794.9 10353.9 23687.1 4197.3 1723.1 12692.2 1113.2 5005.1 34833.7 29776.9 45064.3 4879.5 43821.8 25610.3 44228.5 46950.3 9009.1 24158.6 21791.2 26758.3 36791.2 14560.6 63490 24891.6 4647.3 42035.2 41750.9 7874.2 48622.2 35834.7 15255.8 60785.1 31543.9 65761.3 84988.5 37054.8 12522.2 688.5 5581.9 45290.3 3917.5 18976.2 34649.1 2476.1 9326.8
37747 35154.7 34963.5 20321.6 22985.5 27368.8 23434 5078.2 27907.3 1411.2 33425.1 39059.7 38690.9 12690.3 23131.9 26316.2 607.8 17944.4 15689.4 4405.5 7422.8 26539.7 17907.7 5212.1 24866.1 31133.6 7308.8 23661.4 10172.2 18136.1 31654.9 32573.4 29874.9 14316.6 9034.3 2426.2 4676.1 15562.7 22154 20684.7 10067.2 381.2 9131.3 17043.6 10931.4 736.4 10482.6 3401 6649.9 27488 29847.2 33102.4 4107.3 29317.2 24132.7 31179.2 19749.4 4020.5 13263.5 27617 11985.1 23814.9 14516 30366.9 17758.8 2286.8 22321.1 31370.8 4005.3 47915.3 29137.8 9002.9 16514.3 26084.4 13780.6 9001.3 1954 7913 33 2227.3 16049.2 3830.5 8083.6 19680.9 7126.5 8875.4
35390.5 33888 31296.7 23503.7 20534.7 29614.4 28260.1 18200.8 27120.5 2581.2 32380.1 34447.9 31590.1 5888.4 32362.8 34705.9 42611.2 31049.9 24472.4 18018.4 16365.8 37463.9 25966 11117.9 33488 31199.9 14673 29014.9 15201 26822.2 34653.6 37193.7 27536.5 9770.7 11468.8 3955.8 2389.8 49823.4 26228.3 24694.3 32251.8 18281.2 8173.5 15510.8 33675.4 876 11037.9 5543 33871.3 24919.3 29360.3 30319.9 7196.7 31096.2 32093.3 35232.5 35290.9 10320.8 23886.2 24917.2 25077.5 29860.4 25100.1 37392.7 23126.8 4696.1 28703 23403.4 8025.7 29138.6 29025.5 15826.2 36348.3 32169.9 25502.3 23652.1 30506.7 16444.2 24097.2 8573.1 26434.5 6150.1 16069.6 31090.7 43940.3 28164
25072.7 26237.3 25308.2 11597.5 24609.6 16266.8 20457.8 9067.3 20647.4 413.1 25792.5 27745.5 26449.7 5286.1 24719.1 25548.3 23273.9 30763 26842.6 4696.8 24993.8 29302.7 22064 3500.1 35953.2 21720 3606.5 22763.2 7272 29361.5 29624.4 30286.6 38268.8 4527.3 961 2631.3 3813.7 27177.6 14972.1 18193 33281.4 1581.6 4862.8 4958.5 35531.8 5374.4 12811 3990 3335.3 22554.1 17250.6 26280.7 5518 24176.9 22904.1 19917.5 24068.6 775.9 9573.2 25182.9 15812.9 22052.5 23148.4 25948 21953.1 2399.4 31197.7 17930.8 6534.3 21675 25513.2 9241.4 32631.8 21129.1 39538.3 5982.1 16188.8 6717.2 33 3682.1 20337.9 4389.2 16003.5 24588.2 6576.3 19872.4
28472.6 21521 31485.2 31580.6 36951.2 28236.8 31429.6 29921.1 23351.1 30381.5 28237.7 20035.4 27147.8 36862.4 26488 29123.6 9839.4 35934.4 30666.6 8023.8 11770.3 30895.8 20135.7 44522.7 24234.6 31718.9 29076.4 17019.5 33898.9 10361.2 30805.2 30646.9 31346.7 31118.9 13427.3 39313.6 9706.3 32375.4 30173.9 15428.4 12168.7 7634.5 7031.2 14581.7 8439 12502.1 22427.1 34600.7 5705.7 24335.6 32508.4 24296.4 38139.5 26797 25412.5 24555.4 29575.1 10554.3 32184 29220.2 18856.9 19641 33156.3 25909.1 36584.7 6250.8 27014.9 27573.3 8155.5 19386.7 26395.4 32410.3 31034 11974.1 20368.9 15825.2 118.7 98.8 581 10411.8 20799.3 7420.6 6894.6 25668.8 10912.9 5512.7
7708.2 19121.2 14282.3 20355.4 18085.8 13894.6 24902.5 30384.8 13890.1 37373.4 18857 10896.5 8326.3 22361.7 10660.3 20042.8 8749.1 18484.4 11930.1 4571.7 7271.4 7485.3 5700.1 5418.3 9017.1 21067.3 29838.9 7043.4 7389.2 9095.7 7045.3 29779.5 11417.6 22554 6616 5255.3 3166.6 14434.9 12632.2 6206.9 13420.5 8637.7 22832.1 6694.8 16050.7 4525.6 31612.5 17333.8 9156 19813.2 6768.4 13908.3 14613.4 15943.8 29176.8 22071.6 33781.7 3634.2 7673.4 11857.1 13507.7 24144.8 10053.8 19524.2 14291.2 19312.4 8895.6 14353.5 4468.4 9372.6 17444.1 7672.3 14260.8 16058.1 14172 7303.5 3310.3 7629.7 6441.3 17343.3 28496.3 10736.5 4211.2 19673.9 9825 3743.5
11688 10350 11678.3 11344.1 8860.3 11114 14018.6 8677.9 12632.1 9908.1 12495.1 8860 11261.1 10040.6 17369.7 13774.6 18079 13613.4 12458.2 19300.6 13765.8 15129.2 18236.6 9312.2 13424.1 9263 12745.7 10852.1 15073.5 12434.4 12806.8 12309.8 10192.5 9220.3 15072.7 16603 50134.1 10439.8 16736.1 21427.2 12742.7 10031.4 42686.9 36165 13657.1 33881.9 21194.1 19881.2 11382.3 14638.4 12823.3 12701.2 10309.2 13219.4 12398.4 11812.8 11429.4 18713.2 12401.5 16714.8 35685.8 10652.2 14441.7 13521.1 9538.5 24170.4 10319.1 13236 18581.6 16628 13923.6 11320.5 13691.1 19909.1 12550.1 13664.7 23190.8 23264.3 19530.5 13993.1 12230.3 9106.8 34578.5 18508 16428 21522.2
18410.1 23659.8 26693.4 28415.3 23702.3 23811.5 17941.4 21683.2 15604.7 20387.5 20900.1 13929.9 20865.6 21017.4 28622.1 23880.8 13186.9 30205.2 32087.6 21993.2 23011.6 29060.8 37833.2 25740.5 24144.8 22179 20041.1 19171.6 31535.9 26459.4 25169.8 20250.6 22891.3 24469.3 29379.4 27403 14202.3 17255.3 26036.6 15449.1 23313.3 17059.6 27574.9 18984.1 24972.2 1129.4 23621.6 26857.6 804.7 17641.4 20065 19604.5 27507.1 22788.9 26302 25742.5 17734.5 15511.9 25742.3 21298.8 28414.8 21402.2 23590.9 21761 27724.9 18905.6 29605.8 27012 25142.7 20395 25601 41269.8 22094.4 30353.2 23770.4 26353 17368.4 1059.8 237.3 30188.1 21728.8 25307.5 17211.8 23526.2 33234.8 175
