"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
63.2 965.47 2940.51 64.07 3451.94 185.79 87.105 48.94 35.715 3552.94 32.01 76.215 2701.21 35.45 5230.43 4321.91 4144.24 1267.36 1872.39 2130.38 1404.28 970.94 47.435 6244.34 206.59 4879.58 1630.08 52.24 71.26 115.41 1167.39 3002.25 2947.04 2827.21 3770.85 5708.23 3738.64 747.12 3588.56 1883.08 4841.99 77.02 1172.39 6503.83 4901.14 2800.51 5979.53 3620.57 4094.3 89.95 60.85 72.99 1935.7 1559.63 1803.69 4327.01 540.97 2621.88 363.82 2593.88 5591.65 4302.77 2098.52 4985.82 749.51 1342.93 3575.75 5181.95 70.0167 3360.72 41.91 307.58 530.55 969.88 3709.85 42.29 1344.76 30.49 4739.97 1230.14 1519.13 132.76 2007.25 4009.81 3909.66 8453.9 319.715 2252.72 3661.73 7499.78 6922.43 7369.69 2213.13 5018.62 4923.64 3402.8 2690.9 201.87 67.775 1076.93 3440.25 116.48 107.035 3378.74 93.675 6849.7 217.17 4780.97 502.77 45.06 2360.67 3982.79 7481.33 142.095 5163.97 708.35 7523.29 1013.47 66.33 100 108.54 24.14 19.42 34.3 2571.36 35.93 248.96 4744 2052.25 2606.92 5316.7 4246.37 5301.7 278.3 159.29 256.74 5725.48 91.92 4875.52 7366.47 7020.43 10238.7 6851.54 6053.79 7326.98 4318.49 6501.26 7443.61 7398.47 7025.44 7979.52 5579.74 7924.12 7589.39 8405.11 7175.46 248.77 13.56 1539.01 298.09 3223.64 5256.6 3096.36 1573.59 561.25 1496.3 31.23 25.97 768.74 1530.29 142.78 3400.46 374.08 42.79 -33.63 23.73 508.39 14.03 223.38 94.73 37.83 70.11 142.39 58.04 54.57 3944.96 74.05 84.14 59 47.44 49 36.54 93.91 16.89 52.03 2884.85 70.55
4196.25 6207.61 6858.12 7016.91 6281.06 6546.18 5955 5944.16 6842.86 7202.39 1982.75 2110.245 5995.68 2586.83 2043.87 6215.12 7221.49 268.06 2255.47 2454.28 40.785 2854.9 6563.92 4458.38 7179.01 864.055 5033.75 2901.98 6661.13 3123.36 4855.69 2503.28 2798.27 6815.95 3208.48 5797.54 5787.77 6591.9 2955.86 3523.19 3537.81 580.19 3788.43 5163.59 6478.55 7086.52 3520.53 5710.33 7428.58 1625.24 7626.18 6588.31 4292.55 6744.01 5208.84 6432.48 4719.56 5156.69 6013.27 6293.02 5656.52 5710.97 6252.82 5114.24 5517 2425.49 6046.8 1225.16 1955.61 6488.1 4484.39 6602.86 6665.97 7648.73 3924.82 2857.06 2908.85 2199.53 1146.81 5423.85 7104.47 5677.4 5097.26 6536.19 4067.51 390.77 5830.61 5402.43 3591.33 5049.87 3701.33 5257.97 1940.08 5958.33 5292.89 5547.15 981.63 4959.06 7662.68 5435.98 4186.54 6542.89 1118.48 2548.63 412.525 7182.59 5259.01 2924.79 878.81 6220.5 761.27 1311.87 3813.59 1489.765 1988.16 3191.96 3730.42 5722.73 7037.63 6469.12 6634.28 3961.12 7278.27 6519.02 5017.38 3677.5 6922.78 4584.29 5288.54 5529.33 6261.45 3757.82 5731.49 6495.58 1006.96 5150.37 1508.07 539.36 725.52 2927.45 4313.34 2368.54 1504.84 6160.56 1810.8 1311.92 1437.86 2891.09 3062.15 1775.89 1769.71 513.23 4286.62 1402.91 947.9 2316.53 6982.32 3284 5634.82 4149.09 5384.26 6201.21 4829.79 5468.4 7245.06 1847.92 5282.43 6678.33 6497.52 1320.96 4962.28 3864.39 1207.36 3338.3 2575.64 1373.9 4349.87 97.27 34.15 55.42 -8.01 541.98 6.33 -1.84 351.99 3479.61 -20.12 20.51 59.67 1370.02 -11.59 -18.24 49.01 654.77 -1.69 2295.36 -84.07
3306.35 7077.04 6927.79 7132.05 6650.54 6547.79 5588.75 5916.5 6935.24 6715.95 3271.75 3005.49 6176 2199.68 1961.84 6249.93 7225.18 224.505 2111.88 3095.03 80.865 3769.02 6566.84 3033.93 6681.96 2306.44 5010.9 3277.91 6466.54 2527.79 4233.46 2554.61 2068.29 5235.67 4105.8 6095.27 6526.67 5224.63 3002.3 3711.75 4032.87 399.75 4184.13 4932.55 6770.82 5875.08 5051.04 5788.13 7192.6 1089.74 6712.63 6775.66 3457.89 6201.22 6189.99 6689.57 4916.92 5708.05 6461.8 6605.86 5317.63 5132.51 6396.1 5148.07 6586.33 4853.18 5085.97 2587.44 1341.79 6521.95 4699.52 6416.09 7370.5 7845 6698.92 964.67 3613.84 2630.32 1098.27 5703.21 6572.27 5343.69 5023.56 6609.45 4038.84 193.48 5467.72 4522.77 3503.06 4029.1 5555.79 3736.89 1367.33 6446.96 5553.3 5401.18 917.08 5952.01 6168.59 5021.77 4574.01 6876.43 3540.43 1868.3 165.22 7249.44 3695.32 4648.13 1425.77 5554.88 1301.5 1904.64 5143.74 1955.315 3921.81 3254.22 4512.35 6288.65 7094.95 6548.72 6853.54 3851.08 6818.31 6963.49 5590.84 3897.46 6198.21 4740.55 6042 5721.61 6574.11 5280.13 6011.14 6799.25 445.09 4997.91 2104.51 634.4 1209.34 4601.57 5545.98 2514.28 2367.9 6157 2790.04 1919.28 2197.49 2396.95 2869.27 3277.24 4537.31 795.36 3714.28 1959.11 1682.48 5036.3 7284.28 3466.99 5985.51 4312.5 4900.08 6421.02 4974.45 6458.4 6971.74 1587.51 4630.85 7351.79 7150.11 1990.11 3791.61 2441.41 767.43 3989.03 2391.7 1314.06 4139.42 131.17 74.93 151.04 26.17 691.02 173.18 21.76 428.34 1875.19 4.82 45.96 71.77 1412.46 9.11 0.02 59.62 1061.54 5.24 3991.99 -7.53
3330.86 6968.59 6495.99 6983.44 6858.68 6487.2 5658.23 5858.77 6784.06 6864.54 2810.51 3062.99 6382.86 2146.44 1865.87 6054.23 6915.81 206.375 2056.82 2844.41 102.04 3729.08 6156.46 2739.99 6523.82 2064.18 4548.43 2960.36 6441.86 2475.54 3829.88 2501.88 2030.6 4420.33 3846.79 6192.05 6453.6 5143.31 2904.63 3749.48 3931.99 401.36 4176.54 4755.8 5728.14 5585.83 4696.74 5727.67 7070.1 1201.01 6769.92 6759.75 3410.42 5849.83 6302.33 6983.28 4752.61 5847.65 6569.34 6710.72 5039.15 5325.13 6551.91 5318.14 6306.59 4422.57 4740.91 2658.9 1364.79 6788.21 4484.39 6451.94 7175.2 7070.22 5919.75 824.19 3601.27 2512.98 1011.46 5773.49 6338.55 5106.94 5012.83 6417.97 4008.01 165.12 5242.8 4525.28 2883.94 3990.11 5229.97 3428.16 1340.4 6349.93 5088.11 4746.63 984.51 5926.62 6026.56 4813.49 4437.01 6893.55 3333.01 1623.8 177.075 7223.6 3576.81 4247.16 1271.64 5375.65 1134.9 1988.08 4777.53 1825.26 4289.92 3249.91 4119.37 6233.78 7271.05 6021.57 6726.21 3719.74 6406.48 6840.91 4983.34 3798.33 5817.3 4616 6058.05 5817.31 6704.75 4967.65 5936.74 7285.81 415.3 5123.34 1977.87 613.77 1555.54 4296.6 5827.68 2558.89 2469.05 6399.13 2724.88 2059.69 1950.86 2122.43 2838.86 3174.31 4497.55 899.93 3692.86 1843.98 1604.36 4676.77 7572.57 3056.28 6152.6 4583.41 4946.19 6582.92 5048.84 5815.82 7132.09 1631.84 4617.63 7235.26 6754.37 2081.16 4014.82 2460.04 803.5 3750.33 2377.64 1402.51 4217.73 125.52 65.18 151.72 49.48 659.18 153.09 24.48 370.39 1850.81 3.21 27.3 61.02 1443.41 -1.63 -1.64 58.81 1037.14 11.3 3229.07 14.87
1609.47 6569.86 5273.47 6284.96 6007.37 6935.87 6651.25 7147.73 6139.11 7063.99 4093.45 3006.78 5385.56 2551.17 2849.13 7189.23 6794.02 589.99 3013.13 3495.73 305.39 4767.19 7137.69 2888.5 4355.05 2106.89 4748.28 4455.06 7443.68 1610.66 4554.51 5262.49 3960.66 4827.37 5309.97 6003.67 7095.13 5891.8 3749.15 4793.11 5316.22 468.92 5364.59 4699.62 6217.36 6070.79 5220.79 6928.12 6770.67 921.23 6154.68 6984.88 4579.42 6605.97 7112.74 4585.59 5266.36 6884.49 7039.51 6736.92 3253.09 5582.15 7055.01 6291.68 5570.12 5456.68 6538.44 2979.38 2541.37 6862.17 4012.94 7405.33 6797.51 5478.54 4714.79 597.76 4440.02 2208.97 1053.1 7051.4 6498.46 6733.65 6959.43 6921.51 5049.47 796.24 5602.96 5277.84 1445.03 5347.13 6966.73 4793.25 1952.16 4690.89 6019.29 4450.73 2004.16 7025.9 3803.75 5820.95 5997.82 4764.4 6045.75 2574.46 244.52 6559.99 4226.81 5445.41 2317.31 4069.67 2576.75 3470.18 6195.53 460.39 6630 5664.48 5719.56 6831.33 5892.56 4166.4 7020.43 3477.78 6396.56 6495.38 4852.74 3935.92 4016.02 6126.59 7368.43 6960.96 6810.47 6654.46 7165.27 7182.95 529.7 5412.46 1957.63 219.18 2757.1 5838.49 6473.21 4711.85 4533.24 6822.99 4064.97 3777.51 3282.52 2684.47 3829.54 4149.64 6206.78 2132.56 5043.38 2760.57 2572.2 6353.19 6683.12 3998.55 6811.04 3683.61 6124.75 7035.16 4537.43 4740.26 5789.55 2464.64 3876.34 6493.65 5399.65 3178.83 3660.38 1515.93 805.63 5534.2 3599.23 1791.61 3655.92 341.44 179.76 512.06 159.78 919.38 607.59 38.99 1062.43 2990.94 94.18 113.83 160.05 394.12 70.5 81.38 157.61 1859.65 59.83 6117.54 215.57
1597.32 6419.19 4672.48 5504.68 5517.95 6288.04 6181.6 6935.34 4969.16 6532.1 3335.75 3070.465 4871.54 2392.49 2717.17 6987.58 6273.29 404.97 2957.2 2665.77 182.55 4527.15 6632.08 2505.66 3825.23 1508.93 4353.77 4424.78 6791.48 1331.77 4148.15 4152.18 4060.59 4854.75 4745.77 6784.88 6605.54 5297.28 3893.95 4223.12 5566.82 458.47 4786.92 4371.36 6435.65 6481.35 4467.55 6748.67 6498.43 865.92 6548.29 6723.76 4515.77 5105.06 6942.8 4227.56 4600.97 6073.38 7023.58 5967.26 2771.32 6036.83 7219.85 6294.44 5120.19 5512.05 6462.73 2743.76 2117.38 6460.19 3358.93 6997.92 6150.71 4854.03 3595.79 464.51 4558.13 1994.52 751.435 6391.66 5983.15 6501.21 6839.45 6841.92 4836.9 747.19 5063.85 5556.77 1379.58 4190.44 6319.05 3487.92 1219.53 4180.02 6003.19 3944.68 1733.36 6411.99 3346.82 5196.61 4886.36 3894.58 5954.88 2241.08 204.445 6088.84 3424.88 4761.89 2138.9 3919.2 2430.5 3063.33 6160.13 438.95 6626.33 5343.75 5361.24 7032.53 5905.05 3379.1 6278.18 2930.01 6080.72 6318.76 3507.75 3332.07 4018.18 6041.23 6410.45 6610.62 6779.05 5339.97 7042.36 6483.55 485.06 6704.19 1678.59 151.43 2322.11 5223.7 6434.96 3485.4 4443.84 6454.88 3698.59 3138.85 2770.57 2842.77 4176.44 3835.4 5247.93 1911.49 5116.46 2236.98 2246.34 6046.89 5348.54 3388.74 6334.01 3530.76 5971.46 6184.15 4555.72 4236.64 5176.6 2426.27 3774.83 5544.39 4871.17 3023.75 3872.32 1609.63 606.59 5673.83 2985.97 1928.47 3772.95 177.11 95.34 366.5 99.2 896.19 416.9 52.6 948.38 3109.23 38.62 76.5 61.02 283.73 59.75 44.01 129.02 1660.98 28.63 5955.76 121.23
1233.89 6908.34 5474.67 6097.27 5729.06 6775.5 6488.26 6688.09 5603.68 6895.51 4045.89 3054.025 5918.01 2326.39 2765.69 6356.52 5992.12 507.985 2479.71 3343.14 286.05 4085.32 6804.36 2357.9 4665.46 2054 4175.15 3805.99 6770.3 1300.22 4185.36 4728.53 3203.7 4678.32 5512.38 5408.25 7163.82 6402.34 3758.27 4826.02 4920.73 541.04 5607.88 4347.79 6023.94 5219.88 5349.41 7155.58 6375.76 697.37 5417.26 6695.36 4410.47 6953.15 6827.23 4527.78 4640.19 6537.78 6354.37 6727.21 3250.79 5075.11 6230.41 5582.68 5657.11 5291.2 6345.74 3187.12 2572.25 6744.1 4005.98 6658.06 6571.04 5780.93 4313.33 594.41 4280.34 2205.82 1031.5 5874.57 5838.23 6093.45 6164.44 6449.79 4190.26 605.99 5837.15 4599.57 1178.99 4593.2 6597.47 4429.67 1616.46 4845.92 5680.58 3991.51 1407.88 6658.07 3086.11 5367.28 5526.42 4133.23 5837.56 2550.79 235.415 6695.91 3998.89 5412.84 2330.83 3843.87 2000.01 3454.58 5634.13 387.98 5683.35 5305.45 4692.97 6627.79 5526.02 4406.45 6657.85 3387.86 6201.9 6329.43 4993.59 3719.57 3742.07 5836.55 6153.05 6182.24 6080.12 5387.41 6469.75 6614.67 441.17 5033 1794.84 179.08 2533.67 5572.33 6359.42 4191.62 4311.27 6394.7 4479.83 3581.01 3449.52 2400 3474.77 4390.76 6020.6 2078.51 5011.29 2550.17 2608.41 6077.67 5666.69 4168.08 6476.25 3340.81 5823.56 6569.67 3666.13 4836.86 5185.79 2287.69 3885.94 6163.69 5133.47 3009.65 3353.74 1303.26 741.35 4922.68 3552.64 1666.89 3340.27 372.66 202.01 545.14 140.37 882.01 486.66 47.16 921.86 2877.69 96.6 148.6 112.84 287.66 86.63 23.26 175.57 1604.02 60.7 5675.3 202.49
3036.53 4562.19 5120.39 5446.04 5717.88 5130.81 5497.37 5233.17 5023.26 5648.37 2027.85 2125.43 4127.4 2442.9 2053.08 4340.68 5752.41 199.46 2162.79 1978.77 127.295 2848.64 4486.81 3764.98 5126.84 2013.46 4102.56 2538.94 5185.39 2722.86 4065.33 3136.77 2184.79 5564.17 3503.4 4959.66 5703.75 4974.29 2997.01 3520.83 3655.62 492.99 3648.18 3489.85 4433.71 5821.07 3913.87 5816.75 5730.25 1105.23 5665.28 5479.32 2846.98 5359.85 5242.18 5561.24 3803.93 4923.37 5135.74 4420.81 4432.22 4339.92 5601.43 4305.99 4370.39 3595.91 5588.93 2188.7 2082.06 5648.74 3860.29 5186.41 5202.14 5824.83 4175.21 2887.71 3118.86 2412.53 1226.27 4268.95 5574.85 3948.46 4748.31 5078.05 3962.59 243.9 5156.81 3974.21 2255.82 3696.51 4808.68 3948.07 1368.86 5323.95 4421.94 3974.3 1164.29 4499.5 6356.83 4541.63 3703.56 5141.7 3182.7 2767.18 204.525 5925 4710.77 3125.82 1338.42 4789.47 959.11 1742.26 4060.17 483.155 3619.08 3539.57 3680.53 5610.02 5574.68 4727.44 5838.86 3373.12 5222.56 5460.25 3056.59 3335.31 5450.81 3692.47 4715.09 4319 5515.55 4172.06 4670.47 5287.82 771.87 4386.03 2044.49 124.55 1668.92 3598.7 4631.99 3377.66 2710.89 4509.96 2231.98 2379.18 2113.91 2254.2 2754.1 2253.26 3490.71 867.65 4032.67 1434.83 1409.36 3861.48 6179.8 2728.21 4785.59 3842.85 4105.31 5096.46 4008.25 3921.49 4911.49 2248.41 4046.45 4972.1 4836.76 2019.31 3967.71 3591.34 872.5 3686.43 2114.1 1217.97 3950.11 237.96 53.65 249.69 25.4 512.65 170.5 6.33 394.93 3468.99 -19.32 35.78 58.33 778.44 13.71 7.49 66.15 781.84 -21.61 2718.46 4.03
255.14 4785.76 2140.99 5885.41 3245.64 5660.53 5995.1 4197.44 5357.34 2890.29 477.6 1048.265 3677.31 914.735 578.46 3278.75 2498.66 56.57 901.67 382.335 -10.12 1993.37 2384.78 727.94 5561.05 4328.45 2031.27 797.865 4685.04 699.48 2159.83 1671.74 607.36 1819.37 2312.11 4709.5 7617.35 2102.23 2225.89 1115.4 602.13 13.85 858.33 1168.12 3997.82 3348.92 620.72 2110.09 3494.83 47.97 3476.94 4264.56 579.96 1185.75 3753.05 7907.87 810.5 5381.22 5378.11 3863.73 1576.89 975.615 1944.77 605.705 3759.43 2030.83 1319.92 310.25 376.473 5656.79 1319.68 2745.07 4981.12 3071.81 1252.37 127.11 1826 352.88 238.995 3417.4 5344.69 1401.04 2511.36 2199.85 1855.98 183.55 3777.76 744.09 1585.68 1126.53 2473.87 1858.48 1314.18 5968.51 805.48 4123.73 1583.95 2106.29 638.005 3412.83 3060.71 1571.04 606.485 2583.67 43.445 2002.68 4960.69 1582.15 622.3 2330.53 748.41 530.12 3295.99 394.55 1483.56 762.17 1120.51 1323.23 6008.34 5631.02 3476.29 490.81 2631.17 5891.61 2424.65 2418.35 1260.39 1897.81 1368.19 4168.09 2498.43 4216.4 3650.18 2965.78 140.41 918.91 180.45 5.26 437.98 1214.19 1084.65 1672.42 446.33 5583.92 279.72 562.44 415.61 438.5 580.65 1443.81 1195.87 169.68 1524.57 420.6 1016 1035.15 2807.67 374.6 1091.67 3689.65 3107.38 1964.47 3035.9 1205.61 3304.11 449.04 626.83 1662.11 2984.6 657.49 824.53 227.4 565.12 2215.62 265.5 253.37 2528.76 -48.67 -7.47 3.99 -50.74 195.67 46.93 -74.46 51.85 211.42 -40.23 29 -97.83 -73.36 -75.18 -29.86 -22.8 209.03 -51.04 835.8 -63.14
