"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111"
0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 1
89509 84367.3 211927.3 90221.4 120343.3 83060.8 148414.1 95119.7 75693.8 83918.6 48625 82682.3 92419.9 72562.2 57347.2 52044.4 135796.8 91490.8 51527.6 108353.4 100157 302457.4 91656.8 97199.9 96041.8 79965.9 77709.5 113556.7 166572.3 98760.6 226794.9 87860.9 81933.2 98130.4 156777.9 73936.2 121248.6 70411.1 105689.8 161191.7 118077.5 120364.5 114174.1 140045.2 104402.7 110951.9 99632.2 77534.5 79435 86858.8 47010.6 61892 39478.6 63912.5 67669.1 71481.6 50218.3 56519.8 115411.7 72271.3 33438.3 55369.5 37826.7 34118.5 40551.2 49509.3 83933.1 47427.2 75199.3 53989.5 47477.3 87120 53402.2 50022.5 50910.6 55193 45836.5 56189.9 49024.3 61835.1 38790 32766.7 33362.3 60434 61797.4 39795.3 42775.6 62710.7 58847.5 43748.4 132185.4 84051.4 77740.2 102271.2 92028.9 82698.3 88185 86690.9 83260.3 86588.1 74909.6 66148.3 80571.1 123904.4 88030.3 89189.4 94360.5 54672.9 98981 59844.2 63828.5
76049 45594.4 228133.9 66851.6 11503.2 97199.9 15142.2 98608.6 42747.1 77378.7 65147 98756 1561.6 8671.1 56573.8 38875.1 133402.9 38455.2 15525 97806.3 67579.5 62167.9 26764.8 91829.3 2510.9 42757.6 36312.5 11954.1 12297.7 116166.1 26316.5 55551.1 4941.9 1292.8 14149.9 27876.4 32997.3 47450 96964.3 108732.4 71142.1 5422.3 3881.1 4279.6 38077.4 119077.1 2049 39542.1 4886.5 43075.8 20159.5 65012.4 52597.2 73184.3 73991.5 19229.7 57904 73328.5 5617.6 95020.4 45027 65513.1 45758.1 45150.7 38112.4 66284.9 88968.7 34776 10866.2 66974.5 782.8 470.9 17828.9 70281.7 638.4 20214 33197 2690.5 3490.8 89553.9 56865.7 16436.4 7411.3 79352.7 91369.8 9754.8 7419.3 49638.8 56999.1 43734.6 3273.7 21166.9 112313.5 136352.5 4228.3 106705.9 97552.3 57485.8 48555.4 62898 56521.7 47871.5 119958.2 50979.2 41837.8 125674.8 3041.3 27527.9 121365 60885.5 91637.1
85966.2 62312.3 201983.5 67095.7 51908 80772.3 41877.8 103206.3 66972.5 96826 55710.9 78881.4 5611.3 52895.4 52009.8 47827.8 150819.1 65649.5 16960.9 113132.6 103662 217863.4 94649.7 94167.5 10704.1 48553.6 82083.8 78140.1 49365.5 93743.8 123594.9 68761.9 26972.4 4679.8 131451.7 65742.2 63608.6 56899.6 103305.3 132338.9 99092.9 22388.2 22352.3 14328.6 79756.9 127799.1 9322.2 51619.2 23692.3 73056.6 25528.4 65554.6 41755.2 69939 72598.1 38598.4 52410 59623.5 16277.7 85061.7 37096.3 63667.7 43899 41768.2 40392.6 62232.7 74973.4 41613.4 64146.5 77585.1 809.1 1388.5 42111.3 66902.7 2018.3 50052.1 49327.1 3637 10010.9 76045.7 46579.4 23010.5 15628.7 72941.7 76873.9 39597.4 13871.2 70652.4 67747.9 45555.2 6462.7 36174.3 115385.2 127482.1 9280.1 108893.9 104200 49039.5 75081.8 83898.4 55026 68586 120144.3 98520.2 83743.4 119078.2 18038.9 35440 126494.9 72665.2 74689.7
74646.7 66022.3 187347.9 76540.4 101793.2 77382 126005.1 96812.8 70769.5 83240.6 50790.8 73472.7 80784.4 73536.4 51585.8 50339.2 133080.6 72222.4 45987.8 95488.9 83971.6 274270 82872.4 83089.2 85552.1 67792.4 63194.2 107185.7 159183 87476.1 203723.2 85447.1 79210 89917.7 134161.8 65195.2 106138.7 55192.5 88121.6 134145.5 100231.7 107903 88221.2 123682.9 90141.9 100849.7 89335.6 63619.9 71360.3 76081.5 40278.3 56881.6 40013.4 61865.5 66835.6 77837.5 47324.7 55820.2 101855.3 75512.5 33057.9 57575.1 34963.6 33763.2 42208 48243.5 73418.9 40984.2 77321.4 48970.5 38688.4 69024.6 44735.6 42294.6 41729.9 46980.5 35374.2 48877.8 39495.6 51224.6 30666.5 25099.2 26409.5 49155.9 51315.1 30911.4 34055.3 51291 49331.9 32619.8 87786.1 56174 56218.1 77135.6 62735 60988.2 65129.7 60194.4 59221 60520.5 56253.1 47999.3 57135.1 90611.4 63263.9 62370.2 58879 41660.5 63903.2 41277.5 41535.1
65212.3 37832.7 175537.8 65090.7 2374.9 80210.9 69976 80640 64531.3 93923.7 56387.8 81968.6 1556.4 30351.1 51438.6 48512.1 144448.7 31469.9 8234.2 90549.5 85790.4 171294.8 41688.3 85692.8 5941.1 68711.6 62027.8 21670.3 15015.4 98824.6 83811.7 92785.9 25140.1 1286.1 25616.2 49424.5 39068.2 47303.4 77911.5 131377.2 66272.5 28983.2 10514.6 11827 35474.8 115190.6 4005.8 41217 2416 52900.7 43807.2 59919.7 43813.2 67055.7 66017.3 17265.5 49453.4 58586.7 13202.9 78878.9 36779.4 49937.9 38922.4 36825.9 29055.7 61278.7 65493 36110.3 43852.3 74422.8 184.3 587.9 36212.1 35245.6 1012.4 61377.5 46162.1 13305.1 16933.8 67854.3 44916.3 13204.6 11342.1 68411.1 75600.4 24421.9 15066.5 71373 59067.2 36534.6 815.6 17442.9 52258.9 120484.7 15656.9 93975.7 67718 52419.2 49818.7 70876.3 71228.7 33463.4 100382.2 72862.7 23570.3 103520.2 2503.8 16669.9 82738.3 46539.4 67894.6
75136.6 40498.2 184823 49877.3 17550.4 79758.9 29615.9 86720.2 36465.9 76680.5 52840.9 80012.5 1546.9 24319.4 46184.2 30232.5 121519.9 38780.1 13987.9 93797.5 65631.3 59255.7 39390.2 85665.4 4085.2 41866.6 46074.5 30128.5 11776.4 95567.5 62880 43692.5 5088.5 1181.6 14071 41836.9 27740.8 41532.4 95175.8 111835.4 70048.3 6766.8 7200.5 3781.5 27512 103584.2 1731.8 31815.7 6267.1 36617.5 23460.6 59313.2 42879.7 65571 65275.3 21451.3 47491.5 58664.9 5885.9 81544.7 39039.5 55101.5 43880.6 37066 33083.6 57977.1 71311.8 34241.7 26892.3 65194.9 620.7 604.5 18464.8 58624 710.1 37045.4 40764 3119.7 6410.5 77130.3 49867.6 15334.6 6866.6 68139.7 73473.8 19662.9 7312.2 52356.8 52083 42581.2 4110.3 15910.9 97425.3 124740.5 7752.7 94139.1 84526.7 48517.8 44220.6 56916 53313.2 39026.1 99342.3 45193.3 43538.7 120328.7 2800.7 19901.8 101813.3 53833 73466.6
65497.7 24608.2 166031 36089.3 5342.1 72738.6 7637.4 86961.6 22347.3 67836.4 49967.9 72325.6 682.4 11487.8 36046.9 18957.4 111391.6 14235.1 6207.1 86790.8 49854 14095.7 29043.3 79976.4 2424 28885.8 29758.5 16769.2 4672.7 93316.2 25772.7 28346 3697.1 635.1 4618 27678.4 17377.8 31969 87392.5 81317.1 51235.5 5235.8 3568.8 3895.3 12627.8 106677.1 1317.6 24954 3630.4 20451.9 11914 54485.9 40057.2 62591.5 58131 11754 42932 52895 2085.8 71707.1 33589.9 50175 38331.6 34496.6 28688.7 55974.4 64807.5 19362.4 24294.2 52553.4 520.4 244.4 11431.2 55280.9 628.6 31739.4 34378.6 1754.5 5178.7 67816.9 44224.5 7500.8 4765.6 60658.8 67527.2 10626.9 3571 54047.5 50555.9 36577.1 1939 4214.9 93303.1 115063.8 5943 90735.5 74802.8 21770.7 19651.7 51067.7 37394.9 17928.6 96951.7 17258.2 28131.9 107142.9 1302.8 12905.9 106891.1 47794.7 70791
77215.4 75555 176026.2 82607.1 110113.9 68906.8 108735.1 81510.9 70690.6 86296.1 50543.4 75424.9 81527.6 67106.8 50256.7 61490.2 136610.2 72464.6 48669.7 93166.5 89152.5 250662.4 78659.7 85014.7 89568 69102.2 74275.6 96684.4 149850.3 89617 200933.5 88475.8 78744.4 96383.2 129021.2 61340.6 98909.3 61039.9 93900.4 127216.3 92996.8 101084.9 79363.6 110895.1 86611.8 92424 77029.7 55990 70012.4 79924.9 47241.4 58970.4 40066.4 67250.9 60153.3 66213 51739.5 53567.3 97017.6 68777 35399.9 61371.1 38136.4 34312 38919.5 56132.4 67292.8 44729.8 76951.3 63846.2 33294 97975.8 62877 54243.3 61757.2 56726.7 51113.2 56635.6 57717.5 66313.6 45750.9 37173.6 38389.1 71019.6 65048.1 46517.4 51542 65680.8 56452.7 44327.2 104409.5 89696.5 90572.7 114569.6 100137.1 94417.4 94505.9 75890.2 86352.8 84392.2 71593.6 68631.5 89929.6 126420.4 81522.5 94493.4 93118.6 59453.1 97641.3 63066.5 59644.1
59307.9 48963 151387.9 58746.9 37146.4 64220.6 59844.9 85973.6 53112.8 81947.1 36845.6 63040.8 3815.1 31209 39397.5 41182.6 134162.8 40591.1 8224.2 83924.2 92029.2 156826.5 65205.9 81063.6 11403 55568.8 58913.8 72104.8 27370.3 66854.9 76654.5 76048.3 20654.1 5157.2 97090 51501 57618.5 41941.2 84572.8 114172.8 84530.7 19973.3 14331.7 12364.1 57695.4 109039.2 9618.7 35404.2 16655.8 66341 30926.7 53242.5 31867.3 57545.8 58447.6 34403.4 43909.5 44080.1 10859.7 71353.7 26082.7 54386.4 34714.4 34851.1 31371.2 49717.2 61786.1 35869.7 51602.3 66299.2 1751.6 1530.2 32666.6 57036.8 2516 52281.7 41096 8975.6 9455.1 64012.1 35504.8 17988.9 15844.8 60861.2 70574.9 34497.6 12634.8 62691.9 60983.3 37987.7 3900.9 39584.9 95858.6 105350.3 14442.7 89972 87197.1 52358.6 71332.5 71355.8 57652.6 52248.4 86224 90104.4 71492.4 91715.9 25480.5 31400.1 99685.8 56045.4 54362.5
