"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-2.8133242 -0.15289551 0.1743635 4.6051702 0.14741764876196 -1.8066174 0.5794251 -1.0926466 4.6051702 1.0634134 0.0136617558996741 0.376329269131908 -1.7766078 -1.7188513 4.6051702 -0.63957566 4.6051702 0.579495417658565 -1.6106237 -2.7971966 -2.2077684 0.67543083 4.6051702 -2.5515566 -0.94143337 4.6051702 0.19422223 0.9063978 0.82226 0.125311656221837 0.848112684118912 -0.8787996 -2.2304497 4.6051702 1.2776572 0.348107765802365 -2.4607093 -1.8934324 1.11647359566309 -2.8620255 4.6051702 4.4830165 -1.6947612 4.6051702 4.6051702 -1.7112436 -1.9971746 -1.9282212 -0.08586413 -2.4448144 -1.2915891
-2.0486453 0.10794197 -0.09358972 4.6051702 -0.124387353393725 4.6051702 -1.7922235 -0.04705679 -0.811393790887477 -2.4952493 -0.20765943353102 -1.5707518 0.0174439457393707 4.6051702 -0.2981243 4.6051702 -1.3574228 -1.2944121 4.6051702 -2.428433 -1.6212112 -0.12521362 0.25967053 -1.8017141 -0.41271919502537 -1.1016973 4.6051702 -0.64664984 -2.467269 0.0698738169107304 -1.007704 -1.6765251 -1.2286495 -1.4839756 0.0862861926000669 -1.2799736 -1.2594309 -2.5742972 -2.4479914 4.6051702 -1.8421593 -2.5434957 -0.13449238 4.6051702 4.6051702 -0.29633704 -1.9220834 -2.163061 4.6051702 -0.168689710520837 -0.2716999
-2.5584319 -1.0217448 -1.0376205 4.6051702 -0.271736004030996 -0.9824108 -1.6225592 4.6051702 -0.62110186 -1.3354826 -0.744854195796531 -0.40067032 -1.6479902 -0.17440934 -2.5129185 -1.0305463 -1.8629714 -2.6129558 -1.0142214 -0.46298686 -1.2804278 -0.70067745 -2.8405597 4.6051702 -1.6683772 -0.54369026 4.6051702 4.6051702 -1.6687087 -0.116660416508801 -2.0145104 -1.9642073 0.36224774 -1.6175071 4.6051702 0.41232425 -0.354539826788422 -0.87196285 4.6051702 -2.5502458 -2.3932512 -2.3970718 -2.0003357 1.5591649 -0.05118121 4.6051702 0.447928117568658 -2.3908448 -1.9620582 -0.139874050764336 4.6051702
-3.0611606 -0.27478096 -0.2400681 -1.4843303 0.0248477501411466 -1.02401 -0.311420074713689 -1.253479 -3.06491 -2.2891393 0.00561187854676264 0.582100641640146 0.0238130713056164 1.8743209 -2.8960984 0.5810459 -1.104227 -1.6296545 0.64691985 -3.0564408 4.6051702 4.6051702 -0.54254127 -1.2594079 -1.2701722 4.6051702 4.6051702 -0.1864881 -1.3810267 -1.8393412 4.6051702 -0.66247034 -0.46394995 4.6051702 4.6051702 -0.374168194471126 -3.4382865 0.85408391326831 -2.1721437 -1.8710659 3.8653128 -0.40965852 -0.37879583 4.6051702 -1.7970104 -1.5525328 -1.4499166 -1.6458855 0.082115393196985 -1.567574 0.2071339
-2.8972056 0.33375072 0.054855656 0.1915575 0.125310442613052 4.6051702 4.6051702 -1.1288909 0.63461316 -2.33283 -3.342047 4.6051702 0.0531930293526243 4.6051702 -0.51546437 -2.090126 0.22001746 -0.53125316 4.6051702 0.8075277 -0.25417447 0.26676723 0.31077754 0.23517296 -2.4863076 -0.3286174 0.44009423 -0.40305012 -2.0612705 0.159733482696906 -0.007039625 4.6051702 -0.1768893 4.6051702 -0.10842763 0.270998940529164 0.182871762162088 -1.8460013 -1.3185631 -1.2967287 4.6051702 4.6051702 -1.289296 -1.0002484 -1.0276325 -2.5838907 4.6051702 0.3298705 -2.5522573 -1.9531378 -1.838913
-0.6703034 0.07780521 -0.016937133 -1.4076624 0.348248288488247 4.6051702 0.2106175 -1.8016181 -1.6414278 0.0168103056693257 -0.194745195479323 -1.6326272 0.101924082874585 0.934572 -1.0134753 0.058646567 -1.373259 4.6051702 4.6051702 -0.22839601 -0.08371582 -1.7385635 -0.81322 0.77414924 -1.130794 -1.267618 4.6051702 -0.09851893 4.6051702 -1.7376537 -1.5673721 -0.3096489 0.5141831 -1.3243314 -2.9788177 0.03623097 -2.4778771 4.6051702 -2.160309 0.156935283169941 -1.76316 4.6051702 4.6051702 -1.4583343 -0.30386913 4.6051702 -1.0626941 0.43889606 4.6051702 4.6051702 -0.087644786
-3.1064603 0.28570047 0.42177457 4.6051702 -0.228659244221386 -0.0523426008827332 -0.58539754 1.0576552 -1.973466 -2.1554556 -0.832208828640324 -2.2953153 -0.515002036665011 -1.9401585 -2.159779 -2.0068197 0.46654892 -2.4081614 0.10753689 -1.2942779 4.6051702 -0.48727685 1.3552021 -2.218229 -0.31302069324017 4.6051702 -1.5152999 -0.20893878 -0.4060536 -2.644728 -1.5238875 -2.2445092 -0.9612599 4.6051702 4.6051702 4.6051702 0.0770134295193466 3.3488133 -0.11417865 0.291813688410857 -1.2196351 -0.2801313 4.6051702 -2.7346694 -2.5278978 -1.1656312 4.6051702 -1.074187 -0.34861258 -1.0356678 -1.5197803
-0.20603144 -0.95573467 -0.46353945 -0.5938776 -0.0808785269958289 -0.30901933 4.6051702 -2.5497103 1.7301759 0.121338576 -1.5428247 -1.1158797 0.0705217985106686 -0.27381468 -2.6516016 -1.500502 4.6051702 -2.6493235 -1.7446908 -2.478993 -2.015857 -0.8113998 -0.86330026 4.6051702 -2.5984342 4.6051702 -2.1908514 -0.5760356 4.6051702 -0.0362858592306779 -0.5413909 -1.0098556 0.31716174825512 -1.1640327 -0.85030884 4.6051702 1.7808242 4.6051702 -0.00270037965694156 -1.6471319 -1.1216197 4.6051702 -1.8027563 -2.7343404 -1.4634095 -1.9763077 -0.7457892 -2.0781615 -2.6332264 -1.6877184 -1.8951527
-1.8370818 0.13035241 0.070795275 -0.68846023 0.131616065552398 0.3916844 0.575766 -1.77248 -0.7930238 -0.2384323 0.0218914561731865 4.6051702 0.263941185018799 4.6051702 1.4441755 -1.0459237 0.68040115 4.6051702 -1.5098205 4.6051702 0.37296835 4.6051702 -1.6294694 -1.4106796 0.22880813 -1.1132827 -1.7144021 -1.0858209 4.6051702 -0.112681574021052 -1.8916123 -0.044246797 -0.383966968703826 -1.6975497 4.6051702 0.62494564 -2.5712512 0.02206256 -2.0199518 -2.7814865 -2.4740126 -0.17552899 0.8873044 4.6051702 -1.7710348 -0.83289635 4.6051702 0.48237905 4.6051702 2.5739055 -0.9802344
