"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130"
0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 0 1
61403.3 28128.3 38575.5 38624.3 37417.8 35324.7 58139.1 62091.2 50510 10188 37074.4 47572.8 1831.5 52137.4 43752.4 29309.1 60955.8 67217.7 48480.4 52289.5 34041.9 6149.8 23168.3 23895.7 65431.1 4157.9 40167.5 14609.5 50945.9 79210.4 12460.9 8393.2 42042.8 45942.8 64993 63931.2 25268.4 21946.4 65854.2 7434.7 43947.3 45882.3 52258.4 49398.5 45550.4 92227.6 52589 53014.5 32656.5 53947.7 40954.7 26270.9 49786.3 47260.6 44006.2 49149.3 45620.2 18987.7 62058.4 49793.2 44665.3 50825.8 55200.9 49314.1 83277.7 60548.5 51081.3 62584.3 62638.9 59394.4 18525.9 70008.2 22034.8 38190.7 61753.1 5118.7 30760.5 550.9 43088.9 56075.9 53533.7 14694.6 22432.8 3042.8 42443.6 45533.8 54865.8 52797.8 47268 11930.8 33163.8 6259.5 44028 9961.2 32586.6 709.4 47253.7 83628 61272.3 57009.7 47626.8 17235.5 14226.3 50291.9 53172.1 51495.3 53493 52715.3 64939.1 15418.6 50825.7 50407.1 70988.4 71367.8 62263.8 43535.8 83657.1 52298.5 48666.5 73381.3 49478.1 36754.2 10238.8 40779.2 64175.6 60535 39854.4 1354.9 57239.6 36739.2
46433.5 21726.3 30891.2 33097.3 28784.2 28680.5 47205 51563.6 53554.2 12625 27945.8 37546.9 2891.8 40894.2 37020.5 24875.5 50994 60708.4 37910.5 43940.5 28822.3 6033.6 22463.7 18632.9 50089.2 4260.3 35400.6 17126.7 39961.5 66232.4 14313.5 9191.2 32980.6 37975.1 51074.5 55634.1 26368.9 23512.4 47800.1 6703.4 39027.4 38360.9 45516.1 41764.4 36108.2 80945 47463.5 50535.5 29068.6 45336.2 36327.9 22106.7 37289 38552.8 41434.6 40821.4 36257.7 18363 48312.7 39778.8 32875.1 43974.5 49618.4 39322.2 74312.3 49690.2 42534.5 51018.6 59681.4 44215.4 16185.2 60763 19161.1 39918.4 53043.5 4290.4 22399.7 620.3 38499.7 46297.4 44216.6 15514.1 14704 2080.3 36214.8 38077.7 44390.8 50973.7 40007.2 9767.1 26122.5 10941.4 34730.2 7916.3 29842.9 592.2 46606.8 63053.7 50969.4 46521.8 43484.5 14821.3 17633 38397.7 46348.2 39442.3 45597 46923.3 57105.6 15259.6 41119.1 43792.9 65689.4 60434.8 52570.2 37126 67400.3 45633.3 37125.1 61010.3 43524 28995.4 15849.4 33475.7 56520.8 48573.9 33313.6 1663.4 46370 31071.7
46808.2 19533.4 33002.4 38409.9 28458.4 25046.3 49875.6 47760 41505.5 25201 35602.3 26585.1 2386.9 37753.2 33955.2 32612.2 47090.4 52127 43022 46709.3 23062.7 14356.5 22149.4 30555.3 54972.5 13413.5 31578.8 20162.9 40588.3 60352.6 7347.1 20424.3 32378.2 33574 48862.5 50965.4 38589 24455 53250.1 17039.2 44915.8 41810.6 46949 38854.8 31243.1 79260.3 41709.5 62189.5 29797.8 38994.2 33983.6 31991.1 30441.8 33073 39077.6 40555.2 35963.8 22929.7 47710.8 36006.1 36562.1 34710.8 46565.3 48344.8 70288.3 47071.2 43740.9 50081.5 53634.3 46178.4 15871.1 63390.2 26277.3 35534.3 45869.5 4547.8 27445.7 982.4 38801.9 42930.9 41947.9 29841.8 22442 2872.9 29203.1 36457.6 47081.6 49394.9 37238.9 13225.1 28493.6 12557.3 33490.1 10557.1 28782.8 1570.4 41094.3 68505.1 47161.4 49374.7 43088.9 15997 15161.4 37835 48030.1 37520.2 43498.3 41918.6 50568.4 20910.5 37652.5 47442.7 63397.7 52353 50437.5 33519.6 66720.6 21099.1 29270.1 57793.3 39219.5 26976.2 19792.1 23542.9 52245.2 47816.1 25548.7 3433.9 43346 38580.2
39754.3 1767.4 422.5 18182.5 1475 16860.8 27267.1 442.1 53069.3 8747.3 26665.5 9660.6 8581.7 10878.2 28754.1 38954 12053.6 4716.1 1382.8 32045.8 8522.2 20735.2 171.3 1614.5 45072.9 3883.8 3649 33310.6 29617.2 36546.5 896.8 30760.9 357.2 4829.3 7302.1 30989.6 2036.6 27403 4144.9 37846.9 4988.5 30948.5 5781 36724.3 27696.2 10274.8 28160.5 3463.5 19825.8 25972 24078.9 2053.7 8763 784.7 30756.7 7479.7 339.4 23393.5 34771.1 11014.3 4574.5 521.9 3979.9 17120.7 22775.1 17669.8 2062.5 5249.3 22248.4 17890 5916.2 729.3 36567.7 47862.6 1046 38998.5 31425.9 30059.5 30907.2 28304.6 1202.2 37384.3 9804 940.8 5416 28983.8 3475.2 36516.1 20490.9 28771 12681.1 287.3 25014.4 629.6 57399.6 29267.7 432 44048.9 4257.1 3760.2 1650.9 19191.7 1396.4 11859.5 4155.7 15561.2 1071.2 15266.6 794.8 21116.3 3371.9 32220.1 8125.4 44406.9 43749 23122 4723 592.8 1512.1 3219.4 31643.8 421.8 27707.7 3527.4 21025.3 1435.9 12598.1 1197.3 912.3 29178.6
31518.6 20142.5 31169.1 16126.8 27179.7 25275.1 36497.3 35809.1 31889.5 11238 15726.4 36250.6 77.8 38614.3 31482.3 15976.4 40327.6 40219.8 27367.9 41813.7 27437.4 273.9 15344.1 22391.3 44079.2 5577.9 24093 15935.5 35211.2 51238.8 21315.1 4846 31024.6 24054 39679.4 48080.8 11856.8 13309.8 15439.7 2235.9 24959.1 26279.3 37564 29184.4 19790 63123.4 39227.2 24627.3 17615.7 39117.1 26769.2 4328.5 33650.1 31743.1 34444.6 28285.9 31261.7 11941.2 41103.8 38177.8 27772.9 35484.4 39191.9 20687.7 70398.2 31868.3 33549.3 41528.9 40752.8 33155.5 19890 47655.9 6253.4 32693.4 27167.3 1112.7 19800.2 142.2 17321.2 33136.7 20074.4 14267.9 5286.3 1669.5 29936.6 29027 17084 28853.7 33727.7 13856.6 18677.4 6671.9 24445.8 8147.6 25011.5 353.4 35273 52055.4 22087.1 45707.8 35313.2 7160.7 20760.8 32565.2 25511.1 33132.9 36381.6 30502.9 49047.8 6253.6 36661.1 29233.7 47912.3 44784.1 28718.3 31659.2 58154.3 8261.4 16382.8 44195.9 29241.4 28047.8 30799.7 31017.2 42928.8 46954.4 27893.5 691.4 29860.3 13948.9
44143.2 22162.1 28835.2 30460.4 28480.7 25795.7 41723.7 49615.8 37176.6 11964.3 31076.9 37913.5 3476.9 39361.6 31449.7 28970 46361.5 49227.7 35608.8 34652.3 25568.1 5745.7 19852 21469.8 43730.7 4253.4 28066 16919.7 36925.5 64161.8 13639.9 14769.1 29700.1 33675.5 45226 48974.2 25882 19012.5 45739.4 8116 32765.5 32545.9 37895.2 36552.9 33059.7 65753.1 38244.6 46716.8 22704.9 39788.8 30202.4 18900.1 38406.1 34607.4 34038.3 36309.9 31001.3 17118.1 43631.9 36140.1 31183.9 38653.2 41355.2 36151.8 61068.7 42819.4 39212.2 46861 47539.9 41251.1 18052.6 51265.3 17044.7 33325.6 46493 4075.7 23112.8 473.6 32300.1 41418.9 36299.3 15705 16620.1 2506.6 31452.4 32384.2 39508.9 43950.9 34153.1 11605.4 25529.5 13589.6 32558.9 10661.3 26991.1 787.7 34092.3 61422.1 45845.6 42042 39181.5 13257.7 14863.3 37462.9 36000.1 37866.8 39327.6 37475.1 47255.4 13673 34368.9 41166.6 54532.5 51420.9 47736.9 33261.5 58931.1 38596.5 36146.4 51917.2 36476.4 26458.5 17823.5 30166.7 43915.2 41843.4 30489 1532.5 42230 28508.4
34710.2 5703.5 23102.6 15482 20746.3 23389.3 30316.4 34249.5 13854.3 2183 15412.1 24304.7 960.6 21290.2 25227 11961.7 37857.6 41549.1 30879.5 27269.6 14118.7 1975.4 13371.9 5839.8 38041 1095.2 22315.6 5926.9 33715.3 39217.2 4389.7 2188.9 27052.5 31101.2 44391.8 35230.7 13727.8 7355.6 38990.3 1655.9 23054.4 20747.7 36332.2 26256.5 23594.1 61354.9 31440.3 27092.9 13702.5 39964.9 23697 13554.5 14069.3 27988 28961.9 30320.4 25455.8 9733.5 34179.4 29615.3 23779.1 29163.2 38337.5 13878.7 49566.9 36951.3 29196.8 32542.8 25361.1 36362.9 4811.1 41526.3 6727.8 12500.3 44640.4 1647.2 10828.4 316.2 23332.8 38847.4 32576.3 4019.2 3918.3 1241.9 30212.3 28540.9 27869.3 14598.8 22661.6 3301.8 16917.2 3323.7 24581.6 1985.2 8226.5 325.6 29017.4 34329.7 17180.5 29906.2 20330.9 6204.7 6611.2 33135.5 27350.3 27290.6 39552.8 36643.1 49123.1 5997.1 30584.5 21589.3 29555.4 38413.5 39259.7 29349.1 48868.4 29369.8 22081.2 44526.3 32578.8 20466.6 4944.1 17532.5 36057.2 41752.8 21875.8 671.6 33203 9848.8
32762.9 1225.6 465.9 13287.2 1095.4 15201 24941.9 500.5 43633 7409 23902 7684.3 4123.5 6550 24890.7 34422 10829.5 3872.3 1024.2 24596.8 4148.2 19000.3 267.2 1154.6 41063.8 2910.6 2961.6 29986.8 26947.4 34282.7 783.4 27189 373.7 2789.6 6710.8 25998.5 1767 25040 3202.4 30973 4080.2 27983.9 4587.8 35982.1 22766.2 8970.5 26271 2623.8 17285.5 26308.3 22824.5 1829.4 8142.5 664.3 32191.6 6587.5 436.3 21390.8 30807.2 8784.1 3157.4 579.1 3224.7 14067.3 15806.6 14231.1 1573.6 2705 19755.9 15476.1 4645.7 717.1 31755.9 45555.1 979.7 31684.8 27756.2 26994.1 30889.4 25263.6 905.2 34261.2 7449.1 876.2 3907.7 26402.5 2498.7 29392.3 17038.2 23422.7 10389.9 278.8 20214.5 619.1 48676.7 26492.2 379.8 34683.1 3751.5 2319.6 1082.7 17253.5 1140.7 7477.6 2378.3 12607.1 932.9 13180.5 753.2 17942.5 2827.3 31238 5411.3 35954.3 39336.1 20399.4 2617 395 1049.7 2051.3 27887.9 396.7 24860.2 2530.9 19028.4 961.6 10834.5 930.3 671.5 23160.5
41955.3 26633.7 26826.8 38124.4 25797.6 27106.6 42318.7 48589.3 49370.3 28900.9 39428 38019.1 1835 39103.4 34402.4 35914.1 45904.6 49606.7 35263.4 42083.2 28006.6 13935.4 23044.5 37865.5 45958.6 18086.1 27934.7 28103 32892.1 60002.6 27452.2 20415.2 26661.7 30409.2 40952.1 55839.7 40257.4 27277.4 44499 13664.1 45009.3 37969.3 40023.8 37182.9 31704.2 68448.1 39635.4 54824 27225.4 35668 29911.9 29946 38121.4 31393.4 33456.6 37340.7 30509.6 21215.2 43594.3 34908.3 33918.3 33700.1 44207 42167.9 66337.6 40522.9 39663 48140.6 53932.4 40377.2 25290.5 56454.9 32920.4 48108.6 44364.8 7989.5 29736.7 1916.6 34299.4 37582.7 36743.6 33464.9 24783.8 6942.7 28865.2 33156.3 43076.8 47045.8 31121.6 16473.9 28992.7 18505.1 30002 13846.7 46490.9 2849.6 39549.1 59302.1 49704.4 42127.1 40998.6 18642.8 23020.3 37247.3 37199.1 36019.7 36229.9 35029.1 44886.4 24052.5 29542 54206.4 67406.6 47548.7 48078 30559 54158.1 34788.4 32544.8 49068.7 36474.2 24314.6 41818.4 29729 44072.7 40574.1 28843.5 4101.5 37880.2 29287.3
