"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3700.7 1837.4 1562.3 4018.3 1840.1 870 2357.2 575 99.1 120.4 3560.2 1415.6 2097.5 61.7 1621.9 313.9 3133 1212.6 1638.5 861.6 148.9 378.4 3994.25 323.9 868.3 33.2 176.8 587.2 1713.1 652.2 92.6 1451.8 821.5 317.9 239.5 8057.3 18710.3 2079 2137.5 1621.5 683.2 1894.6 2147.5 140.1 396.3 167.7 2748.9 797.7 1865.2 2.1 337.3 1186.2 393 1909.7 1743.5 4320.9 1667.2 221.8 2689.3 1183.6 953.5 43.9 3481 2788 1180 203.1 930.6 318.3 5307.4 926 147.1 1030.2 100.2 368.15 5047 1546.2 1082.2 28.3 1345.3 1225.8 726.5 1416.9 1566.7 3120.8 875 3914.1 597.3 16795.5 15012.5 14227.1 2695.9 1448.4 2481 3992.8 3089.8 1017.5 17.9 54.8 2696.8 3852.6 2614.3 26.4 494.4 343.9
2848.4 2851.3 2486.45 2618.1 2235.8 2765.9 2391.6 2241 2958.2 3314.4 3524.3 1805 2280 2040.8 2732 1279 2415.3 3208.8 3304 2522.9 3350.7 2368.4 3119.35 3138.2 2647.5 852.1 467.4 936.1 3338 3083.1 1955.5 2270.3 3113.3 2984.6 2844.2 13193.2 16518.7 16323.5 2798.9 2199.8 3812.8 2180 3999.4 2833.7 3603.4 3829 2879 1688.7 1797.9 2829.4 3863.9 2243.5 1867 2832.7 2662.7 2878.6 3012.7 2008.4 2669.85 2305 2757.9 3141 2652.4 2038.6 1755.7 1699.2 1710.3 1991.7 3156.3 3495.5 3441.8 2428.7 2886.4 1654.3 3114 2884.5 2839.4 1393.3 1557.9 457.9 2553.3 3039.8 2203.7 2172.3 2697.5 3118.1 2311.1 15240.4 14716.5 16054.5 3111 2544.9 4096.8 4185.3 3906.5 3528.4 4003.8 4008.5 2492.9 2226.2 1810.1 2974.4 3615.6 2329.6
2991.7 2902.4 2183 2801.9 2260.5 2534.8 2430.45 2646.6 2584.6 3773.2 3012.8 2282 2514.2 2652.1 2403.4 1386.8 2779.4 3361.7 3323.5 3420.9 2879.5 2339.8 2891.1 2879.5 2541.1 1961.9 1503.7 1726.1 2910.3 2713 2738.9 2509.8 2970.2 2982.6 3139.1 14111.3 17108 15097.6 2984.3 2394.1 3716.1 2204.95 4367.3 3087.3 3553.3 3547.3 2707.5 2108.9 1434 2995.4 4024.3 2246.3 2617.8 3034.3 2547.4 2916.2 2767 2511.7 2896.6 2938 2166.2 3349 2779 2213 1674.3 2094.4 1835 1948 3063 3517.3 3740.8 2937.9 3561.9 2062.75 3276.5 3040.4 2966.6 2307.7 2298.3 1280.2 2803.3 3301 2486.3 2344.2 2746.1 3223.1 2269.1 14800.6 14677.8 17653 3364.6 2953.9 3912.7 3993 3718.3 3910.8 4295.6 3761.9 2869.1 2450.6 2380.1 2535.2 3931.7 1888.2
810.5 16.9 28.5 5.1 32.5 126.7 49.25 20.4 16.6 29.1 15.9 2.9 15.2 77.7 16.2 72.9 5.8 6.5 10.7 34.9 11.3 25.8 13.15 598.2 14.4 39.1 10.5 154 31.3 57.4 430.6 1633.7 1335.7 2641.3 2148.9 13129 10486.5 16888.3 2332.6 125.7 1184.5 539.6 2784.6 383.3 2472.9 2089.2 2207.3 10.9 8 1949.9 2732.4 1846 12.9 11.9 11.3 13.7 5.9 138.5 35.55 20.3 15.2 12.7 13.9 4.3 207 110.8 11.6 72.6 12.4 11.7 5.5 21.3 13.2 6.9 18.7 460 15.9 38.7 12.4 64.1 19.6 44.7 321.8 79.4 929.4 877.2 1170.4 9995.8 11585.4 15246.1 1762.3 532.5 2479 1601.4 2420.3 685.3 2476.7 1289.3 2234.1 1436.4 433.2 1761.8 2371.4 1328.6
2222.4 2418.6 2038.75 1526 1300.2 2123 2069.5 1977.1 2150.8 2474.7 3089.6 1688 1993.3 1986.2 2115.9 1803.3 2379.3 2384.9 2166.7 1824.4 2412.7 1920.3 2243.45 1815.7 1632.2 1069 1590.6 1460.2 2760.1 2039.1 1332.5 1490.6 2990.5 1660.4 1782.9 12414.6 14670.4 17514.2 2460.7 1676.6 2666.7 1804 2368 1528.6 1990.4 2736.9 2280.9 1870.4 1068 2385.2 2732.1 1856.6 1989.5 2151.6 1910.9 1716.1 2760.3 1850.9 2605.15 2236.8 2235.9 2742.4 2539.2 2039.9 1524.1 1743.8 1658.6 2113.1 2743.6 2905.1 2193.7 1448.5 2191 1597.25 2227.55 1901.2 2261 1528.8 2029.5 1159.2 1932.5 1966.1 1843.6 1424.8 2436.1 2098.4 1660.5 12419.9 12653 12536.1 2290.7 2428.8 2796.7 3452.8 2101 2025.6 2780.1 2593 1987.5 1624.6 1343.2 2255.5 2559.5 2388
2026.4 2632.2 2165.55 2482.5 1487.2 2362.2 2323.95 1714.2 3047.4 2713.6 3177.1 2389.9 2553 2344.9 3021.9 1935.4 2390 3167.3 2555.1 3710.6 3105.9 2071.45 2285.5 2200.9 1945.2 2065.2 2665.9 2130.5 3339.7 2389.1 1977.7 1996.5 2725.8 1848.7 2086.1 11624.7 15671.6 16218.1 2457.8 1785.9 2966 2178.75 3184.9 2541.8 2721.7 2661.3 2187.6 1694.9 1244.6 2571.8 2832.4 2475.8 1760.4 2760.8 2225.1 2987.2 2161.6 2122 2650.8 2157 2480 2858.9 2924.6 2482.8 1922 2288.4 3199.4 2604.4 2892.2 3800.2 2348.3 3414.1 3217 2107.3 2708.5 2147.7 2297.3 2239.3 2988.4 1416.9 2378.9 2767.5 2463.5 1682.1 2528.1 2511.8 1591.1 12802.7 14051.8 13996.6 2451.2 2521.9 3536.6 3591.4 2924.5 3220.4 3366.6 2785.9 2328.4 1913.5 1662.7 2308.2 2803.5 2430.7
1843.5 2189 1800.1 1491.3 1036.7 1937.4 1829.35 1616.9 2022.6 2375.4 2731 1749.8 1882.8 1796.5 1910 1559.8 2312 2456.9 2260 1865.3 2390.4 1764.15 1825.05 1444.3 1594.3 888.4 1538.5 1340.6 2194.8 1880.7 1363.5 1445.5 2471.8 1563.1 1687.4 12232.6 14399.9 16433.6 2304.2 1388.4 2159.5 1480.5 2295 1569.5 1776.9 2108.9 1982.6 1796.4 1070.5 2383.2 2409.7 1765.9 1432.5 2158.1 1664.6 1725.5 2304.5 1527.2 2412.45 2077.5 1924.1 2486.8 2590.6 1851.6 1371.7 1623 1481.1 1911.8 2645 2973 2318.5 1406 2296.9 1463.15 1955.9 1657.9 2160.5 1319.2 1943.3 950.8 1449 2070.3 1840.4 1269.1 1977.8 1851.9 1340.5 12162.4 12724.1 12839.3 1967.1 2200.3 2460.4 2844.5 1913.1 2018.6 2640.3 2107.2 2035.8 1550.2 1435.7 2042 2245.2 2131.8
1997.1 2618.4 2017.15 2491.9 1372.9 2245.9 2165.1 1572.6 3012.9 2666.6 2900.1 2363.2 2362.8 2011.5 2927.1 1927.6 2238 3170.6 2364.2 3671.3 2975.2 1954.8 2160 1996.9 1890.8 1691.5 2719.6 1995 3077.4 2299.7 1965.4 2080.7 2666.5 1876.1 2089.5 11462.9 15038.6 15586.5 2524.3 1814.5 2772.5 2045.7 3007.4 2578.8 2617.4 2517.7 1972.6 1659.3 1229.3 2416.7 2769.5 2435.1 1684.8 2829.6 2015.5 2972.6 1948.9 1924.1 2596.6 2021 2413.1 2837.2 2815.9 2321.1 1769.9 2125.4 2999.6 2301.1 2721.6 3598.5 2398.5 3160.1 3262 2105.15 2686.7 2035.4 2062.6 1952.6 2808.8 1343.8 2350.2 2783.7 2427.1 1624.1 2436.6 2353.7 1523.8 12676.5 13946 14552.7 2368.6 2555.1 3336.6 3184.5 2667.5 3292.6 3437.6 2458.3 2342.1 2060.3 1652.7 1989.9 2747.5 2322.2
3147.4 1535.9 1346.7 3790.9 1246.7 704.5 2098.35 428.2 98.4 194.7 3052.7 1244 1812.7 61.7 1222.5 315.7 2794.6 1226.2 1363.8 699.8 185.5 281.35 3166.9 272.6 679.3 32.1 244.8 616 1376.8 496.8 110.1 1400.2 625.5 382.9 245.8 6408.6 15311.4 1172.2 2128.5 1326.2 562.1 1646.35 2161.4 184.3 432.5 199.3 2143.6 622.7 1629.3 11.5 267.6 1041.7 359.5 1837.6 1482.2 3797.4 1128.5 172.2 2402.25 1039.1 586.6 41.5 3407 2534.7 891.7 165.4 605.5 267.6 4742.5 963.2 197 815.6 114.4 346.35 4547.55 1111.8 774.6 27.6 1120.6 905.4 465.1 1405.5 1527.9 2687.3 752.7 3369.9 626.4 13835.4 12497.8 14490.1 2545.7 1400.7 2011.7 3060.5 2535.9 974.9 32.8 68.6 2489.6 3863.1 2479.5 22.2 419.6 449.8
