"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
-276.29 633.2 295.43 61.89 -33.87 715.98 -24.69 -3.24 -264.65 446.64 -94.31 -105.66 -141.57 -436.4 -242.69 305.24 28.22 865.61 -60.93 117.08 205.71 289.46 -64.7 159.31 -3.08 91.9 943.68 5086.3 2316.65 2786.33 3412.88 2638.6 1974.04 2413.91 2488.27 1147.5 1954.77 343.14 2114.69 651.78 3845 2122.01 3139.89 2164.2 1252.14 2446.61 1014.51 1263.43 1841.83 2655.23 1433.76 1954.77 794.81 106.93 156.94 840.41 138.95 335.71 -206.61 718.99 4.94 107.2 104.8 30.49 149.69 -74.06 250.22 250.65 50.5 84.18 -209.38 179.44 2015.63 758.86 45.23 -109.57 -89.37 -188.75 -231.6 651.04 516.52 64.71 -99.51 -142.68 59.64 -79.11 -87.7 18.91 -249.25 -263.76 397.97 23.46 641.75 62.63 -69.53 82.84 -24.87 -107.06 65.78 -7.81 -160.53 32.69 -91.82
173.08 49.71 219.1 112.05 59.77 278.5 124.5 162.1 75.92 116.42 136.8 101.31 190.46 47.49 39.96 21.58 96.15 77.71 147.82 135.86 117.85 52.92 117.54 75.86 82.13 134.32 27.81 19.13 29.12 17.83 34.49 20.17 60.74 59.67 54.95 11.63 38.1 38.73 -12.32 25.99 40 66.92 26.96 7.85 0 -5.69 115.76 1.75 22.17 21.05 7.21 38.1 35.46 66.58 29.94 92.83 61.42 131.37 90.21 16.94 80.1 37.07 131.48 28.52 33.04 104.67 75.16 67.37 110.09 -4.32 76.34 4.98 15.16 42.61 -94.66 42.44 79.44 72.29 52.5 21.63 73.5 51.56 26.29 -53.38 75.54 107.7 58.12 25.88 41.36 51.91 83.14 73.44 -19.57 -10.76 58.76 142.44 91.19 -63.84 54.34 68.33 -2.88 20.19 131.18
131.16 119.49 85.26 108.84 92.64 135.96 144.9 121.03 354.67 139.93 390.7 88.23 202.68 44.92 284.6 300.1 114.97 134.91 573.3 311.48 192.85 133.93 415.15 156.05 330.55 411.03 91.11 97.68 49.5 70.26 84.32 64.53 83.78 99.76 68.68 75.6 83.04 221.56 88.33 56.98 78 87.29 95.87 70.67 64.26 67.28 109.17 104.12 84.81 65.07 70.04 83.04 76.14 179.56 207.54 139.25 273.87 68.12 52.38 136.6 86.04 253.48 141 231.13 211.63 260.68 121.65 157.52 365.6 129.51 160.31 150.53 355.82 125.8 195.64 197.42 253.21 165.66 127.63 149.37 270.84 145.6 292.9 299.74 303.16 264 390.97 293.63 280 208.68 545.57 225.43 179.03 478.51 424.02 698.06 203.58 424.31 408.04 553.46 947.83 808.7 282.97
840.69 177.92 286.51 311.59 568.79 746.68 1210.69 323.11 1295.03 808.21 292.25 534.85 601.93 512.13 623.78 583.77 793.27 798.69 474.42 680.39 596.77 575.67 1290.74 338.12 1088.16 400.93 547.6 598.15 585.23 399.55 665.9 830.8 779.15 720.72 520.02 377.98 972.01 522.37 575.15 873.71 430 868.01 782.98 718.46 629.38 572.33 638.07 210.86 656.35 769.3 472.77 972.01 843.83 689.98 1497.17 311.08 810.54 2061.96 621.78 1065.25 667.51 680.29 2747.67 2720.45 781.5 269.56 658.67 1849.63 443.37 370.18 1278.09 1580.1 1345.44 1598.89 1496.76 1002.87 902.6 1463.83 1368.99 701.52 874.96 229.51 174.61 452.69 400.57 342.15 475.51 452.88 212.12 788.11 561.45 557.95 480.33 579.3 444.59 332.36 312.27 305.46 544.37 261.6 208.6 394.25 258.61
106.43 37.5 194.31 71.5 71.72 66.88 53.67 192.36 85.68 189.18 36.27 89.32 102.87 179.7 178.36 68.86 110.79 117.64 164.8 54.12 112.5 37.8 83.03 45.52 204.29 20.2 40.28 44.31 67.94 68.16 107.31 76.63 83.78 39.16 44.15 49.43 65.45 66.65 78.06 60.98 56 130.93 93.88 69.69 39.69 48.33 45.17 69.12 72.29 65.07 98.88 65.45 178.36 112.98 146.62 188.62 185.27 325.98 323.99 167.31 308.54 113.21 62.88 54.09 60.91 136.26 251.21 77.27 111.1 47.49 125.41 207.36 150.62 213.05 90.46 158.92 68.51 94.38 166.75 275.05 64.44 59.65 0 164.24 66.6 116.28 26.42 73.66 76.36 93.22 46.71 88.74 86.09 68.5 93.03 94.96 76.46 56.97 65.78 50.76 38.45 29.81 33.73
-82.78 -87.22 -118.97 -51.22 391.48 -158.98 -31.13 -342.57 -201.74 -85.07 -52.85 -165.58 -77.4 -12.84 -292.4 -63.72 -105.56 -103.61 -92.89 112.66 -33.21 -29.16 -70.09 -37.93 -35.93 -31.31 296.34 224.56 241.66 312.51 484.82 99.82 272.28 340.32 294.35 399.3 338.98 670.07 522.77 155.95 247 103.77 367.52 221.82 320.36 244.47 368.91 250.24 186.98 269.83 209.09 338.98 -219.04 -46.4 -79.5 66.17 12.08 -1.95 -55.29 -98.48 -16.81 23.04 27.63 -69.83 -16.52 -169.83 -87.03 63.4 67.67 -134.9 -137.41 -130.6 -118.27 -175.51 95.72 -37.51 -74.47 -92.37 -161.6 -12.36 -128.88 -120.32 -103.27 -29.77 -119.28 -109.6 -104.61 -121.43 -212.12 -139.83 -94.35 -225.43 -168.26 -164.4 -304.55 -208.11 -134.49 44.2 -59.11 -128.85 -133.62 -21.16 -76.83
140.83 118.62 131.85 159 35.86 98.68 90.16 90.77 69.42 125.37 80.84 105.66 0 213.07 24.37 139.77 70.03 178.09 98.88 144.69 151.07 112.33 100.28 110.54 122.16 70.69 71.93 46.32 56.29 82.85 96.77 60.5 79.59 47.55 50.04 73.66 68.38 80.16 62.65 14 67 68.86 89.88 54.96 78.44 71.07 63.05 17.5 30.84 52.63 83.43 68.38 -14.6 41.36 47.5 25.68 36.25 -34.06 87.3 22.24 30.66 16.03 -0.95 37.37 40.26 73.07 -5.93 31.7 78.78 56.12 62.16 13.96 88.95 49.71 24.19 29.61 99.3 44.18 123.52 88.59 69.47 25.28 26.29 -3.08 27.83 20.97 79.25 40.81 8.48 -10.59 29.89 25.5 1.96 102.75 58.76 118.2 80.14 54.02 76.27 111.28 65.37 67.31 141.48
-11.83 1.74 85.26 76.83 1 66.88 50.45 60.52 31.45 72.76 -23.84 46.84 19.35 -55.19 52.63 60.64 52.26 55.04 73.91 80.63 68.57 47.52 62.54 52.02 40.04 40.4 63.3 99.69 97.05 117.45 85.27 53.44 67.02 54.08 101.06 44.58 120.16 14.41 95.52 60.98 118 72.74 69.91 59.87 41.58 76.75 10.35 33.25 72.29 47.84 123.6 120.16 74.06 36.31 57.82 82.95 114.78 127.47 49.47 112.24 49.45 86.16 35.25 75.73 30.97 45.42 88.02 115.91 85.85 172.68 63.25 148.54 114.23 130.87 76.78 65.15 82.42 90.36 54.55 106.1 4.03 5.06 8.45 19.5 29.82 -17.16 -8.45 13.93 30.76 -39.19 -0.93 44.88 0.98 -14.68 -23.5 20.2 -10.13 -6.88 -0.95 17.57 -9.61 1.92 -5.62
-139.76 63.67 -205.22 -21.34 38.85 -35.09 -15.03 180.47 72.67 -14.55 77.73 162.31 -14.26 -512.13 72.12 315.52 75.25 128.44 53.93 33.14 -20.36 12.96 -19.41 -24.93 -16.43 -60.59 256.06 232.61 247.48 145.77 259.65 222.82 251.34 201.39 174.65 277.18 138.72 138.7 230.06 220.93 247 208.52 296.61 224.76 224.91 331.65 407.5 232.74 309.38 199.02 284.28 138.72 224.26 164.43 -11.36 28.64 251.72 52.55 -6.79 94.24 277.88 129.25 6.67 104.25 105.3 -140.21 27.69 70.34 76.76 7.55 33.81 248.23 103.11 176.53 108.34 93.77 101.28 -41.16 23.67 158.64 -157.07 -76.84 92.94 -208.38 28.83 -122.95 -32.76 60.72 -230.15 -188.55 0.93 17.34 -43.04 168.31 160.6 94.96 -120.67 120.81 116.31 254.77 160.53 250.02 138.67
