"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
62482.746 39961.23 25558.979 57270.117 35818.15 70974.836 95361.33 29185.111 29605.992 90541.49 97960.37 11475.447 19292.582 16851.998 16715.154 20387.361 41557.023 39884.605 25586.635 26052.215 27592.15 20517.406 18312.389 91175.945 28621.46 53011.375 40486.035 15387 28773.555 67697.75 19934.777 18683.84 13212.278 38098.4 86931.76 81950.5 10461.113 9800.192 38225.88 21551.162 13231.418 23137.943 46829.91 32162.648 16661.383 59492.77 20645.273 47116.375 50781.383 7668.311 10289.517 10998.954 6987.922 28179.053 12876.74 19187.414 12586.637 13628.956 19466.752 6618.422 26468.648 38237.863 43752.656 33200.984 23385.553 13143.815 33552.11 45484.65 13195.675 11015.907 1568.862 19955.797 18408.477 16041.45 17877.703 14004.704
48056.098 7207.0083 168.73315 12901.258 628.70984 17000.635 557.75116 1266.2677 996.9479 39415.375 24525.322 83.95008 525.7099 510.79684 1830.6516 875.2458 1078.505 9812.12 135.6878 5999.0244 7271.2427 2425.927 3418.6416 35697.977 1741.3024 20448.46 4110.3115 49 7652.6436 30018.727 1926.7118 7637.697 1256.4414 13580.127 34298.805 42861.594 464.92538 1967.6359 3051.896 329.35333 5058.9634 6834.852 73250.27 12819.942 1469.553 7401.3916 1757.5166 4859.4614 12374.97 646.0455 739.93304 404.43268 522.4072 7905.419 1082.0464 849.50244 1111.9498 702.99677 2442.7058 210.0989 466.33804 2000.7852 1641.6677 22953.547 6051.644 2268.6995 22454.965 20439.666 2481.322 3515.737 1696.8119 433.93137 1406.2185 912.88684 1202.9573 1299.5337
4065.8416 697.17395 18224.818 1394.1567 7149.794 12452.12 11042.061 14111.807 12278.888 11115.498 3669.6973 7096.429 28521.113 22243.893 21770.363 13047.911 9547.715 42511 7118.5034 4511.3633 18027.205 16515.08 26777.115 21818.27 23451.771 34662.797 1276.8656 15604 4882.688 11882.997 26320.059 26604.23 20876.01 13810.108 10222.082 10605.305 12059.989 16080.008 17632.197 13086.012 4201.3374 11809.809 44246.08 23675.607 23935.621 12746.841 21546.217 69243.15 36413.58 8253.4375 9377.337 9024.5 13257.534 17469.078 19772.113 9859.245 15748.206 23233.744 10987.8545 14495.6 4909.239 41141.86 8528.347 10247.437 24058.412 11400.963 36713.812 21519.62 23233.123 12218.687 26204.129 12203.058 5583.8086 11866.515 9288.325 18412.479
401.6748 310.8144 111.396645 42.461624 443.5558 506.64142 90892.26 20354.664 41.072758 439.96152 146.78789 32.521202 64.76919 30.28826 280.28717 546.61365 99.90901 -19.110975 94.83556 164.79175 178.13734 122.659225 -25.796837 71.51856 103.64895 186.72899 204.98177 20 33.662655 263.5681 -10.002398 69.43361 179.60617 430.0467 842.0489 612.8922 140.35483 102.091515 123.48712 64.98945 147.84119 138.2909 505.88705 163.86713 42.567696 152.08339 49.299202 224.07703 91.3384 57.910942 31.53813 61.655796 79.81221 146.96364 62.16424 56.7062 124.580795 40.80271 -7.201373 57.57813 49.171696 -14.291323 85.85584 516.6775 51.653744 91.31476 252.68033 342.60583 -44.274185 144.33353 167.31903 117.312836 56.603905 58.830486 -20.200794 32.471073
1208.4575 2156.2747 11223.212 44715.63 17699.504 5713.7896 9354.687 9992.504 5414.136 11277.249 2542.3662 8457.025 8446.981 8281.396 9528.927 14684.433 27136.824 15916.712 15939.67 11278.408 14586.651 9717.337 11222.745 61414.008 3669.1729 10181.644 1266.1895 5790 11442.097 9561.3545 9984.894 6027.085 6746.4565 4519.23 62997.008 21473.928 7358.687 8671.844 16767.787 5730.087 9129.377 7328.2456 3617.3645 3379.4934 6037.841 11282.334 10776.806 6588.5337 20260.518 10255.501 10561.23 11854.795 9211.055 12178.387 10042.439 10815.617 8967.829 8781.934 13927.455 8573.016 10935.151 12239.088 9282.838 6039.7817 8903.475 6304.6543 2066.2214 8763.758 10433.949 7091.4834 80.70683 11881.394 13814.682 17074.027 12145.728 7945.74
2567.629 259.012 21242.357 187.53885 11546.693 5263.4414 1574.4115 17645.166 16819.295 14906.932 2859.4282 10215.439 21576.775 16208.421 15621.616 12807.8 12153.034 19422.21 6609.3096 362.84424 18108.176 9862.71 17811.033 5420.085 12292.766 29208.344 151.6011 13819 2827.663 16750.596 19967.285 24841.111 14031.731 3788.1504 3534.6472 2746.665 10913.758 12542.418 27877.219 19070.549 15541.713 11270.708 28813.803 32624.455 17358.912 27403.174 11676.516 56470.758 46649.01 15494.562 15684.154 12840.554 12819.292 18442.713 13923.818 19097.994 12310.969 15017.099 19092.28 9955.503 9948.545 2509.5562 3371.793 28016.393 19589.004 11297.053 12571.6455 1837.1617 13671.868 8769.684 31967.777 17933.727 15173.176 15827.429 15217.258 5529.0635
22360.24 3358.522 6918.0596 22479.893 3703.0806 16645.986 4956.219 3330.8347 3114.062 13405.886 9423.783 1540.5975 6401.355 9203.43 7155.271 2587.0095 999.0901 25955.434 1965.2847 2945.0857 5803.4497 1164.5055 9920.566 41164.04 4630.7163 45843.605 13319.544 2535 3231.615 16761.81 10986.384 15157.604 1351.8572 12519.969 45318.875 22840.45 2396.5588 4025.4922 12716.969 8157.8286 4491.871 8054.859 26219.092 14911.908 5235.8267 5497.5327 4323.54 33086.48 24124.41 7579.5645 6098.9893 7521.2734 6627.316 15149.502 3995.024 5114.463 1736.8419 3356.0232 4605.998 3817.92 981.8478 5828.001 6821.6367 10933.371 17691.408 10926.283 19835.406 23366.71 10580.546 7063.548 14052.831 5385.0376 9226.437 4509.661 6828.8784 3028.1
24929.93 6615.5977 -52.42195 11270.023 482.21432 18937.13 204.7441 1071.6085 487.27228 27154.684 16305.199 9.075685 443.66895 629.01874 941.2629 715.909 504.66858 8015.689 81.70448 4320.87 6171.502 1921.6613 2044.6797 28224.29 1298.0038 22335.408 2824.905 -46 7356.092 19190.002 1460.3501 5739.4316 778.56067 12807.912 23547.996 26363.445 226.32217 1476.1721 2218.358 112.354645 3045.8228 4274.1265 50512.55 9793.721 967.44763 3137.424 1932.5287 1331.0845 6759.042 660.33514 771.4712 322.22495 457.1063 6935.459 593.47424 563.79047 510.91382 317.92114 1374.022 192.94798 203.03152 1409.1244 1308.6511 22659.574 4529.218 1359.4879 15389.512 16020.547 1768.9996 2221.391 606.28546 167.76997 507.21536 333.71085 578.75275 1489.524
-3131.0034 -2031.0857 853.4949 -1638.311 8576.09 -720.5567 1786.2157 17957.8 25832.898 45.290154 -2013.9299 16526.066 6765.1416 8603.82 968.03656 23973.545 8976.44 -1332.308 33503.215 9163.329 -553.5508 1149.3624 21451.752 22089.018 26304.51 10093.193 -1785.0496 15205 8951.061 9039.826 10512.52 18934.297 12915.607 -1671.5729 -7891.7607 -2233.6516 766.6883 -46.890873 379.2819 -40.756096 -640.64514 -651.608 -244.78406 -1057.6879 9962.775 1295.5251 31804.148 1093.6296 -395.79974 215.84987 -16.982069 616.558 1026.6753 9212.171 4677.8594 921.4757 1173.5776 2267.1008 27399.783 916.3498 940.607 15603.266 507.33 -1267.9385 23340.695 5029.3965 10268.736 1735.373 9988.256 11812.587 -385.81802 7301.1475 559.37976 604.53394 -110.09432 12837.818
