"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
77216 65447 123102.7 88826.1 96763.5 88980.7 64038 85021 44269.2 68273 119792.9 92166.6 67158.7 55428 19574.5 39742.6 56724.6 99323.3 30696 28478.6 74137.5 96529.9 46511.5 53131 70776.1 32599.9 52467.1 35815.9 34980.7 41265.8 11155.9 50410.8 56607.5 41002 56767.5 77210.3 56584.8 44869.1 71797.7 18759.6 26979.4 40755.7 68785.8 14054.2 58324.1 60680.1 137386.9 82295.8 59947.2 55197.9 85457.2 66742.3 83833.2 100434.3 89767 105269.3 70684.8 90053.3 105908.6 105581.2 106348.8 53560.4 67943.2 63781.1 50475.8 67530 63966.8 55731.3 75622.6 179219.3 57416.3 70795.2 83458.4 54945.9 68823.8 40288.9 114099.6 50193.6 69157.8 34265.7 58955.6 64967 64091.7 105532.9 24307.8 90590.6 127494 60638.2 64413.5 53978.7 61974.7 54318.3 69701.9 73933.3 124757.2 58091 57879.5 49539.4 58157.7 29160.6 17344.8 17849.5 68148.3 57461.1 56420.7 66934.5 77811.4 48510.5 52046.7 68962.8 74815.4 65342.7 47693 45464.8 58465.8 17436.2 6868.3 11941.6 26649 56273.5 24194 9434.9 38773.9 50612.5 10996.5 19497.1 12942.3 66733.9 39183 23158.1 29280.7 11978.5 12378.5 44256.8 20972.9 17648.2 29287.7 8279 33275.2 56396.7 31576.1 24401.2 24293.7 46502 46927.1 19087.3 56209.9 43707.1 66761.4 42617.6 78753.8 50112.8 55235.7 47491.6 47359 50060.3 49463.9 43066.6 44740.9 41541.8 61916.9 62171 39612.2 87025 53601.7 75267 68490.2 47551.7 28795.5 27476.1 26922.3 35165.5 26412.1
50456.2 52708.3 110166.2 93620.5 73677.9 84884.5 31655.9 40170.1 18568.2 66476.9 108929.4 38308.6 45131.5 29337.8 9388.7 22967.3 21484.3 80883.7 13905 18759.7 43429.9 88368.2 25346.6 37528.3 35588.4 11978.2 18761 14761.2 19162.9 13543.3 906.3 39449 40536.2 8278.7 49041.6 61936.7 12056.8 42027.5 37216.1 17491.3 14719.7 15286.4 68913.8 22839.7 40373.5 55483.5 119062.6 58781.9 33382.8 35566.4 65177 40392 58710.8 59721.7 59601.6 84057.2 63599.4 85405.8 95705.8 102238.7 94615.9 40741.1 50259.4 46467.1 23886.4 46929.9 34789.2 45985.4 61879.9 140550.8 33420.2 60183.5 75372.2 30889.7 71098.5 23781.4 96721.9 24006.7 56376.8 18033 46187 24691 24382.3 64163.3 17212.1 70273.6 97813.7 54175.2 40941.2 43385.7 45706 30483.9 47030.5 51703.4 84784.8 30483.8 28623.7 27811.7 43829.1 9826.8 6672.3 15776.9 36667.4 31843.5 33997.6 33483.2 99111.9 21309.7 25147.6 53548.1 37047.5 77910.7 31075.1 29631.4 52230.1 19475.1 960.7 1530.8 14454.8 35773 3030 11755.8 32473.4 30473.4 3179 2386.2 1682 49936.9 39156.9 18354.1 14441.7 9294.9 1322.4 15292.7 9428.3 10217.3 9592.7 986 30682.7 27193.9 8017.5 3205.5 16048.9 20487.4 30130 5927 36171.6 24946.8 36544.4 19460.5 52810.4 33174.3 24592.6 25086.9 24433.3 25079.6 19230.3 28339.8 11351.4 20118 60488.6 41736.4 27053.3 58008 26836.2 48503 46034.9 49657.4 7737.1 10531.1 2933.6 21028.2 5478
68829.1 61312.8 107951.3 123467.5 67176.2 78694.8 53443.9 63005.8 10973.5 21285.5 108290.7 56581.3 14413.4 24846.5 12478.2 29541.4 23234.6 63675.4 17878.3 25943.3 57329.9 70993.9 21296.7 53390.1 55627.7 16922.9 48576 16595.8 39685.8 20761.2 4349.2 22819.2 25144.8 4989.8 41299.2 72467.7 47106.9 76440.4 48795.1 29302.9 20936.9 34215.8 58495.1 36925.2 46384.2 66375.5 113321.5 66325.3 13760.5 42282.2 65615.5 64834.8 82423.5 65193.9 75047.8 84697.3 64593.8 50687.9 87949.1 114934.2 87385.7 48601 55784.8 67169.3 48749 43002.9 45746.9 46284.1 70109.7 119019.1 55920 48313.1 33883.8 26531.2 58424.9 18633.7 88425.7 47747.1 35259.4 29277.4 61706.5 46636 54322.6 72145.4 34320.2 58194.7 108884.1 30061.8 52791.7 54359.8 68264.1 60830.1 67132.6 50323.2 85589.3 11997.4 57636.5 60201.1 59368.5 15676.4 29317.1 30638.5 63637.7 59705.2 51504 54156.2 101561.6 41384.7 37673.3 65844.2 66358.4 53853.6 12828.7 6204.3 56401.3 1950.6 6622.3 33975.8 23416.6 43343.5 48764.3 23046.3 33260.3 35780.9 18133.7 56.7 2672.3 53954.6 3739 46166.3 41454.6 22952.4 22930.3 39937.8 94.5 10271.4 19093.4 1409.8 52393 42065.9 34456.4 3635.7 38091.5 47085.7 24881.7 4319.9 38599.9 34831.3 54868 17406.5 72721.1 40567.7 48758.4 30713.3 38282.1 15090.2 48207.7 22673.1 31532.4 28733.9 40888.1 55697.5 14141.6 63537.3 23871.3 63603 22991.9 279.4 20609.4 2942.4 10183.8 12711.7 12035.5
64022.8 54077.3 95598.3 88140 77138.5 60772.2 38719.6 63810.6 37481.9 59896.5 105023.2 69680.9 55487.8 47560.9 16586.7 35544.8 43149.8 81842.6 14500.4 11361.2 44420.3 88353.7 41126 50490 51523.6 24459.3 25203.5 27857.8 35307.4 31729.4 10532.7 34830.6 47830 26678.7 36352.7 57433.8 22917.8 48488.3 61707 19112.6 19006.3 32862.3 44644.8 16371.4 41811.1 54158.8 125779.4 72802.4 33087.9 31725.9 69255.1 38400 65375.1 81104.8 81131.2 72741.9 65133.9 81358.1 76957.6 120796.8 89059.8 31452.9 52966.6 32099.8 33714.4 58960.1 54766.2 44636.5 61675.8 160322.5 48368.1 60799.2 53021 43013 52755.9 32931.6 81778 35080.3 55845.6 20501.1 38960.2 47565.9 48588.4 88913.4 22376.6 71382.8 108454.5 49524.5 57234.5 33530.2 21231.1 41502.3 64764.2 57860.7 92550.1 46600.6 51392.1 34318.3 36711.8 23032.4 1227.8 28459 52846 45373.5 49691.1 47745.9 114133.1 36374.9 43604.5 50344.8 40180.3 60647.8 30332.5 40948.5 49946.6 23083.6 10642.3 739.2 25141 49182.8 968.9 406.9 34737.6 35181.5 3900.8 18355.3 10720.2 50741.3 32946.7 11879.4 26438.6 1505.2 2852.1 42444 15907 21666 19945.4 4827.9 26683.2 46946.6 13191.9 15916 15980.9 42248.2 37922.3 8314.3 45450.4 40132.2 40833.8 22829.3 74967.8 39175.9 40682.9 35983.4 41434.9 32827.4 34601.5 27978.1 29989.3 24216.2 52685.5 55328.2 28780.8 64041.3 29646.6 63588 51528.4 33246.9 30566.9 19482.8 26342.5 31529.5 18827.6
60563.7 49377.2 102487.1 97643.5 79453 78260.5 38645.6 66437.6 37062.8 63667.9 100960.3 66132.6 59770.9 35739.2 18655 33967.1 33985 67952.1 7319.1 26142.9 48407.9 88287.5 40535.1 48862 51078.9 19170.4 26533.9 27940.4 36877.2 28390.8 3606.6 28996.8 53697.6 30846.4 49214.1 75172.6 44986.7 46021.1 52759.8 26221.7 9422.7 29802.8 50082.1 14497.6 44761.1 56761 110976.7 69861.1 10783.9 30274.6 62783.6 42804.5 82736.2 75110.5 75900.2 82193.5 55429.8 67511.5 88725 114896.5 96830.5 39939.2 46808.1 36367.9 20743.1 58090.6 50406.9 45939.4 51457.7 146770.3 36749.9 62151.3 58240.1 33772.8 57198.4 28881.5 74953.2 28637.8 62700.2 31538.5 57732.4 45863.2 49719 72459 21069.4 64458 103902.8 53630.4 54970.9 43622.8 46546.6 34176.8 54121.1 61558.3 103608 45290.8 46375.1 25132.8 40323.1 23529.4 11431.5 27086.7 45976 33180 36147.1 46493.6 87851.3 30408.5 35078.8 55528.4 36955 74103.3 32053.5 30444.1 39427.1 19026.6 11073.8 2604.4 21909.8 50769.2 10575.5 7601.5 32352.1 34821.7 7439.8 7942 5631.5 48439.1 30455.2 14983.1 33616.2 14110.4 2525.2 32408.6 11337.3 22036.6 23707.1 16910.1 35370 47176.1 11574 20323.4 7919.1 33155 34952.3 18139.1 36356.8 39712.9 50905.4 27880.9 71271.6 38913.1 50597.8 39378 49015.7 42284.1 35321.7 36157.9 26912.4 25512.3 61207.5 49529 32113.1 77015.8 53644.2 63417 51141.3 37935 8100.3 25513.7 11825.6 25320.2 11473.7
48573 32025.7 73028 144250.7 77092.7 6731.7 16955.1 19910.1 2304.2 29579.6 30141 15920.5 14297 750.9 2235.9 14475.6 12074.3 41867.2 1795.7 5447.2 22470.5 15721.5 21747.4 64436 31214.3 3100.7 3933.2 24885.4 14227.1 33379 826.8 19848.6 18176 1285.4 23031 28182.9 3055.1 14010.5 1199.8 44636.7 1007.8 27241.7 30597.2 1649.4 38586.2 9960.2 129088.5 9590.7 6661.9 3842.5 51707.3 1635.3 51712.5 18964.7 41303.9 41473.7 73210.6 49020.2 67665.4 70895 62122.3 7312.7 39953.7 81876.5 24096.8 25765.6 1406.9 35397.7 15119.2 8751.6 410.9 21139 72983.4 70.5 14425.2 16439.9 47912.7 17078 28538.6 11295.2 20425.2 17586 11852.5 27842.9 13037 17909.5 47827.5 28852.9 18649.2 5938.9 15128.3 15656.1 77834.2 30424.3 59944 12368.3 6078.9 12921 25795.5 36819.9 1701.8 1280.1 53063 24628.5 64955.6 21597 67578.5 6789.7 2764.7 1312.7 13241 8968.6 38039.1 60587.4 71979.7 6259.7 127 1258.2 9344.8 58540.2 4254.9 15761.6 107.2 8530.9 3860.9 563.1 729.4 62567.8 0.9 15464.9 31192.8 2675.1 1780.4 3440.1 1.7 4768.8 40.4 118.8 18171.8 24537.3 244.1 946.2 30598.6 5962.5 43614.5 6006.8 15055.7 52229.4 16880.2 37294.8 9727.4 5771.6 19926.6 34821.1 5144.6 40312.3 14.2 37453.9 225.9 53396.6 74282.5 18125 27190.8 50237 14714.4 28574 10352.3 45503 37551.7 9.6 1262.2 2502.7 2536.2
34951.9 19794.6 19261.3 14067.9 7329.8 61793.8 70693.2 10156.6 27973.5 3556.5 22988 8704.1 5942.6 2479.5 50593.3 62187.2 9428.2 17662.1 12309.4 48890.8 74243.2 24014.7 21528.9 10894.7 29089.7 11229.9 22677.9 7321.7 15948.9 1684.9 3405.9 34304.2 12296.4 4765.9 6990.8 35691.6 72304.7 40079.8 44670.6 48130.6 7770.5 56788.9 51769.8 50440.7 17660.9 23054.7 155412.8 11654.8 41583.2 60985.5 29513.4 32563.3 16266.7 22425.2 6752.2 5058 4157.5 23946.9 13083.8 60836.3 7379.2 3045.3 74157.9 18175.3 19895.1 51789.9 31031.3 13921.1 59840.3 154801.5 60523 23871.5 23045.6 60095 3486 39198.9 10060.7 20944.3 24615.5 21564.1 39310.8 14158.4 5961.8 46876.4 58574.9 4375.5 1970.1 44767 13697.2 31013.5 83724.5 77586.5 24963.7 33380.8 98187.7 29637.3 15933.4 329.5 17554 14744.4 24662.5 29875.5 33862.2 43078.7 10105 43244 13170.5 19473.6 12537.1 26846.6 41590 8409.6 61876.3 10957.6 5509.3 31219.3 13547.4 10685.2 1988 4278.8 59387 27956.3 39889.5 15998.7 35136.5 6912.2 5848.7 1112.9 5941.3 12327.3 26125.5 27858.1 14218.9 30583.3 45885.5 39886 7858.8 17041.3 9640.9 8310 42919.4 8528.2 41654.5 63589.3 32940 1724.4 34771.2 39223.1 32573.9 4775.1 2185.4 25456.8 57834.9 14730.4 44331.3 8111.6 7094.9 2573.3 22254.1 21569.3 40123.3 8470.9 11249.2 4137.8 57585 4006 13567.3 13412.6 24116.4 16492.4 3103.3 14102.7 27183.1
46627 45602.3 3754.2 73371.4 2644 4267.6 60549.7 73013.3 26938.9 2031 3556.4 68731 55738.3 50472.5 30715.3 36967.8 45245.1 2770.9 30213.5 42075.3 61389.6 3245.1 1595.5 4986.3 40823.7 38584.2 38746.9 1181.9 29470.8 9.8 23216.3 52498.2 58822.6 9931.4 1947.9 2501.9 50878.6 42908.4 55321.1 1257.6 48157.4 1456 2326.6 37912 45653.1 3170.1 7648 2460.8 1984.5 24059.4 2881.8 4562.2 87351.9 72300.6 37222.4 4763.5 2464.3 29.1 5569.2 90788 87626.1 26738 5815.3 2442.9 33047.8 50538.5 29912.8 1475.4 43612.2 14127.4 49357 2292.8 3796.3 50634.3 3414.1 1157.1 3606.7 38949 2459.8 31703.5 54739.6 60119.1 52374.8 75365.2 1515 57975.7 5205.4 590.5 2461.2 1924.9 8780.7 56489.7 2417.5 50914.6 105519.4 40553.7 59463.3 1934.9 40005.8 1155.3 1181.2 32501.6 49985.8 40473.2 1578.6 55261.9 6433.1 2334.9 41423.2 2100.2 41765.3 1580.3 1750.5 1732.7 1973.8 25547.6 16110.1 27883.8 32500.9 2103.1 44678.5 27982.7 27513.4 35009.5 0.1 24194.2 1005.7 18.1 3393.8 64.1 0.9 1789.6 36829.9 46631.2 531.8 19778.7 28528.5 23721.4 5392.2 17303.7 12119.3 19533.4 1366.9 37766.3 1445.3 11.8 40404.6 1449.1 45643.4 45.6 2842.3 28420.9 38301.4 2871 10786.7 1962.4 1685 746.7 39404.1 1576.2 2071.9 60054.1 0.1 53669.4 48081.9 5806 1777.8 1413 23.7 28189.7 417.9 26413.5 15143.5
32447.4 35145.7 82510.2 128154.5 52039.3 57285.2 45337.1 46720.9 8940 41011.1 76542.8 11803.6 37664.7 6602.5 3411.5 7721.8 32656.8 31662.9 4659.8 5629.2 49015.8 53148.8 25621.9 38223.6 30895.4 7987.5 16254.3 21924.3 22929.6 6427.3 2260.5 27408.9 34730.5 8260.4 29550.6 77413.1 40341.4 36477.1 35056.3 2956.3 5638.5 14982.7 39089 8320.2 33358.5 33103.5 73234.9 37759.8 3736.3 29155.8 35163 22801.4 35694.4 55141.8 45961.7 53905 54741 59571.9 56640.5 109562.3 52611.9 11893.6 50552 33346.4 15812.7 41667.4 33958.3 38198.8 26321 133714.3 30306.6 45753.2 60907.3 24643.3 17506.5 14650.4 99741.9 15309.1 29177.2 11968.5 23346 34583.6 13077.8 54572.5 1458.6 68524.5 72197.5 26931.4 34151.3 17828.7 23041.1 3467.5 44693.8 42935.8 98630.1 38279.2 27651.4 21539.3 10655.7 1439.2 2238.8 8650.1 17484.7 13939.3 24684.1 25463.4 84861.8 22862.5 14930.5 22032.6 21301.8 49348.3 13023.3 12202.8 41976.2 1804.1 1379.9 2615.9 8112.7 30735.5 13238.9 2058.6 28269.4 5577.5 5147.2 1497.2 2033 25891.5 16292.7 8732.3 17316.6 1349.5 2234 19792.4 898.7 6655.7 8165.6 805.6 23525.9 30546 7036.9 3504.9 16737.6 42573.1 27354.9 1281.8 18378.1 22405.3 43500.9 14095.2 60014 16067.6 30407.9 29644.5 28312.2 14424.4 20904.3 18883.9 15292.7 13343.6 41186.3 34926.9 18720.7 57084.3 29419.9 44511 32692.9 25409.3 2507.4 3114.9 1996.8 7261.7 3952.4
