"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11502.7 19271.1 20507.6 70289.7 25870 17977.7 13867.8 23922.3 70530.1 16509.2 35991.3 13199.1 20361.1 15982.7 10931 13482.9 25136.6 34555.3 9538.3 32803.5 14594.5 9041.9 22075 50219.4 19605.1 56519.5 11302.3 16179.9 21078.6 42875.8 23223 23490.4 33825.3 20150.8 23851.9 35106.6 15707 14469.5 15312.1 19223.2 7988.3 12585.6 26525.8 30349.2 21686.3 11134.4 12469.7 25453.8 50405.4
9740.1 16155.1 20993.3 69192.9 38442 14825 14300 25487.5 44170.4 17598.3 29849.1 12177.8 19064.5 14671.1 11015.5 15501.4 27765.7 41899.2 10275 36197.2 14249.1 8964 21000.6 56256.4 21280.9 62333.7 8016.4 14149.9 23067.4 34831.3 23734.4 23936.8 34473.6 17470.3 22003.3 27980.9 12270.8 14371.3 12598.9 20697.6 7658.4 13124.8 26620.9 33628.9 22415 12492.8 13574.9 29467 54231.8
7375.4 12306.3 16947 61917.6 27237 10919 11301.5 17964.6 33387.7 14305.5 25139.5 9940.1 14878.1 12327.5 8595.7 11191.5 22140.9 33784.9 7919.3 31165.9 11483.5 6615.2 17921.7 42614.2 16304.5 43475.8 6567.3 12249.8 18003.7 29100.8 18692 18122.5 25350.3 13714.9 19412.8 22497.6 10210.8 11615.6 9029.9 14906.1 6057.8 9696.7 19901.5 24307.5 17197.1 9500.5 9217.3 20854 38409
6667.9 9940 13348.7 48433.8 24630.8 9042.6 8935.6 14840.1 27147.2 11702.1 19375.6 8727.5 13853.6 10052.5 7952.9 10134.2 20384.3 29174.1 6556.9 25936 9964 5984.1 16685.5 37223.8 14164.5 38657.7 5832.9 10474.4 15129 23125.2 15038.8 15459.3 22394.4 11375.7 16361.5 19169.4 8523 10416.2 9509.6 12588.9 4679.3 8439.4 17692.5 23375.6 15159 7315.1 8430.5 18549.5 37285.5
7998.7 13675.5 16972.7 15785.8 27301 11577.6 7847.1 17985.7 36929.1 12766.5 23357.7 10616.3 19046.8 10682.6 6016.7 8561.2 7969.9 17480 5120.8 17560.1 5364.6 3770.3 7750.1 34440 12416.4 25760.3 3898.6 12062.1 15322.3 30198.7 18490.9 20065.9 18509.3 13393.4 24768.8 33325.6 11580.9 13974.1 10464.9 12058.8 4610.9 8085.3 13948.2 22418.5 14546.9 9541.4 8850.4 24750.5 48668
6599.8 11500.6 14306.3 9003.7 22612.1 7583.4 5705.3 15294.8 25506.9 10276.1 16974 9171 16757.1 10197.1 4649.9 6807.8 5915.4 20636 3541.3 15368.1 3485.2 2371.6 3870.6 24760.6 8990.6 25577.9 3056.1 9217.2 12045 25094.4 14207.5 15935.8 17084.1 10018 20761.9 24942.3 8787.9 11715.2 7880.1 9861.2 3009.1 4526.8 11173.6 17976.6 12136.2 8735.4 6661.8 18645 39998.3
3836.4 5549.8 8064.6 31591.4 13458.8 5152.9 6657 10436.9 13984.3 8481.9 13573.2 6078.7 8569 6928 6351 7926.9 15175.4 22118.2 4800.4 19389.1 7416.8 3979.2 11221.5 27888.3 10361.4 29330.3 3481.8 5685.3 8657 13833.9 8377.6 8172.9 12675.3 6755.4 11315.5 11389.2 5449.1 6784.1 6500.6 9416.7 3220.2 5435.1 13954.9 18804.2 10965.5 5709.5 7030.5 14073.6 23230.7
3789.1 5580.7 4070.3 29989.7 11509.9 6871.2 7664.8 5505.1 4081.6 6076.3 3230.8 5211.1 3282 5761.1 6187 7952.5 10970.7 13262 5170.7 20090.9 5685.9 5776.4 9999.1 10945.8 8573 10073.3 5316.6 4887.8 2511.2 8225.5 4813.9 5826.3 3756.7 4371.8 4039.4 5318.1 5406.9 3488.3 6960.1 8588.1 4801.6 5876.7 8827.5 9331.1 7979.2 6194.2 5407.9 7408.7 7752.7
5920 10191.8 6094.3 11924.1 21909.6 9360.4 8251.9 4189.1 5075.8 7740.7 3538.4 7825 6828.4 7219.3 9719.4 10995.5 16658.8 15592.1 6032.7 28210.9 12020.4 7857.6 13944.2 3575.1 11622.9 13611.1 7218.1 8066.2 4252.6 8984.9 6440.9 12563.3 6237.8 6065.3 8607.1 9350.5 5972.7 7406 7662.3 8395.4 5937.3 7420.1 10947.2 11187.1 8799.3 7177.7 6470.7 10586.1 10850.9
