"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3
0.5548 0.6582 -0.1588 1.011 1.001 0.1959 1.535 1.08 0.7459 0.8199 0.1227 0.1182 0.7022 0.527 -0.1683 1.32 1.423 2.224 0.0287 -0.4747 -0.3267 -0.08636 -0.2949 0.1503 -0.08818 -0.4089 0.1338 0.04664 -0.32 -0.1628 -0.126 0.3064 -0.7147 2.343 0.1964 -0.1126 -0.07479 -0.5646 2.552 -0.867 0.02609 -0.43 -0.3888 1.613 2.031 -0.1085 -0.2151 0.4647 1.84e-09 -0.2183 -0.4237 -0.1119 -0.5135 -0.5111 -0.6189 -0.2978 -0.03113 -0.08433 0.64 2.211 3.018 2.876 -0.108 -0.2116 2.095 0.1461 0.1125 -0.1501 -0.2187 -0.3471 0.2742 0.2227 -0.1786 -0.3221 0.1627 -0.1813 -0.4257 -0.3154 -0.4778 -0.5543 -0.3711 1.526 -0.3121
-0.6406 0.04176 0.6192 -0.2771 1.528 0.5678 0.1293 -0.2894 -0.06919 0.7264 -0.1182 0.251 0.2232 -0.4654 0.7164 -0.839 -0.0414 1.007 -0.5074 -1.51 1.179 -0.04302 -0.6045 -5.02e-09 -0.09619 0.7326 -0.289 0.7493 1.276 -0.6757 -0.4665 -1.159 -1.404 -0.7568 -0.3051 -0.7944 -0.9485 -0.6082 0.2388 -0.1637 -0.6275 -0.6376 1.058 0.8697 0.6212 -0.9006 0.9827 0.9659 0.7888 0.3838 0.7349 1.176 0.5642 1.097 0.8909 1.411 1.358 0.9747 1.221 0.24 -0.3503 1.037 2.165 -0.4279 0.13 1.365 0.7215 2.995 1.293 2.538 -0.4196 -0.2004 0.6872 0.7298 0.5229 0.952 -0.263 1.101 -0.3984 1.039 -0.8315 -0.4509 -0.1352
-0.06092 0.02442 0.2497 0.002899 -0.04982 -0.0646189704191775 0.3433 -0.1116 -0.09265 -0.002899 0.01569 0.133 0.09564 0.1962 -0.3165 -0.633 -0.6456 -0.3488 -0.2182 0.6239 -0.1256 -0.3328 1.874 2.976 1.856 2.033 1.965 2.075 2.997 -0.1058 -0.2015 0.2846 0.3004 0.2324 -0.5276 -0.1788 -0.236002527112038 -0.267500115343393 -0.1738 -0.1401 -0.0623901260232583 -0.09968 -0.0798690720938453 -0.2976 -0.2068 0.0704637894636036 0.0693074984243421 0.100026831418068 0.19219365073062 1.878 2.238 1.597 -0.1288 0.165029546240158 0.107377433245801 0.2682 1.903 1.49 1.837 -0.0102 -0.0539 -0.2996 -0.1736 -0.406 -0.5261 0.03902 -0.01822 -0.4955 0.331811314318421 2.345 -0.0374702437839146 -0.0447995511073853 -0.00329244580257502 0.5318 -0.608 0.161889116560525 -0.1762 0.0551188174716994 -0.6395 -0.1642 0.092715816359713 -0.1216 -0.4047
0.7356 1.457 0.09381 1.098 1.629 0.670299904852701 2.729 0.9058 0.219 1.572 0.9888 1.468 0.5582 2.458 1.727 -0.9227 -0.5958 -0.06296 -0.4041 -0.8812 -0.6809 -0.2092 0.5232 -0.1278 -0.09238 0.7036 0.2394 -0.06197 -0.3168 0.2092 -0.4394 -0.1369 -1.43 -0.9526 -0.3754 -0.5273 -1.148 -0.5741 1.324 0.7379 0.2743 0.6873 0.4549 0.8895 0.679 0.7352 -1.072 0.16 -0.3275 -0.5829 -0.9188 -0.2089 -0.818 -0.4865 0.1255 -0.1014 0.3338 -0.2718 -0.1555 1.378 1.122 1.31 1.835 1.125 0.7362 1.534 -0.2525 -0.2458 -0.8169 -0.4946 0.4866 0.1993 -0.2712 0.2497 0.2074 -0.02386 -0.2233 0.3125 -0.2698 0.3693 -0.681 -0.4743 -0.2133
0.2917 0.4499 -0.5167 0.08233 0.807 0.3251 0.6147 0.6412 0.8131 0.2195 0.6674 0.9882 0.5941 0.2377 0.4943 1.041 0.8285 0.8559 1.454 -1.589 0.07052 -1.358 -0.9036 -0.7471 -0.7185 0.8398 -1.221 1.296 -0.151 -0.08135 -1.164 2.063 1.079 1.57 2.176 -0.008124 0.5674 1.15 -0.5248 -0.7664 -0.5278 -0.2334 -0.4554 0.6336 0.9975 0.0184 -0.161820713719239 -1.069 -1.244 -0.408327386856639 -1.326 -0.9025 -0.191 -1.544 -1.253 -0.6979 -0.5187 -1.33 -1.495 0.8705 -0.7969 0.3502 -0.2373 0.7679 0.4033 0.07504 -0.4379 -1.43e-08 0.1642 1.337 -0.7026 1.07e-09 -0.7797 -0.2627 -0.2086 0.1176 0.009771 -0.4495 -0.2684 0.1686 -0.1776 0.2812 0.1928
0.8731 1.201 0.496 0.5813 0.2998 0.5017 2.287 0.1846 -0.5554 1.201 -1.46e-08 0.1256 0.9022 1.488 0.03858 1.146 0.06082 -0.244 -1.01 -0.629 -0.1119 0.7183 -0.2729 0.684 0.7282 -0.2957 -0.05421 0.8271 0.6813 0.5782 0.1472 -0.6902 -2.076 -0.3972 0.01522 1.247 1.574 1.761 0.2254 -0.2583 -1.006 -1.316 -0.3209 -0.4374 -0.4652 -0.7461 -0.9713 -0.9215 -0.5814 -1.657 0.8611 0.156 -1.441 -0.3273 -0.4264 -0.01544 -0.2104 -0.3062 -0.3588 1.146 0.04253 -2.38e-10 -0.4097 1.779 0.3654 -0.4769 -0.2008 0.6491 0.4025 0.354 -1.627 -0.3536 -0.9016 -1.987 -0.03431 -0.5842 0.001242 -0.2886 0.1444 0.01796 -0.2225 0.7229 -0.4682
0.5671 -0.536 -0.3745 -0.3833 0.6702 -0.4293 -0.6951 -0.919 -0.3029 -0.7189 -0.6771 -0.3451 -0.367 -0.5524 0.2066 -1.176 -0.6492 -1.27 -0.07213 0.5509 0.06389 0.5352 1.302 3.05 2.398 1.062 1.603 1.242 -0.2057 1.362 -0.4943 2.032 1.343 1.822 2.009 0.2315 0.09057 0.4922 0.2956 -0.3813 -0.4087 0.1847 1.721 -0.5827 -0.51 -0.506 -0.2511 0.1784 0.5294 0.3679 0.6117 -0.05448 0.5531 0.7827 0.8828 1.743 0.009791 0.6307 0.4828 0.3213 0.3307 0.163 0.9911 -0.1715 -0.6035 0.6749 0.09388 1.09 0.2574 0.9452 -0.1268 -0.2298 -0.1806 -0.08456 -0.3254 -0.2224 -0.2159 -0.2328 -0.1925 -0.2976 1.7e-09 -0.959 -0.198
0.5848 1.004 0.3993 1.617 1.238 1.274 1.943 0.9553 0.2596 0.9606 0.7645 1.858 0.7544 1.736 1.798 -0.5579 -0.47 -0.5529 -2.34e-11 -0.6491 0.1326 -0.3812 -0.4571 -0.10023894618723 -0.1285 -0.4134 0.2886 -0.223264462056418 -0.6177 -0.1634 -0.2799 -1.168 -0.7084 -0.8718 -0.4763 -0.819 -1.144 -0.7458 1.141 0.4894 0.5666 0.9711 1.082 1.023 0.595820405337273 0.827 -0.4468 0.2461 -0.216 -0.08213 -0.147 -0.02241 -0.2936 -0.6263 -0.01841 -0.4069 0.7251 -0.321 -0.1203 1.051 0.9142 0.7856 2.121 0.5091 1.263 1.861 -0.1684 -0.2082 -1.033 -0.7269 0.7021 -0.08968 -0.3695 -0.176 0.003798 0.2371 -0.5022 -0.146 -0.645 0.2807 -0.6729 -0.4815 -0.4704
-0.3363 -0.06164 0.9088 0.683 1.474 0.9222 0.5072 -0.6093 0.5769 -0.1128 -0.2845 -0.7239 0.3458 0.3617 -0.2044 -0.3113 1.311 -0.3718 -0.1734 -0.5368 0.01328 -0.5568 0.6024 -2.08e-08 -0.3654 0.6851 0.3716 0.7893 1.658 -0.2825 -0.2046 -1.151 -0.8963 -1.04 -0.3276 -0.4309 -0.4492 -0.4016 1.136 0.08309 1.158 0.4927 -0.3061 0.5291 -0.4497 1.874 -0.05293 1.205 1.468 1.5 1.48e-08 -0.1484 -0.0335 -0.3011 -0.02906 0.1635 -0.4138 0.7291 0.2246 0.113 -0.1061 -0.0603 -0.4023 -0.07134 -0.2442 0.7079 -0.2611 -0.1825 -0.06477 -0.3944 1.473 2.284 1.555 0.8049 -0.2979 1.469 1.845 1.846 -0.5667 0.9675 1.277 -0.1913 1.853
0.4837 -0.392 -0.6936 -0.4353 0.435740879473314 -0.2898 -0.6499 -0.9349 -0.2506 -0.6846 -0.5899 -0.3399 -0.4209 -0.5189 0.3348 -0.8639 -0.5106 -1.064 0.1934 -0.04188 0.1523 0.4635 1.169 3.065 2.207 0.9954 1.478 1.205 -0.1126 1.295 -0.2787 0.6248 1.339 1.885 1.829 0.4261 0.1936 0.2877 0.2905 -0.4184 -0.4838 0.1757 1.678 -0.4627 -0.4493 -0.6158 1.032 0.1411 0.5007 0.3701 0.6429 -0.009782 0.5237 0.8031 0.8829 1.745 0.09181 0.4459 0.4046 0.1623 0.3466 0.159 1.248 -0.1241 -0.5603 0.7544 0.2339 0.8844 0.3847 0.8848 0.05078 -0.16 -0.268 -0.1886 -0.3409 -0.0422018068759639 -0.2357 -0.2602 -0.1871 -0.3833 -0.05789 -0.9231 -0.1683
0.1154 -0.03095 0.127 -0.08476 -0.167 -0.1537 0.03295 -0.3704 -0.2515 0.2771 -0.05758 -0.1328 0.2544 -0.001934 0.07664 0.01561 -0.31 -0.4966 1.805 -0.1535 -0.04025 -0.2933 -0.2289 0.3013 0.2452 -0.2769 0.2993 0.2228 0.02009 1.053 -0.3212 0.2103 -0.08376 0.4775 2.264 1.899 1.929 2.503 0.1048 1.305 1.432 1.044 1.379 -0.2418 -0.2998 1.12 -0.02379 -0.4224 -0.3886 -0.3922 0.1461 -0.07698 1.649 1.588 1.236 1.604 -0.3786 0.1864 -1.77e-09 0.09924 0.105 -0.29 1.235 0.1337 -0.001909 -0.01404 1.494 2.137 -0.201 -0.2776 -0.06491 -0.06087 -0.4245 -0.3359 -2.87e-09 -0.4605 -0.2709 -0.5735 -0.3123 0.1648 -0.2355 -0.1232 -0.4148
0.2444 0.9925 0.261 0.1523 -1.34e-08 0.4263 1.184 -0.01907 -0.05161 0.3013 -0.11 0.2537 0.4021 1.337 -0.1232 1.171 0.03825 0.09629 -0.4627 -0.0628 0.1841 0.08271 -0.03068 0.2862 0.408 -0.08521 0.08157 0.7233 0.6213 0.2664 -0.4926 -0.4159 -1.622 0.8778 0.5361 1.523 1.73 1.916 0.1771 -0.2672 -1.259 -1.07 -0.2085 -0.5309 -0.6856 -1.021 -0.8127 -1.167 -0.453 -1.711 0.4129 0.3356 -1.03 -0.5025 -0.4343 0.1168 -0.1524 -0.1562 -0.4886 0.8635 -0.1162 -0.1386 -0.4172 1.604 0.3967 -0.3667 -0.2276 0.6556 0.1512 0.6049 -1.605 -0.5459 -0.9468 -1.893 0.07907 -0.7083 2.05e-09 -0.6035 0.2516 0.1518 -0.6802 0.3945 -0.3615
0.5858 0.9024 -0.07015 0.6953 0.316845530940815 0.174 1.594 1.182 0.6327 1.041 0.223 0.1991 0.7495 0.5306 0.2945 1.154 1.524 1.743 -0.1516 -0.3953 -0.1642 -0.2267 -0.3335 0.0313012680652914 -0.00270652898441548 -0.314323590881254 -0.4048 0.0550153207371465 -0.7695 -0.1153 -0.09695 -0.852 -0.8097 0.004688 -0.306673885064152 0.01673 0.1328 -0.197 2.129 -0.8012 -0.1855 -0.3207 -0.2531 0.9169 1.605 -0.4315 0.1321 -0.3277 -0.2856 -0.3732 -0.4675 0.009618 -0.2927 -0.611 -0.5832 -0.1781 -0.2333 -0.1625 0.3331 1.601 2.244 2.004 0.1677 -0.3263 1.956 0.01278 -0.01829 -0.6161 -0.1441 -0.0113969311835083 0.2043 -0.2229 -0.4435 -0.1822 -0.3515 -0.4142 -0.3703 -0.6493 -0.248 -0.2523 -0.392 1.187 -0.2406
