"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24220.2 60718.6 50187.2 97957.7 58880.9 38272.2 68054.9 17731.1 17119.7 32070.5 20463.9 79211.7 14171.3 28998.1 29370.9 41471.8 28403.5 34652.8 27814.1 32448.7 41836.8 33509 30404.6 23797.7 66910.8 47176.2 73620.3 61621.6 32658.7 31355.5 68568 32129.4 55156 221862.2 58815.3 30589.1 35885.4 49116.8 51861.9 50914.9 62410.4 35242.3 48245.3 60113.5 41719.6 28617.7 55572.8 170512.3 66964.6 67928 29883.8 27910.3 44673.2 36000.9
20384.2 58090 48070.4 95075.5 28429.5 36206.1 60248 15347.6 14275.4 26708 15398.3 68089.1 12610.4 24555.1 27123.5 29493.9 20074.7 26786.4 23163.4 25728.5 40459.8 33704.6 29997.5 24158.4 58342.2 46818.2 63148 45920.2 27021.8 30079.9 58886.3 31129.4 59946.3 162026.6 50829.4 25451.2 28082.5 37960.5 36692.6 44029.6 48445.4 26986.2 37044.6 49463.6 30601 23195.6 42810.6 129509.2 58653.5 57507.3 29074.1 22924.7 36848.1 29089.9
952.9 10952.6 6563.2 1883 6170.5 37323.8 6087 5190.4 26956.9 5114.3 1582.2 1295.5 10937.5 1269.3 5086.2 27673.2 12844.5 3336.9 23528.9 29814.6 41985.2 35413.1 9226 4943.1 19348.6 21339.1 20795.3 42080.5 25788.4 21166.5 31492.7 18721.1 63733 163936.8 12607.1 18946.3 34807.5 37241.9 17424.1 41169.9 46565.4 26692.7 30013.9 62951.9 43673.8 22589 11431.4 25110.3 4236.4 3731.7 27733.6 29131.4 22922.4 29958.9
250.4 79909.4 29879.2 980.6 3015.3 1577.9 121140.2 3524.4 1594.1 12953.3 1015.9 6790 23623.7 320.8 53556.3 239.7 39662.7 770.7 199.8 89.2 1326.8 239.2 318.5 1142.3 812.6 17017.3 52.6 170 2196.8 41231.7 85878.1 546.1 276.7 1238 114.7 19345 398.1 193.7 143.8 135.4 11.6 34499.5 617.8 287.8 1613.4 650.6 182.4 16526.9 862.6 4697.2 1714.5 615.7 172.7 181.6
248.9 7701.9 4724.9 1010.2 2151.6 29433.4 4761.3 2005.4 23378.1 1195 727.7 1484.2 2272.5 479.5 1429 10697.4 17177.5 460.6 14596.5 19891.6 27569.9 24069.5 20128.7 10541.7 13392.5 17848.2 15909.1 31641.7 27916.2 7797.3 43782.4 12058.2 48195.3 138952.8 35574.6 17697 33767.8 32176.7 24427.7 36169.4 44710.8 22035.3 8563.8 49874.8 33181.5 21521.3 43667.1 56409.6 44787.4 53084.1 14372.2 1285.2 2772.1 4957.5
643.7 64811.2 42145.2 2566.7 8240.4 3670.2 107679.4 14614.1 11175.1 45656.6 5041.2 14673.5 20276.1 1337.1 39225.2 546.2 26220.1 4503.5 399.6 580.7 2966.4 541.8 1150 3015.7 2744.3 34556.9 256.7 527.2 6296.7 34107.6 68440.2 1827.1 204.4 3595.9 78.9 17622.4 632.9 80.7 157.3 322.6 66.8 31607.7 4402 733.3 8577.5 3528.8 519.4 75629.6 1680.1 36863.4 3647.3 10855 187.1 656.8
788 61996.3 45090.7 3605.6 9140.9 3716 102892.4 16576.3 12288.3 49032.4 5796.1 13700.5 22557.1 951.8 38795 620.5 26675.3 4740.1 425.1 522.7 3315.1 500.7 1305 3863.9 2759.8 35543.9 65.3 754.1 7267.1 36160.7 71238.3 2359.3 523 3819.6 324.7 17830.8 655.2 93.6 172.3 392.4 99.6 31456.2 4880.2 727.6 8119.7 3678.4 326.6 69034.2 2030.9 36788.5 3742.6 11481.8 179 607
24418.4 59719.7 46911.3 111996.2 47382.8 46609.9 68250.2 27906.6 27520.3 30530.4 34739.7 73306.4 23753.8 34806.8 31096.6 30264 31575.7 39184.7 32886.4 37480 41680.8 29648.2 31855.5 35026.1 52448 42362.9 40520.3 43727.9 22984.8 28148.6 46437.1 46307.2 42700 118339.7 47450.1 21931.5 32148.1 40593.4 40493 49324.1 35747.4 32915.7 44981.7 34794.5 36795.3 22184.2 51206.2 126836.3 74685.4 77680.4 29112.7 34764.2 42131.2 31574.2
13939.3 47243.2 38822.7 74928.6 27154.8 28953.3 40405.4 11591.4 12322.5 21102.8 13745.3 51626.2 9950.5 21303.9 18884.3 26029.6 18216.1 22561.7 21588.2 23705.7 29375.9 25446.4 23184.6 17029.2 44106.1 37329.2 45001 37281 20226.7 26489.7 39876.1 20374.4 34693.5 150380.7 40008.4 22998.5 25532.4 32505.2 35589.8 35749 38975.2 22390 29636.8 40026.4 25812.9 21251.9 38205.8 98762.2 46404.3 47621.1 25021.9 19984.2 30896 22989.1
22721 41942.1 41610.3 76997.4 50548.1 53902.9 50791.4 32232.9 28745.5 46985.6 24164.3 57706.8 27798.5 38135 50351 37518 32086.1 52842.9 39263.5 46714.1 42811.4 29872.8 36577.9 35980 62230.5 41404.7 62631.8 60845.7 25993.8 38839.8 74243.6 51345.3 67831 93474.3 59428.9 22267.8 28599 47166 52127.1 53480.4 42229.9 33011.8 26376.6 33090.2 36441.9 24787.1 62960.8 147231.3 89100.7 96732.1 38236.8 43632.5 55958.3 34340.7
