dataset,minmax_chi_square_naiveBayes,minmax_fisher_naiveBayes,minmax_random_forest_naiveBayes,minmax_reliefF_naiveBayes
dataset_glioma_rickman,1,2,4,3
dataset_ovarian_li_and_campbell,1,3,4,2
dataset_breast_gruvberger,3,1,4,2
dataset_mixed_chowdary,1,3,4,2
dataset_prostate_tomlins,1,4,2,3
dataset_lymphoma_shipp,2,3,4,1
dataset_liver_chen,4,1,3,2
dataset_myeloma_tian,3,1,2,4
dataset_leukemia_andersson,3,2,1,4
dataset_glioma_nutt,2,3,1,4
dataset_glioma_phillips,4,3,1,2
dataset_leukemia_gutierrez,3,4,1,2
dataset_leukemia_yagi,2,1,3,4
dataset_cns_pomeroy_2,1,3,2,4
dataset_breast_desmedt,1,2,3,4
dataset_leukemia_yeoh,4,3,2,1
dataset_colon_alon,1,2,4,3
dataset_headneck_pyeon_3,3,2,1,4
dataset_lung_bhattacharjee_2,3,2,1,4
dataset_leukemia_haslinger,4,3,2,1
dataset_liver_iizuka,2,1,3,4
dataset_breast_minn,2,1,3,4
dataset_breast_perou,4,1,2,3
dataset_lung_larsen,4,3,2,1
dataset_lymphoma_rosenwald,3,2,1,4
dataset_breast_glaab,3,2,4,1
dataset_sarcoma_detwiller,3,1,2,4
dataset_breast_sotiriou,4,1,2,3
dataset_lung_bild,1,3,2,4
dataset_bladder_dyrskjot,1,3,4,2
dataset_colon_watanabe,4,3,2,1
dataset_breast_wang,4,2,1,3
dataset_bladder_sanchez-carbayo,4,3,1,2
dataset_mixed_ramaswamy,3,2,1,4
dataset_breast_veer,3,4,2,1
dataset_prostate_singh,4,3,2,1
dataset_adrenal_dahia,4,2,3,1
dataset_ovarian_schwartz,2,1,4,3
dataset_breast_west,1,3,2,4
dataset_bladder_blaveri,2,1,4,3
dataset_breast_kreike,4,3,2,1
dataset_glioma_freije,4,2,1,3
dataset_ovarian_jazaeri,2,3,1,4
dataset_head_neck_chung,3,4,2,1
dataset_lung_raponi_2,4,2,1,3
dataset_leukemia_bullinger,3,1,2,4
dataset_leukemia_armstrong,2,4,3,1
dataset_lung_beer,3,1,2,4
dataset_pancreas_ishikawa,2,3,1,4
dataset_lymphoma_alizadeh,2,1,4,3
dataset_lymphoma_dave_2,3,1,2,4
dataset_leukemia_golub,4,3,2,1
dataset_mixed_monti,3,4,2,1
dataset_breast_sharma,1,2,4,3
dataset_colon_lin_1,1,3,2,4
dataset_srbct_khan,1,2,3,4
dataset_liver_ye,3,4,1,2
dataset_lung_tomida,4,1,3,2
dataset_breast_ma_2,2,3,4,1
dataset_lung_gordon,4,3,2,1
