dataset,minmax_chi_square_linearSVC,minmax_chi_square_naiveBayes,minmax_fisher_linearSVC,minmax_fisher_naiveBayes,minmax_random_forest_linearSVC,minmax_random_forest_naiveBayes,minmax_reliefF_linearSVC,minmax_reliefF_naiveBayes
dataset_glioma_rickman,7,1,6,2,4,3,8,5
dataset_ovarian_li_and_campbell,1,3,4,7,6,8,2,5
dataset_breast_gruvberger,3,7,1,5,4,8,2,6
dataset_mixed_chowdary,1,5,4,8,2,7,3,6
dataset_prostate_tomlins,2,7,3,8,1,6,4,5
dataset_lymphoma_shipp,2,7,4,6,3,8,1,5
dataset_liver_chen,1,8,4,2,5,7,6,3
dataset_myeloma_tian,8,3,7,1,5,2,6,4
dataset_leukemia_andersson,2,5,8,3,4,1,7,6
dataset_glioma_nutt,4,6,7,5,1,3,2,8
dataset_glioma_phillips,8,4,6,3,5,1,7,2
dataset_leukemia_gutierrez,3,6,1,8,2,5,4,7
dataset_leukemia_yagi,3,5,1,2,4,6,7,8
dataset_cns_pomeroy_2,4,2,5,3,7,1,8,6
dataset_breast_desmedt,8,2,7,1,6,3,5,4
dataset_leukemia_yeoh,8,7,4,6,3,5,1,2
dataset_colon_alon,7,1,2,6,5,4,8,3
dataset_headneck_pyeon_3,3,4,7,5,2,1,8,6
dataset_lung_bhattacharjee_2,6,5,8,3,4,1,7,2
dataset_leukemia_haslinger,2,7,8,5,4,3,6,1
dataset_liver_iizuka,8,2,4,1,5,3,6,7
dataset_breast_minn,7,2,3,1,4,5,6,8
dataset_breast_perou,1,8,2,4,5,6,3,7
dataset_lung_larsen,8,4,7,2,5,3,6,1
dataset_lymphoma_rosenwald,3,6,2,5,1,4,7,8
dataset_breast_glaab,8,2,5,4,7,6,3,1
dataset_sarcoma_detwiller,3,7,2,1,5,6,4,8
dataset_breast_sotiriou,3,8,4,5,2,6,1,7
dataset_lung_bild,3,2,1,6,4,5,8,7
dataset_bladder_dyrskjot,4,5,1,2,3,6,7,8
dataset_colon_watanabe,3,8,4,7,2,6,1,5
dataset_breast_wang,6,8,1,5,3,2,4,7
dataset_bladder_sanchez-carbayo,5,8,3,7,2,1,6,4
dataset_mixed_ramaswamy,8,3,7,2,5,1,6,4
dataset_breast_veer,2,5,3,6,7,8,4,1
dataset_prostate_singh,3,8,2,7,4,6,1,5
dataset_adrenal_dahia,7,4,6,2,8,3,5,1
dataset_ovarian_schwartz,8,2,7,1,5,3,6,4
dataset_breast_west,1,3,4,7,2,6,5,8
dataset_bladder_blaveri,3,2,4,1,8,7,6,5
dataset_breast_kreike,5,8,6,7,3,4,1,2
dataset_glioma_freije,8,6,5,2,4,1,7,3
dataset_ovarian_jazaeri,3,5,1,7,2,4,8,6
dataset_head_neck_chung,7,3,8,5,6,2,4,1
dataset_lung_raponi_2,2,8,3,5,1,4,6,7
dataset_leukemia_bullinger,2,5,1,3,4,7,6,8
dataset_leukemia_armstrong,3,7,2,8,1,6,5,4
dataset_lung_beer,4,6,3,2,1,5,7,8
dataset_pancreas_ishikawa,3,2,5,6,4,1,7,8
dataset_lymphoma_alizadeh,3,4,2,5,8,7,6,1
dataset_lymphoma_dave_2,7,3,4,1,5,2,8,6
dataset_leukemia_golub,7,8,2,6,3,5,1,4
dataset_mixed_monti,6,7,4,8,1,3,2,5
dataset_breast_sharma,3,1,2,4,5,8,7,6
dataset_colon_lin_1,2,3,8,6,4,5,1,7
dataset_srbct_khan,2,1,4,3,5,7,6,8
dataset_liver_ye,2,7,4,8,1,5,3,6
dataset_lung_tomida,6,4,5,2,8,3,7,1
dataset_breast_ma_2,3,5,8,2,6,4,7,1
dataset_lung_gordon,8,4,7,2,5,3,6,1
